time;NETWORK_1011_131_Upu_value;NETWORK_4011_401_Upu_value;NETWORK_B11___21_Upu_value;NETWORK_BG09__11_Upu_value;NETWORK_1012_131_Upu_value;NETWORK_4012_401_Upu_value;NETWORK_B12___21_Upu_value;NETWORK_BG01__11_Upu_value;NETWORK_BG10__11_Upu_value;NETWORK_1013_131_Upu_value;NETWORK_B13___21_Upu_value;NETWORK_BG02__11_Upu_value;NETWORK_1014_131_Upu_value;NETWORK_BG03__11_Upu_value;NETWORK_1021_131_Upu_value;NETWORK_BG04__11_Upu_value;NETWORK_1022_131_Upu_value;NETWORK_4022_401_Upu_value;NETWORK_B22___21_Upu_value;NETWORK_BG05__11_Upu_value;NETWORK_1041_131_Upu_value;NETWORK_B01___21_Upu_value;NETWORK_1042_131_Upu_value;NETWORK_B02___21_Upu_value;NETWORK_BG06__11_Upu_value;NETWORK_1043_131_Upu_value;NETWORK_B03___21_Upu_value;NETWORK_BG07__11_Upu_value;NETWORK_1044_131_Upu_value;NETWORK_4044_401_Upu_value;NETWORK_B04___21_Upu_value;NETWORK_1045_131_Upu_value;NETWORK_4045_401_Upu_value;NETWORK_B05___21_Upu_value;NETWORK_2031_221_Upu_value;NETWORK_4031_401_Upu_value;NETWORK_B31___21_Upu_value;NETWORK_BG12__11_Upu_value;NETWORK_2032_221_Upu_value;NETWORK_B32___21_Upu_value;NETWORK_BG08__11_Upu_value;NETWORK_4021_401_Upu_value;NETWORK_BG11__11_Upu_value;NETWORK_4032_401_Upu_value;NETWORK_4041_401_Upu_value;NETWORK_B41___21_Upu_value;NETWORK_BG13__11_Upu_value;NETWORK_4042_401_Upu_value;NETWORK_B42___21_Upu_value;NETWORK_BG14__11_Upu_value;NETWORK_4043_401_Upu_value;NETWORK_B43___21_Upu_value;NETWORK_4046_401_Upu_value;NETWORK_B46___21_Upu_value;NETWORK_4047_401_Upu_value;NETWORK_B47___21_Upu_value;NETWORK_BG15__11_Upu_value;NETWORK_4051_401_Upu_value;NETWORK_B51___21_Upu_value;NETWORK_BG16__11_Upu_value;NETWORK_4061_401_Upu_value;NETWORK_B61___21_Upu_value;NETWORK_4062_401_Upu_value;NETWORK_B62___21_Upu_value;NETWORK_BG17__11_Upu_value;NETWORK_4063_401_Upu_value;NETWORK_B63___21_Upu_value;NETWORK_BG18__11_Upu_value;NETWORK_4071_401_Upu_value;NETWORK_B71___21_Upu_value;NETWORK_BG19__11_Upu_value;NETWORK_4072_401_Upu_value;NETWORK_B72___21_Upu_value;NETWORK_BG20__11_Upu_value;OmegaRef_omegaRef_0_value;OmegaRef_omegaRef_1_value;g01_generator_omegaPu;g06_generator_omegaPu;g15_generator_omegaPu;g20_generator_omegaPu;
0.000000;1.061776;1.022448;1.002565;0.998795;1.063385;1.023549;0.997505;1.068398;1.015698;1.054809;0.995721;1.056495;1.061113;1.059496;1.031062;1.033860;1.051232;0.994687;0.995213;1.029372;1.012455;0.998853;1.014565;1.001256;1.008473;1.027481;0.997456;1.014126;1.006634;1.039503;0.999690;1.011103;1.053378;0.996131;1.027901;1.036690;1.004205;1.019997;1.069481;0.997778;1.049821;1.048852;1.021100;1.048679;1.050625;0.996764;1.017015;1.042892;0.995268;1.045451;1.037022;1.001336;1.035770;0.999084;1.059099;0.995008;1.045547;1.065978;0.997807;1.053143;1.038712;0.994892;1.056026;1.000212;1.009197;1.053548;0.999194;1.030693;1.048462;1.002775;1.030017;1.059034;0.997429;1.018527;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
2.000000;1.061782;1.022453;1.002571;0.998805;1.063394;1.023555;0.997513;1.068409;1.015709;1.054819;0.995730;1.056507;1.061123;1.059508;1.031082;1.033883;1.051236;0.994688;0.995217;1.029382;1.012465;0.998863;1.014577;1.001268;1.008485;1.027491;0.997465;1.014138;1.006641;1.039510;0.999697;1.011113;1.053388;0.996141;1.027903;1.036691;1.004207;1.020006;1.069490;0.997786;1.049832;1.048853;1.021110;1.048680;1.050629;0.996767;1.017018;1.042897;0.995274;1.045461;1.037030;1.001343;1.035779;0.999093;1.059109;0.995018;1.045559;1.065989;0.997817;1.053155;1.038728;0.994907;1.056048;1.000232;1.009221;1.053572;0.999216;1.030717;1.048464;1.002777;1.030017;1.059034;0.997430;1.018528;1.000003;1.000000;1.000003;1.000002;1.000002;1.000003;
2.000000;1.112737;1.070540;1.050796;1.031601;1.107667;1.068698;1.039143;1.099287;1.047264;1.088660;1.027752;1.078588;1.092445;1.081580;1.083133;1.068544;1.130337;1.064172;1.070281;1.080721;1.077446;1.063126;1.040691;1.027116;1.017717;1.091035;1.059341;1.039772;1.079127;1.116898;1.071871;1.072310;1.117157;1.056587;1.090649;1.137715;1.065651;1.035735;1.058229;0.987254;1.030286;1.163460;1.039412;1.155603;1.144116;1.085674;1.071458;1.124311;1.073156;1.074404;1.102560;1.064768;1.090486;1.051989;1.098776;1.032374;1.058937;1.108599;1.037799;1.070003;1.079556;1.034110;1.074596;1.017843;1.013302;1.061246;1.006512;1.031057;1.068457;1.021945;1.043954;1.067129;1.005073;1.023939;1.000003;1.000002;1.000003;1.000002;1.000002;1.000003;
4.000000;1.315942;1.261478;1.243076;1.240597;1.314271;1.260145;1.233370;1.314639;1.256061;1.304243;1.231705;1.301492;1.309997;1.305510;1.473103;1.491949;1.379294;1.284717;1.306470;1.293763;0.833350;0.821674;0.852944;0.841242;0.861439;0.859881;0.834197;0.864390;0.858889;0.891418;0.852538;0.829140;0.865174;0.816343;0.911494;0.940574;0.890191;0.894336;0.924384;0.862048;0.914932;0.977466;0.900780;0.953326;0.910986;0.863931;0.934131;0.921996;0.879590;0.910239;0.893916;0.862794;0.888014;0.856185;0.906273;0.851050;0.901614;0.889496;0.832168;0.903683;0.715402;0.684276;0.692457;0.654801;0.707556;0.702683;0.665431;0.739353;1.126499;1.077586;1.053975;1.080511;1.017707;1.029115;1.050869;0.973796;1.050990;0.973676;0.973519;1.050721;
5.000000;1.214790;1.166745;1.147369;1.133563;1.210490;1.165336;1.135815;1.203516;1.150239;1.195792;1.129114;1.188440;1.200577;1.192758;1.510295;1.558195;1.298622;1.202068;1.229944;1.184360;0.917072;0.904509;0.898190;0.886048;0.892199;0.936443;0.908790;0.908264;0.934547;0.970210;0.927901;0.917418;0.957603;0.903580;0.977074;1.013505;0.954427;0.927471;0.962420;0.897633;0.940400;1.036053;0.927891;1.025009;1.010231;0.958345;0.999944;0.985747;0.940595;0.944267;0.959343;0.926141;0.947692;0.913909;0.957433;0.899249;0.933735;0.959934;0.898289;0.944993;0.904284;0.865791;0.898313;0.850439;0.881679;0.900111;0.853295;0.902508;1.085931;1.038697;1.037578;1.068295;1.006173;1.024454;1.069415;0.950883;1.069645;0.951357;0.951347;1.069249;
6.000000;1.176217;1.128313;1.110870;1.103613;1.174514;1.127105;1.101993;1.174798;1.120420;1.164941;1.099927;1.162076;1.170652;1.166554;1.213437;1.217527;1.184308;1.119560;1.121492;1.062689;0.919776;0.907183;0.900761;0.888594;0.894691;0.937819;0.910129;0.905466;0.936294;0.972026;0.929641;0.922366;0.962954;0.908469;0.971318;1.010678;0.948789;0.921077;0.956942;0.892509;0.938947;1.032587;0.922426;1.022722;1.013871;0.961806;0.998849;0.984548;0.939448;0.940177;0.959648;0.926437;0.947838;0.914051;0.957404;0.899221;0.933659;0.962144;0.900363;0.943696;0.927447;0.888040;0.924895;0.875688;0.901325;0.925475;0.877417;0.921926;1.071085;1.024464;1.035815;1.064722;1.002800;1.023823;1.080680;0.927833;1.080698;0.927875;0.927901;1.080576;
7.000000;1.168076;1.119781;1.103166;1.100103;1.167707;1.118641;1.095593;1.171722;1.116871;1.160225;1.095465;1.159365;1.166323;1.163760;0.948012;0.901136;1.139768;1.089681;1.079231;1.101948;0.915813;0.903263;0.900624;0.888459;0.895352;0.934038;0.906447;0.902984;0.932496;0.967939;0.925858;0.918491;0.958863;0.904640;0.965614;1.005237;0.943202;0.917840;0.953912;0.889674;0.938258;1.027550;0.918621;1.017540;1.008091;0.956308;0.992480;0.980593;0.935663;0.937553;0.956445;0.923335;0.945266;0.911563;0.955691;0.897608;0.933320;0.958941;0.897357;0.941530;0.921927;0.882738;0.919620;0.870678;0.896631;0.920740;0.872914;0.918025;1.068546;1.022030;1.036591;1.063988;1.002107;1.023452;1.085287;0.905161;1.085210;0.905108;0.905121;1.085233;
8.000000;1.176093;1.128386;1.110753;1.102815;1.174120;1.127113;1.101622;1.173702;1.119536;1.163628;1.098684;1.160127;1.169069;1.164242;1.112281;1.091837;1.187000;1.121196;1.124046;1.138947;0.914365;0.901831;0.900354;0.888191;0.895348;0.932700;0.905143;0.902470;0.931023;0.966350;0.924392;0.916992;0.957279;0.903159;0.963300;1.003053;0.940936;0.916891;0.952344;0.888207;0.937460;1.025717;0.917451;1.015517;1.005517;0.953860;0.988790;0.979153;0.934285;0.936845;0.955235;0.922164;0.944298;0.910627;0.955054;0.897007;0.933206;0.957794;0.896280;0.940880;0.919640;0.880541;0.917573;0.868733;0.895098;0.918966;0.871226;0.916674;1.072273;1.025603;1.037654;1.064520;1.002609;1.023073;1.084644;0.882261;1.084672;0.882249;0.882245;1.084719;
10.000000;1.175642;1.128123;1.110326;1.100792;1.173197;1.126791;1.100754;1.171529;1.117473;1.162249;1.097380;1.158200;1.167526;1.162307;1.148750;1.134825;1.194494;1.125530;1.131156;1.139521;0.912272;0.899760;0.899210;0.887059;0.894614;0.930715;0.903210;0.901720;0.928763;0.963948;0.922141;0.914916;0.955115;0.901107;0.959477;0.999555;0.937191;0.914709;0.948636;0.884738;0.934481;1.022985;0.915530;1.012364;1.001677;0.950208;0.982295;0.976927;0.932156;0.935724;0.953157;0.920152;0.942422;0.908813;0.953473;0.895519;0.932266;0.956041;0.894635;0.939680;0.917524;0.878509;0.916109;0.867343;0.894229;0.917713;0.870035;0.915585;1.072083;1.025421;1.036147;1.063489;1.001635;1.021700;1.073255;0.834561;1.073246;0.834568;0.834558;1.073278;
12.000000;1.174619;1.127145;1.109358;1.099554;1.172071;1.125781;1.099696;1.170160;1.116176;1.161086;1.096279;1.156949;1.166321;1.161062;1.149531;1.136025;1.193445;1.124526;1.130161;1.137224;0.908287;0.895818;0.896659;0.884531;0.892723;0.926914;0.899506;0.899727;0.924682;0.959660;0.918075;0.911017;0.951067;0.897255;0.953584;0.994020;0.931419;0.911070;0.942917;0.879386;0.929712;1.018522;0.912413;1.007240;0.995646;0.944470;0.973225;0.972946;0.928345;0.933325;0.949289;0.916407;0.938798;0.905306;0.950217;0.892451;0.929929;0.952580;0.891385;0.937099;0.913565;0.874705;0.913024;0.864412;0.892248;0.914979;0.867433;0.913234;1.071622;1.024979;1.035152;1.062743;1.000931;1.020805;1.058371;0.784963;1.058358;0.784972;0.784960;1.058382;
