time;EmtBrk_circuit_iLoadA;EmtBrk_circuit_iLoadB;EmtBrk_circuit_iLoadC;EmtBrk_circuit_vBreakerA;EmtBrk_circuit_vBreakerB;EmtBrk_circuit_vBreakerC;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;0.034919;-0.017436;-0.017483;0.000000;-0.000000;-0.000000;
0.000020;0.068975;-0.034369;-0.034606;0.000001;-0.000000;-0.000000;
0.000030;0.102190;-0.050790;-0.051400;0.000001;-0.000001;-0.000001;
0.000040;0.134584;-0.066709;-0.067875;0.000001;-0.000001;-0.000001;
0.000050;0.166177;-0.082140;-0.084037;0.000002;-0.000001;-0.000001;
0.000060;0.196989;-0.097094;-0.099894;0.000002;-0.000001;-0.000001;
0.000070;0.227037;-0.111583;-0.115454;0.000002;-0.000001;-0.000001;
0.000080;0.256342;-0.125618;-0.130723;0.000003;-0.000001;-0.000001;
0.000090;0.284920;-0.139211;-0.145709;0.000003;-0.000001;-0.000001;
0.000100;0.312790;-0.152371;-0.160419;0.000003;-0.000002;-0.000002;
0.000110;0.339968;-0.165109;-0.174859;0.000003;-0.000002;-0.000002;
0.000120;0.366472;-0.177437;-0.189035;0.000004;-0.000002;-0.000002;
0.000130;0.392317;-0.189363;-0.202954;0.000004;-0.000002;-0.000002;
0.000140;0.417520;-0.200897;-0.216622;0.000004;-0.000002;-0.000002;
0.000150;0.442095;-0.212050;-0.230046;0.000004;-0.000002;-0.000002;
0.000160;0.466059;-0.222829;-0.243230;0.000005;-0.000002;-0.000002;
0.000170;0.489426;-0.233245;-0.256181;0.000005;-0.000002;-0.000003;
0.000180;0.512211;-0.243306;-0.268904;0.000005;-0.000002;-0.000003;
0.000190;0.534426;-0.253021;-0.281405;0.000005;-0.000003;-0.000003;
0.000200;0.556087;-0.262398;-0.293689;0.000006;-0.000003;-0.000003;
0.000210;0.577206;-0.271445;-0.305761;0.000006;-0.000003;-0.000003;
0.000220;0.597797;-0.280170;-0.317627;0.000006;-0.000003;-0.000003;
0.000230;0.617872;-0.288582;-0.329290;0.000006;-0.000003;-0.000003;
0.000240;0.637443;-0.296687;-0.340757;0.000006;-0.000003;-0.000003;
0.000250;0.656523;-0.304493;-0.352030;0.000007;-0.000003;-0.000004;
0.000260;0.675124;-0.312008;-0.363116;0.000007;-0.000003;-0.000004;
