time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.000000;1.000000;0.920000;0.600000;1.270560;1.277499;
0.000020;1.000000;0.919989;0.600263;1.270565;1.277500;
0.000040;1.000000;0.919968;0.600786;1.270575;1.277501;
0.000060;1.000000;0.919942;0.601213;1.270573;1.277501;
0.000080;1.000000;0.919909;0.601615;1.270550;1.277502;
0.000100;1.000000;0.919866;0.601964;1.270500;1.277501;
0.000120;1.000000;0.919810;0.602257;1.270416;1.277499;
0.000140;1.000000;0.919738;0.602491;1.270289;1.277495;
0.000160;1.000000;0.919648;0.602664;1.270112;1.277487;
0.000180;1.000000;0.919537;0.602774;1.269879;1.277475;
0.000200;1.000000;0.919403;0.602820;1.269582;1.277455;
0.000220;1.000000;0.919243;0.602803;1.269213;1.277427;
0.000240;1.000000;0.919055;0.602721;1.268768;1.277387;
0.000260;1.000000;0.918838;0.602576;1.268240;1.277333;
0.000280;1.000000;0.918589;0.602369;1.267622;1.277262;
0.000300;1.000000;0.918307;0.602103;1.266911;1.277171;
0.000320;1.000000;0.917993;0.601778;1.266100;1.277055;
0.000340;1.000000;0.917644;0.601399;1.265186;1.276909;
0.000360;1.000000;0.917261;0.600970;1.264164;1.276731;
0.000380;1.000000;0.916844;0.600494;1.263032;1.276514;
0.000400;1.000000;0.916395;0.599976;1.261786;1.276253;
0.000420;1.000000;0.915912;0.599422;1.260423;1.275943;
0.000440;1.000000;0.915400;0.598838;1.258942;1.275578;
0.000460;1.000000;0.914858;0.598229;1.257341;1.275152;
0.000480;1.000000;0.914290;0.597603;1.255619;1.274658;
0.000500;1.000000;0.913699;0.596966;1.253776;1.274090;
0.000520;1.000000;0.913088;0.596325;1.251810;1.273441;
0.000540;1.000000;0.912459;0.595688;1.249723;1.272705;
0.000560;1.000000;0.911818;0.595063;1.247515;1.271874;
0.000580;1.000000;0.911169;0.594457;1.245186;1.270943;
0.000600;1.000000;0.910517;0.593879;1.242738;1.269903;
0.000620;1.000000;0.909866;0.593335;1.240173;1.268748;
0.000640;1.000000;0.909222;0.592834;1.237492;1.267472;
0.000660;1.000000;0.908590;0.592384;1.234698;1.266069;
