time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.000000;1.000000;0.920000;0.600000;1.271127;1.285957;
0.000020;1.000000;0.920023;0.600350;1.268222;1.285929;
0.000040;1.000000;0.920112;0.600591;1.265312;1.285839;
0.000060;1.000000;0.920256;0.600858;1.262380;1.285675;
0.000080;1.000000;0.920451;0.601145;1.259440;1.285424;
0.000100;1.000000;0.920689;0.601443;1.256504;1.285077;
0.000120;1.000000;0.920961;0.601744;1.253583;1.284622;
0.000140;1.000000;0.921257;0.602041;1.250688;1.284050;
0.000160;1.000000;0.921567;0.602324;1.247829;1.283351;
0.000180;1.000000;0.921878;0.602587;1.245015;1.282518;
0.000200;1.000000;0.922179;0.602821;1.242253;1.281542;
0.000220;1.000000;0.922457;0.603020;1.239552;1.280418;
0.000240;1.000000;0.922701;0.603176;1.236916;1.279140;
0.000260;1.000000;0.922900;0.603285;1.234350;1.277704;
0.000280;1.000000;0.923042;0.603339;1.231857;1.276108;
0.000300;1.000000;0.923119;0.603336;1.229438;1.274348;
0.000320;1.000000;0.923122;0.603270;1.227095;1.272425;
0.000340;1.000000;0.923044;0.603138;1.224826;1.270339;
0.000360;1.000000;0.922879;0.602938;1.222629;1.268093;
0.000380;1.000000;0.922623;0.602667;1.220500;1.265688;
0.000400;1.000000;0.922275;0.602325;1.218434;1.263131;
0.000420;1.000000;0.921831;0.601911;1.216424;1.260425;
0.000440;1.000000;0.921295;0.601425;1.214464;1.257578;
0.000460;1.000000;0.920666;0.600869;1.212544;1.254597;
0.000480;1.000000;0.919949;0.600244;1.210655;1.251490;
0.000500;1.000000;0.919148;0.599553;1.208786;1.248266;
0.000520;1.000000;0.918269;0.598800;1.206926;1.244935;
0.000540;1.000000;0.917317;0.597988;1.205063;1.241508;
0.000560;1.000000;0.916300;0.597124;1.203185;1.237995;
0.000580;1.000000;0.915227;0.596214;1.201278;1.234408;
0.000600;1.000000;0.914104;0.595263;1.199329;1.230759;
0.000620;1.000000;0.912942;0.594281;1.197325;1.227059;
0.000640;1.000000;0.911749;0.593276;1.195253;1.223319;
0.000660;1.000000;0.910535;0.592258;1.193099;1.219551;
0.000680;1.000000;0.909309;0.591238;1.190850;1.215767;
0.000700;1.000000;0.908080;0.590226;1.188495;1.211977;
0.000720;1.000000;0.906860;0.589236;1.186022;1.208192;
0.000740;1.000000;0.905657;0.588279;1.183419;1.204420;
0.000760;1.000000;0.904483;0.587369;1.180677;1.200672;
0.000780;1.000000;0.903347;0.586520;1.177787;1.196955;
0.000800;1.000000;0.902261;0.585745;1.174740;1.193277;
0.000820;1.000000;0.901235;0.585058;1.171530;1.189643;
0.000840;1.000000;0.900281;0.584473;1.168151;1.186058;
0.000860;1.000000;0.899410;0.584002;1.164598;1.182528;
0.000880;1.000000;0.898633;0.583658;1.160871;1.179054;
0.000900;1.000000;0.897963;0.583453;1.156965;1.175638;
0.000920;1.000000;0.897410;0.583396;1.152883;1.172281;
0.000940;1.000000;0.896988;0.583496;1.148624;1.168982;
0.000960;1.000000;0.896706;0.583761;1.144192;1.165739;
0.000980;1.000000;0.896576;0.584196;1.139592;1.162549;
0.001000;1.000000;0.896607;0.584804;1.134828;1.159407;
0.001020;1.000000;0.896809;0.585587;1.129908;1.156309;
0.001040;1.000000;0.897190;0.586543;1.124840;1.153247;
0.001060;1.000000;0.897755;0.587670;1.119632;1.150215;
0.001080;1.000000;0.898509;0.588961;1.114296;1.147204;
0.001100;1.000000;0.899454;0.590409;1.108843;1.144205;
0.001120;1.000000;0.900590;0.592002;1.103284;1.141209;
0.001140;1.000000;0.901915;0.593730;1.097633;1.138205;
0.001160;1.000000;0.903423;0.595576;1.091902;1.135183;
0.001180;1.000000;0.905107;0.597526;1.086106;1.132132;
0.001200;1.000000;0.906956;0.599560;1.080258;1.129041;
0.001220;1.000000;0.908955;0.601659;1.074372;1.125898;
0.001240;1.000000;0.911090;0.603804;1.068463;1.122692;
0.001260;1.000000;0.913341;0.605972;1.062544;1.119413;
0.001280;1.000000;0.915687;0.608141;1.056628;1.116049;
0.001300;1.000000;0.918106;0.610290;1.050729;1.112592;
0.001320;1.000000;0.920572;0.612397;1.044859;1.109030;
0.001340;1.000000;0.923059;0.614439;1.039030;1.105355;
0.001360;1.000000;0.925540;0.616397;1.033252;1.101560;
0.001380;1.000000;0.927988;0.618251;1.027536;1.097635;
0.001400;1.000000;0.930376;0.619982;1.021889;1.093577;
0.001420;1.000000;0.932675;0.621572;1.016319;1.089378;
0.001440;1.000000;0.934860;0.623008;1.010833;1.085035;
0.001460;0.999999;0.936906;0.624275;1.005435;1.080546;
0.001480;0.999999;0.938790;0.625362;1.000129;1.075907;
0.001500;0.999999;0.940489;0.626260;0.994917;1.071118;
0.001520;0.999999;0.941985;0.626962;0.989800;1.066181;
0.001540;0.999999;0.943262;0.627462;0.984776;1.061097;
0.001560;0.999999;0.944306;0.627760;0.979845;1.055869;
0.001580;0.999999;0.945107;0.627853;0.975001;1.050501;
0.001600;0.999999;0.945657;0.627744;0.970241;1.044999;
0.001620;0.999999;0.945951;0.627438;0.965558;1.039370;
0.001640;0.999999;0.945989;0.626940;0.960944;1.033620;
0.001660;0.999999;0.945774;0.626257;0.956392;1.027758;
0.001680;0.999999;0.945310;0.625401;0.951891;1.021795;
0.001700;0.999999;0.944606;0.624382;0.947431;1.015739;
0.001720;0.999999;0.943673;0.623213;0.943002;1.009601;
0.001740;0.999999;0.942525;0.621909;0.938590;1.003394;
0.001760;0.999999;0.941179;0.620486;0.934184;0.997128;
0.001780;0.999999;0.939652;0.618960;0.929771;0.990816;
0.001800;0.999999;0.937966;0.617348;0.925337;0.984470;
0.001820;0.999999;0.936142;0.615670;0.920870;0.978103;
0.001840;0.999999;0.934205;0.613944;0.916356;0.971725;
0.001860;0.999999;0.932179;0.612191;0.911782;0.965350;
0.001880;0.999999;0.930089;0.610429;0.907136;0.958988;
0.001900;0.999999;0.927963;0.608678;0.902405;0.952651;
0.001920;0.999999;0.925825;0.606960;0.897578;0.946350;
0.001940;0.999999;0.923704;0.605293;0.892644;0.940094;
0.001960;0.999999;0.921625;0.603696;0.887594;0.933892;
0.001980;0.999999;0.919615;0.602189;0.882417;0.927752;
0.002000;0.999999;0.917699;0.600789;0.877106;0.921682;
0.002020;0.999999;0.915901;0.599513;0.871654;0.915686;
0.002040;0.999999;0.914245;0.598376;0.866056;0.909770;
0.002060;0.999999;0.912753;0.597394;0.860308;0.903939;
0.002080;0.999999;0.911446;0.596578;0.854406;0.898192;
0.002100;0.999999;0.910343;0.595940;0.848348;0.892533;
0.002120;0.999999;0.909461;0.595488;0.842135;0.886961;
0.002140;0.999999;0.908816;0.595231;0.835767;0.881475;
0.002160;0.999999;0.908419;0.595172;0.829247;0.876071;
0.002180;0.999999;0.908283;0.595314;0.822578;0.870746;
0.002200;0.999999;0.908414;0.595657;0.815766;0.865494;
0.002220;0.999999;0.908817;0.596198;0.808817;0.860310;
0.002240;0.999999;0.909496;0.596932;0.801739;0.855186;
0.002260;0.999999;0.910448;0.597851;0.794539;0.850113;
0.002280;0.999999;0.911671;0.598945;0.787228;0.845083;
0.002300;0.999999;0.913156;0.600201;0.779815;0.840085;
0.002320;0.999999;0.914893;0.601604;0.772312;0.835108;
0.002340;0.999999;0.916868;0.603136;0.764730;0.830142;
0.002360;0.999999;0.919064;0.604779;0.757081;0.825173;
0.002380;0.999999;0.921461;0.606510;0.749378;0.820191;
0.002400;0.999999;0.924036;0.608307;0.741633;0.815183;
0.002420;0.999999;0.926761;0.610147;0.733860;0.810135;
0.002440;0.999999;0.929610;0.612002;0.726070;0.805036;
0.002460;0.999999;0.932551;0.613849;0.718278;0.799874;
0.002480;0.999999;0.935551;0.615661;0.710493;0.794636;
0.002500;0.999999;0.938575;0.617411;0.702730;0.789311;
0.002520;0.999999;0.941589;0.619073;0.694997;0.783888;
0.002540;0.999999;0.944554;0.620623;0.687307;0.778357;
0.002560;0.999999;0.947436;0.622037;0.679668;0.772708;
0.002580;0.999999;0.950198;0.623291;0.672090;0.766932;
0.002600;0.999999;0.952803;0.624365;0.664580;0.761022;
0.002620;0.999999;0.955217;0.625240;0.657144;0.754972;
0.002640;0.999999;0.957407;0.625897;0.649788;0.748775;
0.002660;0.999999;0.959341;0.626323;0.642516;0.742427;
0.002680;0.999999;0.960991;0.626506;0.635331;0.735926;
0.002700;0.999999;0.962330;0.626436;0.628235;0.729270;
