time;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_generator_omegaPu;GEN_generator_Te;
0.000000;0.914289;1.050440;0.602724;1.000000;0.602724;
0.000020;0.914286;1.050504;0.602724;1.000000;0.602722;
0.000040;0.914279;1.050651;0.602724;1.000000;0.602718;
0.000060;0.914274;1.050750;0.602724;1.000000;0.602715;
0.000080;0.914270;1.050821;0.602724;1.000000;0.602712;
0.000100;0.914268;1.050862;0.602724;1.000000;0.602709;
0.000120;0.914267;1.050877;0.602724;1.000000;0.602705;
0.000140;0.914268;1.050868;0.602724;1.000000;0.602702;
0.000160;0.914269;1.050838;0.602724;1.000000;0.602698;
0.000180;0.914272;1.050791;0.602724;1.000000;0.602694;
0.000200;0.914275;1.050716;0.602724;1.000000;0.602690;
0.000220;0.914263;1.050959;0.602724;1.000000;0.602685;
0.000240;0.914250;1.051229;0.602724;1.000000;0.602681;
0.000260;0.914235;1.051529;0.602724;1.000000;0.602677;
0.000280;0.914218;1.051860;0.602724;1.000000;0.602674;
0.000300;0.914200;1.052225;0.602724;1.000000;0.602671;
0.000320;0.914180;1.052626;0.602724;1.000000;0.602668;
0.000340;0.914158;1.053066;0.602724;1.000000;0.602666;
0.000360;0.914134;1.053547;0.602724;1.000000;0.602665;
0.000380;0.914108;1.054071;0.602724;1.000000;0.602664;
0.000400;0.914079;1.054642;0.602724;1.000000;0.602664;
0.000420;0.914048;1.055261;0.602724;1.000000;0.602665;
0.000440;0.914015;1.055929;0.602724;1.000000;0.602667;
0.000460;0.913979;1.056647;0.602724;1.000000;0.602670;
0.000480;0.913940;1.057415;0.602724;1.000000;0.602674;
0.000500;0.913900;1.058230;0.602724;1.000000;0.602680;
0.000520;0.913857;1.059092;0.602724;1.000000;0.602687;
0.000540;0.913811;1.059996;0.602724;1.000000;0.602695;
0.000560;0.913764;1.060937;0.602724;1.000000;0.602704;
0.000580;0.913716;1.061910;0.602724;1.000000;0.602716;
0.000600;0.913666;1.062906;0.602724;1.000000;0.602729;
0.000620;0.913615;1.063917;0.602724;1.000000;0.602743;
0.000640;0.913565;1.064933;0.602724;1.000000;0.602759;
0.000660;0.913514;1.065943;0.602724;1.000000;0.602777;
0.000680;0.913464;1.066937;0.602724;1.000000;0.602797;
0.000700;0.913416;1.067900;0.602724;1.000000;0.602819;
0.000720;0.913370;1.068822;0.602724;1.000000;0.602842;
0.000740;0.913327;1.069689;0.602724;1.000000;0.602867;
0.000760;0.913287;1.070488;0.602724;1.000000;0.602893;
0.000780;0.913251;1.071209;0.602724;1.000000;0.602921;
