time;GEN_generator_omegaPu;GEN_generator_dtheta;GEN_generator_UStatorPu;GEN_generator_PGenPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_pss_VPssPu;
0.000000;1.000000;1.919776;0.914289;0.601993;1.051265;0.602724;0.000000;
0.000020;1.000000;1.919776;0.914286;0.601919;1.051584;0.602724;0.000000;
0.000040;1.000000;1.919776;0.914279;0.601950;1.052316;0.602724;0.000000;
0.000060;1.000000;1.919776;0.914274;0.601982;1.052815;0.602724;0.000000;
0.000080;1.000000;1.919776;0.914270;0.602015;1.053165;0.602724;0.000000;
0.000100;1.000000;1.919776;0.914268;0.602048;1.053374;0.602724;0.000000;
0.000120;1.000000;1.919776;0.914267;0.602082;1.053449;0.602724;0.000000;
0.000140;1.000000;1.919776;0.914268;0.602115;1.053403;0.602724;0.000000;
0.000160;1.000000;1.919776;0.914269;0.602148;1.053252;0.602724;0.000000;
0.000180;1.000000;1.919776;0.914272;0.602181;1.053016;0.602724;0.000000;
0.000200;1.000000;1.919776;0.914275;0.601995;1.052640;0.602724;0.000000;
0.000220;1.000000;1.919776;0.914263;0.601992;1.053855;0.602724;0.000000;
0.000240;1.000000;1.919776;0.914250;0.601988;1.055207;0.602724;0.000000;
0.000260;1.000000;1.919776;0.914235;0.601982;1.056706;0.602724;0.000000;
0.000280;1.000000;1.919776;0.914218;0.601976;1.058361;0.602724;0.000000;
0.000300;1.000000;1.919776;0.914200;0.601968;1.060184;0.602724;0.000000;
0.000320;1.000000;1.919776;0.914180;0.601960;1.062188;0.602724;0.000000;
0.000340;1.000000;1.919776;0.914158;0.601950;1.064385;0.602724;0.000000;
0.000360;1.000000;1.919776;0.914134;0.601938;1.066788;0.602724;0.000000;
0.000380;1.000000;1.919776;0.914108;0.601926;1.069411;0.602724;0.000000;
0.000400;1.000000;1.919776;0.914079;0.601913;1.072263;0.602724;0.000000;
0.000420;1.000000;1.919776;0.914048;0.601898;1.075355;0.602724;0.000000;
0.000440;1.000000;1.919776;0.914015;0.601882;1.078693;0.602724;0.000000;
0.000460;1.000000;1.919776;0.913979;0.601866;1.082281;0.602724;0.000000;
0.000480;1.000000;1.919776;0.913941;0.601848;1.086115;0.602724;0.000000;
0.000500;1.000000;1.919776;0.913900;0.601829;1.090191;0.602724;0.000000;
0.000520;1.000000;1.919776;0.913857;0.601809;1.094495;0.602724;0.000000;
0.000540;1.000000;1.919776;0.913812;0.601789;1.099010;0.602724;0.000000;
0.000560;1.000000;1.919776;0.913765;0.601769;1.103710;0.602724;0.000000;
0.000580;1.000000;1.919776;0.913716;0.601748;1.108566;0.602724;0.000000;
0.000600;1.000000;1.919776;0.913667;0.601727;1.113540;0.602724;0.000000;
0.000620;1.000000;1.919776;0.913616;0.601706;1.118587;0.602724;0.000000;
0.000640;1.000000;1.919776;0.913565;0.601686;1.123660;0.602724;0.000000;
0.000660;1.000000;1.919776;0.913515;0.601667;1.128703;0.602724;0.000000;
0.000680;1.000000;1.919776;0.913465;0.601649;1.133659;0.602724;0.000000;
0.000700;1.000000;1.919776;0.913417;0.601633;1.138467;0.602724;0.000000;
0.000720;1.000000;1.919776;0.913371;0.601619;1.143064;0.602724;0.000000;
0.000740;1.000000;1.919776;0.913328;0.601607;1.147386;0.602724;0.000000;
0.000760;1.000000;1.919776;0.913288;0.601599;1.151371;0.602724;0.000000;
0.000780;1.000000;1.919776;0.913253;0.601593;1.154958;0.602724;0.000000;
0.000800;1.000000;1.919776;0.913221;0.601591;1.158091;0.602724;0.000000;
0.000820;1.000000;1.919776;0.913195;0.601592;1.160717;0.602724;0.000000;
0.000840;1.000000;1.919776;0.913174;0.601598;1.162793;0.602724;0.000000;
0.000860;1.000000;1.919776;0.913160;0.601607;1.164279;0.602724;0.000000;
0.000880;1.000000;1.919776;0.913151;0.601621;1.165147;0.602724;0.000000;
0.000900;1.000000;1.919776;0.913149;0.601639;1.165376;0.602724;0.000000;
0.000920;1.000000;1.919776;0.913153;0.601662;1.164955;0.602724;0.000000;
0.000940;1.000000;1.919776;0.913164;0.601688;1.163886;0.602724;0.000000;
0.000960;1.000000;1.919776;0.913181;0.601719;1.162176;0.602724;0.000000;
0.000980;1.000000;1.919776;0.913204;0.601754;1.159847;0.602724;0.000000;
0.001000;1.000000;1.919776;0.913233;0.601792;1.156926;0.602724;0.000000;
0.001020;1.000000;1.919776;0.913268;0.601834;1.153453;0.602724;-0.000000;
0.001040;1.000000;1.919776;0.913308;0.601879;1.149471;0.602724;-0.000000;
0.001060;1.000000;1.919776;0.913353;0.601926;1.145031;0.602724;-0.000000;
0.001080;1.000000;1.919776;0.913401;0.601976;1.140190;0.602724;-0.000000;
0.001100;1.000000;1.919776;0.913453;0.602027;1.135006;0.602724;-0.000000;
0.001120;1.000000;1.919776;0.913508;0.602079;1.129538;0.602724;-0.000000;
0.001140;1.000000;1.919776;0.913565;0.602133;1.123846;0.602724;-0.000000;
0.001160;1.000000;1.919776;0.913623;0.602187;1.117987;0.602724;-0.000000;
0.001180;1.000000;1.919776;0.913683;0.602241;1.112013;0.602724;-0.000000;
0.001200;1.000000;1.919776;0.913743;0.602294;1.105971;0.602724;-0.000000;
0.001220;1.000000;1.919776;0.913804;0.602348;1.099902;0.602724;-0.000000;
0.001240;1.000000;1.919776;0.913865;0.602400;1.093836;0.602724;-0.000000;
0.001260;1.000000;1.919776;0.913925;0.602452;1.087796;0.602724;-0.000000;
0.001280;1.000000;1.919776;0.913985;0.602502;1.081795;0.602724;-0.000000;
0.001300;1.000000;1.919776;0.914045;0.602552;1.075834;0.602724;-0.000000;
0.001320;1.000000;1.919776;0.914104;0.602600;1.069908;0.602724;-0.000000;
0.001340;1.000000;1.919776;0.914163;0.602648;1.064000;0.602724;-0.000000;
0.001360;1.000000;1.919776;0.914222;0.602694;1.058085;0.602724;-0.000000;
0.001380;1.000000;1.919776;0.914282;0.602740;1.052130;0.602724;-0.000000;
0.001400;1.000000;1.919776;0.914342;0.602786;1.046098;0.602725;-0.000000;
0.001420;1.000000;1.919776;0.914404;0.602831;1.039947;0.602725;-0.000000;
0.001440;1.000000;1.919776;0.914467;0.602876;1.033634;0.602725;-0.000000;
0.001460;1.000000;1.919776;0.914532;0.602921;1.027114;0.602725;-0.000000;
0.001480;1.000000;1.919776;0.914600;0.602966;1.020346;0.602725;-0.000000;
0.001500;1.000000;1.919776;0.914670;0.603012;1.013293;0.602725;-0.000000;
0.001520;1.000000;1.919776;0.914744;0.603059;1.005925;0.602725;-0.000000;
0.001540;1.000000;1.919776;0.914821;0.603105;0.998220;0.602725;-0.000000;
0.001560;1.000000;1.919776;0.914901;0.603153;0.990167;0.602725;-0.000000;
0.001580;1.000000;1.919776;0.914985;0.603201;0.981767;0.602725;-0.000000;
0.001600;1.000000;1.919776;0.915073;0.603249;0.973034;0.602725;-0.000000;
0.001620;1.000000;1.919776;0.915163;0.603297;0.963996;0.602725;-0.000000;
0.001640;1.000000;1.919776;0.915256;0.603345;0.954697;0.602725;-0.000000;
0.001660;1.000000;1.919776;0.915351;0.603392;0.945193;0.602725;-0.000000;
0.001680;1.000000;1.919776;0.915447;0.603438;0.935557;0.602725;-0.000000;
0.001700;1.000000;1.919776;0.915544;0.603482;0.925874;0.602725;-0.000000;
0.001720;1.000000;1.919776;0.915640;0.603523;0.916240;0.602725;-0.000000;
0.001740;1.000000;1.919776;0.915735;0.603561;0.906764;0.602725;-0.000000;
0.001760;1.000000;1.919776;0.915827;0.603596;0.897559;0.602725;-0.000000;
0.001780;1.000000;1.919776;0.915915;0.603626;0.888748;0.602725;-0.000000;
0.001800;1.000000;1.919776;0.915998;0.603650;0.880454;0.602725;-0.000000;
0.001820;1.000000;1.919776;0.916074;0.603669;0.872802;0.602725;-0.000000;
0.001840;1.000000;1.919776;0.916143;0.603681;0.865913;0.602725;-0.000000;
0.001860;1.000000;1.919776;0.916203;0.603686;0.859902;0.602725;-0.000000;
0.001880;1.000000;1.919776;0.916253;0.603683;0.854876;0.602725;-0.000000;
0.001900;1.000000;1.919776;0.916293;0.603672;0.850931;0.602725;-0.000000;
0.001920;1.000000;1.919776;0.916320;0.603653;0.848147;0.602725;-0.000000;
0.001940;1.000000;1.919776;0.916336;0.603626;0.846589;0.602725;-0.000000;
0.001960;1.000000;1.919776;0.916339;0.603589;0.846304;0.602725;-0.000000;
0.001980;1.000000;1.919776;0.916328;0.603545;0.847320;0.602725;-0.000000;
