time;EmtFlt_circuit_iSrcA;EmtFlt_circuit_iSrcB;EmtFlt_circuit_iSrcC;EmtFlt_circuit_iFaultA;EmtFlt_circuit_vBusA;EmtFlt_circuit_vBusB;EmtFlt_circuit_vBusC;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;0.034472;-0.017213;-0.017259;0.000000;0.068944;-0.034425;-0.034519;
0.000020;0.067221;-0.033495;-0.033727;0.000000;0.134442;-0.066989;-0.067453;
0.000030;0.098333;-0.048869;-0.049465;0.000000;0.196666;-0.097738;-0.098929;
0.000040;0.127890;-0.063381;-0.064509;0.000000;0.255780;-0.126761;-0.129019;
0.000050;0.155969;-0.077073;-0.078896;0.000000;0.311937;-0.154146;-0.157791;
0.000060;0.182643;-0.089987;-0.092656;0.000000;0.365285;-0.179973;-0.185312;
0.000070;0.207982;-0.102160;-0.105822;0.000000;0.415963;-0.204320;-0.211643;
0.000080;0.232053;-0.113631;-0.118422;0.000000;0.464105;-0.227261;-0.236844;
0.000090;0.254918;-0.124433;-0.130485;0.000001;0.509836;-0.248865;-0.260970;
0.000100;0.276638;-0.134600;-0.142038;0.000001;0.553275;-0.269200;-0.284075;
0.000110;0.297270;-0.144164;-0.153106;0.000001;0.594538;-0.288328;-0.306211;
0.000120;0.316867;-0.153154;-0.163712;0.000001;0.633732;-0.306308;-0.327424;
0.000130;0.335480;-0.161600;-0.173880;0.000001;0.670959;-0.323199;-0.347760;
0.000140;0.353160;-0.169528;-0.183632;0.000001;0.706318;-0.339054;-0.367264;
0.000150;0.369951;-0.176963;-0.192988;0.000001;0.739901;-0.353925;-0.385975;
0.000160;0.385898;-0.183931;-0.201968;0.000001;0.771795;-0.367861;-0.403934;
0.000170;0.401044;-0.190454;-0.210590;0.000001;0.802086;-0.380907;-0.421178;
0.000180;0.415426;-0.196555;-0.218871;0.000001;0.830851;-0.393109;-0.437742;
0.000190;0.429084;-0.202254;-0.226830;0.000001;0.858167;-0.404508;-0.453660;
0.000200;0.442054;-0.207572;-0.234482;0.000001;0.884106;-0.415143;-0.468963;
0.000210;0.454368;-0.212527;-0.241841;0.000001;0.908735;-0.425053;-0.483682;
0.000220;0.466061;-0.217138;-0.248923;0.000001;0.932120;-0.434274;-0.497845;
0.000230;0.477162;-0.221420;-0.255741;0.000001;0.954321;-0.442840;-0.511481;
0.000240;0.487700;-0.225392;-0.262308;0.000001;0.975398;-0.450783;-0.524615;
0.000250;0.497704;-0.229067;-0.268636;0.000001;0.995405;-0.458134;-0.537272;
0.000260;0.507199;-0.232461;-0.274738;0.000001;1.014397;-0.464922;-0.549475;
0.000270;0.516212;-0.235588;-0.280624;0.000001;1.032421;-0.471175;-0.561246;
0.000280;0.524765;-0.238461;-0.286304;0.000001;1.049528;-0.476920;-0.572607;
0.000290;0.532881;-0.241092;-0.291790;0.000001;1.065760;-0.482182;-0.583578;
0.000300;0.540582;-0.243493;-0.297090;0.000001;1.081162;-0.486984;-0.594178;
0.000310;0.547888;-0.245675;-0.302213;0.000001;1.095775;-0.491350;-0.604425;
0.000320;0.554819;-0.247651;-0.307169;0.000001;1.109636;-0.495300;-0.614336;
0.000330;0.561393;-0.249428;-0.311965;0.000001;1.122784;-0.498856;-0.623928;
0.000340;0.567627;-0.251019;-0.316609;0.000001;1.135252;-0.502036;-0.633216;
0.000350;0.573539;-0.252430;-0.321108;0.000001;1.147075;-0.504859;-0.642216;
0.000360;0.579143;-0.253672;-0.325471;0.000001;1.158283;-0.507344;-0.650940;
0.000370;0.584455;-0.254753;-0.329702;0.000001;1.168908;-0.509505;-0.659403;
0.000380;0.589489;-0.255680;-0.333809;0.000001;1.178976;-0.511360;-0.667616;
0.000390;0.594259;-0.256462;-0.337797;0.000001;1.188516;-0.512923;-0.675593;
0.000400;0.598778;-0.257105;-0.341673;0.000001;1.197553;-0.514209;-0.683345;
0.000410;0.603057;-0.257616;-0.345441;0.000001;1.206112;-0.515231;-0.690882;
0.000420;0.607109;-0.258001;-0.349108;0.000001;1.214216;-0.516002;-0.698214;
0.000430;0.610944;-0.258268;-0.352677;0.000001;1.221886;-0.516534;-0.705352;
0.000440;0.614574;-0.258420;-0.356153;0.000001;1.229145;-0.516840;-0.712305;
0.000450;0.618007;-0.258465;-0.359541;0.000001;1.236011;-0.516929;-0.719081;
0.000460;0.621253;-0.258407;-0.362846;0.000001;1.242504;-0.516814;-0.725690;
0.000470;0.624322;-0.258252;-0.366070;0.000001;1.248641;-0.516503;-0.732138;
0.000480;0.627222;-0.258004;-0.369218;0.000001;1.254441;-0.516006;-0.738435;
0.000490;0.629960;-0.257667;-0.372293;0.000001;1.259918;-0.515333;-0.744585;
0.000500;0.632546;-0.257246;-0.375300;0.000001;1.265089;-0.514491;-0.750598;
