time;LL_circuit_vLoadA;LL_circuit_vLoadB;LL_circuit_vLoadC;LL_circuit_iLineA;LL_circuit_iLineB;LL_circuit_iLineC;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;0.055432;-0.027678;-0.027754;0.027716;-0.013839;-0.013877;
0.000020;0.108637;-0.054131;-0.054505;0.054318;-0.027066;-0.027253;
0.000030;0.159703;-0.079370;-0.080333;0.079852;-0.039685;-0.040166;
0.000040;0.208716;-0.103444;-0.105272;0.104358;-0.051722;-0.052636;
0.000050;0.255758;-0.126398;-0.129360;0.127879;-0.063199;-0.064680;
0.000060;0.300908;-0.148278;-0.152629;0.150454;-0.074140;-0.076315;
0.000070;0.344241;-0.169127;-0.175113;0.172121;-0.084564;-0.087557;
0.000080;0.385829;-0.188986;-0.196843;0.192915;-0.094494;-0.098422;
0.000090;0.425742;-0.207894;-0.217848;0.212872;-0.103948;-0.108924;
0.000100;0.464047;-0.225889;-0.238158;0.232024;-0.112945;-0.119079;
0.000110;0.500808;-0.243008;-0.257800;0.250405;-0.121505;-0.128900;
0.000120;0.536086;-0.259286;-0.276800;0.268044;-0.129644;-0.138400;
0.000130;0.569941;-0.274756;-0.295185;0.284971;-0.137379;-0.147593;
0.000140;0.602429;-0.289450;-0.312979;0.301215;-0.144726;-0.156490;
0.000150;0.633604;-0.303399;-0.330204;0.316803;-0.151700;-0.165102;
0.000160;0.663518;-0.316633;-0.346884;0.331760;-0.158318;-0.173443;
0.000170;0.692223;-0.329181;-0.363041;0.346112;-0.164592;-0.181521;
0.000180;0.719765;-0.341070;-0.378694;0.359883;-0.170536;-0.189348;
0.000190;0.746190;-0.352325;-0.393865;0.373096;-0.176164;-0.196933;
0.000200;0.771545;-0.362973;-0.408571;0.385773;-0.181488;-0.204286;
0.000210;0.795869;-0.373037;-0.422832;0.397936;-0.186520;-0.211416;
0.000220;0.819206;-0.382541;-0.436664;0.409604;-0.191272;-0.218333;
0.000230;0.841593;-0.391506;-0.450086;0.420798;-0.195754;-0.225043;
0.000240;0.863068;-0.399955;-0.463113;0.431535;-0.199979;-0.231557;
0.000250;0.883667;-0.407907;-0.475760;0.441835;-0.203955;-0.237880;
0.000260;0.903426;-0.415383;-0.488043;0.451714;-0.207693;-0.244022;
0.000270;0.922377;-0.422401;-0.499975;0.461190;-0.211202;-0.249988;
0.000280;0.940552;-0.428980;-0.511571;0.470277;-0.214491;-0.255786;
0.000290;0.957982;-0.435137;-0.522845;0.478992;-0.217570;-0.261423;
0.000300;0.974696;-0.440888;-0.533807;0.487349;-0.220445;-0.266904;
0.000310;0.990722;-0.446250;-0.544472;0.495362;-0.223126;-0.272236;
0.000320;1.006088;-0.451238;-0.554849;0.503045;-0.225620;-0.277425;
0.000330;1.020819;-0.455867;-0.564951;0.510411;-0.227935;-0.282476;
0.000340;1.034941;-0.460151;-0.574789;0.517472;-0.230077;-0.287395;
0.000350;1.048477;-0.464104;-0.584372;0.524240;-0.232054;-0.292187;
0.000360;1.061450;-0.467739;-0.593711;0.530726;-0.233871;-0.296856;
0.000370;1.073883;-0.471068;-0.602814;0.536943;-0.235536;-0.301408;
0.000380;1.085796;-0.474104;-0.611692;0.542900;-0.237053;-0.305846;
0.000390;1.097210;-0.476857;-0.620352;0.548607;-0.238430;-0.310177;
0.000400;1.108145;-0.479340;-0.628804;0.554074;-0.239672;-0.314403;
0.000410;1.118618;-0.481563;-0.637055;0.559311;-0.240783;-0.318528;
0.000420;1.128649;-0.483535;-0.645113;0.564326;-0.241769;-0.322557;
0.000430;1.138255;-0.485268;-0.652986;0.569129;-0.242636;-0.326494;
0.000440;1.147451;-0.486770;-0.660680;0.573727;-0.243387;-0.330341;
0.000450;1.156254;-0.488050;-0.668203;0.578128;-0.244027;-0.334102;
0.000460;1.164679;-0.489118;-0.675560;0.582341;-0.244560;-0.337781;
0.000470;1.172740;-0.489980;-0.682759;0.586372;-0.244992;-0.341380;
0.000480;1.180453;-0.490647;-0.689806;0.590228;-0.245325;-0.344903;
0.000490;1.187829;-0.491124;-0.696705;0.593916;-0.245564;-0.348353;
0.000500;1.194883;-0.491420;-0.703463;0.597443;-0.245712;-0.351732;
0.000510;1.201627;-0.491542;-0.710085;0.600815;-0.245773;-0.355043;
0.000520;1.208072;-0.491496;-0.716576;0.604038;-0.245750;-0.358289;
0.000530;1.214230;-0.491289;-0.722941;0.607117;-0.245646;-0.361471;
0.000540;1.220112;-0.490927;-0.729185;0.610058;-0.245465;-0.364593;
0.000550;1.225729;-0.490417;-0.735312;0.612866;-0.245210;-0.367657;
0.000560;1.231090;-0.489763;-0.741327;0.615547;-0.244883;-0.370664;
0.000570;1.236206;-0.488972;-0.747233;0.618105;-0.244488;-0.373617;
0.000580;1.241085;-0.488050;-0.753035;0.620544;-0.244026;-0.376518;
0.000590;1.245737;-0.487000;-0.758737;0.622870;-0.243502;-0.379369;
0.000600;1.250171;-0.485828;-0.764342;0.625087;-0.242916;-0.382172;
0.000610;1.254394;-0.484539;-0.769854;0.627199;-0.242271;-0.384928;
0.000620;1.258414;-0.483137;-0.775277;0.629209;-0.241570;-0.387639;
0.000630;1.262239;-0.481627;-0.780612;0.631121;-0.240815;-0.390307;
0.000640;1.265877;-0.480013;-0.785864;0.632940;-0.240008;-0.392933;
0.000650;1.269334;-0.478298;-0.791036;0.634669;-0.239151;-0.395519;
0.000660;1.272617;-0.476487;-0.796130;0.636310;-0.238245;-0.398066;
0.000670;1.275733;-0.474583;-0.801149;0.637868;-0.237293;-0.400576;
0.000680;1.278687;-0.472590;-0.806097;0.639345;-0.236297;-0.403049;
0.000690;1.281486;-0.470512;-0.810974;0.640745;-0.235258;-0.405488;
0.000700;1.284136;-0.468351;-0.815784;0.642070;-0.234177;-0.407893;
0.000710;1.286641;-0.466111;-0.820530;0.643322;-0.233057;-0.410266;
0.000720;1.289007;-0.463794;-0.825213;0.644505;-0.231899;-0.412607;
0.000730;1.291240;-0.461405;-0.829835;0.645622;-0.230704;-0.414918;
0.000740;1.293343;-0.458944;-0.834399;0.646673;-0.229474;-0.417200;
0.000750;1.295322;-0.456416;-0.838906;0.647663;-0.228210;-0.419454;
0.000760;1.297181;-0.453822;-0.843359;0.648592;-0.226913;-0.421680;
0.000770;1.298925;-0.451166;-0.847759;0.649464;-0.225585;-0.423880;
0.000780;1.300557;-0.448449;-0.852108;0.650280;-0.224226;-0.426055;
0.000790;1.302081;-0.445674;-0.856407;0.651042;-0.222839;-0.428204;
0.000800;1.303502;-0.442843;-0.860659;0.651753;-0.221423;-0.430330;
0.000810;1.304823;-0.439958;-0.864865;0.652413;-0.219981;-0.432433;
0.000820;1.306047;-0.437021;-0.869026;0.653025;-0.218512;-0.434514;
0.000830;1.307177;-0.434034;-0.873143;0.653590;-0.217019;-0.436572;
0.000840;1.308218;-0.430999;-0.877219;0.654111;-0.215501;-0.438610;
0.000850;1.309172;-0.427918;-0.881254;0.654588;-0.213961;-0.440628;
0.000860;1.310041;-0.424792;-0.885249;0.655022;-0.212398;-0.442625;
0.000870;1.310830;-0.421623;-0.889206;0.655417;-0.210813;-0.444604;
0.000880;1.311540;-0.418413;-0.893127;0.655772;-0.209208;-0.446564;
0.000890;1.312174;-0.415163;-0.897011;0.656089;-0.207583;-0.448506;
0.000900;1.312735;-0.411875;-0.900860;0.656369;-0.205939;-0.450431;
0.000910;1.313225;-0.408550;-0.904676;0.656614;-0.204277;-0.452339;
0.000920;1.313647;-0.405189;-0.908458;0.656825;-0.202596;-0.454230;
0.000930;1.314002;-0.401794;-0.912208;0.657003;-0.200899;-0.456105;
0.000940;1.314294;-0.398366;-0.915928;0.657148;-0.199184;-0.457965;
0.000950;1.314523;-0.394906;-0.919617;0.657263;-0.197454;-0.459809;
0.000960;1.314691;-0.391415;-0.923276;0.657347;-0.195709;-0.461639;
0.000970;1.314802;-0.387895;-0.926907;0.657403;-0.193949;-0.463454;
0.000980;1.314856;-0.384346;-0.930510;0.657430;-0.192175;-0.465256;
0.000990;1.314856;-0.380770;-0.934086;0.657430;-0.190387;-0.467044;
0.001000;1.314802;-0.377167;-0.937635;0.657403;-0.188585;-0.468818;
0.001010;1.314697;-0.373539;-0.941158;0.657350;-0.186771;-0.470580;
0.001020;1.314542;-0.369886;-0.944656;0.657273;-0.184945;-0.472329;
0.001030;1.314339;-0.366209;-0.948130;0.657171;-0.183106;-0.474066;
0.001040;1.314089;-0.362510;-0.951579;0.657046;-0.181257;-0.475790;
0.001050;1.313794;-0.358788;-0.955005;0.656898;-0.179396;-0.477503;
0.001060;1.313454;-0.355045;-0.958408;0.656728;-0.177524;-0.479205;
0.001070;1.313071;-0.351282;-0.961788;0.656537;-0.175643;-0.480895;
0.001080;1.312646;-0.347499;-0.965147;0.656325;-0.173751;-0.482574;
