time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.000000;0.000000;0.000000;0.000000;
0.000010;0.000493;0.000002;0.000000;
0.000020;0.001961;0.000012;0.000002;
0.000030;0.004375;0.000036;0.000007;
0.000040;0.007709;0.000083;0.000017;
0.000050;0.011936;0.000159;0.000032;
0.000060;0.017029;0.000271;0.000054;
0.000070;0.022958;0.000425;0.000085;
0.000080;0.029698;0.000627;0.000125;
0.000090;0.037219;0.000884;0.000177;
0.000100;0.045493;0.001199;0.000240;
0.000110;0.054492;0.001580;0.000316;
0.000120;0.064187;0.002031;0.000406;
0.000130;0.074550;0.002556;0.000511;
0.000140;0.085552;0.003160;0.000632;
0.000150;0.097166;0.003847;0.000769;
0.000160;0.109362;0.004621;0.000924;
0.000170;0.122113;0.005487;0.001097;
0.000180;0.135391;0.006446;0.001289;
0.000190;0.149166;0.007503;0.001501;
0.000200;0.163412;0.008661;0.001732;
0.000210;0.178102;0.009922;0.001984;
0.000220;0.193207;0.011288;0.002258;
0.000230;0.208701;0.012763;0.002553;
0.000240;0.224556;0.014347;0.002869;
0.000250;0.240747;0.016043;0.003209;
0.000260;0.257247;0.017852;0.003570;
0.000270;0.274030;0.019776;0.003955;
0.000280;0.291071;0.021815;0.004363;
0.000290;0.308345;0.023971;0.004794;
0.000300;0.325827;0.026245;0.005249;
0.000310;0.343492;0.028636;0.005727;
0.000320;0.361317;0.031145;0.006229;
0.000330;0.379279;0.033773;0.006755;
0.000340;0.397354;0.036519;0.007304;
0.000350;0.415520;0.039383;0.007877;
0.000360;0.433755;0.042365;0.008473;
0.000370;0.452038;0.045464;0.009093;
0.000380;0.470347;0.048679;0.009736;
0.000390;0.488663;0.052010;0.010402;
0.000400;0.506964;0.055455;0.011091;
0.000410;0.525232;0.059014;0.011803;
0.000420;0.543448;0.062684;0.012537;
0.000430;0.561594;0.066465;0.013293;
0.000440;0.579652;0.070355;0.014071;
0.000450;0.597604;0.074353;0.014871;
0.000460;0.615434;0.078456;0.015691;
0.000470;0.633126;0.082662;0.016532;
0.000480;0.650664;0.086970;0.017394;
0.000490;0.668034;0.091377;0.018275;
0.000500;0.685221;0.095882;0.019176;
0.000510;0.702212;0.100481;0.020096;
0.000520;0.718993;0.105173;0.021035;
0.000530;0.735551;0.109954;0.021991;
0.000540;0.751876;0.114823;0.022965;
0.000550;0.767954;0.119777;0.023955;
0.000560;0.783775;0.124813;0.024963;
0.000570;0.799330;0.129928;0.025986;
0.000580;0.814608;0.135119;0.027024;
0.000590;0.829599;0.140384;0.028077;
0.000600;0.844296;0.145719;0.029144;
0.000610;0.858691;0.151123;0.030225;
0.000620;0.872775;0.156591;0.031318;
0.000630;0.886541;0.162121;0.032424;
0.000640;0.899984;0.167709;0.033542;
0.000650;0.913098;0.173353;0.034671;
0.000660;0.925876;0.179049;0.035810;
0.000670;0.938314;0.184795;0.036959;
0.000680;0.950408;0.190588;0.038118;
0.000690;0.962154;0.196423;0.039285;
0.000700;0.973547;0.202298;0.040460;
0.000710;0.984586;0.208211;0.041642;
0.000720;0.995268;0.214157;0.042831;
0.000730;1.005591;0.220134;0.044027;
0.000740;1.015553;0.226138;0.045228;
0.000750;1.025154;0.232167;0.046433;
0.000760;1.034392;0.238218;0.047644;
0.000770;1.043267;0.244287;0.048857;
0.000780;1.051779;0.250371;0.050074;
0.000790;1.059930;0.256468;0.051294;
0.000800;1.067719;0.262575;0.052515;
0.000810;1.075149;0.268688;0.053738;
0.000820;1.082220;0.274804;0.054961;
0.000830;1.088936;0.280922;0.056184;
0.000840;1.095297;0.287038;0.057408;
0.000850;1.101308;0.293149;0.058630;
0.000860;1.106971;0.299252;0.059850;
0.000870;1.112289;0.305346;0.061069;
0.000880;1.117266;0.311427;0.062285;
0.000890;1.121906;0.317492;0.063498;
0.000900;1.126213;0.323540;0.064708;
0.000910;1.130192;0.329568;0.065914;
0.000920;1.133847;0.335573;0.067115;
0.000930;1.137183;0.341553;0.068311;
0.000940;1.140206;0.347506;0.069501;
0.000950;1.142920;0.353429;0.070686;
0.000960;1.145332;0.359321;0.071864;
0.000970;1.147447;0.365179;0.073036;
0.000980;1.149271;0.371001;0.074200;
0.000990;1.150811;0.376785;0.075357;
0.001000;1.152072;0.382530;0.076506;
0.001010;1.153061;0.388234;0.077647;
0.001020;1.153785;0.393894;0.078779;
0.001030;1.154250;0.399509;0.079902;
0.001040;1.154463;0.405078;0.081016;
0.001050;1.154431;0.410598;0.082120;
0.001060;1.154162;0.416069;0.083214;
0.001070;1.153661;0.421488;0.084298;
0.001080;1.152937;0.426855;0.085371;
0.001090;1.151997;0.432169;0.086434;
0.001100;1.150847;0.437427;0.087485;
0.001110;1.149496;0.442629;0.088526;
0.001120;1.147950;0.447774;0.089555;
0.001130;1.146217;0.452860;0.090572;
0.001140;1.144304;0.457887;0.091577;
0.001150;1.142220;0.462854;0.092571;
0.001160;1.139970;0.467759;0.093552;
0.001170;1.137563;0.472603;0.094521;
0.001180;1.135007;0.477385;0.095477;
0.001190;1.132307;0.482103;0.096421;
0.001200;1.129472;0.486757;0.097351;
0.001210;1.126509;0.491347;0.098269;
0.001220;1.123426;0.495872;0.099174;
0.001230;1.120228;0.500332;0.100066;
0.001240;1.116925;0.504727;0.100945;
0.001250;1.113521;0.509056;0.101811;
0.001260;1.110025;0.513318;0.102664;
0.001270;1.106444;0.517515;0.103503;
0.001280;1.102784;0.521645;0.104329;
0.001290;1.099051;0.525709;0.105142;
0.001300;1.095253;0.529706;0.105941;
0.001310;1.091396;0.533637;0.106727;
0.001320;1.087486;0.537502;0.107500;
0.001330;1.083529;0.541300;0.108260;
0.001340;1.079533;0.545033;0.109007;
