time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.000000;1.060000;0.000000;0.000000;0.000000;1.000000;0.191899;1.000000;1.000000;
0.000010;1.129172;0.000848;0.000000;0.000000;1.000000;0.203761;1.000000;1.000000;
0.000020;1.195506;0.003401;0.000001;0.000002;1.000000;0.213780;1.000000;1.000000;
0.000030;1.257763;0.007678;0.000004;0.000009;1.000000;0.221613;1.000000;1.000000;
0.000040;1.314764;0.013700;0.000013;0.000027;1.000000;0.226998;1.000000;1.000000;
0.000050;1.365419;0.021489;0.000030;0.000062;1.000000;0.229772;1.000000;1.000000;
0.000060;1.408741;0.031065;0.000061;0.000124;1.000000;0.229881;1.000000;1.000000;
0.000070;1.443872;0.042447;0.000110;0.000224;1.000000;0.227382;1.000000;1.000000;
0.000080;1.470102;0.055653;0.000186;0.000373;1.000000;0.222439;1.000000;1.000000;
0.000090;1.486881;0.070694;0.000295;0.000585;1.000000;0.215313;1.000000;1.000000;
0.000100;1.493836;0.087578;0.000445;0.000874;1.000000;0.206343;1.000000;1.000000;
0.000110;1.490783;0.106308;0.000647;0.001255;1.000000;0.195928;1.000000;1.000000;
0.000120;1.477735;0.126878;0.000910;0.001743;1.000000;0.184502;1.000000;1.000000;
0.000130;1.454904;0.149273;0.001245;0.002353;1.000000;0.172506;1.000001;1.000000;
0.000140;1.422704;0.173471;0.001663;0.003102;1.000001;0.160365;1.000001;1.000000;
0.000150;1.381747;0.199437;0.002177;0.004004;1.000001;0.148466;1.000001;1.000000;
0.000160;1.332835;0.227127;0.002799;0.005074;1.000001;0.137134;1.000001;1.000000;
0.000170;1.276949;0.256482;0.003541;0.006327;1.000001;0.126626;1.000001;1.000000;
0.000180;1.215234;0.287434;0.004418;0.007776;1.000001;0.117118;1.000001;1.000000;
0.000190;1.148979;0.319898;0.005444;0.009432;1.000001;0.108709;1.000001;1.000000;
0.000200;1.079594;0.353778;0.006631;0.011307;1.000001;0.101426;1.000001;1.000000;
0.000210;1.008588;0.388964;0.007994;0.013410;1.000001;0.095237;1.000001;1.000000;
0.000220;0.937539;0.425332;0.009548;0.015749;1.000002;0.090071;1.000001;1.000000;
0.000230;0.868061;0.462744;0.011306;0.018330;1.000002;0.085837;1.000002;0.999999;
0.000240;0.801778;0.501052;0.013282;0.021159;1.000002;0.082443;1.000002;0.999999;
0.000250;0.740280;0.540092;0.015491;0.024237;1.000002;0.079823;1.000002;0.999999;
0.000260;0.685083;0.579693;0.017945;0.027566;1.000002;0.077946;1.000002;0.999999;
0.000270;0.637576;0.619671;0.020658;0.031145;1.000002;0.076834;1.000002;0.999999;
0.000280;0.598965;0.659835;0.023642;0.034970;1.000002;0.076562;1.000002;0.999999;
0.000290;0.570209;0.699985;0.026910;0.039036;1.000002;0.077259;1.000002;0.999999;
0.000300;0.551969;0.739918;0.030473;0.043338;1.000002;0.079098;1.000002;0.999999;
0.000310;0.544585;0.779426;0.034342;0.047867;1.000002;0.082275;1.000002;0.999998;
0.000320;0.548099;0.818300;0.038527;0.052613;1.000002;0.086991;1.000002;0.999998;
0.000330;0.562303;0.856331;0.043036;0.057564;1.000002;0.093427;1.000002;0.999998;
0.000340;0.586809;0.893313;0.047879;0.062708;1.000002;0.101712;1.000002;0.999998;
0.000350;0.621085;0.929047;0.053063;0.068030;1.000002;0.111902;1.000002;0.999998;
0.000360;0.664470;0.963338;0.058594;0.073515;1.000002;0.123957;1.000002;0.999997;
0.000370;0.716157;0.996005;0.064476;0.079147;1.000002;0.137726;1.000002;0.999997;
0.000380;0.775180;1.026875;0.070715;0.084908;1.000002;0.152941;1.000002;0.999997;
0.000390;0.840392;1.055792;0.077313;0.090783;1.000002;0.169226;1.000002;0.999997;
0.000400;0.910484;1.082617;0.084271;0.096752;1.000002;0.186076;1.000002;0.999996;
0.000410;0.984000;1.107225;0.091591;0.102799;1.000002;0.202936;1.000002;0.999996;
0.000420;1.059367;1.129517;0.099272;0.108905;1.000002;0.219188;1.000002;0.999996;
0.000430;1.134931;1.149410;0.107311;0.115053;1.000002;0.234199;1.000002;0.999995;
