time;NETWORK_B1_v_a;
0.000000;1.414214;
0.000010;1.377919;
0.000020;1.339820;
0.000030;1.300070;
0.000040;1.258845;
0.000050;1.216341;
0.000060;1.172769;
0.000070;1.128356;
0.000080;1.083342;
0.000090;1.037978;
0.000100;0.992524;
0.000110;0.947244;
0.000120;0.902408;
0.000130;0.858286;
0.000140;0.815148;
0.000150;0.773258;
0.000160;0.732877;
0.000170;0.694256;
0.000180;0.657634;
0.000190;0.623238;
0.000200;0.591282;
0.000210;0.561961;
0.000220;0.535451;
0.000230;0.511909;
0.000240;0.491471;
0.000250;0.474249;
0.000260;0.460331;
0.000270;0.449781;
0.000280;0.442638;
0.000290;0.438916;
0.000300;0.438602;
0.000310;0.441659;
0.000320;0.448024;
0.000330;0.457609;
0.000340;0.470304;
0.000350;0.485975;
0.000360;0.504467;
0.000370;0.525604;
0.000380;0.549192;
0.000390;0.575021;
0.000400;0.602863;
0.000410;0.632481;
0.000420;0.663624;
0.000430;0.696034;
0.000440;0.729445;
0.000450;0.763587;
0.000460;0.798189;
0.000470;0.832981;
0.000480;0.867694;
0.000490;0.902064;
0.000500;0.935836;
0.000510;0.968763;
0.000520;1.000611;
0.000530;1.031157;
0.000540;1.060194;
0.000550;1.087535;
0.000560;1.113007;
0.000570;1.136460;
0.000580;1.157762;
0.000590;1.176806;
0.000600;1.193506;
0.000610;1.207800;
0.000620;1.219647;
0.000630;1.229034;
0.000640;1.235969;
0.000650;1.240483;
0.000660;1.242632;
0.000670;1.242491;
0.000680;1.240159;
0.000690;1.235755;
0.000700;1.229415;
0.000710;1.221294;
0.000720;1.211563;
0.000730;1.200406;
0.000740;1.188022;
0.000750;1.174617;
0.000760;1.160409;
0.000770;1.145619;
0.000780;1.130474;
0.000790;1.115205;
0.000800;1.100038;
0.000810;1.085203;
0.000820;1.070920;
0.000830;1.057406;
0.000840;1.044868;
0.000850;1.033505;
0.000860;1.023502;
0.000870;1.015030;
0.000880;1.008245;
0.000890;1.003287;
0.000900;1.000277;
0.000910;0.999319;
0.000920;1.000493;
0.000930;1.003862;
0.000940;1.009466;
0.000950;1.017324;
0.000960;1.027434;
0.000970;1.039770;
0.000980;1.054288;
0.000990;1.070919;
0.001000;1.089578;
0.001010;1.110157;
0.001020;1.132533;
0.001030;1.156562;
0.001040;1.182086;
0.001050;1.208934;
0.001060;1.236920;
0.001070;1.265846;
0.001080;1.295507;
0.001090;1.325689;
0.001100;1.356173;
0.001110;1.386736;
0.001120;1.417154;
0.001130;1.447202;
0.001140;1.476658;
0.001150;1.505306;
0.001160;1.532934;
0.001170;1.559339;
0.001180;1.584328;
0.001190;1.607721;
0.001200;1.629349;
0.001210;1.649058;
0.001220;1.666711;
0.001230;1.682189;
0.001240;1.695388;
0.001250;1.706227;
0.001260;1.714641;
0.001270;1.720588;
0.001280;1.724045;
0.001290;1.725010;
0.001300;1.723503;
0.001310;1.719561;
0.001320;1.713244;
0.001330;1.704630;
0.001340;1.693817;
0.001350;1.680917;
0.001360;1.666064;
0.001370;1.649402;
0.001380;1.631092;
0.001390;1.611306;
0.001400;1.590229;
0.001410;1.568053;
0.001420;1.544979;
0.001430;1.521211;
0.001440;1.496961;
0.001450;1.472439;
0.001460;1.447857;
0.001470;1.423425;
0.001480;1.399349;
0.001490;1.375830;
0.001500;1.353060;
0.001510;1.331224;
0.001520;1.310497;
0.001530;1.291039;
0.001540;1.272999;
0.001550;1.256510;
0.001560;1.241692;
0.001570;1.228644;
0.001580;1.217451;
0.001590;1.208178;
0.001600;1.200872;
0.001610;1.195560;
0.001620;1.192252;
0.001630;1.190938;
0.001640;1.191587;
0.001650;1.194152;
0.001660;1.198568;
0.001670;1.204752;
0.001680;1.212605;
0.001690;1.222011;
0.001700;1.232842;
0.001710;1.244956;
0.001720;1.258199;
0.001730;1.272408;
0.001740;1.287410;
0.001750;1.303026;
0.001760;1.319070;
0.001770;1.335355;
0.001780;1.351690;
0.001790;1.367885;
0.001800;1.383751;
0.001810;1.399103;
0.001820;1.413761;
0.001830;1.427550;
0.001840;1.440306;
0.001850;1.451872;
0.001860;1.462104;
0.001870;1.470871;
0.001880;1.478052;
0.001890;1.483545;
0.001900;1.487261;
0.001910;1.489127;
0.001920;1.489088;
0.001930;1.487106;
0.001940;1.483160;
0.001950;1.477249;
0.001960;1.469385;
0.001970;1.459603;
