time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;0.000698;0.000493;0.028263;0.019985;
0.000020;0.002773;0.001961;0.056468;0.039929;
0.000030;0.006187;0.004375;0.084590;0.059815;
0.000040;0.010903;0.007710;0.112602;0.079622;
0.000050;0.016883;0.011938;0.140476;0.099334;
0.000060;0.024088;0.017033;0.168190;0.118932;
0.000070;0.032478;0.022966;0.195717;0.138399;
0.000080;0.042016;0.029710;0.223036;0.157720;
0.000090;0.052661;0.037238;0.250123;0.176878;
0.000100;0.064375;0.045522;0.276957;0.195858;
0.000110;0.077118;0.054534;0.303516;0.214645;
0.000120;0.090851;0.064246;0.329780;0.233226;
0.000130;0.105534;0.074630;0.355730;0.251586;
0.000140;0.121128;0.085658;0.381348;0.269712;
0.000150;0.137593;0.097304;0.406616;0.287593;
0.000160;0.154890;0.109538;0.431516;0.305217;
0.000170;0.172981;0.122334;0.456033;0.322572;
0.000180;0.191825;0.135664;0.480151;0.339647;
0.000190;0.211385;0.149500;0.503856;0.356432;
0.000200;0.231622;0.163817;0.527134;0.372918;
0.000210;0.252498;0.178586;0.549972;0.389096;
0.000220;0.273976;0.193781;0.572357;0.404956;
0.000230;0.296017;0.209377;0.594279;0.420493;
0.000240;0.318584;0.225346;0.615726;0.435696;
0.000250;0.341642;0.241663;0.636688;0.450561;
0.000260;0.365153;0.258302;0.657157;0.465080;
0.000270;0.389082;0.275239;0.677124;0.479248;
0.000280;0.413394;0.292448;0.696581;0.493059;
0.000290;0.438053;0.309905;0.715521;0.506509;
0.000300;0.463026;0.327585;0.733938;0.519593;
0.000310;0.488279;0.345466;0.751826;0.532307;
0.000320;0.513778;0.363524;0.769179;0.544648;
0.000330;0.539492;0.381735;0.785995;0.556612;
0.000340;0.565388;0.400078;0.802268;0.568198;
0.000350;0.591434;0.418530;0.817997;0.579404;
0.000360;0.617600;0.437071;0.833177;0.590228;
0.000370;0.643857;0.455678;0.847809;0.600668;
0.000380;0.670174;0.474331;0.861890;0.610724;
0.000390;0.696523;0.493010;0.875420;0.620396;
0.000400;0.722876;0.511695;0.888398;0.629684;
0.000410;0.749205;0.530368;0.900826;0.638588;
0.000420;0.775485;0.549009;0.912704;0.647109;
0.000430;0.801689;0.567600;0.924033;0.655249;
0.000440;0.827792;0.586125;0.934817;0.663009;
0.000450;0.853769;0.604564;0.945057;0.670390;
0.000460;0.879597;0.622904;0.954756;0.677396;
