time;NETWORK_LINE_i_a;NETWORK_LINE_i_b;NETWORK_LINE_i_c;NETWORK_B1_v_a;
0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;0.028263;-0.014112;-0.014150;0.000698;
0.000020;0.056468;-0.028139;-0.028329;0.002773;
0.000030;0.084590;-0.042047;-0.042543;0.006187;
0.000040;0.112602;-0.055824;-0.056778;0.010903;
0.000050;0.140476;-0.069456;-0.071021;0.016883;
0.000060;0.168190;-0.082931;-0.085259;0.024088;
0.000070;0.195717;-0.096238;-0.099479;0.032478;
0.000080;0.223036;-0.109366;-0.113670;0.042016;
0.000090;0.250123;-0.122303;-0.127820;0.052661;
0.000100;0.276957;-0.135041;-0.141916;0.064375;
0.000110;0.303516;-0.147568;-0.155948;0.077118;
0.000120;0.329780;-0.159875;-0.169905;0.090851;
0.000130;0.355730;-0.171954;-0.183777;0.105534;
0.000140;0.381348;-0.183796;-0.197552;0.121128;
0.000150;0.406616;-0.195393;-0.211223;0.137593;
0.000160;0.431516;-0.206738;-0.224778;0.154890;
0.000170;0.456033;-0.217823;-0.238210;0.172981;
0.000180;0.480151;-0.228643;-0.251509;0.191825;
0.000190;0.503856;-0.239190;-0.264666;0.211385;
0.000200;0.527134;-0.249459;-0.277675;0.231622;
0.000210;0.549972;-0.259444;-0.290527;0.252498;
0.000220;0.572357;-0.269142;-0.303215;0.273976;
0.000230;0.594279;-0.278546;-0.315732;0.296017;
0.000240;0.615726;-0.287654;-0.328072;0.318584;
0.000250;0.636688;-0.296461;-0.340227;0.341642;
0.000260;0.657157;-0.304965;-0.352193;0.365153;
0.000270;0.677124;-0.313161;-0.363963;0.389082;
0.000280;0.696581;-0.321048;-0.375533;0.413394;
0.000290;0.715521;-0.328624;-0.386897;0.438053;
0.000300;0.733938;-0.335887;-0.398051;0.463026;
0.000310;0.751826;-0.342835;-0.408991;0.488279;
0.000320;0.769179;-0.349467;-0.419712;0.513778;
0.000330;0.785995;-0.355783;-0.430212;0.539492;
0.000340;0.802268;-0.361783;-0.440486;0.565388;
0.000350;0.817997;-0.367465;-0.450532;0.591434;
0.000360;0.833177;-0.372831;-0.460347;0.617600;
0.000370;0.847809;-0.377881;-0.469928;0.643857;
0.000380;0.861890;-0.382616;-0.479274;0.670174;
0.000390;0.875420;-0.387036;-0.488383;0.696523;
0.000400;0.888398;-0.391145;-0.497253;0.722876;
0.000410;0.900826;-0.394943;-0.505883;0.749205;
0.000420;0.912704;-0.398432;-0.514272;0.775485;
0.000430;0.924033;-0.401615;-0.522419;0.801689;
0.000440;0.934817;-0.404493;-0.530324;0.827792;
0.000450;0.945057;-0.407071;-0.537986;0.853769;
0.000460;0.954756;-0.409350;-0.545406;0.879597;
0.000470;0.963919;-0.411335;-0.552584;0.905253;
0.000480;0.972548;-0.413028;-0.559520;0.930715;
0.000490;0.980648;-0.414433;-0.566215;0.955962;
0.000500;0.988224;-0.415554;-0.572670;0.980972;
0.000510;0.995281;-0.416395;-0.578887;1.005726;
0.000520;1.001825;-0.416960;-0.584866;1.030204;
0.000530;1.007862;-0.417253;-0.590609;1.054389;
0.000540;1.013398;-0.417280;-0.596118;1.078263;
0.000550;1.018439;-0.417044;-0.601394;1.101808;
0.000560;1.022992;-0.416551;-0.606441;1.125008;
0.000570;1.027066;-0.415806;-0.611260;1.147849;
0.000580;1.030666;-0.414813;-0.615854;1.170315;
0.000590;1.033802;-0.413577;-0.620225;1.192393;
0.000600;1.036482;-0.412105;-0.624376;1.214069;
0.000610;1.038712;-0.410401;-0.628311;1.235332;
0.000620;1.040503;-0.408472;-0.632032;1.256168;
0.000630;1.041863;-0.406322;-0.635541;1.276568;
0.000640;1.042801;-0.403957;-0.638844;1.296521;
0.000650;1.043326;-0.401383;-0.641943;1.316018;
0.000660;1.043448;-0.398606;-0.644841;1.335049;
0.000670;1.043175;-0.395632;-0.647543;1.353606;
0.000680;1.042519;-0.392466;-0.650052;1.371682;
0.000690;1.041487;-0.389115;-0.652372;1.389271;
0.000700;1.040092;-0.385585;-0.654507;1.406365;
0.000710;1.038341;-0.381881;-0.656461;1.422959;
0.000720;1.036247;-0.378009;-0.658237;1.439049;
0.000730;1.033818;-0.373976;-0.659841;1.454629;
0.000740;1.031065;-0.369788;-0.661277;1.469697;
0.000750;1.027999;-0.365451;-0.662548;1.484249;
0.000760;1.024629;-0.360970;-0.663659;1.498283;
0.000770;1.020967;-0.356352;-0.664615;1.511797;
0.000780;1.017023;-0.351603;-0.665420;1.524790;
0.000790;1.012806;-0.346728;-0.666078;1.537260;
0.000800;1.008328;-0.341735;-0.666593;1.549207;
0.000810;1.003599;-0.336628;-0.666971;1.560633;
0.000820;0.998630;-0.331413;-0.667216;1.571536;
0.000830;0.993430;-0.326098;-0.667333;1.581919;
0.000840;0.988011;-0.320686;-0.667325;1.591784;
0.000850;0.982382;-0.315184;-0.667197;1.601133;
0.000860;0.976553;-0.309598;-0.666955;1.609967;
0.000870;0.970536;-0.303933;-0.666603;1.618291;
0.000880;0.964339;-0.298195;-0.666144;1.626108;
0.000890;0.957974;-0.292390;-0.665584;1.633422;
0.000900;0.951449;-0.286522;-0.664927;1.640237;
0.000910;0.944775;-0.280597;-0.664178;1.646557;
0.000920;0.937962;-0.274621;-0.663341;1.652389;
0.000930;0.931019;-0.268598;-0.662420;1.657737;
0.000940;0.923955;-0.262534;-0.661420;1.662607;
0.000950;0.916780;-0.256434;-0.660346;1.667005;
0.000960;0.909503;-0.250302;-0.659201;1.670938;
0.000970;0.902133;-0.244143;-0.657989;1.674412;
0.000980;0.894679;-0.237963;-0.656716;1.677434;
0.000990;0.887150;-0.231765;-0.655385;1.680012;
0.001000;0.879555;-0.225555;-0.654000;1.682152;
