time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.000000;1.000000;1.000000;0.495000;1.000000;-0.700036;0.350018;0.350018;
0.000010;0.999016;1.000000;0.494521;0.999021;-0.700048;0.348091;0.351957;
0.000020;0.998037;1.000000;0.494053;0.998037;-0.700071;0.346112;0.353959;
0.000030;0.997067;1.000000;0.493604;0.997067;-0.700114;0.344087;0.356028;
0.000040;0.996109;1.000000;0.493173;0.996109;-0.700174;0.342013;0.358161;
0.000050;0.995168;1.000000;0.492761;0.995168;-0.700251;0.339892;0.360359;
0.000060;0.994246;1.000000;0.492371;0.994246;-0.700342;0.337723;0.362619;
0.000070;0.993346;1.000000;0.492004;0.993346;-0.700448;0.335508;0.364940;
0.000080;0.992473;1.000000;0.491660;0.992473;-0.700569;0.333247;0.367322;
0.000090;0.991629;1.000000;0.491343;0.991629;-0.700702;0.330941;0.369761;
0.000100;0.990817;1.000000;0.491052;0.990817;-0.700847;0.328591;0.372256;
0.000110;0.990039;1.000000;0.490790;0.990039;-0.701003;0.326198;0.374805;
0.000120;0.989299;1.000000;0.490558;0.989299;-0.701168;0.323764;0.377404;
0.000130;0.988599;1.000000;0.490356;0.988599;-0.701343;0.321290;0.380053;
0.000140;0.987942;1.000000;0.490187;0.987942;-0.701525;0.318778;0.382747;
0.000150;0.987330;1.000000;0.490052;0.987330;-0.701713;0.316229;0.385484;
0.000160;0.986765;1.000000;0.489951;0.986765;-0.701906;0.313645;0.388260;
0.000170;0.986249;1.000000;0.489885;0.986249;-0.702102;0.311029;0.391073;
0.000180;0.985785;1.000000;0.489857;0.985785;-0.702301;0.308382;0.393918;
0.000190;0.985374;1.000000;0.489866;0.985374;-0.702500;0.305707;0.396793;
0.000200;0.985018;1.000000;0.489913;0.985018;-0.702698;0.303005;0.399693;
0.000210;0.984719;1.000000;0.489999;0.984718;-0.702894;0.300279;0.402615;
0.000220;0.984477;1.000000;0.490125;0.984477;-0.703086;0.297531;0.405555;
0.000230;0.984296;1.000000;0.490291;0.984295;-0.703273;0.294765;0.408508;
0.000240;0.984175;1.000000;0.490498;0.984175;-0.703453;0.291981;0.411472;
0.000250;0.984116;1.000000;0.490745;0.984116;-0.703625;0.289184;0.414441;
0.000260;0.984120;1.000000;0.491033;0.984120;-0.703787;0.286375;0.417412;
0.000270;0.984189;1.000000;0.491362;0.984188;-0.703938;0.283557;0.420380;
0.000280;0.984322;1.000000;0.491731;0.984321;-0.704075;0.280733;0.423342;
0.000290;0.984520;1.000000;0.492141;0.984520;-0.704199;0.277905;0.426294;
0.000300;0.984784;1.000000;0.492590;0.984784;-0.704307;0.275077;0.429230;
0.000310;0.985114;1.000000;0.493077;0.985114;-0.704398;0.272250;0.432148;
0.000320;0.985511;1.000000;0.493603;0.985510;-0.704471;0.269427;0.435043;
0.000330;0.985973;1.000000;0.494165;0.985973;-0.704523;0.266611;0.437912;
0.000340;0.986501;1.000000;0.494762;0.986501;-0.704555;0.263805;0.440750;
0.000350;0.987095;1.000000;0.495393;0.987094;-0.704565;0.261011;0.443554;
0.000360;0.987753;1.000000;0.496056;0.987753;-0.704552;0.258232;0.446320;
0.000370;0.988475;1.000000;0.496750;0.988475;-0.704514;0.255469;0.449045;
0.000380;0.989260;1.000000;0.497471;0.989259;-0.704451;0.252726;0.451725;
0.000390;0.990106;1.000000;0.498219;0.990105;-0.704362;0.250004;0.454358;
0.000400;0.991011;1.000000;0.498989;0.991011;-0.704245;0.247306;0.456939;
0.000410;0.991975;1.000000;0.499781;0.991974;-0.704101;0.244634;0.459467;
0.000420;0.992993;1.000000;0.500590;0.992993;-0.703927;0.241990;0.461938;
0.000430;0.994065;1.000000;0.501414;0.994065;-0.703725;0.239375;0.464350;
0.000440;0.995188;1.000000;0.502251;0.995187;-0.703493;0.236793;0.466700;
0.000450;0.996358;1.000000;0.503096;0.996357;-0.703230;0.234243;0.468987;
0.000460;0.997572;1.000000;0.503947;0.997571;-0.702937;0.231728;0.471209;
0.000470;0.998826;1.000000;0.504799;0.998826;-0.702613;0.229249;0.473364;
0.000480;1.000118;1.000000;0.505651;1.000118;-0.702258;0.226808;0.475450;
0.000490;1.001443;1.000000;0.506497;1.001442;-0.701872;0.224406;0.477466;
0.000500;1.002796;1.000000;0.507336;1.002795;-0.701454;0.222043;0.479412;
0.000510;1.004173;1.000000;0.508162;1.004173;-0.701005;0.219720;0.481286;
0.000520;1.005570;0.999999;0.508972;1.005569;-0.700526;0.217438;0.483087;
0.000530;1.006981;0.999999;0.509764;1.006980;-0.700015;0.215199;0.484817;
0.000540;1.008401;0.999999;0.510532;1.008401;-0.699475;0.213001;0.486474;
