time;NETWORK_B1_Urms;
0.000000;1.000000;
0.000010;0.995680;
0.000020;0.991380;
0.000030;0.987100;
0.000040;0.982840;
0.000050;0.978602;
0.000060;0.974386;
0.000070;0.970192;
0.000080;0.966022;
0.000090;0.961875;
0.000100;0.957753;
0.000110;0.953656;
0.000120;0.949584;
0.000130;0.945538;
0.000140;0.941520;
0.000150;0.937528;
0.000160;0.933564;
0.000170;0.929629;
0.000180;0.925722;
0.000190;0.921845;
0.000200;0.917997;
0.000210;0.914180;
0.000220;0.910394;
0.000230;0.906639;
0.000240;0.902915;
0.000250;0.899224;
0.000260;0.895566;
0.000270;0.891941;
0.000280;0.888349;
0.000290;0.884791;
0.000300;0.881268;
0.000310;0.877779;
0.000320;0.874326;
0.000330;0.870908;
0.000340;0.867526;
0.000350;0.864180;
0.000360;0.860871;
0.000370;0.857599;
0.000380;0.854365;
0.000390;0.851168;
0.000400;0.848009;
0.000410;0.844889;
0.000420;0.841807;
0.000430;0.838764;
0.000440;0.835761;
0.000450;0.832797;
0.000460;0.829873;
0.000470;0.826989;
0.000480;0.824145;
0.000490;0.821342;
0.000500;0.818580;
0.000510;0.815859;
0.000520;0.813180;
0.000530;0.810542;
0.000540;0.807946;
0.000550;0.805392;
0.000560;0.802881;
0.000570;0.800412;
0.000580;0.797985;
0.000590;0.795602;
0.000600;0.793262;
0.000610;0.790965;
0.000620;0.788711;
0.000630;0.786501;
0.000640;0.784335;
0.000650;0.782213;
0.000660;0.780136;
0.000670;0.778102;
0.000680;0.776113;
0.000690;0.774168;
0.000700;0.772268;
0.000710;0.770413;
0.000720;0.768603;
0.000730;0.766838;
0.000740;0.765118;
0.000750;0.763444;
0.000760;0.761815;
0.000770;0.760232;
0.000780;0.758694;
0.000790;0.757202;
0.000800;0.755756;
0.000810;0.754355;
0.000820;0.753001;
0.000830;0.751692;
0.000840;0.750430;
0.000850;0.749214;
0.000860;0.748044;
0.000870;0.746921;
0.000880;0.745844;
0.000890;0.744813;
0.000900;0.743829;
0.000910;0.742891;
0.000920;0.741999;
0.000930;0.741154;
0.000940;0.740356;
0.000950;0.739604;
0.000960;0.738899;
0.000970;0.738240;
0.000980;0.737628;
0.000990;0.737063;
0.001000;0.736544;
0.001010;0.736071;
0.001020;0.735645;
0.001030;0.735265;
0.001040;0.734932;
0.001050;0.734645;
0.001060;0.734405;
0.001070;0.734211;
0.001080;0.734063;
0.001090;0.733961;
0.001100;0.733905;
0.001110;0.733896;
0.001120;0.733932;
0.001130;0.734014;
0.001140;0.734141;
0.001150;0.734315;
0.001160;0.734533;
0.001170;0.734797;
0.001180;0.735107;
0.001190;0.735461;
0.001200;0.735860;
0.001210;0.736304;
0.001220;0.736793;
0.001230;0.737326;
0.001240;0.737904;
0.001250;0.738525;
0.001260;0.739191;
0.001270;0.739900;
0.001280;0.740652;
0.001290;0.741448;
0.001300;0.742287;
0.001310;0.743169;
0.001320;0.744093;
0.001330;0.745060;
0.001340;0.746068;
0.001350;0.747119;
0.001360;0.748211;
0.001370;0.749344;
0.001380;0.750518;
0.001390;0.751733;
0.001400;0.752988;
0.001410;0.754283;
0.001420;0.755618;
0.001430;0.756992;
0.001440;0.758406;
0.001450;0.759858;
0.001460;0.761348;
0.001470;0.762876;
0.001480;0.764442;
0.001490;0.766045;
0.001500;0.767685;
0.001510;0.769362;
0.001520;0.771074;
0.001530;0.772822;
0.001540;0.774605;
0.001550;0.776423;
0.001560;0.778276;
0.001570;0.780162;
0.001580;0.782082;
0.001590;0.784034;
0.001600;0.786020;
0.001610;0.788037;
0.001620;0.790086;
0.001630;0.792166;
0.001640;0.794277;
0.001650;0.796418;
0.001660;0.798589;
0.001670;0.800789;
0.001680;0.803018;
0.001690;0.805275;
0.001700;0.807559;
0.001710;0.809871;
0.001720;0.812209;
0.001730;0.814573;
0.001740;0.816963;
0.001750;0.819378;
0.001760;0.821817;
0.001770;0.824281;
0.001780;0.826767;
0.001790;0.829277;
0.001800;0.831808;
0.001810;0.834362;
0.001820;0.836936;
0.001830;0.839532;
0.001840;0.842147;
0.001850;0.844782;
0.001860;0.847435;
0.001870;0.850107;
0.001880;0.852796;
0.001890;0.855503;
0.001900;0.858226;
0.001910;0.860966;
0.001920;0.863720;
0.001930;0.866490;
0.001940;0.869273;
0.001950;0.872071;
0.001960;0.874881;
0.001970;0.877704;
0.001980;0.880539;
0.001990;0.883385;
0.002000;0.886241;
0.002010;0.889108;
0.002020;0.891985;
0.002030;0.894870;
0.002040;0.897764;
0.002050;0.900665;
0.002060;0.903574;
0.002070;0.906489;
0.002080;0.909411;
0.002090;0.912337;
0.002100;0.915269;
0.002110;0.918205;
0.002120;0.921145;
0.002130;0.924088;
0.002140;0.927033;
0.002150;0.929981;
0.002160;0.932930;
0.002170;0.935880;
0.002180;0.938830;
0.002190;0.941780;
0.002200;0.944730;
0.002210;0.947678;
0.002220;0.950624;
0.002230;0.953567;
0.002240;0.956508;
0.002250;0.959445;
0.002260;0.962378;
0.002270;0.965307;
0.002280;0.968230;
0.002290;0.971148;
0.002300;0.974060;
0.002310;0.976965;
0.002320;0.979863;
0.002330;0.982753;
0.002340;0.985636;
0.002350;0.988509;
0.002360;0.991373;
0.002370;0.994228;
0.002380;0.997072;
0.002390;0.999906;
0.002400;1.002729;
0.002410;1.005540;
0.002420;1.008339;
0.002430;1.011126;
0.002440;1.013900;
0.002450;1.016660;
0.002460;1.019406;
0.002470;1.022139;
0.002480;1.024856;
0.002490;1.027558;
0.002500;1.030245;
0.002510;1.032916;
0.002520;1.035570;
0.002530;1.038208;
0.002540;1.040828;
0.002550;1.043431;
0.002560;1.046016;
0.002570;1.048582;
0.002580;1.051130;
0.002590;1.053658;
0.002600;1.056167;
0.002610;1.058656;
0.002620;1.061125;
0.002630;1.063574;
0.002640;1.066001;
0.002650;1.068408;
0.002660;1.070792;
0.002670;1.073155;
0.002680;1.075496;
0.002690;1.077814;
0.002700;1.080109;
0.002710;1.082381;
0.002720;1.084630;
0.002730;1.086855;
0.002740;1.089057;
0.002750;1.091233;
0.002760;1.093386;
0.002770;1.095513;
0.002780;1.097616;
0.002790;1.099693;
0.002800;1.101745;
0.002810;1.103771;
0.002820;1.105772;
0.002830;1.107746;
0.002840;1.109693;
0.002850;1.111614;
0.002860;1.113508;
0.002870;1.115376;
0.002880;1.117216;
0.002890;1.119028;
0.002900;1.120813;
0.002910;1.122571;
0.002920;1.124300;
0.002930;1.126002;
0.002940;1.127675;
0.002950;1.129320;
0.002960;1.130937;
0.002970;1.132525;
0.002980;1.134084;
0.002990;1.135615;
0.003000;1.137116;
0.003010;1.138589;
0.003020;1.140032;
0.003030;1.141447;
0.003040;1.142832;
0.003050;1.144187;
0.003060;1.145514;
0.003070;1.146810;
0.003080;1.148077;
0.003090;1.149315;
0.003100;1.150523;
0.003110;1.151701;
0.003120;1.152849;
0.003130;1.153968;
0.003140;1.155057;
0.003150;1.156116;
0.003160;1.157146;
0.003170;1.158145;
0.003180;1.159115;
0.003190;1.160055;
0.003200;1.160966;
0.003210;1.161846;
0.003220;1.162697;
0.003230;1.163519;
0.003240;1.164310;
0.003250;1.165072;
0.003260;1.165805;
0.003270;1.166508;
0.003280;1.167182;
0.003290;1.167826;
0.003300;1.168441;
0.003310;1.169027;
0.003320;1.169584;
0.003330;1.170112;
0.003340;1.170611;
0.003350;1.171081;
0.003360;1.171523;
0.003370;1.171936;
0.003380;1.172320;
0.003390;1.172676;
0.003400;1.173004;
0.003410;1.173304;
0.003420;1.173577;
0.003430;1.173821;
0.003440;1.174038;
0.003450;1.174227;
0.003460;1.174389;
0.003470;1.174524;
0.003480;1.174631;
0.003490;1.174712;
0.003500;1.174767;
0.003510;1.174795;
0.003520;1.174797;
0.003530;1.174772;
0.003540;1.174722;
0.003550;1.174646;
0.003560;1.174545;
0.003570;1.174419;
0.003580;1.174267;
0.003590;1.174091;
0.003600;1.173890;
0.003610;1.173665;
0.003620;1.173416;
0.003630;1.173142;
0.003640;1.172846;
0.003650;1.172525;
0.003660;1.172182;
0.003670;1.171816;
0.003680;1.171426;
0.003690;1.171015;
0.003700;1.170581;
0.003710;1.170126;
0.003720;1.169649;
0.003730;1.169150;
0.003740;1.168631;
0.003750;1.168090;
0.003760;1.167529;
0.003770;1.166948;
0.003780;1.166347;
0.003790;1.165726;
0.003800;1.165086;
0.003810;1.164427;
0.003820;1.163748;
0.003830;1.163052;
0.003840;1.162337;
0.003850;1.161604;
0.003860;1.160853;
0.003870;1.160085;
0.003880;1.159300;
0.003890;1.158499;
0.003900;1.157681;
0.003910;1.156847;
0.003920;1.155997;
0.003930;1.155131;
0.003940;1.154251;
0.003950;1.153355;
0.003960;1.152446;
0.003970;1.151521;
0.003980;1.150583;
0.003990;1.149632;
0.004000;1.148667;
0.004010;1.147689;
0.004020;1.146699;
0.004030;1.145696;
0.004040;1.144681;
0.004050;1.143655;
0.004060;1.142617;
0.004070;1.141569;
0.004080;1.140510;
0.004090;1.139440;
0.004100;1.138361;
0.004110;1.137271;
0.004120;1.136173;
0.004130;1.135065;
0.004140;1.133949;
0.004150;1.132824;
0.004160;1.131691;
0.004170;1.130551;
0.004180;1.129403;
0.004190;1.128248;
0.004200;1.127086;
0.004210;1.125918;
0.004220;1.124744;
0.004230;1.123564;
0.004240;1.122378;
0.004250;1.121187;
0.004260;1.119992;
0.004270;1.118791;
0.004280;1.117587;
0.004290;1.116379;
0.004300;1.115167;
0.004310;1.113952;
0.004320;1.112734;
0.004330;1.111513;
0.004340;1.110290;
0.004350;1.109064;
0.004360;1.107837;
0.004370;1.106609;
0.004380;1.105379;
0.004390;1.104148;
0.004400;1.102917;
0.004410;1.101685;
0.004420;1.100454;
0.004430;1.099222;
0.004440;1.097991;
0.004450;1.096761;
0.004460;1.095533;
0.004470;1.094305;
0.004480;1.093079;
0.004490;1.091855;
0.004500;1.090633;
0.004510;1.089414;
0.004520;1.088197;
0.004530;1.086983;
0.004540;1.085772;
0.004550;1.084565;
0.004560;1.083361;
0.004570;1.082161;
0.004580;1.080966;
0.004590;1.079775;
0.004600;1.078588;
0.004610;1.077406;
0.004620;1.076230;
0.004630;1.075058;
0.004640;1.073892;
0.004650;1.072732;
0.004660;1.071578;
0.004670;1.070430;
0.004680;1.069288;
0.004690;1.068153;
0.004700;1.067024;
0.004710;1.065903;
0.004720;1.064788;
0.004730;1.063681;
0.004740;1.062581;
0.004750;1.061489;
0.004760;1.060404;
0.004770;1.059328;
0.004780;1.058259;
0.004790;1.057199;
0.004800;1.056148;
0.004810;1.055104;
0.004820;1.054070;
0.004830;1.053045;
0.004840;1.052028;
0.004850;1.051021;
0.004860;1.050023;
0.004870;1.049034;
0.004880;1.048055;
0.004890;1.047085;
0.004900;1.046125;
0.004910;1.045175;
0.004920;1.044235;
0.004930;1.043305;
0.004940;1.042385;
0.004950;1.041475;
0.004960;1.040576;
0.004970;1.039687;
0.004980;1.038808;
0.004990;1.037940;
0.005000;1.037083;
0.005010;1.036236;
0.005020;1.035400;
0.005030;1.034575;
0.005040;1.033760;
0.005050;1.032957;
0.005060;1.032164;
0.005070;1.031382;
0.005080;1.030612;
0.005090;1.029852;
0.005100;1.029104;
0.005110;1.028366;
0.005120;1.027640;
0.005130;1.026925;
0.005140;1.026221;
0.005150;1.025528;
0.005160;1.024847;
0.005170;1.024176;
0.005180;1.023517;
0.005190;1.022869;
0.005200;1.022232;
0.005210;1.021607;
0.005220;1.020992;
0.005230;1.020389;
0.005240;1.019796;
0.005250;1.019215;
0.005260;1.018645;
0.005270;1.018086;
0.005280;1.017538;
0.005290;1.017000;
0.005300;1.016474;
0.005310;1.015959;
0.005320;1.015454;
0.005330;1.014961;
0.005340;1.014478;
0.005350;1.014005;
0.005360;1.013544;
0.005370;1.013093;
0.005380;1.012652;
0.005390;1.012222;
0.005400;1.011803;
0.005410;1.011393;
0.005420;1.010994;
0.005430;1.010605;
0.005440;1.010227;
0.005450;1.009858;
0.005460;1.009499;
0.005470;1.009150;
0.005480;1.008811;
0.005490;1.008482;
0.005500;1.008162;
0.005510;1.007852;
0.005520;1.007552;
0.005530;1.007260;
0.005540;1.006978;
0.005550;1.006706;
0.005560;1.006442;
0.005570;1.006187;
0.005580;1.005942;
0.005590;1.005705;
0.005600;1.005476;
0.005610;1.005257;
0.005620;1.005045;
0.005630;1.004843;
0.005640;1.004648;
0.005650;1.004462;
0.005660;1.004284;
0.005670;1.004114;
0.005680;1.003951;
0.005690;1.003797;
0.005700;1.003650;
0.005710;1.003511;
0.005720;1.003379;
0.005730;1.003254;
0.005740;1.003137;
0.005750;1.003027;
0.005760;1.002924;
0.005770;1.002827;
0.005780;1.002738;
0.005790;1.002655;
0.005800;1.002578;
0.005810;1.002509;
0.005820;1.002445;
0.005830;1.002388;
0.005840;1.002336;
0.005850;1.002291;
0.005860;1.002252;
0.005870;1.002218;
0.005880;1.002190;
0.005890;1.002168;
0.005900;1.002151;
0.005910;1.002139;
0.005920;1.002132;
0.005930;1.002131;
0.005940;1.002135;
0.005950;1.002143;
0.005960;1.002156;
0.005970;1.002174;
0.005980;1.002196;
0.005990;1.002223;
0.006000;1.002254;
0.006010;1.002289;
0.006020;1.002329;
0.006030;1.002372;
0.006040;1.002420;
0.006050;1.002471;
0.006060;1.002525;
0.006070;1.002584;
0.006080;1.002645;
0.006090;1.002711;
0.006100;1.002779;
0.006110;1.002851;
0.006120;1.002925;
0.006130;1.003003;
0.006140;1.003083;
0.006150;1.003166;
0.006160;1.003252;
0.006170;1.003341;
0.006180;1.003432;
0.006190;1.003525;
0.006200;1.003620;
0.006210;1.003718;
0.006220;1.003818;
0.006230;1.003920;
0.006240;1.004024;
0.006250;1.004129;
0.006260;1.004236;
0.006270;1.004345;
0.006280;1.004456;
0.006290;1.004568;
0.006300;1.004681;
0.006310;1.004796;
0.006320;1.004912;
0.006330;1.005029;
0.006340;1.005147;
0.006350;1.005266;
0.006360;1.005386;
0.006370;1.005507;
0.006380;1.005629;
0.006390;1.005751;
0.006400;1.005874;
0.006410;1.005997;
0.006420;1.006121;
0.006430;1.006245;
0.006440;1.006370;
0.006450;1.006494;
0.006460;1.006619;
0.006470;1.006744;
0.006480;1.006870;
0.006490;1.006995;
0.006500;1.007120;
0.006510;1.007245;
0.006520;1.007369;
0.006530;1.007494;
0.006540;1.007618;
0.006550;1.007741;
0.006560;1.007865;
0.006570;1.007987;
0.006580;1.008110;
