time;NETWORK_T3_1_i_a;NETWORK_T3_2_i_a;NETWORK_T3_3_i_a;NETWORK_T3_FictBUS_v_a;NETWORK_B2_v_a;NETWORK_B3_v_a;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000010;-0.004442;0.000000;0.000000;0.000222;0.000000;0.000000;
0.000020;-0.008881;0.000002;0.000002;0.000888;0.000000;0.000000;
0.000030;-0.013315;0.000007;0.000007;0.001997;0.000001;0.000001;
0.000040;-0.017744;0.000015;0.000015;0.003548;0.000002;0.000002;
0.000050;-0.022166;0.000030;0.000030;0.005539;0.000004;0.000004;
0.000060;-0.026580;0.000051;0.000051;0.007968;0.000008;0.000008;
0.000070;-0.030983;0.000080;0.000080;0.010833;0.000014;0.000014;
0.000080;-0.035375;0.000119;0.000119;0.014131;0.000024;0.000024;
0.000090;-0.039754;0.000169;0.000169;0.017859;0.000037;0.000038;
0.000100;-0.044119;0.000232;0.000232;0.022012;0.000057;0.000058;
0.000110;-0.048469;0.000308;0.000308;0.026588;0.000082;0.000084;
0.000120;-0.052802;0.000399;0.000399;0.031580;0.000116;0.000118;
0.000130;-0.057116;0.000506;0.000506;0.036986;0.000158;0.000162;
0.000140;-0.061411;0.000631;0.000631;0.042799;0.000211;0.000217;
0.000150;-0.065686;0.000774;0.000774;0.049013;0.000277;0.000285;
0.000160;-0.069938;0.000937;0.000937;0.055623;0.000356;0.000367;
0.000170;-0.074166;0.001121;0.001121;0.062622;0.000451;0.000466;
0.000180;-0.078370;0.001327;0.001327;0.070004;0.000563;0.000583;
0.000190;-0.082548;0.001557;0.001557;0.077762;0.000695;0.000721;
0.000200;-0.086699;0.001811;0.001811;0.085888;0.000848;0.000881;
0.000210;-0.090822;0.002091;0.002090;0.094373;0.001024;0.001066;
0.000220;-0.094915;0.002397;0.002396;0.103212;0.001226;0.001279;
0.000230;-0.098978;0.002731;0.002730;0.112394;0.001455;0.001521;
0.000240;-0.103009;0.003093;0.003092;0.121911;0.001715;0.001796;
0.000250;-0.107008;0.003484;0.003483;0.131754;0.002006;0.002105;
0.000260;-0.110972;0.003906;0.003905;0.141914;0.002333;0.002452;
0.000270;-0.114902;0.004359;0.004357;0.152381;0.002696;0.002838;
0.000280;-0.118797;0.004844;0.004842;0.163146;0.003098;0.003268;
0.000290;-0.122654;0.005362;0.005359;0.174198;0.003542;0.003743;
0.000300;-0.126474;0.005914;0.005910;0.185528;0.004030;0.004266;
0.000310;-0.130255;0.006499;0.006495;0.197123;0.004565;0.004841;
0.000320;-0.133997;0.007120;0.007114;0.208974;0.005148;0.005470;
0.000330;-0.137699;0.007776;0.007769;0.221070;0.005784;0.006156;
0.000340;-0.141360;0.008468;0.008460;0.233400;0.006473;0.006902;
0.000350;-0.144979;0.009197;0.009187;0.245951;0.007220;0.007711;
0.000360;-0.148556;0.009962;0.009951;0.258713;0.008025;0.008587;
0.000370;-0.152089;0.010766;0.010753;0.271673;0.008892;0.009531;
0.000380;-0.155579;0.011607;0.011592;0.284821;0.009824;0.010548;
0.000390;-0.159025;0.012486;0.012469;0.298144;0.010822;0.011640;
0.000400;-0.162426;0.013404;0.013384;0.311629;0.011890;0.012810;
0.000410;-0.165781;0.014361;0.014338;0.325265;0.013029;0.014062;
0.000420;-0.169090;0.015357;0.015331;0.339039;0.014242;0.015398;
0.000430;-0.172353;0.016392;0.016362;0.352939;0.015532;0.016822;
0.000440;-0.175570;0.017467;0.017432;0.366953;0.016900;0.018336;
0.000450;-0.178739;0.018581;0.018541;0.381067;0.018350;0.019943;
0.000460;-0.181861;0.019734;0.019690;0.395270;0.019884;0.021647;
0.000470;-0.184935;0.020927;0.020877;0.409548;0.021503;0.023450;
0.000480;-0.187961;0.022159;0.022102;0.423890;0.023210;0.025354;
0.000490;-0.190939;0.023431;0.023367;0.438282;0.025007;0.027364;
0.000500;-0.193869;0.024741;0.024669;0.452712;0.026897;0.029482;
0.000510;-0.196750;0.026091;0.026010;0.467167;0.028881;0.031710;
0.000520;-0.199583;0.027479;0.027389;0.481635;0.030961;0.034051;
0.000530;-0.202367;0.028905;0.028805;0.496104;0.033139;0.036508;
0.000540;-0.205102;0.030369;0.030258;0.510560;0.035417;0.039083;
0.000550;-0.207789;0.031871;0.031748;0.524993;0.037797;0.041779;
0.000560;-0.210428;0.033410;0.033274;0.539388;0.040280;0.044598;
0.000570;-0.213018;0.034986;0.034836;0.553735;0.042868;0.047543;
0.000580;-0.215560;0.036598;0.036433;0.568022;0.045563;0.050616;
0.000590;-0.218053;0.038245;0.038064;0.582235;0.048366;0.053819;
0.000600;-0.220499;0.039928;0.039728;0.596365;0.051278;0.057153;
0.000610;-0.222897;0.041645;0.041426;0.610398;0.054301;0.060622;
0.000620;-0.225248;0.043395;0.043156;0.624324;0.057436;0.064227;
0.000630;-0.227552;0.045179;0.044918;0.638132;0.060683;0.067970;
0.000640;-0.229810;0.046995;0.046710;0.651810;0.064045;0.071852;
0.000650;-0.232021;0.048842;0.048532;0.665348;0.067521;0.075876;
0.000660;-0.234186;0.050720;0.050383;0.678734;0.071113;0.080042;
0.000670;-0.236306;0.052627;0.052262;0.691959;0.074821;0.084352;
0.000680;-0.238381;0.054564;0.054167;0.705012;0.078646;0.088808;
0.000690;-0.240412;0.056528;0.056099;0.717884;0.082588;0.093410;
0.000700;-0.242399;0.058520;0.058055;0.730565;0.086648;0.098160;
0.000710;-0.244343;0.060537;0.060035;0.743044;0.090826;0.103058;
0.000720;-0.246244;0.062579;0.062038;0.755314;0.095122;0.108106;
0.000730;-0.248104;0.064645;0.064062;0.767365;0.099537;0.113304;
0.000740;-0.249922;0.066734;0.066107;0.779189;0.104070;0.118653;
0.000750;-0.251700;0.068844;0.068170;0.790778;0.108721;0.124153;
0.000760;-0.253437;0.070976;0.070252;0.802122;0.113490;0.129804;
0.000770;-0.255136;0.073126;0.072350;0.813216;0.118376;0.135607;
0.000780;-0.256797;0.075295;0.074463;0.824051;0.123380;0.141562;
