time;NETWORK_TFO_i_a;NETWORK_B1_v_a;
0.000000;0.000000;0.000000;
0.000010;0.044058;0.004196;
0.000020;0.087598;0.016335;
0.000030;0.130150;0.035517;
0.000040;0.171302;0.060844;
0.000050;0.210698;0.091431;
0.000060;0.248036;0.126412;
0.000070;0.283067;0.164954;
0.000080;0.315593;0.206259;
0.000090;0.345466;0.249573;
0.000100;0.372582;0.294190;
0.000110;0.396881;0.339454;
0.000120;0.418340;0.384765;
0.000130;0.436974;0.429579;
0.000140;0.452829;0.473410;
0.000150;0.465980;0.515829;
0.000160;0.476527;0.556465;
0.000170;0.484591;0.595003;
0.000180;0.490312;0.631184;
0.000190;0.493844;0.664801;
0.000200;0.495350;0.695695;
0.000210;0.495006;0.723758;
0.000220;0.492990;0.748924;
0.000230;0.489483;0.771167;
0.000240;0.484668;0.790499;
0.000250;0.478726;0.806965;
0.000260;0.471831;0.820640;
0.000270;0.464157;0.831626;
0.000280;0.455866;0.840044;
0.000290;0.447114;0.846038;
0.000300;0.438048;0.849764;
0.000310;0.428803;0.851392;
0.000320;0.419505;0.851098;
0.000330;0.410268;0.849067;
0.000340;0.401193;0.845485;
0.000350;0.392373;0.840541;
0.000360;0.383884;0.834418;
0.000370;0.375796;0.827300;
0.000380;0.368163;0.819363;
0.000390;0.361033;0.810776;
0.000400;0.354438;0.801699;
0.000410;0.348406;0.792284;
0.000420;0.342951;0.782672;
0.000430;0.338083;0.772992;
0.000440;0.333800;0.763363;
0.000450;0.330096;0.753890;
0.000460;0.326957;0.744667;
0.000470;0.324365;0.735777;
0.000480;0.322297;0.727290;
0.000490;0.320724;0.719264;
0.000500;0.319616;0.711748;
0.000510;0.318940;0.704777;
0.000520;0.318659;0.698379;
0.000530;0.318738;0.692572;
0.000540;0.319138;0.687362;
0.000550;0.319821;0.682753;
0.000560;0.320751;0.678735;
0.000570;0.321889;0.675298;
0.000580;0.323199;0.672420;
0.000590;0.324648;0.670080;
0.000600;0.326201;0.668249;
0.000610;0.327827;0.666894;
0.000620;0.329498;0.665983;
0.000630;0.331186;0.665478;
0.000640;0.332867;0.665343;
0.000650;0.334518;0.665537;
0.000660;0.336120;0.666023;
0.000670;0.337655;0.666761;
0.000680;0.339107;0.667714;
0.000690;0.340466;0.668843;
0.000700;0.341719;0.670114;
0.000710;0.342859;0.671491;
0.000720;0.343881;0.672944;
0.000730;0.344778;0.674440;
0.000740;0.345551;0.675954;
0.000750;0.346197;0.677458;
0.000760;0.346718;0.678930;
0.000770;0.347116;0.680349;
0.000780;0.347394;0.681698;
0.000790;0.347557;0.682960;
0.000800;0.347610;0.684123;
0.000810;0.347560;0.685175;
0.000820;0.347413;0.686108;
0.000830;0.347177;0.686916;
0.000840;0.346859;0.687594;
0.000850;0.346466;0.688140;
0.000860;0.346007;0.688552;
0.000870;0.345490;0.688833;
0.000880;0.344922;0.688983;
0.000890;0.344311;0.689007;
0.000900;0.343665;0.688909;
0.000910;0.342989;0.688694;
0.000920;0.342292;0.688369;
0.000930;0.341580;0.687941;
0.000940;0.340857;0.687417;
0.000950;0.340130;0.686804;
0.000960;0.339403;0.686112;
0.000970;0.338680;0.685347;
0.000980;0.337967;0.684518;
0.000990;0.337265;0.683634;
0.001000;0.336577;0.682701;
0.001010;0.335907;0.681728;
0.001020;0.335255;0.680722;
0.001030;0.334624;0.679689;
0.001040;0.334014;0.678637;
0.001050;0.333427;0.677571;
0.001060;0.332861;0.676496;
0.001070;0.332318;0.675418;
0.001080;0.331796;0.674342;
0.001090;0.331296;0.673270;
0.001100;0.330816;0.672207;
0.001110;0.330355;0.671156;
0.001120;0.329912;0.670119;
0.001130;0.329487;0.669098;
0.001140;0.329076;0.668095;
0.001150;0.328679;0.667110;
0.001160;0.328295;0.666145;
0.001170;0.327921;0.665199;
0.001180;0.327555;0.664273;
0.001190;0.327198;0.663367;
0.001200;0.326845;0.662479;
0.001210;0.326497;0.661608;
0.001220;0.326151;0.660755;
0.001230;0.325807;0.659917;
0.001240;0.325462;0.659094;
0.001250;0.325117;0.658283;
0.001260;0.324768;0.657483;
0.001270;0.324416;0.656693;
0.001280;0.324060;0.655910;
0.001290;0.323698;0.655134;
0.001300;0.323330;0.654362;
0.001310;0.322955;0.653592;
0.001320;0.322573;0.652824;
0.001330;0.322184;0.652056;
0.001340;0.321786;0.651286;
0.001350;0.321380;0.650513;
0.001360;0.320966;0.649735;
0.001370;0.320544;0.648952;
0.001380;0.320113;0.648162;
0.001390;0.319673;0.647364;
0.001400;0.319225;0.646558;
0.001410;0.318769;0.645742;
0.001420;0.318306;0.644917;
0.001430;0.317834;0.644081;
0.001440;0.317355;0.643234;
0.001450;0.316869;0.642376;
0.001460;0.316376;0.641506;
0.001470;0.315876;0.640625;
0.001480;0.315371;0.639732;
0.001490;0.314860;0.638827;
0.001500;0.314343;0.637910;
0.001510;0.313821;0.636982;
0.001520;0.313295;0.636042;
0.001530;0.312764;0.635092;
0.001540;0.312229;0.634130;
0.001550;0.311690;0.633157;
0.001560;0.311147;0.632174;
0.001570;0.310601;0.631181;
0.001580;0.310052;0.630179;
0.001590;0.309501;0.629167;
0.001600;0.308946;0.628146;
0.001610;0.308389;0.627116;
0.001620;0.307830;0.626078;
0.001630;0.307268;0.625033;
0.001640;0.306705;0.623979;
0.001650;0.306139;0.622919;
0.001660;0.305571;0.621851;
0.001670;0.305002;0.620777;
0.001680;0.304430;0.619697;
0.001690;0.303857;0.618610;
0.001700;0.303281;0.617518;
0.001710;0.302704;0.616419;
0.001720;0.302125;0.615315;
0.001730;0.301544;0.614206;
0.001740;0.300960;0.613092;
0.001750;0.300375;0.611972;
0.001760;0.299788;0.610847;
0.001770;0.299198;0.609718;
0.001780;0.298607;0.608583;
0.001790;0.298013;0.607444;
0.001800;0.297416;0.606300;
0.001810;0.296817;0.605150;
0.001820;0.296216;0.603996;
0.001830;0.295612;0.602838;
0.001840;0.295006;0.601674;
0.001850;0.294397;0.600505;
0.001860;0.293785;0.599331;
0.001870;0.293170;0.598153;
0.001880;0.292553;0.596969;
0.001890;0.291932;0.595780;
0.001900;0.291309;0.594586;
0.001910;0.290683;0.593386;
0.001920;0.290054;0.592182;
0.001930;0.289422;0.590971;
0.001940;0.288786;0.589756;
0.001950;0.288148;0.588535;
0.001960;0.287507;0.587308;
0.001970;0.286863;0.586076;
0.001980;0.286215;0.584838;
0.001990;0.285565;0.583595;
0.002000;0.284912;0.582345;
0.002010;0.284255;0.581090;
0.002020;0.283596;0.579829;
0.002030;0.282933;0.578563;
0.002040;0.282268;0.577290;
0.002050;0.281599;0.576012;
0.002060;0.280928;0.574727;
0.002070;0.280253;0.573437;
0.002080;0.279576;0.572141;
0.002090;0.278896;0.570839;
0.002100;0.278212;0.569532;
0.002110;0.277526;0.568218;
0.002120;0.276837;0.566898;
0.002130;0.276146;0.565573;
0.002140;0.275451;0.564242;
0.002150;0.274754;0.562905;
0.002160;0.274054;0.561563;
0.002170;0.273351;0.560214;
0.002180;0.272645;0.558860;
0.002190;0.271937;0.557500;
0.002200;0.271226;0.556135;
0.002210;0.270512;0.554764;
0.002220;0.269796;0.553387;
0.002230;0.269077;0.552005;
0.002240;0.268355;0.550617;
0.002250;0.267631;0.549223;
0.002260;0.266904;0.547825;
0.002270;0.266175;0.546420;
0.002280;0.265443;0.545010;
0.002290;0.264708;0.543595;
0.002300;0.263971;0.542175;
0.002310;0.263231;0.540749;
0.002320;0.262489;0.539318;
0.002330;0.261744;0.537881;
0.002340;0.260997;0.536439;
0.002350;0.260247;0.534992;
0.002360;0.259495;0.533540;
0.002370;0.258740;0.532082;
0.002380;0.257982;0.530619;
0.002390;0.257223;0.529151;
0.002400;0.256460;0.527678;
0.002410;0.255695;0.526200;
0.002420;0.254928;0.524716;
0.002430;0.254158;0.523228;
0.002440;0.253385;0.521734;
0.002450;0.252611;0.520235;
0.002460;0.251833;0.518731;
0.002470;0.251053;0.517222;
0.002480;0.250271;0.515708;
0.002490;0.249486;0.514189;
0.002500;0.248699;0.512665;
0.002510;0.247909;0.511135;
0.002520;0.247117;0.509601;
0.002530;0.246323;0.508062;
0.002540;0.245526;0.506518;
0.002550;0.244726;0.504969;
0.002560;0.243924;0.503415;
0.002570;0.243120;0.501856;
0.002580;0.242313;0.500292;
0.002590;0.241504;0.498723;
0.002600;0.240693;0.497149;
0.002610;0.239879;0.495570;
0.002620;0.239063;0.493986;
0.002630;0.238244;0.492398;
0.002640;0.237423;0.490805;
0.002650;0.236600;0.489206;
0.002660;0.235774;0.487603;
0.002670;0.234946;0.485995;
0.002680;0.234116;0.484383;
0.002690;0.233283;0.482765;
0.002700;0.232448;0.481143;
0.002710;0.231611;0.479516;
0.002720;0.230772;0.477884;
0.002730;0.229930;0.476248;
0.002740;0.229086;0.474607;
0.002750;0.228239;0.472961;
0.002760;0.227391;0.471310;
0.002770;0.226540;0.469655;
0.002780;0.225687;0.467995;
0.002790;0.224831;0.466331;
0.002800;0.223974;0.464661;
0.002810;0.223114;0.462988;
0.002820;0.222252;0.461310;
0.002830;0.221388;0.459627;
0.002840;0.220521;0.457939;
0.002850;0.219653;0.456247;
0.002860;0.218782;0.454551;
0.002870;0.217909;0.452850;
0.002880;0.217034;0.451145;
0.002890;0.216157;0.449435;
0.002900;0.215278;0.447721;
0.002910;0.214397;0.446002;
0.002920;0.213513;0.444279;
0.002930;0.212627;0.442551;
0.002940;0.211740;0.440820;
0.002950;0.210850;0.439083;
0.002960;0.209958;0.437343;
0.002970;0.209064;0.435598;
0.002980;0.208168;0.433849;
0.002990;0.207270;0.432095;
0.003000;0.206370;0.430338;
0.003010;0.205468;0.428576;
0.003020;0.204564;0.426810;
0.003030;0.203657;0.425039;
0.003040;0.202749;0.423265;
0.003050;0.201839;0.421486;
0.003060;0.200927;0.419703;
0.003070;0.200013;0.417916;
0.003080;0.199096;0.416125;
0.003090;0.198178;0.414330;
0.003100;0.197258;0.412530;
0.003110;0.196336;0.410727;
0.003120;0.195412;0.408919;
0.003130;0.194486;0.407108;
0.003140;0.193559;0.405292;
0.003150;0.192629;0.403473;
0.003160;0.191697;0.401649;
0.003170;0.190764;0.399822;
0.003180;0.189828;0.397991;
0.003190;0.188891;0.396155;
0.003200;0.187952;0.394316;
0.003210;0.187011;0.392473;
0.003220;0.186068;0.390626;
0.003230;0.185124;0.388775;
0.003240;0.184177;0.386920;
0.003250;0.183229;0.385062;
0.003260;0.182279;0.383199;
0.003270;0.181327;0.381333;
0.003280;0.180373;0.379464;
0.003290;0.179418;0.377590;
0.003300;0.178460;0.375713;
0.003310;0.177501;0.373832;
0.003320;0.176541;0.371947;
0.003330;0.175578;0.370058;
0.003340;0.174614;0.368166;
0.003350;0.173648;0.366271;
0.003360;0.172680;0.364371;
0.003370;0.171711;0.362468;
0.003380;0.170740;0.360562;
0.003390;0.169767;0.358652;
0.003400;0.168792;0.356738;
0.003410;0.167816;0.354821;
0.003420;0.166839;0.352901;
0.003430;0.165859;0.350977;
0.003440;0.164878;0.349049;
0.003450;0.163895;0.347118;
0.003460;0.162911;0.345184;
0.003470;0.161925;0.343246;
0.003480;0.160938;0.341305;
0.003490;0.159949;0.339360;
0.003500;0.158958;0.337412;
0.003510;0.157966;0.335461;
0.003520;0.156972;0.333506;
0.003530;0.155977;0.331548;
0.003540;0.154980;0.329587;
0.003550;0.153981;0.327623;
0.003560;0.152981;0.325655;
0.003570;0.151980;0.323684;
0.003580;0.150977;0.321710;
0.003590;0.149973;0.319733;
0.003600;0.148967;0.317753;
