time;S_circuit_vGenA;S_circuit_vBusA;S_circuit_iGenA;S_circuit_iGenB;S_circuit_iGenC;S_circuit_iLineA;S_circuit_Wr;S_circuit_dtheta;S_circuit_Te;
0.000000;1.300000;1.300000;-0.000000;-0.000000;-0.000000;0.000000;1.000000;1.570796;0.000000;
0.000050;1.297806;1.295769;-0.000034;-0.000098;0.000132;-0.001463;1.000000;1.570796;0.000066;
0.000100;1.295506;1.291916;-0.000104;-0.000526;0.000630;-0.005620;1.000000;1.570796;0.000233;
0.000150;1.293015;1.288727;-0.000203;-0.001398;0.001601;-0.011897;1.000000;1.570796;0.000529;
0.000200;1.290298;1.286364;-0.000323;-0.002716;0.003039;-0.019548;1.000000;1.570796;0.000985;
0.000250;1.287374;1.284831;-0.000454;-0.004477;0.004931;-0.027769;1.000000;1.570796;0.001631;
0.000300;1.284323;1.283981;-0.000589;-0.006672;0.007261;-0.035810;1.000000;1.570796;0.002496;
0.000350;1.281267;1.283544;-0.000717;-0.009288;0.010005;-0.043065;1.000000;1.570796;0.003601;
0.000400;1.278350;1.283178;-0.000826;-0.012304;0.013129;-0.049142;1.000000;1.570796;0.004957;
0.000450;1.275712;1.282539;-0.000902;-0.015692;0.016594;-0.053891;1.000000;1.570796;0.006568;
0.000500;1.273463;1.281343;-0.000929;-0.019418;0.020347;-0.057379;1.000000;1.570796;0.008425;
0.000550;1.271658;1.279418;-0.000893;-0.023440;0.024333;-0.059834;1.000000;1.570796;0.010512;
0.000600;1.270288;1.276738;-0.000777;-0.027712;0.028489;-0.061555;1.000000;1.570796;0.012805;
0.000650;1.269276;1.273421;-0.000568;-0.032185;0.032753;-0.062807;1.000000;1.570796;0.015274;
0.000700;1.268492;1.269706;-0.000256;-0.036808;0.037064;-0.063731;1.000000;1.570796;0.017890;
0.000750;1.267767;1.265904;0.000166;-0.041530;0.041364;-0.064278;1.000000;1.570796;0.020624;
0.000800;1.266929;1.262332;0.000700;-0.046300;0.045600;-0.064180;0.999999;1.570796;0.023447;
0.000850;1.265822;1.259251;0.001345;-0.051072;0.049727;-0.062968;0.999999;1.570796;0.026337;
0.000900;1.264332;1.256809;0.002096;-0.055800;0.053704;-0.060031;0.999999;1.570796;0.029272;
0.000950;1.262403;1.255012;0.002946;-0.060440;0.057494;-0.054706;0.999999;1.570796;0.032230;
0.001000;1.260039;1.253710;0.003888;-0.064953;0.061065;-0.046383;0.999999;1.570796;0.035188;
0.001050;1.257296;1.252629;0.004915;-0.069298;0.064383;-0.034599;0.999999;1.570796;0.038120;
0.001100;1.254261;1.251407;0.006019;-0.073435;0.067416;-0.019116;0.999998;1.570796;0.040991;
0.001150;1.251033;1.249666;0.007195;-0.077327;0.070131;0.000046;0.999998;1.570796;0.043760;
0.001200;1.247690;1.247070;0.008440;-0.080932;0.072493;0.022613;0.999998;1.570796;0.046381;
0.001250;1.244269;1.243383;0.009749;-0.084215;0.074466;0.048116;0.999998;1.570796;0.048799;
0.001300;1.240754;1.238512;0.011119;-0.087138;0.076018;0.075964;0.999998;1.570796;0.050958;
0.001350;1.237065;1.232512;0.012548;-0.089669;0.077121;0.105557;0.999997;1.570796;0.052804;
0.001400;1.233073;1.225570;0.014027;-0.091780;0.077752;0.136376;0.999997;1.570796;0.054285;
0.001450;1.228611;1.217968;0.015551;-0.093448;0.077898;0.168064;0.999997;1.570796;0.055359;
0.001500;1.223504;1.210019;0.017106;-0.094659;0.077553;0.200473;0.999996;1.570796;0.055994;
0.001550;1.217594;1.202003;0.018681;-0.095405;0.076724;0.233658;0.999996;1.570796;0.056168;
0.001600;1.210763;1.194112;0.020261;-0.095684;0.075424;0.267839;0.999996;1.570796;0.055873;
0.001650;1.202955;1.186407;0.021829;-0.095504;0.073675;0.303321;0.999996;1.570796;0.055107;
0.001700;1.194175;1.178807;0.023371;-0.094877;0.071505;0.340401;0.999995;1.570796;0.053878;
0.001750;1.184490;1.171097;0.024874;-0.093819;0.068945;0.379272;0.999995;1.570796;0.052196;
0.001800;1.174012;1.162972;0.026325;-0.092351;0.066025;0.419940;0.999995;1.570795;0.050073;
0.001850;1.162873;1.154089;0.027718;-0.090496;0.062778;0.462187;0.999995;1.570795;0.047520;
0.001900;1.151201;1.144133;0.029047;-0.088278;0.059231;0.505560;0.999994;1.570795;0.044545;
0.001950;1.139093;1.132879;0.030310;-0.085725;0.055415;0.549420;0.999994;1.570795;0.041157;
0.002000;1.126598;1.120231;0.031507;-0.082862;0.051355;0.593011;0.999994;1.570795;0.037365;
0.002050;1.113712;1.106241;0.032639;-0.079720;0.047082;0.635561;0.999994;1.570795;0.033181;
0.002100;1.100375;1.091104;0.033706;-0.076332;0.042625;0.676384;0.999994;1.570795;0.028626;
0.002150;1.086492;1.075121;0.034710;-0.072730;0.038021;0.714965;0.999993;1.570795;0.023729;
0.002200;1.071950;1.058644;0.035648;-0.068955;0.033307;0.751013;0.999993;1.570795;0.018532;
