time;L_circuit_vBusA;L_circuit_vBusB;L_circuit_vBusC;L_circuit_iGenA;L_circuit_iGenB;L_circuit_iGenC;L_circuit_Wr;L_circuit_dtheta;L_circuit_Te;
0.000000;1.282279;-0.746710;-0.535569;-0.308707;0.184149;0.124557;1.000000;1.919862;0.602702;
0.000020;1.283017;-0.740105;-0.542912;-0.308815;0.183381;0.125434;1.000000;1.919862;0.602700;
0.000040;1.283703;-0.733487;-0.550216;-0.309032;0.181843;0.127189;1.000000;1.919862;0.602696;
0.000060;1.284335;-0.726863;-0.557472;-0.309238;0.180297;0.128941;1.000000;1.919862;0.602693;
0.000080;1.284912;-0.720233;-0.564679;-0.309432;0.178742;0.130690;1.000000;1.919862;0.602689;
0.000100;1.285436;-0.713600;-0.571836;-0.309614;0.177178;0.132435;1.000000;1.919862;0.602685;
0.000120;1.285907;-0.706964;-0.578943;-0.309784;0.175606;0.134178;1.000000;1.919862;0.602682;
0.000140;1.286325;-0.700325;-0.586000;-0.309941;0.174024;0.135917;1.000000;1.919862;0.602678;
0.000160;1.286690;-0.693683;-0.593007;-0.310087;0.172434;0.137653;1.000000;1.919862;0.602674;
0.000180;1.287004;-0.687038;-0.599966;-0.310220;0.170836;0.139385;1.000000;1.919862;0.602669;
0.000200;1.287267;-0.680389;-0.606878;-0.310231;0.169165;0.141066;1.000000;1.919862;0.602665;
0.000220;1.287479;-0.673733;-0.613746;-0.310327;0.167543;0.142785;1.000000;1.919862;0.602660;
0.000240;1.287641;-0.667069;-0.620572;-0.310412;0.165912;0.144499;1.000000;1.919862;0.602655;
0.000260;1.287753;-0.660394;-0.627359;-0.310484;0.164274;0.146210;1.000000;1.919862;0.602651;
0.000280;1.287817;-0.653706;-0.634111;-0.310544;0.162627;0.147917;1.000000;1.919862;0.602647;
0.000300;1.287831;-0.647001;-0.640830;-0.310591;0.160972;0.149619;1.000000;1.919862;0.602644;
0.000320;1.287798;-0.640276;-0.647521;-0.310627;0.159310;0.151317;1.000000;1.919862;0.602641;
0.000340;1.287716;-0.633529;-0.654186;-0.310650;0.157639;0.153011;1.000000;1.919862;0.602639;
0.000360;1.287586;-0.626756;-0.660830;-0.310662;0.155961;0.154700;1.000000;1.919862;0.602637;
0.000380;1.287409;-0.619953;-0.667455;-0.310661;0.154275;0.156385;1.000000;1.919862;0.602636;
0.000400;1.287184;-0.613119;-0.674065;-0.310647;0.152581;0.158066;1.000000;1.919862;0.602636;
0.000420;1.286912;-0.606249;-0.680663;-0.310622;0.150880;0.159742;1.000000;1.919862;0.602636;
0.000440;1.286592;-0.599342;-0.687250;-0.310585;0.149170;0.161414;1.000000;1.919862;0.602638;
0.000460;1.286225;-0.592396;-0.693828;-0.310535;0.147453;0.163082;1.000000;1.919862;0.602641;
0.000480;1.285810;-0.585410;-0.700400;-0.310473;0.145728;0.164745;1.000000;1.919862;0.602645;
0.000500;1.285348;-0.578381;-0.706967;-0.310398;0.143995;0.166404;1.000000;1.919862;0.602650;
0.000520;1.284837;-0.571309;-0.713528;-0.310312;0.142253;0.168058;1.000000;1.919862;0.602657;
0.000540;1.284278;-0.564195;-0.720083;-0.310213;0.140504;0.169709;1.000000;1.919862;0.602665;
0.000560;1.283671;-0.557038;-0.726632;-0.310102;0.138747;0.171354;1.000000;1.919862;0.602674;
0.000580;1.283014;-0.549840;-0.733175;-0.309978;0.136982;0.172996;1.000000;1.919862;0.602685;
0.000600;1.282309;-0.542600;-0.739709;-0.309842;0.135210;0.174632;1.000000;1.919862;0.602698;
0.000620;1.281554;-0.535322;-0.746232;-0.309694;0.133429;0.176265;1.000000;1.919862;0.602712;
0.000640;1.280750;-0.528006;-0.752743;-0.309533;0.131641;0.177892;1.000000;1.919862;0.602728;
0.000660;1.279895;-0.520656;-0.759239;-0.309360;0.129845;0.179515;1.000000;1.919862;0.602746;
0.000680;1.278990;-0.513273;-0.765717;-0.309174;0.128041;0.181133;1.000000;1.919862;0.602765;
0.000700;1.278034;-0.505859;-0.772175;-0.308976;0.126231;0.182745;1.000000;1.919862;0.602786;
0.000720;1.277028;-0.498418;-0.778610;-0.308766;0.124413;0.184353;1.000000;1.919862;0.602809;
0.000740;1.275971;-0.490952;-0.785020;-0.308543;0.122588;0.185954;1.000000;1.919862;0.602834;
0.000760;1.274864;-0.483463;-0.791401;-0.308307;0.120757;0.187550;1.000000;1.919862;0.602860;
0.000780;1.273705;-0.475953;-0.797752;-0.308059;0.118920;0.189140;1.000000;1.919862;0.602887;
0.000800;1.272495;-0.468425;-0.804070;-0.307799;0.117076;0.190723;1.000000;1.919862;0.602916;
0.000820;1.271235;-0.460880;-0.810355;-0.307526;0.115227;0.192299;1.000000;1.919862;0.602946;
0.000840;1.269924;-0.453320;-0.816605;-0.307241;0.113373;0.193868;1.000000;1.919862;0.602977;
0.000860;1.268563;-0.445745;-0.822818;-0.306944;0.111513;0.195430;1.000000;1.919862;0.603010;
0.000880;1.267152;-0.438156;-0.828996;-0.306634;0.109649;0.196984;1.000000;1.919862;0.603043;
0.000900;1.265691;-0.430553;-0.835137;-0.306312;0.107781;0.198531;1.000000;1.919862;0.603076;
0.000920;1.264180;-0.422937;-0.841243;-0.305977;0.105909;0.200068;1.000000;1.919862;0.603110;
0.000940;1.262620;-0.415306;-0.847314;-0.305631;0.104033;0.201598;1.000000;1.919862;0.603144;
0.000960;1.261011;-0.407659;-0.853352;-0.305272;0.102154;0.203118;1.000000;1.919862;0.603178;
0.000980;1.259354;-0.399996;-0.859358;-0.304901;0.100272;0.204629;1.000000;1.919862;0.603212;
0.001000;1.257648;-0.392314;-0.865334;-0.304518;0.098388;0.206130;1.000000;1.919862;0.603246;
0.001020;1.255895;-0.384612;-0.871283;-0.304123;0.096501;0.207622;1.000000;1.919862;0.603279;
0.001040;1.254094;-0.376889;-0.877205;-0.303716;0.094612;0.209104;1.000000;1.919862;0.603311;
0.001060;1.252245;-0.369141;-0.883104;-0.303297;0.092721;0.210576;1.000000;1.919862;0.603343;
0.001080;1.250350;-0.361368;-0.888982;-0.302866;0.090828;0.212038;1.000000;1.919862;0.603373;
0.001100;1.248407;-0.353567;-0.894841;-0.302423;0.088933;0.213489;1.000000;1.919862;0.603403;
0.001120;1.246418;-0.345736;-0.900682;-0.301968;0.087038;0.214930;1.000000;1.919862;0.603431;
0.001140;1.244381;-0.337875;-0.906507;-0.301501;0.085140;0.216361;1.000000;1.919862;0.603458;
0.001160;1.242298;-0.329981;-0.912317;-0.301023;0.083242;0.217781;1.000000;1.919862;0.603484;
0.001180;1.240169;-0.322055;-0.918114;-0.300532;0.081343;0.219190;1.000000;1.919862;0.603509;
0.001200;1.237992;-0.314095;-0.923897;-0.300030;0.079442;0.220588;1.000000;1.919862;0.603532;
0.001220;1.235768;-0.306102;-0.929667;-0.299517;0.077540;0.221976;1.000000;1.919862;0.603553;
0.001240;1.233498;-0.298076;-0.935422;-0.298991;0.075637;0.223354;1.000000;1.919862;0.603573;
0.001260;1.231179;-0.290017;-0.941162;-0.298454;0.073733;0.224721;1.000000;1.919862;0.603592;
0.001280;1.228814;-0.281928;-0.946885;-0.297905;0.071828;0.226077;1.000000;1.919862;0.603609;
0.001300;1.226400;-0.273811;-0.952590;-0.297344;0.069922;0.227422;1.000000;1.919862;0.603624;
0.001320;1.223938;-0.265666;-0.958272;-0.296772;0.068015;0.228757;1.000000;1.919862;0.603638;
0.001340;1.221428;-0.257497;-0.963931;-0.296188;0.066106;0.230082;1.000000;1.919862;0.603651;
0.001360;1.218870;-0.249308;-0.969562;-0.295593;0.064197;0.231396;1.000000;1.919862;0.603662;
0.001380;1.216262;-0.241100;-0.975162;-0.294985;0.062286;0.232699;1.000000;1.919862;0.603671;
0.001400;1.213605;-0.232878;-0.980728;-0.294367;0.060374;0.233992;1.000000;1.919862;0.603679;
0.001420;1.210899;-0.224644;-0.986255;-0.293736;0.058462;0.235275;1.000000;1.919862;0.603686;
0.001440;1.208144;-0.216404;-0.991740;-0.293094;0.056548;0.236547;1.000000;1.919862;0.603690;
0.001460;1.205339;-0.208159;-0.997179;-0.292441;0.054633;0.237808;1.000000;1.919862;0.603693;
0.001480;1.202484;-0.199915;-1.002570;-0.291776;0.052718;0.239058;1.000000;1.919862;0.603694;
0.001500;1.199580;-0.191673;-1.007907;-0.291099;0.050801;0.240298;1.000000;1.919862;0.603693;
0.001520;1.196626;-0.183437;-1.013189;-0.290411;0.048885;0.241526;1.000000;1.919862;0.603691;
0.001540;1.193622;-0.175210;-1.018412;-0.289711;0.046967;0.242744;1.000000;1.919862;0.603686;
0.001560;1.190569;-0.166994;-1.023575;-0.289000;0.045049;0.243951;1.000000;1.919862;0.603679;
0.001580;1.187467;-0.158792;-1.028675;-0.288278;0.043131;0.245147;1.000000;1.919862;0.603670;
0.001600;1.184316;-0.150604;-1.033712;-0.287544;0.041213;0.246331;1.000000;1.919862;0.603659;
0.001620;1.181116;-0.142431;-1.038684;-0.286799;0.039294;0.247505;1.000000;1.919862;0.603645;
0.001640;1.177867;-0.134275;-1.043592;-0.286042;0.037375;0.248666;1.000000;1.919862;0.603629;
0.001660;1.174571;-0.126136;-1.048435;-0.285274;0.035457;0.249817;1.000000;1.919862;0.603610;
0.001680;1.171227;-0.118013;-1.053214;-0.284495;0.033539;0.250956;1.000000;1.919862;0.603589;
0.001700;1.167836;-0.109905;-1.057930;-0.283705;0.031621;0.252084;1.000000;1.919862;0.603564;
0.001720;1.164397;-0.101812;-1.062585;-0.282903;0.029703;0.253200;1.000000;1.919862;0.603538;
0.001740;1.160912;-0.093732;-1.067180;-0.282090;0.027786;0.254304;1.000000;1.919862;0.603508;
0.001760;1.157381;-0.085664;-1.071717;-0.281267;0.025869;0.255398;1.000000;1.919862;0.603476;
0.001780;1.153805;-0.077605;-1.076199;-0.280432;0.023952;0.256479;1.000000;1.919862;0.603442;
0.001800;1.150182;-0.069554;-1.080628;-0.279586;0.022036;0.257550;1.000000;1.919862;0.603405;
0.001820;1.146515;-0.061508;-1.085007;-0.278729;0.020120;0.258609;1.000000;1.919862;0.603365;
0.001840;1.142803;-0.053466;-1.089336;-0.277861;0.018204;0.259657;1.000000;1.919862;0.603324;
0.001860;1.139046;-0.045426;-1.093619;-0.276982;0.016288;0.260693;1.000000;1.919862;0.603281;
0.001880;1.135244;-0.037386;-1.097858;-0.276092;0.014372;0.261719;1.000000;1.919862;0.603236;
0.001900;1.131398;-0.029344;-1.102054;-0.275191;0.012456;0.262735;1.000000;1.919862;0.603189;
0.001920;1.127508;-0.021300;-1.106208;-0.274279;0.010540;0.263739;1.000000;1.919862;0.603142;
0.001940;1.123574;-0.013252;-1.110322;-0.273357;0.008624;0.264733;1.000000;1.919862;0.603093;
0.001960;1.119596;-0.005199;-1.114396;-0.272424;0.006706;0.265717;1.000000;1.919862;0.603044;
0.001980;1.115573;0.002858;-1.118431;-0.271479;0.004788;0.266691;1.000000;1.919862;0.602995;
0.002000;1.111506;0.010919;-1.122425;-0.270524;0.002870;0.267655;1.000000;1.919862;0.602946;
0.002020;1.107395;0.018984;-1.126379;-0.269559;0.000950;0.268609;1.000000;1.919862;0.602897;
0.002040;1.103240;0.027051;-1.130291;-0.268582;-0.000971;0.269553;1.000000;1.919862;0.602849;
0.002060;1.099040;0.035120;-1.134161;-0.267595;-0.002894;0.270489;1.000000;1.919862;0.602802;
0.002080;1.094796;0.043189;-1.137985;-0.266597;-0.004817;0.271414;1.000000;1.919862;0.602756;
0.002100;1.090506;0.051256;-1.141763;-0.265589;-0.006742;0.272331;1.000000;1.919862;0.602712;
0.002120;1.086172;0.059319;-1.145492;-0.264569;-0.008669;0.273238;1.000000;1.919862;0.602670;
0.002140;1.081794;0.067376;-1.149169;-0.263540;-0.010597;0.274137;1.000000;1.919862;0.602631;
0.002160;1.077370;0.075424;-1.152794;-0.262499;-0.012527;0.275026;1.000000;1.919862;0.602593;
0.002180;1.072901;0.083461;-1.156362;-0.261448;-0.014458;0.275907;1.000000;1.919862;0.602558;
0.002200;1.068388;0.091485;-1.159873;-0.260387;-0.016391;0.276779;1.000000;1.919862;0.602526;
0.002220;1.063830;0.099493;-1.163323;-0.259315;-0.018325;0.277640;1.000000;1.919862;0.602496;
0.002240;1.059227;0.107484;-1.166712;-0.258234;-0.020260;0.278494;1.000000;1.919862;0.602470;
0.002260;1.054580;0.115457;-1.170037;-0.257142;-0.022196;0.279338;1.000000;1.919862;0.602446;
0.002280;1.049889;0.123409;-1.173298;-0.256040;-0.024134;0.280173;1.000000;1.919862;0.602425;
0.002300;1.045154;0.131340;-1.176493;-0.254927;-0.026072;0.280999;1.000000;1.919862;0.602407;
0.002320;1.040375;0.139248;-1.179623;-0.253805;-0.028011;0.281816;1.000000;1.919862;0.602392;
0.002340;1.035553;0.147135;-1.182688;-0.252672;-0.029951;0.282624;1.000000;1.919862;0.602379;
0.002360;1.030688;0.155000;-1.185688;-0.251530;-0.031892;0.283421;1.000000;1.919862;0.602370;
0.002380;1.025781;0.162843;-1.188624;-0.250377;-0.033833;0.284210;1.000000;1.919862;0.602363;
0.002400;1.020832;0.170666;-1.191498;-0.249215;-0.035774;0.284988;1.000000;1.919862;0.602359;
0.002420;1.015842;0.178470;-1.194312;-0.248042;-0.037715;0.285757;1.000000;1.919862;0.602357;
0.002440;1.010811;0.186257;-1.197068;-0.246860;-0.039656;0.286516;1.000000;1.919862;0.602358;
0.002460;1.005739;0.194029;-1.199769;-0.245669;-0.041596;0.287265;1.000000;1.919862;0.602361;
0.002480;1.000628;0.201789;-1.202417;-0.244467;-0.043536;0.288004;1.000000;1.919862;0.602367;
0.002500;0.995478;0.209538;-1.205016;-0.243256;-0.045476;0.288732;1.000000;1.919862;0.602375;
0.002520;0.990289;0.217279;-1.207569;-0.242036;-0.047414;0.289450;1.000000;1.919862;0.602385;
0.002540;0.985062;0.225016;-1.210078;-0.240806;-0.049352;0.290158;1.000000;1.919862;0.602397;
0.002560;0.979798;0.232750;-1.212548;-0.239567;-0.051288;0.290855;1.000000;1.919862;0.602411;
0.002580;0.974496;0.240485;-1.214981;-0.238319;-0.053224;0.291543;1.000000;1.919862;0.602428;
0.002600;0.969157;0.248222;-1.217379;-0.237061;-0.055158;0.292219;1.000000;1.919862;0.602447;
0.002620;0.963781;0.255965;-1.219746;-0.235794;-0.057091;0.292885;1.000000;1.919862;0.602468;
0.002640;0.958370;0.263714;-1.222084;-0.234519;-0.059022;0.293541;1.000000;1.919862;0.602491;
0.002660;0.952922;0.271472;-1.224394;-0.233234;-0.060952;0.294186;1.000000;1.919862;0.602517;
0.002680;0.947439;0.279239;-1.226678;-0.231940;-0.062881;0.294820;1.000000;1.919862;0.602545;
0.002700;0.941921;0.287016;-1.228937;-0.230637;-0.064807;0.295445;1.000000;1.919862;0.602576;
0.002720;0.936367;0.294804;-1.231171;-0.229326;-0.066733;0.296058;1.000000;1.919862;0.602609;
0.002740;0.930778;0.302602;-1.233380;-0.228005;-0.068656;0.296661;1.000000;1.919862;0.602645;
0.002760;0.925154;0.310411;-1.235564;-0.226676;-0.070578;0.297254;1.000000;1.919862;0.602683;
0.002780;0.919495;0.318228;-1.237722;-0.225338;-0.072498;0.297836;1.000000;1.919862;0.602724;
0.002800;0.913801;0.326052;-1.239853;-0.223992;-0.074415;0.298407;1.000000;1.919862;0.602768;
0.002820;0.908071;0.333883;-1.241954;-0.222637;-0.076331;0.298968;1.000000;1.919862;0.602814;
0.002840;0.902308;0.341717;-1.244025;-0.221273;-0.078245;0.299518;1.000000;1.919862;0.602863;
0.002860;0.896509;0.349553;-1.246062;-0.219901;-0.080156;0.300057;1.000000;1.919862;0.602914;
0.002880;0.890675;0.357388;-1.248063;-0.218521;-0.082065;0.300586;1.000000;1.919862;0.602967;
0.002900;0.884807;0.365219;-1.250026;-0.217132;-0.083971;0.301103;1.000000;1.919862;0.603023;
0.002920;0.878904;0.373044;-1.251948;-0.215735;-0.085875;0.301610;1.000000;1.919862;0.603080;
0.002940;0.872967;0.380860;-1.253826;-0.214329;-0.087775;0.302105;1.000000;1.919862;0.603139;
