time;CAPBUS_cap_p_v_0_;CAPBUS_cap_p_v_1_;CAPBUS_cap_p_v_2_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_Wr;MACHINE_machine_dtheta;MACHINE_machine_Te;
0.000000;1.282263;-0.746701;-0.535562;-0.308702;0.184293;0.124409;1.000000;1.919776;0.602724;
0.000020;1.283002;-0.740097;-0.542906;-0.308810;0.183524;0.125286;1.000000;1.919776;0.602722;
0.000040;1.283689;-0.733479;-0.550209;-0.309029;0.181988;0.127041;1.000000;1.919776;0.602718;
0.000060;1.284321;-0.726855;-0.557465;-0.309236;0.180442;0.128794;1.000000;1.919776;0.602715;
0.000080;1.284899;-0.720226;-0.564672;-0.309431;0.178888;0.130543;1.000000;1.919776;0.602712;
0.000100;1.285423;-0.713594;-0.571830;-0.309615;0.177325;0.132290;1.000000;1.919776;0.602709;
0.000120;1.285894;-0.706958;-0.578936;-0.309786;0.175753;0.134033;1.000000;1.919776;0.602705;
0.000140;1.286312;-0.700319;-0.585993;-0.309945;0.174172;0.135773;1.000000;1.919776;0.602702;
0.000160;1.286677;-0.693677;-0.593000;-0.310092;0.172583;0.137509;1.000000;1.919776;0.602698;
0.000180;1.286990;-0.687032;-0.599958;-0.310226;0.170985;0.139242;1.000000;1.919776;0.602694;
0.000200;1.287253;-0.680382;-0.606870;-0.310238;0.169315;0.140923;1.000000;1.919776;0.602690;
0.000220;1.287464;-0.673726;-0.613738;-0.310336;0.167693;0.142643;1.000000;1.919776;0.602685;
0.000240;1.287625;-0.667061;-0.620564;-0.310421;0.166063;0.144358;1.000000;1.919776;0.602681;
0.000260;1.287737;-0.660386;-0.627351;-0.310495;0.164425;0.146069;1.000000;1.919776;0.602677;
0.000280;1.287799;-0.653697;-0.634102;-0.310556;0.162779;0.147777;1.000000;1.919776;0.602674;
0.000300;1.287813;-0.646992;-0.640821;-0.310605;0.161125;0.149480;1.000000;1.919776;0.602671;
0.000320;1.287778;-0.640267;-0.647511;-0.310641;0.159463;0.151178;1.000000;1.919776;0.602668;
0.000340;1.287695;-0.633519;-0.654176;-0.310666;0.157793;0.152873;1.000000;1.919776;0.602666;
0.000360;1.287564;-0.626745;-0.660819;-0.310679;0.156116;0.154563;1.000000;1.919776;0.602665;
0.000380;1.287386;-0.619941;-0.667444;-0.310679;0.154430;0.156249;1.000000;1.919776;0.602664;
0.000400;1.287160;-0.613106;-0.674054;-0.310667;0.152737;0.157930;1.000000;1.919776;0.602664;
0.000420;1.286887;-0.606236;-0.680651;-0.310643;0.151036;0.159607;1.000000;1.919776;0.602665;
0.000440;1.286566;-0.599329;-0.687237;-0.310606;0.149327;0.161279;1.000000;1.919776;0.602667;
0.000460;1.286198;-0.592382;-0.693816;-0.310558;0.147610;0.162948;1.000000;1.919776;0.602670;
0.000480;1.285783;-0.585395;-0.700388;-0.310497;0.145885;0.164612;1.000000;1.919776;0.602674;
0.000500;1.285320;-0.578366;-0.706954;-0.310424;0.144153;0.166271;1.000000;1.919776;0.602680;
0.000520;1.284810;-0.571295;-0.713515;-0.310338;0.142412;0.167926;1.000000;1.919776;0.602686;
0.000540;1.284251;-0.564181;-0.720070;-0.310241;0.140664;0.169577;1.000000;1.919776;0.602694;
0.000560;1.283644;-0.557024;-0.726620;-0.310131;0.138907;0.171224;1.000000;1.919776;0.602704;
0.000580;1.282989;-0.549826;-0.733163;-0.310008;0.137143;0.172866;1.000000;1.919776;0.602715;
0.000600;1.282284;-0.542587;-0.739697;-0.309873;0.135370;0.174503;1.000000;1.919776;0.602728;
0.000620;1.281530;-0.535309;-0.746221;-0.309726;0.133590;0.176136;1.000000;1.919776;0.602743;
