time;L_circuit_vBusA;L_circuit_vBusB;L_circuit_vBusC;L_circuit_iGenA;L_circuit_iGenB;L_circuit_iGenC;L_circuit_Wr;L_circuit_dtheta;L_circuit_Te;
0.000000;1.282261;-0.746714;-0.535547;-0.308705;0.184298;0.124407;1.000000;1.919771;0.602724;
0.000020;1.283001;-0.740110;-0.542890;-0.308815;0.183530;0.125284;1.000000;1.919771;0.602722;
0.000040;1.283687;-0.733493;-0.550194;-0.309032;0.181993;0.127039;1.000000;1.919771;0.602718;
0.000060;1.284319;-0.726869;-0.557450;-0.309239;0.180447;0.128791;1.000000;1.919771;0.602715;
0.000080;1.284898;-0.720240;-0.564657;-0.309434;0.178893;0.130541;1.000000;1.919771;0.602711;
0.000100;1.285422;-0.713608;-0.571815;-0.309617;0.177330;0.132287;1.000000;1.919771;0.602708;
0.000120;1.285893;-0.706972;-0.578922;-0.309788;0.175758;0.134030;1.000000;1.919771;0.602704;
0.000140;1.286311;-0.700333;-0.585978;-0.309947;0.174177;0.135770;1.000000;1.919771;0.602700;
0.000160;1.286677;-0.693692;-0.592985;-0.310094;0.172587;0.137506;1.000000;1.919771;0.602696;
0.000180;1.286991;-0.687047;-0.599944;-0.310228;0.170989;0.139239;1.000000;1.919771;0.602692;
0.000200;1.287253;-0.680397;-0.606856;-0.310240;0.169320;0.140921;1.000000;1.919771;0.602687;
0.000220;1.287465;-0.673741;-0.613724;-0.310338;0.167698;0.142640;1.000000;1.919771;0.602682;
0.000240;1.287627;-0.667077;-0.620550;-0.310423;0.166068;0.144355;1.000000;1.919771;0.602678;
0.000260;1.287739;-0.660402;-0.627337;-0.310496;0.164429;0.146067;1.000000;1.919771;0.602674;
0.000280;1.287802;-0.653713;-0.634089;-0.310557;0.162783;0.147774;1.000000;1.919771;0.602670;
0.000300;1.287816;-0.647008;-0.640808;-0.310606;0.161129;0.149477;1.000000;1.919771;0.602667;
0.000320;1.287781;-0.640283;-0.647498;-0.310643;0.159467;0.151176;1.000000;1.919771;0.602664;
0.000340;1.287699;-0.633535;-0.654163;-0.310667;0.157797;0.152870;1.000000;1.919771;0.602661;
0.000360;1.287569;-0.626762;-0.660807;-0.310680;0.156119;0.154560;1.000000;1.919771;0.602660;
0.000380;1.287391;-0.619959;-0.667432;-0.310680;0.154434;0.156246;1.000000;1.919771;0.602659;
0.000400;1.287165;-0.613123;-0.674042;-0.310668;0.152741;0.157927;1.000000;1.919771;0.602659;
0.000420;1.286892;-0.606253;-0.680639;-0.310643;0.151039;0.159604;1.000000;1.919771;0.602659;
0.000440;1.286572;-0.599346;-0.687226;-0.310607;0.149330;0.161277;1.000000;1.919771;0.602661;
0.000460;1.286205;-0.592400;-0.693804;-0.310558;0.147613;0.162945;1.000000;1.919771;0.602664;
0.000480;1.285789;-0.585413;-0.700376;-0.310497;0.145889;0.164609;1.000000;1.919771;0.602668;
0.000500;1.285327;-0.578384;-0.706943;-0.310424;0.144156;0.166268;1.000000;1.919771;0.602673;
0.000520;1.284816;-0.571312;-0.713504;-0.310338;0.142415;0.167923;1.000000;1.919771;0.602679;
0.000540;1.284257;-0.564198;-0.720059;-0.310241;0.140666;0.169574;1.000000;1.919771;0.602687;
0.000560;1.283650;-0.557041;-0.726609;-0.310130;0.138910;0.171221;1.000000;1.919771;0.602696;
0.000580;1.282994;-0.549843;-0.733151;-0.310008;0.137145;0.172863;1.000000;1.919771;0.602707;
0.000600;1.282289;-0.542604;-0.739685;-0.309873;0.135373;0.174500;1.000000;1.919771;0.602720;
0.000620;1.281535;-0.535326;-0.746209;-0.309726;0.133593;0.176133;1.000000;1.919771;0.602734;
0.000640;1.280731;-0.528010;-0.752720;-0.309566;0.131805;0.177761;1.000000;1.919771;0.602750;
0.000660;1.279877;-0.520660;-0.759216;-0.309394;0.130009;0.179385;1.000000;1.919771;0.602768;
0.000680;1.278972;-0.513277;-0.765695;-0.309209;0.128206;0.181003;1.000000;1.919771;0.602788;
0.000700;1.278018;-0.505865;-0.772153;-0.309012;0.126396;0.182617;1.000000;1.919771;0.602809;
0.000720;1.277012;-0.498424;-0.778588;-0.308803;0.124578;0.184224;1.000000;1.919771;0.602832;
0.000740;1.275956;-0.490958;-0.784998;-0.308581;0.122754;0.185827;1.000000;1.919771;0.602856;
0.000760;1.274849;-0.483470;-0.791379;-0.308347;0.120923;0.187423;1.000000;1.919771;0.602882;
0.000780;1.273691;-0.475961;-0.797730;-0.308100;0.119086;0.189014;1.000000;1.919771;0.602910;
0.000800;1.272482;-0.468433;-0.804049;-0.307841;0.117243;0.190597;1.000000;1.919771;0.602939;
0.000820;1.271223;-0.460889;-0.810334;-0.307569;0.115395;0.192174;1.000000;1.919771;0.602969;
0.000840;1.269912;-0.453329;-0.816584;-0.307285;0.113540;0.193745;1.000000;1.919771;0.603000;
0.000860;1.268552;-0.445754;-0.822797;-0.306989;0.111681;0.195307;1.000000;1.919771;0.603033;
0.000880;1.267141;-0.438166;-0.828975;-0.306680;0.109818;0.196862;1.000000;1.919771;0.603065;
0.000900;1.265680;-0.430563;-0.835116;-0.306359;0.107950;0.198409;1.000000;1.919771;0.603099;
0.000920;1.264169;-0.422947;-0.841222;-0.306026;0.106078;0.199948;1.000000;1.919771;0.603133;
0.000940;1.262609;-0.415316;-0.847293;-0.305680;0.104203;0.201478;1.000000;1.919771;0.603167;
0.000960;1.261000;-0.407669;-0.853331;-0.305323;0.102324;0.202999;1.000000;1.919771;0.603201;
0.000980;1.259342;-0.400006;-0.859337;-0.304953;0.100442;0.204510;1.000000;1.919771;0.603235;
0.001000;1.257636;-0.392324;-0.865312;-0.304571;0.098558;0.206013;1.000000;1.919771;0.603269;
0.001020;1.255882;-0.384622;-0.871260;-0.304177;0.096671;0.207505;1.000000;1.919771;0.603302;
0.001040;1.254081;-0.376898;-0.877183;-0.303771;0.094783;0.208988;1.000000;1.919771;0.603334;
0.001060;1.252232;-0.369150;-0.883082;-0.303353;0.092892;0.210461;1.000000;1.919771;0.603366;
0.001080;1.250335;-0.361376;-0.888959;-0.302923;0.090999;0.211924;1.000000;1.919771;0.603397;
0.001100;1.248392;-0.353575;-0.894817;-0.302481;0.089105;0.213376;1.000000;1.919771;0.603426;
0.001120;1.246402;-0.345744;-0.900658;-0.302027;0.087210;0.214817;1.000000;1.919771;0.603455;
0.001140;1.244365;-0.337882;-0.906483;-0.301561;0.085313;0.216249;1.000000;1.919771;0.603482;
0.001160;1.242282;-0.329989;-0.912294;-0.301084;0.083415;0.217669;1.000000;1.919771;0.603508;
0.001180;1.240152;-0.322062;-0.918090;-0.300595;0.081515;0.219079;1.000000;1.919771;0.603532;
0.001200;1.237975;-0.314102;-0.923873;-0.300094;0.079615;0.220479;1.000000;1.919771;0.603555;
0.001220;1.235751;-0.306109;-0.929642;-0.299581;0.077713;0.221868;1.000000;1.919771;0.603577;
0.001240;1.233480;-0.298083;-0.935398;-0.299056;0.075810;0.223246;1.000000;1.919771;0.603597;
0.001260;1.231162;-0.290025;-0.941138;-0.298520;0.073907;0.224614;1.000000;1.919771;0.603615;
0.001280;1.228797;-0.281936;-0.946861;-0.297972;0.072002;0.225971;1.000000;1.919771;0.603632;
0.001300;1.226384;-0.273818;-0.952565;-0.297413;0.070096;0.227317;1.000000;1.919771;0.603648;
0.001320;1.223922;-0.265674;-0.958248;-0.296841;0.068188;0.228653;1.000000;1.919771;0.603662;
0.001340;1.221413;-0.257506;-0.963907;-0.296258;0.066280;0.229978;1.000000;1.919771;0.603674;
0.001360;1.218855;-0.249317;-0.969538;-0.295664;0.064371;0.231293;1.000000;1.919771;0.603685;
0.001380;1.216248;-0.241110;-0.975138;-0.295058;0.062460;0.232598;1.000000;1.919771;0.603694;
0.001400;1.213592;-0.232888;-0.980704;-0.294440;0.060549;0.233891;1.000000;1.919771;0.603702;
0.001420;1.210887;-0.224656;-0.986231;-0.293811;0.058636;0.235175;1.000000;1.919771;0.603709;
0.001440;1.208132;-0.216416;-0.991717;-0.293170;0.056722;0.236447;1.000000;1.919771;0.603713;
0.001460;1.205328;-0.208172;-0.997156;-0.292517;0.054808;0.237709;1.000000;1.919771;0.603716;
0.001480;1.202474;-0.199928;-1.002546;-0.291853;0.052892;0.238961;1.000000;1.919771;0.603717;
0.001500;1.199571;-0.191687;-1.007884;-0.291177;0.050976;0.240201;1.000000;1.919771;0.603717;
0.001520;1.196618;-0.183452;-1.013166;-0.290490;0.049059;0.241431;1.000000;1.919771;0.603714;
0.001540;1.193615;-0.175225;-1.018389;-0.289792;0.047142;0.242650;1.000000;1.919771;0.603709;
0.001560;1.190562;-0.167010;-1.023552;-0.289082;0.045224;0.243857;1.000000;1.919771;0.603702;
0.001580;1.187461;-0.158808;-1.028653;-0.288360;0.043306;0.245054;1.000000;1.919771;0.603693;
0.001600;1.184310;-0.150620;-1.033689;-0.287627;0.041388;0.246239;1.000000;1.919771;0.603682;
0.001620;1.181110;-0.142448;-1.038662;-0.286883;0.039469;0.247414;1.000000;1.919771;0.603668;
0.001640;1.177862;-0.134293;-1.043569;-0.286127;0.037551;0.248576;1.000000;1.919771;0.603652;
0.001660;1.174566;-0.126154;-1.048412;-0.285360;0.035633;0.249728;1.000000;1.919771;0.603633;
0.001680;1.171222;-0.118031;-1.053191;-0.284582;0.033714;0.250868;1.000000;1.919771;0.603612;
0.001700;1.167830;-0.109923;-1.057907;-0.283793;0.031796;0.251997;1.000000;1.919771;0.603588;
0.001720;1.164392;-0.101830;-1.062562;-0.282992;0.029879;0.253114;1.000000;1.919771;0.603561;
0.001740;1.160906;-0.093750;-1.067156;-0.282181;0.027961;0.254219;1.000000;1.919771;0.603532;
0.001760;1.157375;-0.085681;-1.071694;-0.281358;0.026045;0.255313;1.000000;1.919771;0.603500;
0.001780;1.153798;-0.077622;-1.076175;-0.280524;0.024128;0.256396;1.000000;1.919771;0.603465;
0.001800;1.150175;-0.069571;-1.080604;-0.279679;0.022212;0.257467;1.000000;1.919771;0.603428;
0.001820;1.146507;-0.061525;-1.084982;-0.278823;0.020295;0.258527;1.000000;1.919771;0.603389;
0.001840;1.142794;-0.053483;-1.089311;-0.277956;0.018380;0.259576;1.000000;1.919771;0.603347;
0.001860;1.139037;-0.045442;-1.093594;-0.277078;0.016464;0.260614;1.000000;1.919771;0.603304;
0.001880;1.135235;-0.037402;-1.097833;-0.276189;0.014548;0.261641;1.000000;1.919771;0.603259;
0.001900;1.131389;-0.029360;-1.102029;-0.275289;0.012632;0.262657;1.000000;1.919771;0.603213;
0.001920;1.127498;-0.021315;-1.106183;-0.274378;0.010715;0.263663;1.000000;1.919771;0.603165;
0.001940;1.123564;-0.013267;-1.110297;-0.273456;0.008799;0.264658;1.000000;1.919771;0.603116;
0.001960;1.119585;-0.005214;-1.114371;-0.272524;0.006881;0.265643;1.000000;1.919771;0.603067;
0.001980;1.115563;0.002843;-1.118405;-0.271581;0.004963;0.266617;1.000000;1.919771;0.603018;
0.002000;1.111496;0.010904;-1.122400;-0.270627;0.003044;0.267582;1.000000;1.919771;0.602969;
0.002020;1.107385;0.018969;-1.126354;-0.269662;0.001124;0.268537;1.000000;1.919771;0.602920;
0.002040;1.103230;0.027036;-1.130266;-0.268686;-0.000797;0.269483;1.000000;1.919771;0.602872;
0.002060;1.099031;0.035105;-1.134136;-0.267700;-0.002719;0.270419;1.000000;1.919771;0.602825;
0.002080;1.094787;0.043174;-1.137960;-0.266703;-0.004643;0.271346;1.000000;1.919771;0.602779;
0.002100;1.090498;0.051240;-1.141738;-0.265695;-0.006568;0.272263;1.000000;1.919771;0.602735;
0.002120;1.086165;0.059303;-1.145467;-0.264677;-0.008495;0.273172;1.000000;1.919771;0.602693;
0.002140;1.081787;0.067359;-1.149146;-0.263648;-0.010424;0.274071;1.000000;1.919771;0.602654;
0.002160;1.077364;0.075406;-1.152770;-0.262608;-0.012354;0.274962;1.000000;1.919771;0.602616;
0.002180;1.072896;0.083443;-1.156339;-0.261558;-0.014285;0.275843;1.000000;1.919771;0.602581;
0.002200;1.068384;0.091466;-1.159850;-0.260498;-0.016218;0.276716;1.000000;1.919771;0.602549;
0.002220;1.063826;0.099474;-1.163300;-0.259427;-0.018152;0.277579;1.000000;1.919771;0.602519;
0.002240;1.059224;0.107465;-1.166689;-0.258346;-0.020087;0.278433;1.000000;1.919771;0.602492;
0.002260;1.054578;0.115437;-1.170015;-0.257255;-0.022024;0.279279;1.000000;1.919771;0.602469;
0.002280;1.049887;0.123389;-1.173276;-0.256154;-0.023961;0.280115;1.000000;1.919771;0.602448;
0.002300;1.045152;0.131319;-1.176471;-0.255042;-0.025900;0.280942;1.000000;1.919771;0.602430;
0.002320;1.040374;0.139228;-1.179602;-0.253921;-0.027839;0.281760;1.000000;1.919771;0.602415;
0.002340;1.035552;0.147114;-1.182666;-0.252789;-0.029779;0.282568;1.000000;1.919771;0.602402;
0.002360;1.030688;0.154979;-1.185666;-0.251647;-0.031720;0.283367;1.000000;1.919771;0.602393;
0.002380;1.025781;0.162822;-1.188603;-0.250496;-0.033661;0.284157;1.000000;1.919771;0.602386;
0.002400;1.020832;0.170645;-1.191477;-0.249334;-0.035602;0.284936;1.000000;1.919771;0.602382;
0.002420;1.015841;0.178450;-1.194291;-0.248163;-0.037544;0.285706;1.000000;1.919771;0.602381;
0.002440;1.010810;0.186237;-1.197047;-0.246982;-0.039485;0.286466;1.000000;1.919771;0.602381;
0.002460;1.005738;0.194009;-1.199747;-0.245791;-0.041425;0.287216;1.000000;1.919771;0.602385;
0.002480;1.000627;0.201769;-1.202396;-0.244590;-0.043366;0.287956;1.000000;1.919771;0.602390;
0.002500;0.995476;0.209518;-1.204994;-0.243380;-0.045305;0.288685;1.000000;1.919771;0.602398;
0.002520;0.990287;0.217260;-1.207547;-0.242161;-0.047244;0.289405;1.000000;1.919771;0.602408;
0.002540;0.985059;0.224997;-1.210056;-0.240932;-0.049182;0.290113;1.000000;1.919771;0.602420;
0.002560;0.979794;0.232732;-1.212526;-0.239693;-0.051119;0.290812;1.000000;1.919771;0.602435;
0.002580;0.974491;0.240467;-1.214959;-0.238446;-0.053054;0.291500;1.000000;1.919771;0.602451;
0.002600;0.969152;0.248205;-1.217357;-0.237189;-0.054989;0.292178;1.000000;1.919771;0.602470;
0.002620;0.963776;0.255948;-1.219724;-0.235923;-0.056922;0.292845;1.000000;1.919771;0.602491;
0.002640;0.958364;0.263698;-1.222062;-0.234648;-0.058854;0.293501;1.000000;1.919771;0.602514;
0.002660;0.952916;0.271456;-1.224372;-0.233364;-0.060784;0.294148;1.000000;1.919771;0.602540;
0.002680;0.947433;0.279223;-1.226656;-0.232071;-0.062713;0.294783;1.000000;1.919771;0.602568;
0.002700;0.941914;0.287000;-1.228915;-0.230769;-0.064640;0.295408;1.000000;1.919771;0.602599;
0.002720;0.936360;0.294788;-1.231149;-0.229458;-0.066565;0.296023;1.000000;1.919771;0.602632;
0.002740;0.930772;0.302587;-1.233358;-0.228138;-0.068489;0.296627;1.000000;1.919771;0.602668;
0.002760;0.925148;0.310395;-1.235543;-0.226810;-0.070411;0.297221;1.000000;1.919771;0.602706;
0.002780;0.919489;0.318212;-1.237701;-0.225473;-0.072331;0.297804;1.000000;1.919771;0.602747;
0.002800;0.913795;0.326037;-1.239832;-0.224127;-0.074250;0.298376;1.000000;1.919771;0.602791;
0.002820;0.908066;0.333867;-1.241933;-0.222772;-0.076166;0.298938;1.000000;1.919771;0.602837;
0.002840;0.902303;0.341701;-1.244004;-0.221410;-0.078080;0.299489;1.000000;1.919771;0.602885;
0.002860;0.896505;0.349536;-1.246041;-0.220038;-0.079991;0.300030;1.000000;1.919771;0.602936;
0.002880;0.890672;0.357371;-1.248043;-0.218659;-0.081901;0.300559;1.000000;1.919771;0.602990;
0.002900;0.884805;0.365201;-1.250006;-0.217270;-0.083807;0.301078;1.000000;1.919771;0.603045;
0.002920;0.878903;0.373026;-1.251928;-0.215874;-0.085711;0.301585;1.000000;1.919771;0.603103;
0.002940;0.872966;0.380841;-1.253807;-0.214469;-0.087612;0.302081;1.000000;1.919771;0.603161;
0.002960;0.866995;0.388645;-1.255640;-0.213056;-0.089510;0.302566;1.000000;1.919771;0.603222;
0.002980;0.860990;0.396435;-1.257425;-0.211635;-0.091404;0.303039;1.000000;1.919771;0.603283;
0.003000;0.854951;0.404208;-1.259160;-0.210205;-0.093295;0.303501;1.000000;1.919771;0.603345;
0.003020;0.848879;0.411964;-1.260843;-0.208768;-0.095182;0.303950;1.000000;1.919771;0.603408;
0.003040;0.842773;0.419700;-1.262472;-0.207322;-0.097065;0.304387;1.000000;1.919771;0.603470;
0.003060;0.836633;0.427414;-1.264048;-0.205869;-0.098944;0.304812;1.000000;1.919771;0.603532;
0.003080;0.830462;0.435107;-1.265569;-0.204407;-0.100818;0.305225;1.000000;1.919771;0.603593;
0.003100;0.824258;0.442777;-1.267035;-0.202938;-0.102687;0.305624;1.000000;1.919771;0.603653;
0.003120;0.818022;0.450424;-1.268446;-0.201460;-0.104551;0.306011;1.000000;1.919771;0.603712;
0.003140;0.811755;0.458048;-1.269803;-0.199975;-0.106409;0.306384;1.000000;1.919771;0.603768;
