time;SM_circuit_vTermA;SM_circuit_vTermB;SM_circuit_vTermC;SM_circuit_iStatorA;SM_circuit_iStatorB;SM_circuit_iStatorC;SM_circuit_Wr;SM_circuit_Te;
0.000000;0.000000;-0.707000;0.707000;0.000000;-0.000000;-0.000000;1.000000;0.000000;
0.000010;0.000000;-0.706293;0.706293;-0.000003;0.000003;-0.000000;1.000000;0.000003;
0.000020;0.000000;-0.705587;0.705587;-0.000017;0.000015;0.000002;1.000000;0.000009;
0.000030;0.000000;-0.704882;0.704882;-0.000044;0.000035;0.000008;1.000000;0.000020;
0.000040;0.000001;-0.704178;0.704178;-0.000084;0.000066;0.000018;1.000000;0.000034;
0.000050;0.000001;-0.703475;0.703474;-0.000137;0.000105;0.000033;1.000000;0.000053;
0.000060;0.000002;-0.702772;0.702770;-0.000204;0.000153;0.000051;1.000000;0.000076;
0.000070;0.000003;-0.702071;0.702068;-0.000285;0.000211;0.000074;1.000000;0.000103;
0.000080;0.000005;-0.701370;0.701365;-0.000379;0.000278;0.000101;1.000000;0.000135;
0.000090;0.000007;-0.700671;0.700664;-0.000486;0.000354;0.000132;1.000000;0.000171;
0.000100;0.000010;-0.699972;0.699963;-0.000606;0.000438;0.000168;1.000000;0.000211;
0.000110;0.000013;-0.699275;0.699262;-0.000740;0.000532;0.000208;1.000000;0.000256;
0.000120;0.000017;-0.698579;0.698562;-0.000887;0.000632;0.000255;1.000000;0.000306;
0.000130;0.000022;-0.697884;0.697862;-0.001047;0.000743;0.000304;1.000000;0.000361;
0.000140;0.000028;-0.697191;0.697163;-0.001221;0.000863;0.000358;1.000000;0.000420;
0.000150;0.000034;-0.696499;0.696465;-0.001407;0.000991;0.000416;1.000000;0.000485;
0.000160;0.000042;-0.695808;0.695766;-0.001607;0.001128;0.000479;1.000000;0.000554;
0.000170;0.000050;-0.695118;0.695068;-0.001820;0.001274;0.000546;1.000000;0.000629;
0.000180;0.000060;-0.694430;0.694371;-0.002046;0.001427;0.000619;1.000000;0.000708;
0.000190;0.000070;-0.693744;0.693673;-0.002285;0.001590;0.000696;1.000000;0.000793;
0.000200;0.000082;-0.693059;0.692976;-0.002538;0.001760;0.000778;1.000000;0.000883;
0.000210;0.000096;-0.692375;0.692279;-0.002803;0.001939;0.000865;1.000000;0.000978;
0.000220;0.000110;-0.691693;0.691583;-0.003082;0.002125;0.000956;1.000000;0.001079;
0.000230;0.000126;-0.691013;0.690887;-0.003373;0.002320;0.001053;1.000000;0.001185;
0.000240;0.000144;-0.690335;0.690191;-0.003678;0.002523;0.001155;1.000000;0.001296;
0.000250;0.000163;-0.689658;0.689495;-0.003995;0.002734;0.001262;1.000000;0.001413;
0.000260;0.000184;-0.688983;0.688799;-0.004326;0.002952;0.001374;1.000000;0.001535;
0.000270;0.000206;-0.688309;0.688103;-0.004669;0.003179;0.001491;1.000000;0.001663;
0.000280;0.000230;-0.687638;0.687408;-0.005026;0.003413;0.001613;1.000000;0.001797;
0.000290;0.000256;-0.686968;0.686712;-0.005395;0.003655;0.001740;1.000000;0.001937;
0.000300;0.000283;-0.686300;0.686017;-0.005777;0.003904;0.001873;1.000000;0.002082;
0.000310;0.000313;-0.685635;0.685322;-0.006172;0.004161;0.002011;1.000000;0.002234;
0.000320;0.000344;-0.684971;0.684626;-0.006579;0.004426;0.002154;1.000000;0.002391;
0.000330;0.000378;-0.684309;0.683931;-0.007000;0.004697;0.002302;1.000000;0.002554;
0.000340;0.000414;-0.683649;0.683235;-0.007433;0.004976;0.002456;1.000000;0.002724;
0.000350;0.000452;-0.682991;0.682540;-0.007879;0.005263;0.002616;1.000000;0.002899;
0.000360;0.000492;-0.682336;0.681844;-0.008337;0.005556;0.002781;1.000000;0.003081;
0.000370;0.000534;-0.681682;0.681148;-0.008808;0.005857;0.002951;1.000000;0.003269;
0.000380;0.000579;-0.681031;0.680452;-0.009292;0.006165;0.003127;1.000000;0.003463;
0.000390;0.000626;-0.680382;0.679756;-0.009788;0.006479;0.003309;1.000000;0.003663;
0.000400;0.000675;-0.679735;0.679060;-0.010297;0.006801;0.003496;1.000000;0.003870;
0.000410;0.000727;-0.679090;0.678363;-0.010818;0.007129;0.003689;1.000000;0.004084;
0.000420;0.000782;-0.678448;0.677666;-0.011351;0.007464;0.003887;1.000000;0.004304;
0.000430;0.000839;-0.677808;0.676969;-0.011897;0.007806;0.004091;1.000000;0.004530;
0.000440;0.000899;-0.677171;0.676271;-0.012455;0.008154;0.004301;1.000000;0.004763;
0.000450;0.000962;-0.676535;0.675573;-0.013026;0.008509;0.004517;1.000000;0.005003;
0.000460;0.001028;-0.675903;0.674875;-0.013609;0.008871;0.004738;1.000000;0.005250;
0.000470;0.001096;-0.675272;0.674176;-0.014204;0.009238;0.004966;1.000000;0.005503;
0.000480;0.001168;-0.674644;0.673477;-0.014811;0.009612;0.005199;1.000000;0.005763;
0.000490;0.001242;-0.674019;0.672777;-0.015431;0.009993;0.005438;1.000000;0.006030;
0.000500;0.001319;-0.673396;0.672077;-0.016062;0.010379;0.005683;1.000000;0.006304;
0.000510;0.001400;-0.672776;0.671376;-0.016706;0.010772;0.005934;1.000000;0.006585;
0.000520;0.001484;-0.672159;0.670675;-0.017362;0.011171;0.006191;1.000000;0.006872;
