time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.000000;1.281724;-0.926107;0.552879;0.373228;1.000000;0.805980;0.603303;0.914300;0.923196;
0.000020;1.282851;-0.926835;0.548036;0.378799;1.000000;0.812263;0.603375;0.910962;0.923175;
0.000040;1.283853;-0.927711;0.542933;0.384778;1.000000;0.818546;0.603592;0.907729;0.923113;
0.000060;1.284662;-0.928727;0.537574;0.391153;1.000000;0.824829;0.603952;0.904657;0.923013;
0.000080;1.285219;-0.929872;0.531969;0.397902;1.000000;0.831112;0.604451;0.901798;0.922878;
0.000100;1.285475;-0.931129;0.526130;0.404999;1.000000;0.837396;0.605081;0.899193;0.922711;
0.000120;1.285390;-0.932483;0.520072;0.412410;1.000000;0.843679;0.605833;0.896881;0.922518;
0.000140;1.284937;-0.933913;0.513817;0.420097;1.000000;0.849962;0.606695;0.894887;0.922301;
0.000160;1.284103;-0.935399;0.507384;0.428015;1.000000;0.856245;0.607654;0.893236;0.922067;
0.000180;1.282887;-0.936919;0.500799;0.436120;1.000000;0.862528;0.608694;0.891941;0.921820;
0.000200;1.281307;-0.938450;0.494088;0.444362;1.000000;0.868812;0.609798;0.891012;0.921564;
0.000220;1.279391;-0.939968;0.487276;0.452693;1.000000;0.875095;0.610951;0.890452;0.921303;
0.000240;1.277182;-0.941453;0.480390;0.461064;1.000000;0.881378;0.612133;0.890258;0.921042;
0.000260;1.274737;-0.942884;0.473455;0.469429;1.000000;0.887661;0.613329;0.890420;0.920785;
0.000280;1.272123;-0.944240;0.466497;0.477743;1.000000;0.893944;0.614521;0.890923;0.920534;
0.000300;1.269415;-0.945506;0.459539;0.485967;1.000000;0.900228;0.615694;0.891745;0.920293;
0.000320;1.266697;-0.946665;0.452601;0.494065;1.000000;0.906511;0.616834;0.892855;0.920063;
0.000340;1.264054;-0.947707;0.445700;0.502007;1.000000;0.912794;0.617929;0.894219;0.919847;
0.000360;1.261575;-0.948620;0.438851;0.509769;1.000000;0.919077;0.618969;0.895793;0.919646;
0.000380;1.259347;-0.949400;0.432067;0.517333;1.000000;0.925360;0.619946;0.897528;0.919459;
0.000400;1.257454;-0.950042;0.425355;0.524687;1.000000;0.931643;0.620855;0.899372;0.919289;
0.000420;1.255972;-0.950546;0.418719;0.531827;1.000000;0.937927;0.621692;0.901269;0.919133;
0.000440;1.254968;-0.950913;0.412160;0.538753;0.999999;0.944210;0.622457;0.903161;0.918992;
0.000460;1.254500;-0.951149;0.405678;0.545471;0.999999;0.950493;0.623152;0.904994;0.918864;
0.000480;1.254609;-0.951259;0.399266;0.551993;0.999999;0.956776;0.623780;0.906716;0.918749;
0.000500;1.255326;-0.951253;0.392918;0.558335;0.999999;0.963059;0.624348;0.908280;0.918645;
0.000520;1.256661;-0.951139;0.386625;0.564515;0.999999;0.969343;0.624862;0.909651;0.918550;
0.000540;1.258613;-0.950928;0.380375;0.570554;0.999999;0.975626;0.625330;0.910800;0.918464;
0.000560;1.261160;-0.950631;0.374157;0.576474;0.999999;0.981909;0.625762;0.911712;0.918384;
0.000580;1.264266;-0.950258;0.367959;0.582299;0.999999;0.988192;0.626167;0.912382;0.918309;
0.000600;1.267879;-0.949820;0.361770;0.588049;0.999999;0.994475;0.626554;0.912820;0.918239;
0.000620;1.271935;-0.949325;0.355580;0.593745;0.999999;1.000758;0.626931;0.913047;0.918172;
0.000640;1.276354;-0.948781;0.349378;0.599404;0.999999;1.007042;0.627305;0.913094;0.918107;
0.000660;1.281048;-0.948195;0.343157;0.605038;0.999999;1.013325;0.627683;0.913005;0.918045;
0.000680;1.285922;-0.947570;0.336913;0.610657;0.999999;1.019608;0.628068;0.912830;0.917984;
0.000700;1.290873;-0.946909;0.330643;0.616266;0.999999;1.025891;0.628463;0.912626;0.917924;
0.000720;1.295799;-0.946211;0.324348;0.621863;0.999999;1.032174;0.628867;0.912455;0.917866;
0.000740;1.300594;-0.945474;0.318031;0.627443;0.999998;1.038457;0.629278;0.912381;0.917810;
0.000760;1.305158;-0.944693;0.311698;0.632995;0.999998;1.044741;0.629692;0.912469;0.917757;
0.000780;1.309397;-0.943862;0.305359;0.638503;0.999998;1.051024;0.630100;0.912779;0.917706;
0.000800;1.313223;-0.942972;0.299027;0.643945;0.999998;1.057307;0.630495;0.913369;0.917659;
0.000820;1.316561;-0.942014;0.292715;0.649299;0.999998;1.063590;0.630863;0.914290;0.917615;
0.000840;1.319346;-0.940977;0.286441;0.654536;0.999998;1.069873;0.631194;0.915584;0.917575;
0.000860;1.321530;-0.939848;0.280222;0.659626;0.999998;1.076157;0.631472;0.917285;0.917541;
0.000880;1.323077;-0.938617;0.274078;0.664539;0.999998;1.082440;0.631683;0.919413;0.917510;
0.000900;1.323969;-0.937271;0.268028;0.669244;0.999998;1.088723;0.631811;0.921977;0.917485;
0.000920;1.324203;-0.935800;0.262091;0.673709;0.999998;1.095006;0.631841;0.924971;0.917464;
0.000940;1.323791;-0.934193;0.256286;0.677908;0.999998;1.101289;0.631760;0.928373;0.917448;
0.000960;1.322762;-0.932442;0.250628;0.681814;0.999998;1.107572;0.631553;0.932147;0.917436;
0.000980;1.321157;-0.930540;0.245134;0.685406;0.999998;1.113856;0.631211;0.936241;0.917427;
0.001000;1.319029;-0.928483;0.239814;0.688669;0.999997;1.120139;0.630722;0.940589;0.917420;
0.001020;1.316442;-0.926269;0.234678;0.691591;0.999997;1.126422;0.630082;0.945110;0.917415;
0.001040;1.313467;-0.923899;0.229730;0.694168;0.999997;1.132705;0.629286;0.949712;0.917410;
0.001060;1.310181;-0.921376;0.224972;0.696403;0.999997;1.138988;0.628334;0.954292;0.917404;
0.001080;1.306665;-0.918706;0.220401;0.698305;0.999997;1.145271;0.627229;0.958740;0.917397;
0.001100;1.302998;-0.915899;0.216009;0.699891;0.999997;1.151555;0.625977;0.962946;0.917387;
0.001120;1.299259;-0.912967;0.211785;0.701182;0.999997;1.157838;0.624590;0.966795;0.917374;
0.001140;1.295520;-0.909924;0.207714;0.702210;0.999997;1.164121;0.623080;0.970180;0.917356;
0.001160;1.291848;-0.906786;0.203777;0.703009;0.999997;1.170404;0.621463;0.972999;0.917333;
