time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.000000;1.279321;-0.926107;0.552879;0.373228;1.000000;0.805980;0.603303;0.914300;0.923196;
0.000020;1.276769;-0.926794;0.548078;0.378716;1.000000;0.812263;0.603344;0.912476;0.923182;
0.000040;1.274246;-0.927549;0.543101;0.384448;1.000000;0.818546;0.603469;0.910662;0.923139;
0.000060;1.271781;-0.928370;0.537948;0.390422;1.000000;0.824829;0.603679;0.908868;0.923070;
0.000080;1.269402;-0.929254;0.532621;0.396632;1.000000;0.831112;0.603973;0.907098;0.922974;
0.000100;1.267136;-0.930196;0.527123;0.403073;1.000000;0.837396;0.604353;0.905361;0.922856;
0.000120;1.265009;-0.931193;0.521456;0.409737;1.000000;0.843679;0.604817;0.903663;0.922715;
0.000140;1.263044;-0.932241;0.515626;0.416615;1.000000;0.849962;0.605365;0.902012;0.922554;
0.000160;1.261261;-0.933333;0.509638;0.423695;1.000000;0.856245;0.605994;0.900416;0.922375;
0.000180;1.259680;-0.934465;0.503498;0.430968;1.000000;0.862528;0.606704;0.898883;0.922181;
0.000200;1.258316;-0.935631;0.497213;0.438418;1.000000;0.868812;0.607490;0.897421;0.921972;
0.000220;1.257182;-0.936824;0.490791;0.446033;1.000000;0.875095;0.608350;0.896039;0.921753;
0.000240;1.256288;-0.938037;0.484241;0.453797;1.000000;0.881378;0.609281;0.894747;0.921524;
0.000260;1.255640;-0.939264;0.477571;0.461694;1.000000;0.887661;0.610277;0.893555;0.921288;
0.000280;1.255242;-0.940497;0.470791;0.469706;1.000000;0.893944;0.611333;0.892473;0.921047;
0.000300;1.255097;-0.941728;0.463912;0.477816;1.000000;0.900228;0.612445;0.891513;0.920804;
0.000320;1.255201;-0.942949;0.456944;0.486004;1.000000;0.906511;0.613606;0.890686;0.920560;
0.000340;1.255552;-0.944151;0.449898;0.494253;1.000000;0.912794;0.614810;0.890003;0.920316;
0.000360;1.256142;-0.945325;0.442784;0.502541;1.000000;0.919077;0.616049;0.889475;0.920076;
0.000380;1.256963;-0.946463;0.435614;0.510850;1.000000;0.925360;0.617317;0.889113;0.919840;
0.000400;1.258004;-0.947556;0.428399;0.519158;1.000000;0.931643;0.618605;0.888928;0.919610;
0.000420;1.259254;-0.948595;0.421150;0.527444;1.000000;0.937927;0.619905;0.888929;0.919387;
0.000440;1.260698;-0.949569;0.413880;0.535690;1.000000;0.944210;0.621209;0.889127;0.919172;
0.000460;1.262323;-0.950471;0.406598;0.543873;1.000000;0.950493;0.622508;0.889528;0.918966;
0.000480;1.264113;-0.951291;0.399317;0.551975;0.999999;0.956776;0.623794;0.890139;0.918769;
0.000500;1.266052;-0.952021;0.392047;0.559974;0.999999;0.963059;0.625057;0.890965;0.918583;
0.000520;1.268124;-0.952652;0.384800;0.567853;0.999999;0.969343;0.626289;0.892009;0.918408;
0.000540;1.270312;-0.953176;0.377585;0.575591;0.999999;0.975626;0.627481;0.893273;0.918244;
0.000560;1.272600;-0.953585;0.370413;0.583172;0.999999;0.981909;0.628625;0.894756;0.918091;
0.000580;1.274972;-0.953872;0.363295;0.590577;0.999999;0.988192;0.629711;0.896456;0.917950;
0.000600;1.277412;-0.954031;0.356239;0.597792;0.999999;0.994475;0.630733;0.898366;0.917819;
0.000620;1.279904;-0.954056;0.349255;0.604800;0.999999;1.000758;0.631682;0.900479;0.917699;
0.000640;1.282433;-0.953941;0.342352;0.611588;0.999999;1.007042;0.632551;0.902787;0.917590;
0.000660;1.284984;-0.953682;0.335539;0.618143;0.999999;1.013325;0.633333;0.905276;0.917491;
0.000680;1.287542;-0.953275;0.328822;0.624454;0.999999;1.019608;0.634022;0.907934;0.917402;
0.000700;1.290093;-0.952719;0.322209;0.630510;0.999999;1.025891;0.634613;0.910743;0.917322;
0.000720;1.292623;-0.952010;0.315707;0.636304;0.999999;1.032174;0.635101;0.913687;0.917251;
0.000740;1.295117;-0.951149;0.309321;0.641828;0.999998;1.038457;0.635481;0.916745;0.917188;
0.000760;1.297562;-0.950135;0.303058;0.647077;0.999998;1.044741;0.635751;0.919897;0.917133;
0.000780;1.299944;-0.948968;0.296921;0.652047;0.999998;1.051024;0.635907;0.923120;0.917085;
0.000800;1.302247;-0.947652;0.290915;0.656737;0.999998;1.057307;0.635948;0.926392;0.917044;
0.000820;1.304458;-0.946188;0.285042;0.661146;0.999998;1.063590;0.635873;0.929687;0.917009;
0.000840;1.306562;-0.944580;0.279305;0.665275;0.999998;1.069873;0.635682;0.932982;0.916979;
0.000860;1.308543;-0.942832;0.273705;0.669127;0.999998;1.076157;0.635375;0.936253;0.916954;
0.000880;1.310385;-0.940949;0.268242;0.672707;0.999998;1.082440;0.634954;0.939474;0.916934;
0.000900;1.312074;-0.938938;0.262916;0.676022;0.999998;1.088723;0.634421;0.942621;0.916917;
0.000920;1.313592;-0.936803;0.257726;0.679078;0.999998;1.095006;0.633779;0.945671;0.916904;
0.000940;1.314923;-0.934553;0.252668;0.681885;0.999998;1.101289;0.633031;0.948600;0.916894;
0.000960;1.316050;-0.932194;0.247740;0.684454;0.999997;1.107572;0.632183;0.951388;0.916886;
0.000980;1.316957;-0.929734;0.242938;0.686796;0.999997;1.113856;0.631238;0.954011;0.916880;
0.001000;1.317627;-0.927180;0.238255;0.688925;0.999997;1.120139;0.630204;0.956452;0.916876;
0.001020;1.318044;-0.924542;0.233686;0.690856;0.999997;1.126422;0.629086;0.958692;0.916872;
0.001040;1.318193;-0.921827;0.229223;0.692604;0.999997;1.132705;0.627891;0.960714;0.916869;
0.001060;1.318060;-0.919044;0.224859;0.694185;0.999997;1.138988;0.626626;0.962503;0.916866;
0.001080;1.317631;-0.916200;0.220585;0.695616;0.999997;1.145271;0.625299;0.964046;0.916863;
0.001100;1.316893;-0.913306;0.216390;0.696915;0.999997;1.151555;0.623919;0.965332;0.916858;
0.001120;1.315838;-0.910368;0.212266;0.698102;0.999997;1.157838;0.622492;0.966350;0.916852;
0.001140;1.314455;-0.907394;0.208200;0.699194;0.999997;1.164121;0.621030;0.967092;0.916845;
0.001160;1.312739;-0.904394;0.204182;0.700212;0.999997;1.170404;0.619539;0.967554;0.916835;
0.001180;1.310687;-0.901374;0.200200;0.701174;0.999997;1.176687;0.618030;0.967729;0.916823;
0.001200;1.308295;-0.898341;0.196241;0.702100;0.999997;1.182970;0.616511;0.967616;0.916808;
0.001220;1.305565;-0.895303;0.192293;0.703010;0.999997;1.189254;0.614993;0.967214;0.916790;
0.001240;1.302502;-0.892267;0.188344;0.703923;0.999997;1.195537;0.613484;0.966523;0.916768;
0.001260;1.299111;-0.889238;0.184380;0.704858;0.999997;1.201820;0.611993;0.965547;0.916744;
0.001280;1.295401;-0.886224;0.180390;0.705834;0.999997;1.208103;0.610531;0.964290;0.916716;
0.001300;1.291384;-0.883229;0.176360;0.706869;0.999997;1.214386;0.609105;0.962756;0.916685;
0.001320;1.287075;-0.880259;0.172279;0.707980;0.999997;1.220669;0.607726;0.960955;0.916651;
0.001340;1.282491;-0.877320;0.168135;0.709185;0.999997;1.226953;0.606402;0.958894;0.916614;
0.001360;1.277651;-0.874415;0.163916;0.710498;0.999997;1.233236;0.605141;0.956583;0.916575;
0.001380;1.272576;-0.871548;0.159613;0.711935;0.999997;1.239519;0.603952;0.954035;0.916535;
0.001400;1.267288;-0.868725;0.155214;0.713511;0.999997;1.245802;0.602842;0.951263;0.916493;
0.001420;1.261813;-0.865947;0.150710;0.715237;0.999997;1.252085;0.601820;0.948280;0.916451;
0.001440;1.256175;-0.863219;0.146093;0.717126;0.999997;1.258368;0.600891;0.945102;0.916409;
0.001460;1.250402;-0.860543;0.141355;0.719188;0.999997;1.264652;0.600063;0.941745;0.916369;
