time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.000000;0.000000;-0.926107;0.552879;0.373228;1.000000;0.805980;0.603303;0.000100;0.923196;
0.000020;0.004505;-0.961703;0.565746;0.395957;1.000000;0.812263;0.626044;0.133705;0.931650;
0.000040;0.019112;-0.991694;0.575408;0.416286;1.000000;0.818546;0.645152;0.270040;0.938753;
0.000060;0.045916;-1.016024;0.581880;0.434143;1.000000;0.824829;0.660604;0.406642;0.944480;
0.000080;0.086787;-1.034733;0.585230;0.449503;1.000000;0.831112;0.672437;0.541257;0.948830;
0.000100;0.143294;-1.047951;0.585566;0.462385;0.999999;0.837396;0.680746;0.671797;0.951823;
0.000120;0.216643;-1.055890;0.583040;0.472849;0.999999;0.843679;0.685676;0.796389;0.953500;
0.000140;0.307617;-1.058831;0.577838;0.480993;0.999999;0.849962;0.687416;0.913426;0.953921;
0.000160;0.416538;-1.057116;0.570171;0.486945;0.999999;0.856245;0.686195;1.021594;0.953161;
0.000180;0.543238;-1.051136;0.560273;0.490862;0.999998;0.862528;0.682269;1.119903;0.951311;
0.000200;0.687043;-1.041310;0.548391;0.492919;0.999998;0.868812;0.675913;1.207704;0.948467;
0.000220;0.846780;-1.028081;0.534776;0.493305;0.999998;0.875095;0.667415;1.284689;0.944736;
0.000240;1.020787;-1.011895;0.519678;0.492216;0.999998;0.881378;0.657065;1.350890;0.940224;
0.000260;1.206954;-0.993188;0.503339;0.489849;0.999998;0.887661;0.645148;1.406658;0.935038;
0.000280;1.402761;-0.972379;0.485984;0.486395;0.999998;0.893944;0.631933;1.452644;0.929280;
0.000300;1.605345;-0.949850;0.467818;0.482033;0.999998;0.900227;0.617670;1.489755;0.923045;
0.000320;1.811564;-0.925945;0.449020;0.476925;0.999998;0.906511;0.602581;1.519121;0.916418;
0.000340;2.018078;-0.900955;0.429743;0.471212;0.999998;0.912794;0.586854;1.542039;0.909473;
0.000360;2.221436;-0.875116;0.410104;0.465011;0.999998;0.919077;0.570645;1.559922;0.902267;
0.000380;2.418164;-0.848605;0.390191;0.458415;0.999998;0.925360;0.554070;1.574243;0.894845;
0.000400;2.604857;-0.821541;0.370056;0.451484;0.999998;0.931643;0.537205;1.586476;0.887234;
0.000420;2.778265;-0.793979;0.349723;0.444256;0.999998;0.937926;0.520091;1.598043;0.879446;
0.000440;2.935384;-0.765922;0.329183;0.436739;0.999998;0.944210;0.502733;1.610255;0.871481;
0.000460;3.073529;-0.737322;0.308406;0.428916;0.999999;0.950493;0.485104;1.624264;0.863320;
0.000480;3.190410;-0.708087;0.287336;0.420751;0.999999;0.956776;0.467149;1.641023;0.854937;
0.000500;3.284184;-0.678093;0.265905;0.412187;0.999999;0.963059;0.448793;1.661243;0.846294;
0.000520;3.353506;-0.647190;0.244033;0.403157;1.000000;0.969342;0.429946;1.685369;0.837348;
0.000540;3.397559;-0.615219;0.221635;0.393585;1.000000;0.975625;0.410510;1.713562;0.828051;
0.000560;3.416073;-0.582019;0.198629;0.383389;1.000001;0.981909;0.390389;1.745685;0.818355;
0.000580;3.409322;-0.547439;0.174943;0.372496;1.000002;0.988192;0.369491;1.781310;0.808218;
0.000600;3.378117;-0.511281;0.150482;0.360798;1.000002;0.994475;0.347744;1.819717;0.797598;
0.000620;3.323770;-0.473598;0.125283;0.348315;1.000003;1.000758;0.325093;1.859933;0.786473;
0.000640;3.248055;-0.434272;0.099296;0.334977;1.000004;1.007041;0.301510;1.900755;0.774825;
0.000660;3.153152;-0.393309;0.072539;0.320770;1.000005;1.013325;0.277002;1.940781;0.762652;
0.000680;3.041583;-0.350773;0.045065;0.305708;1.000006;1.019608;0.251613;1.978462;0.749974;
0.000700;2.916130;-0.306794;0.016958;0.289837;1.000007;1.025891;0.225425;2.012149;0.736827;
0.000720;2.779761;-0.261569;-0.011659;0.273228;1.000008;1.032174;0.198562;2.040152;0.723268;
0.000740;2.635538;-0.215363;-0.040627;0.255990;1.000009;1.038458;0.171190;2.060796;0.709373;
0.000760;2.486534;-0.168505;-0.069754;0.238259;1.000010;1.044741;0.143515;2.072480;0.695242;
0.000780;2.335744;-0.121388;-0.098814;0.220201;1.000012;1.051024;0.115778;2.073733;0.680990;
0.000800;2.186004;-0.074459;-0.127553;0.202013;1.000013;1.057307;0.088254;2.063272;0.666753;
0.000820;2.039915;-0.028215;-0.155697;0.183911;1.000015;1.063591;0.061246;2.040047;0.652680;
0.000840;1.899777;0.016814;-0.182949;0.166135;1.000016;1.069874;0.035079;2.003290;0.638934;
0.000860;1.767528;0.060068;-0.209004;0.148936;1.000018;1.076157;0.010089;1.952549;0.625687;
0.000880;1.644704;0.100977;-0.233553;0.132576;1.000020;1.082441;-0.013381;1.887722;0.613115;
0.000900;1.532403;0.138970;-0.256289;0.117319;1.000022;1.088724;-0.034990;1.809079;0.601396;
0.000920;1.431274;0.173490;-0.276916;0.103426;1.000023;1.095007;-0.054410;1.717273;0.590707;
0.000940;1.341508;0.204009;-0.295155;0.091146;1.000025;1.101291;-0.071332;1.613357;0.581216;
0.000960;1.262854;0.230041;-0.310754;0.080713;1.000027;1.107574;-0.085478;1.498786;0.573078;
0.000980;1.194647;0.251152;-0.323492;0.072339;1.000029;1.113857;-0.096603;1.375427;0.566437;
0.001000;1.135842;0.266977;-0.333185;0.066209;1.000031;1.120141;-0.104507;1.245583;0.561413;
0.001020;1.085072;0.277223;-0.339695;0.062472;1.000033;1.126424;-0.109037;1.112031;0.558107;
0.001040;1.040704;0.281684;-0.342927;0.061243;1.000035;1.132707;-0.110094;0.978123;0.556594;
0.001060;1.000910;0.280241;-0.342838;0.062597;1.000037;1.138991;-0.107636;0.847960;0.556920;
0.001080;0.963743;0.272870;-0.339437;0.066567;1.000039;1.145274;-0.101676;0.726686;0.559104;
0.001100;0.927218;0.259640;-0.332783;0.073143;1.000041;1.151558;-0.092287;0.620863;0.563135;
0.001120;0.889384;0.240716;-0.322988;0.082271;1.000043;1.157841;-0.079597;0.538518;0.568972;
0.001140;0.848409;0.216352;-0.310210;0.093858;1.000045;1.164125;-0.063786;0.487667;0.576545;
0.001160;0.802650;0.186887;-0.294656;0.107770;1.000047;1.170408;-0.045086;0.472115;0.585757;
0.001180;0.750720;0.152736;-0.276572;0.123836;1.000049;1.176692;-0.023768;0.487434;0.596487;
0.001200;0.691547;0.114382;-0.256238;0.141855;1.000051;1.182975;-0.000142;0.522845;0.608589;
0.001220;0.624420;0.072366;-0.233964;0.161598;1.000052;1.189259;0.025455;0.566970;0.621899;
0.001240;0.549026;0.027269;-0.210083;0.182814;1.000054;1.195542;0.052662;0.611196;0.636241;
0.001260;0.465471;-0.020294;-0.184941;0.205235;1.000056;1.201826;0.081108;0.649954;0.651422;
0.001280;0.374288;-0.069696;-0.158891;0.228586;1.000057;1.208109;0.110419;0.679976;0.667248;
