time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.000000;1.279321;-0.926107;0.552879;0.373228;1.000000;0.805980;0.603303;0.914300;0.923196;
0.000020;1.276772;-0.926812;0.548089;0.378723;1.000000;0.812263;0.603344;0.912495;0.923182;
0.000040;1.274258;-0.927548;0.543100;0.384448;1.000000;0.818546;0.603469;0.910665;0.923139;
0.000060;1.271807;-0.928369;0.537947;0.390422;1.000000;0.824829;0.603678;0.908870;0.923069;
0.000080;1.269447;-0.929253;0.532620;0.396632;1.000000;0.831112;0.603973;0.907101;0.922974;
0.000100;1.267206;-0.930195;0.527122;0.403073;1.000000;0.837396;0.604352;0.905364;0.922855;
0.000120;1.265108;-0.931192;0.521455;0.409737;1.000000;0.843679;0.604816;0.903668;0.922714;
0.000140;1.263175;-0.932239;0.515625;0.416614;1.000000;0.849962;0.605364;0.902019;0.922553;
0.000160;1.261429;-0.933331;0.509637;0.423695;1.000000;0.856245;0.605993;0.900426;0.922375;
0.000180;1.259887;-0.934463;0.503496;0.430967;1.000000;0.862528;0.606702;0.898896;0.922180;
0.000200;1.258564;-0.935628;0.497211;0.438417;1.000000;0.868812;0.607488;0.897440;0.921971;
0.000220;1.257473;-0.936820;0.490788;0.446032;1.000000;0.875095;0.608348;0.896066;0.921751;
0.000240;1.256621;-0.938032;0.484237;0.453795;1.000000;0.881378;0.609278;0.894784;0.921522;
0.000260;1.256016;-0.939257;0.477567;0.461691;1.000000;0.887661;0.610272;0.893604;0.921286;
0.000280;1.255661;-0.940488;0.470786;0.469702;1.000000;0.893944;0.611328;0.892537;0.921045;
0.000300;1.255557;-0.941716;0.463906;0.477810;1.000000;0.900228;0.612438;0.891594;0.920800;
0.000320;1.255702;-0.942933;0.456936;0.485997;1.000000;0.906511;0.613596;0.890786;0.920555;
0.000340;1.256090;-0.944130;0.449887;0.494244;1.000000;0.912794;0.614797;0.890125;0.920311;
0.000360;1.256716;-0.945299;0.442770;0.502530;1.000000;0.919077;0.616033;0.889621;0.920069;
0.000380;1.257570;-0.946431;0.435596;0.510835;1.000000;0.925360;0.617296;0.889286;0.919831;
0.000400;1.258642;-0.947516;0.428377;0.519139;1.000000;0.931643;0.618579;0.889130;0.919599;
0.000420;1.259919;-0.948546;0.421124;0.527422;1.000000;0.937927;0.619874;0.889163;0.919373;
0.000440;1.261388;-0.949511;0.413848;0.535662;1.000000;0.944210;0.621172;0.889393;0.919155;
0.000460;1.263036;-0.950401;0.406561;0.543841;1.000000;0.950493;0.622464;0.889827;0.918946;
0.000480;1.264845;-0.951209;0.399273;0.551936;0.999999;0.956776;0.623741;0.890473;0.918746;
0.000500;1.266802;-0.951924;0.391995;0.559929;0.999999;0.963059;0.624996;0.891333;0.918556;
0.000520;1.268889;-0.952540;0.384740;0.567800;0.999999;0.969343;0.626218;0.892412;0.918377;
0.000540;1.271091;-0.953046;0.377516;0.575530;0.999999;0.975626;0.627400;0.893710;0.918208;
0.000560;1.273392;-0.953437;0.370335;0.583102;0.999999;0.981909;0.628532;0.895225;0.918050;
0.000580;1.275776;-0.953705;0.363206;0.590499;0.999999;0.988192;0.629607;0.896955;0.917902;
0.000600;1.278227;-0.953843;0.356140;0.597704;0.999999;0.994475;0.630616;0.898894;0.917766;
0.000620;1.280730;-0.953846;0.349144;0.604701;0.999999;1.000758;0.631551;0.901033;0.917639;
0.000640;1.283270;-0.953708;0.342229;0.611479;0.999999;1.007042;0.632406;0.903363;0.917523;
0.000660;1.285832;-0.953425;0.335403;0.618022;0.999999;1.013325;0.633174;0.905872;0.917417;
0.000680;1.288401;-0.952995;0.328673;0.624321;0.999999;1.019608;0.633849;0.908546;0.917321;
0.000700;1.290964;-0.952413;0.322047;0.630366;0.999999;1.025891;0.634424;0.911368;0.917234;
0.000720;1.293505;-0.951679;0.315532;0.636147;0.999999;1.032174;0.634897;0.914320;0.917155;
0.000740;1.296012;-0.950792;0.309133;0.641659;0.999998;1.038457;0.635262;0.917382;0.917084;
0.000760;1.298470;-0.949752;0.302856;0.646896;0.999998;1.044741;0.635516;0.920535;0.917021;
0.000780;1.300864;-0.948560;0.296706;0.651854;0.999998;1.051024;0.635657;0.923755;0.916965;
0.000800;1.303180;-0.947218;0.290687;0.656531;0.999998;1.057307;0.635683;0.927020;0.916916;
0.000820;1.305402;-0.945729;0.284801;0.660928;0.999998;1.063590;0.635593;0.930305;0.916873;
