time;CAPBUS_cap_p_v_0_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_omegaPu;MACHINE_machine_theta;MACHINE_machine_cePu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;
0.000000;1.279321;-0.926107;0.552879;0.373228;1.000000;0.805980;0.603303;0.914300;0.923196;
0.000020;1.452794;-0.926786;0.548074;0.378712;1.000000;0.812263;0.603339;0.912866;0.923180;
0.000040;1.606061;-0.927486;0.543067;0.384419;1.000000;0.818546;0.603428;0.912954;0.923123;
0.000060;1.735976;-0.928116;0.537811;0.390305;1.000000;0.824829;0.603514;0.915909;0.923005;
0.000080;1.840450;-0.928534;0.532234;0.396300;1.000000;0.831112;0.603508;0.922814;0.922791;
0.000100;1.918514;-0.928561;0.526246;0.402315;1.000000;0.837396;0.603296;0.934453;0.922437;
0.000120;1.970335;-0.927990;0.519743;0.408247;1.000000;0.843679;0.602749;0.951292;0.921892;
0.000140;1.997182;-0.926607;0.512622;0.413984;1.000000;0.849962;0.601729;0.973466;0.921100;
0.000160;2.001349;-0.924194;0.504780;0.419414;1.000000;0.856245;0.600101;1.000797;0.920009;
0.000180;1.986033;-0.920549;0.496123;0.424426;1.000000;0.862528;0.597737;1.032809;0.918564;
0.000200;1.955178;-0.915496;0.486574;0.428922;1.000000;0.868812;0.594527;1.068774;0.916721;
0.000220;1.913285;-0.908891;0.476076;0.432815;1.000000;0.875095;0.590381;1.107759;0.914441;
0.000240;1.865200;-0.900633;0.464594;0.436039;1.000000;0.881378;0.585239;1.148677;0.911698;
0.000260;1.815894;-0.890666;0.452118;0.438548;1.000000;0.887661;0.579066;1.190360;0.908476;
0.000280;1.770235;-0.878983;0.438665;0.440318;1.000000;0.893944;0.571862;1.231615;0.904772;
0.000300;1.732762;-0.865626;0.424275;0.441351;1.000000;0.900228;0.563656;1.271296;0.900596;
0.000320;1.707486;-0.850680;0.409009;0.441671;1.000000;0.906511;0.554505;1.308356;0.895968;
0.000340;1.697704;-0.834269;0.392948;0.441321;1.000001;0.912794;0.544493;1.341911;0.890922;
0.000360;1.705848;-0.816553;0.376186;0.440367;1.000001;0.919077;0.533722;1.371275;0.885496;
0.000380;1.733375;-0.797710;0.358824;0.438885;1.000001;0.925360;0.522312;1.395997;0.879738;
0.000400;1.780697;-0.777934;0.340968;0.436966;1.000001;0.931643;0.510389;1.415884;0.873697;
0.000420;1.847155;-0.757422;0.322717;0.434705;1.000002;0.937927;0.498083;1.430999;0.867423;
0.000440;1.931043;-0.736361;0.304164;0.432198;1.000002;0.944210;0.485517;1.441661;0.860965;
0.000460;2.029677;-0.714924;0.285385;0.429539;1.000002;0.950493;0.472805;1.448419;0.854366;
0.000480;2.139501;-0.693254;0.266440;0.426814;1.000003;0.956776;0.460044;1.452020;0.847662;
0.000500;2.256243;-0.671463;0.247366;0.424096;1.000003;0.963059;0.447312;1.453363;0.840879;
0.000520;2.375088;-0.649622;0.228176;0.421446;1.000004;0.969343;0.434663;1.453442;0.834033;
0.000540;2.490889;-0.627764;0.208858;0.418906;1.000004;0.975626;0.422123;1.453294;0.827128;
0.000560;2.598382;-0.605877;0.189378;0.416499;1.000005;0.981909;0.409695;1.453928;0.820156;
0.000580;2.692418;-0.583914;0.169682;0.414232;1.000005;0.988192;0.397359;1.456264;0.813099;
0.000600;2.768180;-0.561789;0.149697;0.412092;1.000006;0.994476;0.385070;1.461073;0.805928;
0.000620;2.821398;-0.539392;0.129341;0.410051;1.000006;1.000759;0.372771;1.468920;0.798610;
0.000640;2.848540;-0.516570;0.108510;0.408061;1.000007;1.007042;0.360393;1.480016;0.791103;
0.000660;2.846966;-0.493237;0.087149;0.406088;1.000008;1.013325;0.347859;1.494568;0.783370;
