time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;MACHINE_machine_MdSatPPu;MACHINE_machine_MqSatPPu;MACHINE_machine_lambdaAirGapPu;
0.000000;1.000000;0.000000;0.956928;1.537231;1.487231;0.916275;
0.000020;1.000000;0.133772;0.965101;1.537238;1.487238;0.916292;
0.000040;1.000000;0.270196;0.971964;1.537217;1.487217;0.916337;
0.000060;1.000000;0.406904;0.977496;1.537172;1.487172;0.916405;
0.000080;1.000000;0.541636;0.981694;1.537105;1.487105;0.916495;
0.000100;0.999999;0.672297;0.984576;1.537017;1.487017;0.916607;
0.000120;0.999999;0.797010;0.986183;1.536904;1.486904;0.916742;
0.000140;0.999999;0.914159;0.986572;1.536765;1.486765;0.916904;
0.000160;0.999999;1.022427;0.985816;1.536594;1.486594;0.917098;
0.000180;0.999998;1.120819;0.984002;1.536389;1.486389;0.917329;
0.000200;0.999998;1.208681;0.981227;1.536143;1.486143;0.917603;
0.000220;0.999998;1.285703;0.977591;1.535853;1.485853;0.917926;
0.000240;0.999998;1.351912;0.973199;1.535514;1.485514;0.918302;
0.000260;0.999998;1.407661;0.968156;1.535122;1.485122;0.918734;
0.000280;0.999998;1.453598;0.962561;1.534676;1.484676;0.919227;
0.000300;0.999998;1.490632;0.956506;1.534172;1.484172;0.919781;
0.000320;0.999997;1.519891;0.950074;1.533610;1.483610;0.920398;
0.000340;0.999998;1.542677;0.943338;1.532989;1.482989;0.921080;
0.000360;0.999998;1.560403;0.936353;1.532308;1.482308;0.921826;
0.000380;0.999998;1.574546;0.929163;1.531564;1.481564;0.922637;
0.000400;0.999998;1.586584;0.921795;1.530757;1.480757;0.923514;
0.000420;0.999998;1.597940;0.914262;1.529884;1.479884;0.924460;
0.000440;0.999998;1.609930;0.906562;1.528940;1.478941;0.925479;
0.000460;0.999999;1.623709;0.898679;1.527921;1.477921;0.926574;
0.000480;0.999999;1.640232;0.890587;1.526819;1.476819;0.927752;
0.000500;0.999999;1.660214;0.882250;1.525626;1.475627;0.929020;
0.000520;1.000000;1.684102;0.873627;1.524332;1.474333;0.930387;
0.000540;1.000000;1.712058;0.864672;1.522926;1.472927;0.931862;
0.000560;1.000001;1.743946;0.855340;1.521395;1.471396;0.933457;
0.000580;1.000002;1.779338;0.845590;1.519726;1.469727;0.935182;
0.000600;1.000002;1.817399;0.835389;1.517891;1.467891;0.937046;
0.000620;1.000003;1.857368;0.824706;1.515902;1.465902;0.939061;
0.000640;1.000004;1.897942;0.813528;1.513737;1.463737;0.941232;
0.000660;1.000005;1.937716;0.801859;1.511383;1.461383;0.943566;
0.000680;1.000006;1.975138;0.789715;1.508833;1.458833;0.946065;
0.000700;1.000007;2.008558;0.777134;1.506082;1.456082;0.948727;
0.000720;1.000008;2.036283;0.764172;1.503130;1.453130;0.951545;
0.000740;1.000009;2.056637;0.750905;1.499983;1.449983;0.954508;
0.000760;1.000011;2.068017;0.737428;1.496653;1.446653;0.957599;
0.000780;1.000012;2.068951;0.723856;1.493159;1.443159;0.960793;
0.000800;1.000013;2.058157;0.710317;1.489529;1.439529;0.964061;
0.000820;1.000015;2.034586;0.696957;1.485799;1.435799;0.967368;
0.000840;1.000016;1.997475;0.683931;1.482015;1.432015;0.970672;
0.000860;1.000018;1.946378;0.671402;1.478230;1.428230;0.973927;
0.000880;1.000020;1.881202;0.659538;1.474507;1.424507;0.977084;
0.000900;1.000022;1.802227;0.648507;1.470912;1.420912;0.980089;
0.000920;1.000023;1.710124;0.638473;1.467521;1.417521;0.982888;
0.000940;1.000025;1.605963;0.629595;1.464407;1.414407;0.985427;
0.000960;1.000027;1.491227;0.622016;1.461647;1.411647;0.987655;
0.000980;1.000029;1.367815;0.615869;1.459313;1.409313;0.989523;
0.001000;1.000031;1.238072;0.611264;1.457471;1.407471;0.990986;
0.001020;1.000033;1.104832;0.608294;1.456178;1.406178;0.992008;
0.001040;1.000035;0.971524;0.607026;1.455478;1.405478;0.992560;
0.001060;1.000038;0.842352;0.607501;1.455402;1.405402;0.992621;
0.001080;1.000040;0.722596;0.609737;1.455965;1.405965;0.992180;
0.001100;1.000042;0.618958;0.613721;1.457164;1.407164;0.991236;
0.001120;1.000044;0.539501;0.619416;1.458981;1.408981;0.989797;
0.001140;1.000045;0.491927;0.626756;1.461381;1.411381;0.987881;
0.001160;1.000047;0.479295;0.635651;1.464317;1.414317;0.985515;
0.001180;1.000049;0.496487;0.645986;1.467727;1.417727;0.982736;
0.001200;1.000051;0.532613;0.657628;1.471542;1.421542;0.979584;
0.001220;1.000053;0.576577;0.670423;1.475688;1.425688;0.976108;
0.001240;1.000054;0.620074;0.684202;1.480084;1.430084;0.972359;
0.001260;1.000056;0.657745;0.698787;1.484654;1.434654;0.968392;
0.001280;1.000057;0.686441;0.713990;1.489322;1.439322;0.964262;
0.001300;1.000059;0.704554;0.729623;1.494016;1.444016;0.960025;
0.001320;1.000060;0.711569;0.745498;1.498674;1.448674;0.955733;
0.001340;1.000061;0.707794;0.761431;1.503239;1.453239;0.951438;
0.001360;1.000062;0.694193;0.777250;1.507664;1.457664;0.947184;
0.001380;1.000063;0.672285;0.792794;1.511912;1.461912;0.943014;
0.001400;1.000064;0.644071;0.807920;1.515952;1.465952;0.938964;
0.001420;1.000065;0.611977;0.822501;1.519763;1.469763;0.935065;
0.001440;1.000066;0.578782;0.836433;1.523333;1.473333;0.931339;
0.001460;1.000067;0.547491;0.849633;1.526654;1.476654;0.927806;
0.001480;1.000067;0.521110;0.862040;1.529726;1.479726;0.924478;
