time;LINE_line_p_v_0_;LINE_line_p_v_1_;LINE_line_p_v_2_;LINE_line_p_i_0_;LINE_line_p_i_1_;LINE_line_p_i_2_;LINE_line_n_v_0_;LINE_line_n_v_1_;LINE_line_n_v_2_;
0.000000;1.414214;-0.707107;-0.707107;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000020;1.414207;-0.703256;-0.710951;0.056457;-0.028152;-0.028305;0.002754;-0.001373;-0.001381;
0.000040;1.414151;-0.695533;-0.718618;0.112583;-0.055908;-0.056675;0.010865;-0.005407;-0.005459;
0.000060;1.414039;-0.687782;-0.726257;0.168168;-0.083088;-0.085079;0.024031;-0.011923;-0.012107;
0.000080;1.413872;-0.680004;-0.733867;0.223015;-0.109598;-0.113417;0.041940;-0.020741;-0.021199;
0.000100;1.413648;-0.672200;-0.741448;0.276941;-0.135349;-0.141592;0.064283;-0.031678;-0.032605;
0.000120;1.413369;-0.664369;-0.749000;0.329774;-0.160260;-0.169514;0.090743;-0.044553;-0.046190;
0.000140;1.413034;-0.656512;-0.756523;0.381356;-0.184258;-0.197098;0.121006;-0.059185;-0.061821;
0.000160;1.412644;-0.648628;-0.764015;0.431542;-0.207278;-0.224264;0.154757;-0.075397;-0.079359;
0.000180;1.412197;-0.640720;-0.771478;0.480198;-0.229260;-0.250938;0.191683;-0.093014;-0.098669;
0.000200;1.411695;-0.632786;-0.778909;0.527205;-0.250153;-0.277052;0.231474;-0.111863;-0.119611;
0.000220;1.411137;-0.624826;-0.786311;0.572456;-0.269913;-0.302544;0.273824;-0.131775;-0.142049;
0.000240;1.410523;-0.616843;-0.793681;0.615856;-0.288501;-0.327356;0.318434;-0.152587;-0.165847;
0.000260;1.409854;-0.608835;-0.801019;0.657322;-0.305885;-0.351436;0.365007;-0.174138;-0.190869;
0.000280;1.409129;-0.600803;-0.808327;0.696782;-0.322042;-0.374740;0.413255;-0.196274;-0.216981;
0.000300;1.408348;-0.592747;-0.815602;0.734178;-0.336951;-0.397226;0.462899;-0.218846;-0.244054;
0.000320;1.407512;-0.584667;-0.822845;0.769460;-0.350601;-0.418859;0.513667;-0.241709;-0.271958;
0.000340;1.406620;-0.576565;-0.830055;0.802591;-0.362983;-0.439608;0.565295;-0.264728;-0.300568;
0.000360;1.405673;-0.568440;-0.837233;0.833544;-0.374096;-0.459448;0.617532;-0.287769;-0.329762;
0.000380;1.404670;-0.560292;-0.844378;0.862302;-0.383943;-0.478359;0.670132;-0.310709;-0.359423;
0.000400;1.403612;-0.552123;-0.851489;0.888857;-0.392533;-0.496324;0.722865;-0.333430;-0.389436;
0.000420;1.402498;-0.543931;-0.858567;0.913209;-0.399876;-0.513333;0.775509;-0.355819;-0.419690;
0.000440;1.401329;-0.535718;-0.865611;0.935370;-0.405992;-0.529378;0.827854;-0.377772;-0.450082;
0.000460;1.400105;-0.527484;-0.872621;0.955357;-0.410899;-0.544457;0.879702;-0.399193;-0.480509;
