time;EmtTfoYD_circuit_vPrimA;EmtTfoYD_circuit_vSecA;EmtTfoYD_circuit_vSecB;EmtTfoYD_circuit_vSecC;
0.000000;1.414214;-0.000000;-0.000000;-0.000000;
0.000010;1.414212;0.174422;-0.174264;-0.000158;
0.000020;1.414198;0.306051;-0.305300;-0.000752;
0.000030;1.414170;0.405522;-0.403691;-0.001831;
0.000040;1.414128;0.480765;-0.477489;-0.003277;
0.000050;1.414072;0.537757;-0.532759;-0.004998;
0.000060;1.414002;0.580997;-0.574070;-0.006927;
0.000070;1.413919;0.613877;-0.604864;-0.009013;
0.000080;1.413821;0.638950;-0.627734;-0.011216;
0.000090;1.413709;0.658142;-0.644634;-0.013508;
0.000100;1.413584;0.672900;-0.657033;-0.015867;
0.000110;1.413444;0.684317;-0.666041;-0.018276;
0.000120;1.413291;0.693216;-0.672493;-0.020723;
0.000130;1.413123;0.700216;-0.677017;-0.023198;
0.000140;1.412942;0.705783;-0.680088;-0.025695;
0.000150;1.412747;0.710270;-0.682062;-0.028207;
0.000160;1.412537;0.713940;-0.683208;-0.030732;
0.000170;1.412314;0.716995;-0.683729;-0.033265;
0.000180;1.412077;0.719583;-0.683777;-0.035805;
0.000190;1.411826;0.721818;-0.683468;-0.038350;
0.000200;1.411561;0.723786;-0.682887;-0.040899;
0.000210;1.411282;0.725551;-0.682101;-0.043450;
0.000220;1.410989;0.727160;-0.681157;-0.046003;
0.000230;1.410682;0.728651;-0.680094;-0.048557;
0.000240;1.410361;0.730051;-0.678939;-0.051112;
0.000250;1.410027;0.731381;-0.677714;-0.053667;
0.000260;1.409678;0.732655;-0.676433;-0.056223;
0.000270;1.409315;0.733887;-0.675109;-0.058778;
0.000280;1.408939;0.735084;-0.673751;-0.061333;
0.000290;1.408549;0.736254;-0.672366;-0.063888;
0.000300;1.408145;0.737401;-0.670958;-0.066443;
0.000310;1.407726;0.738530;-0.669532;-0.068997;
0.000320;1.407294;0.739642;-0.668091;-0.071551;
