time;EmtTfoYY_circuit_vPrimA;EmtTfoYY_circuit_vSecA;EmtTfoYY_circuit_iPrimA;EmtTfoYY_circuit_iSecA;
0.000000;1.414214;0.000000;0.000000;-0.000000;
0.000010;1.414212;0.083183;0.041591;-0.083183;
0.000020;1.414198;0.156568;0.078284;-0.156568;
0.000030;1.414170;0.221307;0.110654;-0.221307;
0.000040;1.414128;0.278420;0.139210;-0.278420;
0.000050;1.414072;0.328802;0.164401;-0.328802;
0.000060;1.414002;0.373247;0.186623;-0.373247;
0.000070;1.413919;0.412452;0.206226;-0.412452;
0.000080;1.413821;0.447033;0.223517;-0.447033;
0.000090;1.413709;0.477536;0.238768;-0.477536;
0.000100;1.413584;0.504439;0.252219;-0.504439;
0.000110;1.413444;0.528165;0.264082;-0.528165;
0.000120;1.413291;0.549088;0.274544;-0.549088;
0.000130;1.413123;0.567537;0.283769;-0.567537;
0.000140;1.412942;0.583803;0.291901;-0.583803;
0.000150;1.412747;0.598142;0.299071;-0.598142;
0.000160;1.412537;0.610780;0.305390;-0.610780;
0.000170;1.412314;0.621917;0.310958;-0.621917;
0.000180;1.412077;0.631728;0.315864;-0.631728;
0.000190;1.411826;0.640370;0.320185;-0.640370;
0.000200;1.411561;0.647978;0.323989;-0.647978;
0.000210;1.411282;0.654674;0.327337;-0.654674;
0.000220;1.410989;0.660565;0.330283;-0.660565;
0.000230;1.410682;0.665744;0.332872;-0.665744;
0.000240;1.410361;0.670295;0.335148;-0.670295;
0.000250;1.410027;0.674291;0.337145;-0.674291;
0.000260;1.409678;0.677795;0.338898;-0.677795;
0.000270;1.409315;0.680866;0.340433;-0.680866;
0.000280;1.408939;0.683554;0.341777;-0.683554;
0.000290;1.408549;0.685902;0.342951;-0.685902;
0.000300;1.408145;0.687951;0.343975;-0.687951;
0.000310;1.407726;0.689734;0.344867;-0.689734;
0.000320;1.407294;0.691282;0.345641;-0.691282;
0.000330;1.406849;0.692622;0.346311;-0.692622;
0.000340;1.406389;0.693777;0.346889;-0.693777;
0.000350;1.405915;0.694769;0.347385;-0.694769;
0.000360;1.405428;0.695616;0.347808;-0.695616;
0.000370;1.404926;0.696334;0.348167;-0.696334;
