time;G1_generator_PGenPu;G1_generator_QGenPu;G1_generator_UPu;G1_generator_omegaPu;G1_generator_sePu;G2_generator_PGenPu;G2_generator_QGenPu;G2_generator_UPu;G2_generator_omegaPu;G2_generator_sePu;
0.000000;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000001;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000002;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000004;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000008;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000016;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000032;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000064;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000128;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000256;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.000512;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.001024;0.499975;0.350062;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.002048;0.499975;0.350061;1.049996;1.000000;0.235858;0.299345;0.205408;1.049996;1.000000;0.113392;
0.004096;0.499974;0.350061;1.049996;1.000000;0.235858;0.299344;0.205409;1.049996;1.000000;0.113392;
0.008192;0.499974;0.350060;1.049996;1.000000;0.235858;0.299344;0.205410;1.049996;1.000000;0.113392;
0.016384;0.499974;0.350058;1.049995;1.000000;0.235857;0.299343;0.205411;1.049995;1.000000;0.113392;
0.032768;0.499975;0.350054;1.049994;1.000000;0.235856;0.299341;0.205414;1.049994;1.000000;0.113392;
0.065536;0.499980;0.350049;1.049992;1.000000;0.235854;0.299334;0.205417;1.049992;1.000000;0.113392;
0.131072;0.499990;0.350041;1.049989;1.000000;0.235850;0.299319;0.205422;1.049989;1.000000;0.113391;
0.262144;0.500002;0.350034;1.049985;1.000000;0.235845;0.299301;0.205425;1.049985;1.000000;0.113391;
0.524288;0.499999;0.350027;1.049981;1.000001;0.235840;0.299298;0.205428;1.049981;1.000001;0.113389;
1.048576;0.499985;0.350018;1.049978;1.000001;0.235835;0.299307;0.205432;1.049978;1.000001;0.113389;
2.097152;0.499981;0.350009;1.049975;1.000003;0.235829;0.299306;0.205438;1.049975;1.000003;0.113388;
3.145728;0.499984;0.350005;1.049974;1.000005;0.235826;0.299303;0.205442;1.049974;1.000005;0.113389;
5.242880;0.499983;0.349999;1.049973;1.000008;0.235823;0.299302;0.205447;1.049973;1.000008;0.113389;
9.437184;0.499982;0.349996;1.049972;1.000014;0.235821;0.299301;0.205449;1.049972;1.000014;0.113389;
10.000000;0.499982;0.349997;1.049972;1.000015;0.235822;0.299301;0.205448;1.049972;1.000015;0.113389;
