time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;
0.000000;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000001;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000002;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000004;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000008;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000016;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000032;1.000000;794.190579;-5.204549;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000064;1.000000;794.190579;-5.204549;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000128;1.000000;794.190578;-5.204549;1.002046;2.202370;1.000000;158.784220;25.812895;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
0.000256;1.000000;794.190575;-5.204549;1.002046;2.202370;1.000000;158.784221;25.812896;1.012318;1.000000;402.610293;31.893953;1.003492;1.520319;1.000000;100.545839;10.475013;1.004995;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000000;1.000000;0.986942;0.992556;0.000000;1.000000;
