time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;HVDC1_hvdc_PInj1Pu;HVDC1_hvdc_PInj2Pu;HVDC1_hvdc_P1RefPu;LOAD_A1_load_PPu;
0.000000;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492389;31.929886;1.003539;1.519369;1.000000;100.388529;10.450065;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000001;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492315;31.930314;1.003539;1.519370;1.000000;100.388526;10.450148;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000002;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492316;31.930314;1.003539;1.519370;1.000000;100.388526;10.450148;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000004;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492322;31.930288;1.003539;1.519370;1.000000;100.388524;10.450143;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000008;1.000000;794.190580;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492321;31.930314;1.003539;1.519370;1.000000;100.388522;10.450149;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000016;1.000000;794.190579;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492327;31.930314;1.003539;1.519370;1.000000;100.388517;10.450149;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000032;1.000000;794.190578;-5.204548;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492340;31.930314;1.003539;1.519370;1.000000;100.388506;10.450150;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000064;1.000000;794.190577;-5.204549;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492366;31.930314;1.003539;1.519370;1.000000;100.388486;10.450151;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000128;1.000000;794.190573;-5.204549;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492417;31.930314;1.003539;1.519370;1.000000;100.388445;10.450154;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
0.000256;1.000000;794.190567;-5.204549;1.002046;2.202370;1.000000;158.784219;25.812895;1.012318;1.000000;401.492519;31.930314;1.003539;1.519369;1.000000;100.388364;10.450159;1.005022;1.000000;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;1.000048;1.000039;0.986942;0.992595;0.000000;1.000000;-0.600000;0.600000;0.600000;3.499993;
