time;BE_G1_generator_omegaPu;BE_G1_generator_PGenPu;BE_G1_generator_QGenPu;BE_G1_generator_UPu;BE_G1_generator_efdPu;BE_G1_compensator_VcPu;BE_G1_pss_VPssPu;BE_G1_governor_Pm1Pu;BE_G2_generator_omegaPu;BE_G2_generator_PGenPu;BE_G2_generator_QGenPu;BE_G2_generator_UPu;
0.000000;1.000000;0.889987;-0.734813;0.987405;0.780218;0.987405;0.000000;0.300000;1.000000;1.172146;0.780647;1.047206;
0.000001;1.000000;0.889987;-0.734813;0.987405;0.780218;0.987405;0.000002;0.300000;1.000000;1.172146;0.780647;1.047206;
0.000002;1.000000;0.889987;-0.734813;0.987405;0.780218;0.987405;0.000004;0.300000;1.000000;1.172147;0.780647;1.047206;
0.000004;1.000000;0.889987;-0.734813;0.987405;0.780218;0.987405;0.000007;0.300000;1.000000;1.172147;0.780647;1.047206;
0.000008;1.000000;0.889987;-0.734813;0.987405;0.780218;0.987405;0.000015;0.300000;1.000000;1.172147;0.780647;1.047206;
0.000016;1.000000;0.889986;-0.734813;0.987405;0.780218;0.987405;0.000030;0.300000;1.000000;1.172147;0.780647;1.047206;
0.000024;1.000000;0.889986;-0.734813;0.987405;0.780218;0.987405;0.000045;0.300000;1.000000;1.172147;0.780647;1.047206;
0.000032;1.000000;0.889986;-0.734813;0.987405;0.780218;0.987405;0.000060;0.300000;1.000000;1.172148;0.780647;1.047206;
0.000048;1.000000;0.889985;-0.734813;0.987405;0.780219;0.987405;0.000089;0.300000;1.000000;1.172148;0.780647;1.047206;
0.000080;1.000000;0.889984;-0.734813;0.987405;0.780222;0.987405;0.000148;0.300000;1.000000;1.172149;0.780647;1.047206;
0.000144;1.000000;0.889982;-0.734813;0.987405;0.780232;0.987405;0.000266;0.300000;1.000000;1.172152;0.780647;1.047206;
0.000272;1.000000;0.889977;-0.734813;0.987405;0.780271;0.987405;0.000499;0.300000;1.000000;1.172157;0.780647;1.047207;
0.000509;1.000000;0.889969;-0.734814;0.987405;0.780408;0.987405;0.000919;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000510;1.000000;0.889969;-0.734814;0.987405;0.780408;0.987405;0.000921;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000511;1.000000;0.889969;-0.734814;0.987405;0.780409;0.987405;0.000923;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000513;1.000000;0.889969;-0.734814;0.987405;0.780410;0.987405;0.000926;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000517;1.000000;0.889969;-0.734814;0.987405;0.780412;0.987405;0.000933;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000525;1.000000;0.889968;-0.734814;0.987405;0.780417;0.987405;0.000947;0.300000;1.000000;1.172166;0.780646;1.047207;
0.000541;1.000000;0.889968;-0.734814;0.987405;0.780426;0.987405;0.000976;0.300000;1.000000;1.172167;0.780646;1.047207;
0.000573;1.000000;0.889967;-0.734814;0.987405;0.780445;0.987405;0.001033;0.300000;1.000000;1.172168;0.780646;1.047207;
0.000637;1.000000;0.889964;-0.734814;0.987405;0.780488;0.987405;0.001145;0.300000;1.000000;1.172170;0.780646;1.047207;
0.000765;1.000000;0.889960;-0.734814;0.987405;0.780585;0.987405;0.001369;0.300000;1.000000;1.172175;0.780646;1.047207;
0.001021;1.000000;0.889951;-0.734815;0.987405;0.780830;0.987405;0.001809;0.300000;1.000000;1.172185;0.780646;1.047207;
0.001038;1.000000;0.889950;-0.734815;0.987405;0.780849;0.987405;0.001838;0.300000;1.000000;1.172185;0.780646;1.047207;
0.001039;1.000000;0.889950;-0.734815;0.987405;0.780850;0.987405;0.001840;0.300000;1.000000;1.172185;0.780646;1.047207;
0.001040;1.000000;0.889950;-0.734815;0.987405;0.780851;0.987405;0.001842;0.300000;1.000000;1.172185;0.780646;1.047207;
0.001042;1.000000;0.889950;-0.734815;0.987405;0.780854;0.987405;0.001845;0.300000;1.000000;1.172185;0.780646;1.047207;
0.001046;1.000000;0.889950;-0.734815;0.987405;0.780858;0.987405;0.001852;0.300000;1.000000;1.172186;0.780646;1.047207;
0.001054;1.000000;0.889950;-0.734815;0.987405;0.780867;0.987405;0.001866;0.300000;1.000000;1.172186;0.780646;1.047207;
0.001070;1.000000;0.889949;-0.734815;0.987405;0.780885;0.987405;0.001893;0.300000;1.000000;1.172186;0.780646;1.047207;
0.001102;1.000000;0.889948;-0.734815;0.987405;0.780922;0.987405;0.001947;0.300000;1.000000;1.172188;0.780646;1.047207;
0.001166;1.000000;0.889946;-0.734815;0.987405;0.780999;0.987405;0.002054;0.300000;1.000000;1.172190;0.780646;1.047207;
0.001294;1.000001;0.889942;-0.734815;0.987405;0.781166;0.987405;0.002267;0.300000;1.000000;1.172195;0.780646;1.047207;
0.001550;1.000001;0.889933;-0.734816;0.987405;0.781547;0.987405;0.002686;0.300000;1.000000;1.172204;0.780646;1.047207;
0.002062;1.000001;0.889916;-0.734817;0.987405;0.782493;0.987405;0.003494;0.300000;1.000001;1.172222;0.780645;1.047207;
0.003086;1.000001;0.889883;-0.734818;0.987405;0.785067;0.987405;0.005000;0.300000;1.000001;1.172257;0.780644;1.047208;
0.005134;1.000002;0.889822;-0.734818;0.987406;0.792544;0.987406;0.007610;0.300000;1.000001;1.172322;0.780638;1.047208;
0.007182;1.000003;0.889771;-0.734815;0.987407;0.802663;0.987407;0.009733;0.300000;1.000002;1.172380;0.780629;1.047209;
0.009230;1.000004;0.889730;-0.734809;0.987409;0.814835;0.987409;0.011432;0.300000;1.000002;1.172429;0.780613;1.047210;
0.011278;1.000005;0.889700;-0.734800;0.987411;0.828533;0.987411;0.012765;0.300000;1.000003;1.172471;0.780592;1.047212;
0.015374;1.000006;0.889676;-0.734773;0.987418;0.858308;0.987418;0.014583;0.300000;1.000004;1.172531;0.780529;1.047216;
0.019061;1.000008;0.889697;-0.734737;0.987427;0.886574;0.987427;0.015401;0.300000;1.000005;1.172557;0.780447;1.047222;
0.022747;1.000009;0.889759;-0.734692;0.987440;0.914666;0.987440;0.015638;0.300000;1.000006;1.172558;0.780339;1.047229;
0.026433;1.000011;0.889863;-0.734636;0.987456;0.941481;0.987456;0.015441;0.300000;1.000007;1.172534;0.780207;1.047239;
0.030120;1.000012;0.890007;-0.734572;0.987475;0.966242;0.987475;0.014925;0.300000;1.000008;1.172488;0.780049;1.047250;
0.033806;1.000013;0.890189;-0.734500;0.987497;0.988423;0.987497;0.014184;0.300000;1.000009;1.172422;0.779867;1.047264;
0.041179;1.000016;0.890653;-0.734337;0.987550;1.023903;0.987550;0.012322;0.300000;1.000010;1.172237;0.779441;1.047298;
0.048552;1.000019;0.891235;-0.734155;0.987613;1.047403;0.987613;0.010160;0.299999;1.000012;1.171993;0.778940;1.047339;
0.063297;1.000024;0.892615;-0.733766;0.987760;1.062238;0.987760;0.005870;0.299999;1.000016;1.171413;0.777805;1.047437;
0.075650;1.000027;0.893910;-0.733436;0.987898;1.046266;0.987899;0.002586;0.299998;1.000020;1.170877;0.776769;1.047531;
0.088002;1.000029;0.895215;-0.733125;0.988040;1.011678;0.988040;-0.000132;0.299997;1.000024;1.170359;0.775730;1.047629;
0.099120;1.000031;0.896324;-0.732877;0.988164;0.970033;0.988164;-0.002021;0.299996;1.000028;1.169947;0.774839;1.047717;
0.110237;1.000033;0.897311;-0.732667;0.988278;0.923414;0.988278;-0.003378;0.299995;1.000031;1.169614;0.774027;1.047800;
0.121354;1.000034;0.898138;-0.732502;0.988381;0.875730;0.988381;-0.004237;0.299993;1.000035;1.169378;0.773318;1.047875;
0.132472;1.000034;0.898682;-0.732404;0.988461;0.832171;0.988461;-0.004465;0.299992;1.000039;1.169306;0.772788;1.047937;
0.141883;1.000035;0.898998;-0.732352;0.988516;0.799506;0.988516;-0.004423;0.299990;1.000043;1.169324;0.772431;1.047980;
