time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
0.000000;1.000000;5.716782;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000001;1.000000;5.716782;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000002;1.000000;5.716782;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000004;1.000000;5.716782;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000008;1.000000;5.716782;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000016;1.000000;5.716783;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000032;1.000000;5.716783;0.870788;1.018007;1.697171;1.018007;0.000000;0.519787;1.000000;1.327904;0.777398;1.018007;1.865222;1.000000;1.427903;0.832931;1.018007;2.037478;
0.000064;1.000000;5.716783;0.870787;1.018007;1.697171;1.018007;0.000001;0.519787;1.000000;1.327903;0.777399;1.018007;1.865222;1.000000;1.427902;0.832932;1.018007;2.037478;
0.000128;1.000000;5.716784;0.870786;1.018006;1.697171;1.018006;0.000001;0.519787;1.000000;1.327903;0.777399;1.018006;1.865222;1.000000;1.427902;0.832932;1.018006;2.037478;
0.000256;1.000000;5.716786;0.870783;1.018006;1.697171;1.018006;0.000002;0.519787;1.000000;1.327901;0.777400;1.018006;1.865222;1.000000;1.427901;0.832933;1.018006;2.037478;
