time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.484875;
0.000001;1.000000;10.104236;0.979159;1.484875;
0.000002;1.000000;10.104236;0.979158;1.484875;
0.000004;1.000000;10.104235;0.979158;1.484874;
0.000008;1.000000;10.104234;0.979157;1.484873;
0.000016;1.000000;10.104233;0.979156;1.484871;
0.000024;1.000000;10.104231;0.979154;1.484869;
0.000040;1.000000;10.104228;0.979151;1.484866;
0.000056;1.000000;10.104225;0.979148;1.484862;
0.000088;1.000000;10.104220;0.979142;1.484854;
0.000152;1.000000;10.104208;0.979131;1.484839;
0.000280;1.000000;10.104185;0.979107;1.484809;
0.000536;1.000000;10.104144;0.979060;1.484748;
0.001048;0.999999;10.104073;0.978968;1.484628;
0.001560;0.999999;10.104015;0.978877;1.484510;
0.002584;0.999998;10.103946;0.978700;1.484279;
0.003608;0.999998;10.103920;0.978529;1.484057;
0.004632;0.999997;10.103935;0.978362;1.483845;
0.006680;0.999995;10.104052;0.978040;1.483448;
0.008728;0.999994;10.104298;0.977735;1.483099;
0.012824;0.999991;10.105112;0.977173;1.482580;
0.015906;0.999989;10.105963;0.976791;1.482351;
0.016075;0.999989;10.106016;0.976770;1.482343;
0.019327;0.999987;10.107086;0.976402;1.482267;
0.022578;0.999984;10.108307;0.976079;1.482424;
0.025829;0.999982;10.109567;0.975781;1.482726;
0.029080;0.999980;10.110835;0.975506;1.483161;
0.035583;0.999975;10.113322;0.975004;1.484309;
0.042085;0.999970;10.115656;0.974571;1.485853;
0.048588;0.999965;10.117724;0.974199;1.487746;
0.056820;0.999959;10.119820;0.973798;1.490535;
0.065053;0.999952;10.121253;0.973464;1.493676;
0.073285;0.999946;10.121974;0.973182;1.497083;
0.081517;0.999939;10.121967;0.972942;1.500691;
0.089749;0.999933;10.121246;0.972735;1.504454;
0.097982;0.999927;10.119840;0.972555;1.508336;
0.106214;0.999920;10.117788;0.972397;1.512313;
0.114446;0.999914;10.115139;0.972257;1.516369;
0.130911;0.999902;10.108312;0.972016;1.524655;
0.147376;0.999892;10.099697;0.971819;1.533143;
0.163840;0.999882;10.089634;0.971655;1.541795;
0.180305;0.999873;10.078445;0.971518;1.550586;
0.213234;0.999860;10.054160;0.971298;1.568499;
0.246163;0.999852;10.028548;0.971145;1.586803;
0.279092;0.999850;10.003209;0.971045;1.605430;
0.312022;0.999852;9.979541;0.970992;1.624321;
0.377880;0.999870;9.942585;0.971014;1.662626;
0.443738;0.999898;9.922377;0.971198;1.701356;
0.509597;0.999930;9.920938;0.971538;1.740120;
0.575455;0.999958;9.937115;0.972031;1.778521;
0.641313;0.999977;9.966910;0.972676;1.816169;
0.707172;0.999981;10.004330;0.973475;1.852684;
0.773030;0.999970;10.042512;0.974427;1.887704;
0.838889;0.999946;10.074914;0.975532;1.920888;
0.904747;0.999910;10.096365;0.976782;1.951921;
0.970605;0.999870;10.103832;0.978169;1.980511;
1.000000;0.999853;10.103162;0.978822;1.992350;
1.000000;0.999853;8.815625;0.899605;1.979426;
1.000001;0.999853;8.815632;0.899604;1.979426;
1.000002;0.999853;8.815638;0.899604;1.979426;
1.000004;0.999853;8.815651;0.899602;1.979426;
1.000008;0.999853;8.815677;0.899600;1.979426;
1.000016;0.999854;8.815729;0.899594;1.979425;
1.000024;0.999854;8.815781;0.899589;1.979425;
1.000032;0.999854;8.815832;0.899583;1.979425;
1.000040;0.999854;8.815884;0.899578;1.979425;
1.000048;0.999854;8.815936;0.899572;1.979424;
1.000064;0.999854;8.816039;0.899561;1.979424;
1.000096;0.999854;8.816247;0.899540;1.979423;
1.000160;0.999855;8.816661;0.899496;1.979420;
1.000288;0.999856;8.817492;0.899409;1.979416;
1.000544;0.999858;8.819157;0.899237;1.979407;
1.001056;0.999861;8.822502;0.898898;1.979393;
1.001568;0.999865;8.825861;0.898564;1.979384;
1.002080;0.999869;8.829233;0.898235;1.979382;
1.003104;0.999877;8.836008;0.897589;1.979396;
1.004128;0.999884;8.842828;0.896960;1.979444;
1.005152;0.999892;8.849689;0.896350;1.979537;
1.007200;0.999907;8.863509;0.895182;1.979892;
1.008989;0.999919;8.875674;0.894218;1.980405;
1.010778;0.999932;8.887899;0.893302;1.981132;
