time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678817;0.892857;
0.030000;2.678818;4.309139;1.000000;4.000000;2.000025;0.781862;1.037828;2.678824;0.892857;
0.060000;2.678819;4.309140;1.000000;4.000002;2.000023;0.781862;1.037828;2.678836;0.892857;
0.120000;2.678821;4.309142;1.000000;4.000004;2.000023;0.781862;1.037828;2.678843;0.892857;
0.240000;2.678823;4.309143;1.000000;4.000004;2.000027;0.781861;1.037829;2.678846;0.892857;
0.480000;2.678825;4.309143;1.000000;4.000001;2.000035;0.781860;1.037829;2.678849;0.892857;
0.960000;2.678829;4.309147;1.000000;4.000000;2.000050;0.781858;1.037829;2.678851;0.892857;
1.000000;2.678830;4.309148;1.000000;4.000000;2.000051;0.781858;1.037829;2.678851;0.892857;
1.000000;5.833695;22.210400;1.000000;-0.000000;3.329788;0.781858;0.149920;2.678851;0.892857;
1.000020;5.834495;22.206307;1.000001;0.000000;3.328561;0.781858;0.149893;2.678874;0.892857;
1.000039;5.835295;22.202218;1.000003;0.000000;3.327335;0.781858;0.149865;2.678920;0.892857;
1.000079;5.836892;22.194046;1.000006;0.000000;3.324886;0.781858;0.149810;2.679067;0.892857;
1.000158;5.840080;22.177730;1.000011;-0.000000;3.319999;0.781858;0.149700;2.679631;0.892857;
1.000317;5.846430;22.145214;1.000022;-0.000000;3.310271;0.781859;0.149480;2.681830;0.892857;
1.000633;5.859023;22.080643;1.000044;0.000000;3.290995;0.781862;0.149044;2.690456;0.892857;
1.001267;5.883803;21.953340;1.000088;-0.000000;3.253157;0.781875;0.148185;2.723804;0.892857;
1.001900;5.908068;21.828474;1.000133;-0.000000;3.216255;0.781897;0.147342;2.777575;0.892857;
1.002534;5.931848;21.706025;1.000177;0.000000;3.180273;0.781928;0.146516;2.850366;0.892857;
1.003167;5.955174;21.585972;1.000221;-0.000000;3.145191;0.781968;0.145705;2.940788;0.892857;
1.003801;5.978078;21.468292;1.000265;0.000000;3.110991;0.782016;0.144911;3.047513;0.892857;
1.004434;6.000586;21.352962;1.000310;0.000000;3.077656;0.782073;0.144132;3.169278;0.892857;
1.005068;6.022725;21.239958;1.000354;-0.000000;3.045167;0.782139;0.143370;3.304888;0.892857;
1.005701;6.044521;21.129257;1.000398;-0.000000;3.013507;0.782214;0.142622;3.453215;0.892857;
1.006335;6.065996;21.020835;1.000442;-0.000000;2.982660;0.782298;0.141891;3.613193;0.892857;
1.006968;6.087173;20.914667;1.000486;0.000000;2.952607;0.782390;0.141174;3.783818;0.892857;
1.007602;6.108071;20.810728;1.000531;-0.000000;2.923333;0.782491;0.140472;3.964141;0.892857;
1.008235;6.128711;20.708993;1.000575;0.000000;2.894821;0.782601;0.139786;4.153272;0.892857;
1.008869;6.149110;20.609436;1.000619;0.000000;2.867055;0.782720;0.139114;4.350367;0.892857;
1.010136;6.189270;20.416729;1.000708;0.000000;2.813689;0.782984;0.137813;4.764404;0.892857;
1.011276;6.224745;20.250482;1.000787;-0.000000;2.768054;0.783252;0.136691;5.156907;0.892857;
1.012416;6.259669;20.090882;1.000867;0.000000;2.724594;0.783548;0.135613;5.564216;0.892857;
1.012625;6.266007;20.062384;1.000881;-0.000000;2.716870;0.783605;0.135421;5.640001;0.892857;
1.012625;6.266007;20.062384;1.000881;-0.000000;2.716870;0.783605;0.135421;5.640000;0.892857;
1.012653;6.266858;20.058562;1.000883;0.000000;2.715835;0.783613;0.135395;5.640000;0.892857;
1.012681;6.267708;20.054744;1.000885;0.000000;2.714801;0.783621;0.135370;5.640000;0.892857;
1.012737;6.269407;20.047117;1.000889;0.000000;2.712737;0.783637;0.135318;5.640000;0.892857;
1.012850;6.272796;20.031902;1.000897;0.000000;2.708620;0.783668;0.135215;5.640000;0.892857;
1.013075;6.279534;20.001632;1.000913;0.000000;2.700441;0.783732;0.135011;5.640000;0.892857;
1.013525;6.292857;19.941734;1.000944;0.000000;2.684291;0.783863;0.134607;5.640000;0.892857;
1.014424;6.318899;19.824455;1.001007;-0.000000;2.652811;0.784139;0.133815;5.640000;0.892857;
1.016224;6.368660;19.599609;1.001132;0.000000;2.592977;0.784744;0.132297;5.640000;0.892857;
1.018023;6.415440;19.387201;1.001258;-0.000000;2.537079;0.785419;0.130864;5.640000;0.892857;
1.021623;6.500881;18.996479;1.001509;0.000000;2.435847;0.786984;0.128226;5.640000;0.892857;
1.024862;6.569110;18.680953;1.001735;0.000000;2.355602;0.788634;0.126096;5.640000;0.892857;
1.028101;6.629989;18.396062;1.001960;-0.000000;2.284302;0.790514;0.124173;5.640000;0.892857;
1.031340;6.684207;18.138810;1.002186;0.000000;2.220861;0.792624;0.122437;5.640000;0.892857;
