time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678817;0.892857;
0.030000;2.678818;4.309139;1.000000;4.000000;2.000025;0.781862;1.037828;2.678824;0.892857;
0.060000;2.678819;4.309140;1.000000;4.000002;2.000023;0.781862;1.037828;2.678836;0.892857;
0.120000;2.678821;4.309142;1.000000;4.000004;2.000023;0.781862;1.037828;2.678843;0.892857;
0.240000;2.678823;4.309143;1.000000;4.000004;2.000027;0.781861;1.037829;2.678846;0.892857;
0.480000;2.678825;4.309143;1.000000;4.000001;2.000035;0.781860;1.037829;2.678849;0.892857;
0.960000;2.678829;4.309147;1.000000;4.000000;2.000050;0.781858;1.037829;2.678851;0.892857;
1.000000;2.678830;4.309148;1.000000;4.000000;2.000051;0.781858;1.037829;2.678851;0.892857;
1.000000;5.833695;22.210400;1.000000;0.000000;3.329788;0.781858;0.149920;2.678851;0.892857;
1.000021;5.834534;22.206108;1.000001;0.000000;3.328501;0.781858;0.149891;2.678876;0.892857;
1.000041;5.835373;22.201819;1.000003;0.000000;3.327215;0.781858;0.149862;2.678927;0.892857;
1.000083;5.837048;22.193249;1.000006;-0.000000;3.324647;0.781858;0.149804;2.679088;0.892857;
1.000166;5.840391;22.176140;1.000012;0.000000;3.319523;0.781858;0.149689;2.679708;0.892857;
1.000332;5.847048;22.142048;1.000023;0.000000;3.309325;0.781859;0.149459;2.682125;0.892857;
1.000664;5.860244;22.074373;1.000046;-0.000000;3.289126;0.781862;0.149002;2.691599;0.892857;
1.001329;5.886195;21.941044;1.000093;0.000000;3.249514;0.781877;0.148102;2.728163;0.892857;
1.001993;5.911581;21.810394;1.000139;-0.000000;3.210930;0.781901;0.147220;2.787028;0.892857;
1.002657;5.936439;21.682399;1.000186;0.000000;3.173353;0.781935;0.146356;2.866584;0.892857;
1.003322;5.960805;21.557034;1.000232;0.000000;3.136764;0.781979;0.145510;2.965247;0.892857;
1.003986;5.984713;21.434273;1.000278;0.000000;3.101139;0.782032;0.144681;3.081500;0.892857;
1.004651;6.008195;21.314090;1.000325;0.000000;3.066460;0.782095;0.143870;3.213910;0.892857;
1.005315;6.031280;21.196457;1.000371;-0.000000;3.032706;0.782167;0.143076;3.361122;0.892857;
1.005979;6.053998;21.081347;1.000417;0.000000;2.999857;0.782250;0.142299;3.521861;0.892857;
1.006644;6.076374;20.968732;1.000464;0.000000;2.967892;0.782342;0.141539;3.694928;0.892857;
1.007308;6.098433;20.858582;1.000510;-0.000000;2.936793;0.782443;0.140795;3.879193;0.892857;
1.007973;6.120197;20.750870;1.000557;0.000000;2.906540;0.782555;0.140068;4.073596;0.892857;
1.008637;6.141688;20.645565;1.000603;0.000000;2.877116;0.782676;0.139358;4.277142;0.892857;
1.009302;6.162926;20.542639;1.000649;0.000000;2.848500;0.782806;0.138663;4.488894;0.892857;
1.010630;6.204736;20.343773;1.000742;0.000000;2.793616;0.783097;0.137320;4.932537;0.892857;
1.011826;6.241669;20.172625;1.000825;-0.000000;2.746810;0.783391;0.136165;5.351743;0.892857;
1.012626;6.266036;20.062268;1.000881;-0.000000;2.716838;0.783606;0.135420;5.640001;0.892857;
1.012626;6.266036;20.062268;1.000881;0.000000;2.716839;0.783606;0.135420;5.640000;0.892857;
1.012655;6.266929;20.058260;1.000883;0.000000;2.715753;0.783614;0.135393;5.640000;0.892857;
1.012685;6.267821;20.054256;1.000885;0.000000;2.714669;0.783622;0.135366;5.640000;0.892857;
1.012744;6.269603;20.046257;1.000889;0.000000;2.712504;0.783639;0.135312;5.640000;0.892857;
1.012862;6.273155;20.030304;1.000898;0.000000;2.708188;0.783672;0.135205;5.640000;0.892857;
1.013097;6.280218;19.998573;1.000914;-0.000000;2.699615;0.783739;0.134990;5.640000;0.892857;
1.013569;6.294176;19.935816;1.000947;0.000000;2.682698;0.783877;0.134567;5.640000;0.892857;
1.014513;6.321428;19.813067;1.001013;-0.000000;2.649764;0.784167;0.133738;5.640000;0.892857;
1.016401;6.373386;19.578215;1.001145;0.000000;2.587319;0.784807;0.132153;5.640000;0.892857;
1.018288;6.422085;19.356967;1.001276;0.000000;2.529172;0.785525;0.130660;5.640000;0.892857;
1.022063;6.510641;18.951607;1.001539;-0.000000;2.424353;0.787194;0.127923;5.640000;0.892857;
1.025460;6.580933;18.625984;1.001776;0.000000;2.341759;0.788964;0.125725;5.640000;0.892857;
1.028858;6.643290;18.333422;1.002013;-0.000000;2.268772;0.790986;0.123751;5.640000;0.892857;
1.032255;6.698489;18.070534;1.002250;-0.000000;2.204173;0.793261;0.121976;5.640000;0.892857;
1.035653;6.747267;17.834191;1.002487;0.000000;2.146894;0.795789;0.120381;5.640000;0.892857;
