time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678811;0.892857;
0.030000;2.678817;4.309139;1.000000;4.000000;2.000024;0.781862;1.037828;2.678811;0.892857;
0.060000;2.678818;4.309139;1.000000;4.000001;2.000021;0.781862;1.037828;2.678812;0.892857;
0.120000;2.678818;4.309138;1.000000;4.000002;2.000019;0.781862;1.037828;2.678814;0.892857;
0.240000;2.678817;4.309137;1.000000;4.000001;2.000018;0.781862;1.037828;2.678818;0.892857;
0.480000;2.678818;4.309137;1.000000;4.000000;2.000019;0.781861;1.037828;2.678823;0.892857;
0.960000;2.678820;4.309139;1.000000;4.000000;2.000024;0.781861;1.037828;2.678828;0.892857;
1.000000;2.678820;4.309139;1.000000;4.000000;2.000025;0.781861;1.037828;2.678828;0.892857;
1.000000;5.833677;22.210367;1.000000;0.000000;3.329778;0.781861;0.149920;2.678828;0.892857;
1.000020;5.834498;22.206166;1.000001;0.000000;3.328518;0.781861;0.149892;2.678762;0.892857;
1.000040;5.835319;22.201968;1.000003;0.000000;3.327260;0.781861;0.149863;2.678695;0.892857;
1.000081;5.836959;22.193578;1.000006;0.000000;3.324746;0.781861;0.149807;2.678563;0.892857;
1.000162;5.840231;22.176829;1.000011;-0.000000;3.319729;0.781861;0.149694;2.678298;0.892857;
1.000325;5.846748;22.143450;1.000023;0.000000;3.309743;0.781862;0.149468;2.677767;0.892857;
1.000650;5.859665;22.077174;1.000045;-0.000000;3.289961;0.781865;0.149021;2.676706;0.892857;
1.001301;5.885043;21.946530;1.000091;0.000000;3.251139;0.781879;0.148139;2.674578;0.892857;
1.002601;5.934020;21.692686;1.000182;0.000000;3.176365;0.781935;0.146426;2.670308;0.892857;
1.003902;5.980691;21.448499;1.000272;-0.000000;3.105257;0.782028;0.144777;2.666018;0.892857;
1.005203;6.025143;21.213617;1.000363;0.000000;3.037618;0.782158;0.143192;2.661710;0.892857;
1.006504;6.067464;20.987688;1.000454;0.000000;2.973261;0.782325;0.141667;2.657385;0.892857;
1.007805;6.107739;20.770367;1.000545;-0.000000;2.912005;0.782529;0.140200;2.653044;0.892857;
1.009105;6.146050;20.561320;1.000636;0.000000;2.853683;0.782770;0.138789;2.648688;0.892857;
1.010406;6.182479;20.360223;1.000726;0.000000;2.798136;0.783048;0.137432;2.644319;0.892857;
1.011707;6.217100;20.166763;1.000817;0.000000;2.745214;0.783364;0.136126;2.639936;0.892857;
1.013008;6.249988;19.980636;1.000908;-0.000000;2.694774;0.783716;0.134869;2.635541;0.892857;
1.014309;6.281213;19.801551;1.000999;0.000000;2.646685;0.784106;0.133660;2.631136;0.892857;
1.015609;6.310843;19.629225;1.001089;-0.000000;2.600819;0.784532;0.132497;2.626720;0.892857;
1.016910;6.338942;19.463387;1.001180;-0.000000;2.557058;0.784996;0.131378;2.622295;0.892857;
1.018211;6.365573;19.303774;1.001271;0.000000;2.515291;0.785497;0.130300;2.617862;0.892857;
1.019512;6.390796;19.150132;1.001362;0.000000;2.475411;0.786035;0.129263;2.613420;0.892857;
1.022114;6.437317;18.859584;1.001543;0.000000;2.400866;0.787222;0.127302;2.604519;0.892857;
1.024455;6.474921;18.616174;1.001706;-0.000000;2.339293;0.788417;0.125659;2.596488;0.892857;
1.026796;6.508797;18.388569;1.001869;-0.000000;2.282441;0.789732;0.124123;2.588443;0.892857;
1.029138;6.539202;18.175638;1.002033;-0.000000;2.229888;0.791167;0.122686;2.580386;0.892857;
1.031479;6.566386;17.976304;1.002196;0.000000;2.181246;0.792722;0.121340;2.572322;0.892857;
1.033821;6.590582;17.789557;1.002359;0.000000;2.136161;0.794398;0.120080;2.564253;0.892857;
1.036162;6.612006;17.614459;1.002522;0.000000;2.094317;0.796193;0.118898;2.556182;0.892857;
1.038504;6.630860;17.450133;1.002685;0.000000;2.055423;0.798108;0.117788;2.548110;0.892857;
1.040845;6.647331;17.295769;1.002848;0.000000;2.019220;0.800143;0.116746;2.540041;0.892857;
1.043187;6.661594;17.150615;1.003011;-0.000000;1.985469;0.802298;0.115767;2.531977;0.892857;
1.045528;6.673808;17.013973;1.003174;0.000000;1.953958;0.804573;0.114844;2.523919;0.892857;
1.050211;6.692839;16.763220;1.003500;0.000000;1.896787;0.809483;0.113152;2.507832;0.892857;
1.054426;6.704331;16.560752;1.003793;0.000000;1.851245;0.814311;0.111785;2.493392;0.892857;
1.058640;6.711213;16.377208;1.004087;0.000000;1.810437;0.819528;0.110546;2.478997;0.892857;
1.062855;6.714046;16.210126;1.004380;0.000000;1.773685;0.825133;0.109418;2.464653;0.892857;
1.067069;6.713346;16.057350;1.004673;0.000000;1.740410;0.831126;0.108387;2.450366;0.892857;
1.071284;6.709568;15.917001;1.004966;0.000000;1.710119;0.837506;0.107440;2.436140;0.892857;
1.075499;6.703109;15.787442;1.005258;0.000000;1.682392;0.844275;0.106565;2.421980;0.892857;
1.079713;6.694318;15.667258;1.005551;-0.000000;1.656875;0.851431;0.105754;2.407888;0.892857;
1.083928;6.683500;15.555227;1.005844;-0.000000;1.633264;0.858975;0.104998;2.393869;0.892857;
1.088143;6.670920;15.450293;1.006136;-0.000000;1.611303;0.866906;0.104289;2.379925;0.892857;
1.096572;6.641596;15.257512;1.006721;0.000000;1.571344;0.883929;0.102988;2.352269;0.892857;
1.105001;6.607626;15.083921;1.007306;0.000000;1.535792;0.902501;0.101816;2.324931;0.892857;
1.113430;6.570120;14.925130;1.007890;0.000000;1.503627;0.922621;0.100745;2.297917;0.892857;
1.121859;6.529970;14.777670;1.008474;0.000000;1.474062;0.944287;0.099749;2.271234;0.892857;
1.130289;6.487870;14.639026;1.009057;0.000000;1.446532;0.967499;0.098813;2.244883;0.892857;
1.138718;6.444354;14.507271;1.009640;-0.000000;1.420611;0.992255;0.097924;2.218865;0.892857;
1.147147;6.399829;14.380948;1.010223;-0.000000;1.395979;1.018555;0.097071;2.193180;0.892857;
1.155576;6.354604;14.258956;1.010806;0.000000;1.372395;1.046398;0.096248;2.167826;0.892857;
1.164006;6.308913;14.140459;1.011388;0.000000;1.349680;1.075784;0.095448;2.142801;0.892857;
1.172435;6.262934;14.024818;1.011970;0.000000;1.327695;1.106710;0.094668;2.118102;0.892857;
1.180864;6.216801;13.911548;1.012551;0.000000;1.306335;1.139177;0.093903;2.093725;0.892857;
1.189293;6.170617;13.800276;1.013132;-0.000000;1.285521;1.173183;0.093152;2.069667;0.892857;
1.197723;6.124459;13.690713;1.013713;0.000000;1.265190;1.208728;0.092412;2.045924;0.892857;
1.214581;6.032487;13.475499;1.014874;0.000000;1.225726;1.284428;0.090960;1.999361;0.892857;
1.231439;5.941136;13.265576;1.016033;0.000000;1.187835;1.366272;0.089543;1.954007;0.892857;
1.248298;5.850587;13.059788;1.017191;-0.000000;1.151267;1.454252;0.088154;1.909833;0.892857;
1.265156;5.760954;12.857285;1.018348;0.000000;1.115841;1.548361;0.086787;1.866805;0.892857;
1.282015;5.672308;12.657860;1.019503;0.000000;1.081495;1.648593;0.085441;1.824892;0.892857;
1.296000;5.599550;12.493870;1.020461;0.000000;1.053653;1.736382;0.084334;1.790945;0.892857;
1.296000;5.542011;18.858826;1.020461;9.680505;-8.574679;1.736382;0.685728;1.790945;0.892857;
1.296015;5.542239;18.857124;1.020459;9.680779;-8.573905;1.736481;0.685774;1.791039;0.892857;
1.296031;5.542467;18.855422;1.020458;9.681053;-8.573131;1.736581;0.685819;1.791132;0.892857;
1.296062;5.542923;18.852023;1.020455;9.681603;-8.571583;1.736780;0.685910;1.791318;0.892857;
1.296124;5.543837;18.845236;1.020449;9.682704;-8.568488;1.737179;0.686092;1.791692;0.892857;
1.296248;5.545666;18.831713;1.020436;9.684918;-8.562297;1.737975;0.686455;1.792439;0.892857;
1.296496;5.549336;18.804870;1.020412;9.689392;-8.549918;1.739567;0.687178;1.793934;0.892857;
1.296992;5.556715;18.751993;1.020364;9.698518;-8.525170;1.742744;0.688608;1.796931;0.892857;
1.297984;5.571628;18.649422;1.020267;9.717452;-8.475747;1.749077;0.691414;1.802943;0.892857;
1.299968;5.602022;18.456595;1.020072;9.757873;-8.377378;1.761651;0.696806;1.815046;0.892857;
1.301953;5.633107;18.279523;1.019876;9.801280;-8.280072;1.774103;0.701912;1.827246;0.892857;
1.303937;5.664796;18.117375;1.019678;9.847240;-8.184245;1.786432;0.706741;1.839534;0.892857;
1.305922;5.697004;17.969333;1.019479;9.895359;-8.090248;1.798637;0.711303;1.851905;0.892857;
1.307906;5.729649;17.834596;1.019277;9.945267;-7.998381;1.810717;0.715606;1.864349;0.892857;
1.309890;5.762653;17.712382;1.019074;9.996623;-7.908897;1.822671;0.719660;1.876860;0.892857;
1.311875;5.795943;17.601939;1.018870;10.049107;-7.822011;1.834498;0.723473;1.889431;0.892857;
1.313859;5.829449;17.502539;1.018663;10.102426;-7.737899;1.846197;0.727056;1.902054;0.892857;
1.315843;5.863107;17.413481;1.018455;10.156304;-7.656705;1.857766;0.730417;1.914724;0.892857;
1.319812;5.930568;17.263508;1.018032;10.265053;-7.503169;1.880511;0.736519;1.940170;0.892857;
1.323384;5.991227;17.157434;1.017645;10.362482;-7.375852;1.900526;0.741337;1.963171;0.892857;
1.326956;6.051519;17.075205;1.017252;10.458421;-7.258974;1.920104;0.745568;1.986232;0.892857;
1.330528;6.111208;17.013728;1.016853;10.551779;-7.152676;1.939237;0.749253;2.009326;0.892857;
1.334100;6.170067;16.970188;1.016449;10.641795;-7.056824;1.957920;0.752435;2.032428;0.892857;
1.337672;6.227889;16.942035;1.016039;10.727845;-6.971161;1.976146;0.755157;2.055513;0.892857;
1.341243;6.284496;16.926936;1.015623;10.809388;-6.895351;1.993909;0.757456;2.078560;0.892857;
1.344815;6.339732;16.922794;1.015203;10.885998;-6.828987;2.011202;0.759371;2.101548;0.892857;
1.348387;6.393459;16.927735;1.014778;10.957356;-6.771600;2.028022;0.760936;2.124460;0.892857;
1.351959;6.445557;16.940087;1.014348;11.023234;-6.722685;2.044362;0.762185;2.147280;0.892857;
1.355531;6.495925;16.958364;1.013915;11.083483;-6.681708;2.060218;0.763148;2.169992;0.892857;
1.362675;6.591055;17.007454;1.013037;11.187837;-6.620423;2.090456;0.764366;2.215035;0.892857;
1.369818;6.678378;17.066062;1.012147;11.269318;-6.584216;2.118710;0.764781;2.259520;0.892857;
1.376962;6.757606;17.127779;1.011248;11.328757;-6.568954;2.144957;0.764576;2.303386;0.892857;
1.384106;6.828550;17.187685;1.010342;11.367656;-6.570538;2.169180;0.763916;2.346591;0.892857;
1.391250;6.891115;17.241855;1.009432;11.387738;-6.585128;2.191366;0.762948;2.389106;0.892857;
1.398393;6.945309;17.287429;1.008519;11.391038;-6.609201;2.211507;0.761800;2.430916;0.892857;
1.405537;6.991205;17.322341;1.007606;11.379724;-6.639591;2.229601;0.760582;2.472019;0.892857;
1.412681;7.028929;17.345136;1.006694;11.356000;-6.673488;2.245647;0.759390;2.512421;0.892857;
1.419825;7.058645;17.354818;1.005785;11.322026;-6.708426;2.259651;0.758303;2.552139;0.892857;
1.426968;7.080538;17.350734;1.004879;11.279862;-6.742261;2.271619;0.757391;2.591196;0.892857;
1.434112;7.094800;17.332477;1.003979;11.231423;-6.773139;2.281561;0.756709;2.629622;0.892857;
1.441256;7.101629;17.299815;1.003083;11.178443;-6.799468;2.289488;0.756307;2.667450;0.892857;
1.448400;7.101211;17.252626;1.002194;11.122454;-6.819886;2.295413;0.756223;2.704718;0.892857;
