time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678811;0.892857;
0.030000;2.678817;4.309139;1.000000;4.000000;2.000024;0.781862;1.037828;2.678811;0.892857;
0.060000;2.678818;4.309139;1.000000;4.000001;2.000021;0.781862;1.037828;2.678812;0.892857;
0.120000;2.678818;4.309138;1.000000;4.000002;2.000019;0.781862;1.037828;2.678814;0.892857;
0.240000;2.678817;4.309137;1.000000;4.000001;2.000018;0.781862;1.037828;2.678818;0.892857;
0.480000;2.678818;4.309137;1.000000;4.000000;2.000019;0.781861;1.037828;2.678823;0.892857;
0.960000;2.678820;4.309139;1.000000;4.000000;2.000024;0.781861;1.037828;2.678828;0.892857;
1.000000;2.678820;4.309139;1.000000;4.000000;2.000025;0.781861;1.037828;2.678828;0.892857;
1.000000;5.833677;22.210367;1.000000;0.000000;3.329778;0.781861;0.149920;2.678828;0.892857;
1.000021;5.834536;22.205972;1.000001;0.000000;3.328460;0.781861;0.149890;2.678759;0.892857;
1.000042;5.835395;22.201580;1.000003;0.000000;3.327143;0.781861;0.149861;2.678689;0.892857;
1.000085;5.837110;22.192802;1.000006;-0.000000;3.324513;0.781861;0.149801;2.678551;0.892857;
1.000170;5.840534;22.175280;1.000012;0.000000;3.319266;0.781861;0.149683;2.678273;0.892857;
1.000340;5.847349;22.140367;1.000024;-0.000000;3.308822;0.781862;0.149447;2.677718;0.892857;
1.000680;5.860853;22.071070;1.000048;0.000000;3.288142;0.781866;0.148980;2.676607;0.892857;
1.001361;5.887362;21.934562;1.000095;0.000000;3.247594;0.781881;0.148058;2.674381;0.892857;
1.002722;5.938438;21.669672;1.000190;0.000000;3.169629;0.781942;0.146270;2.669911;0.892857;
1.004083;5.986999;21.415318;1.000285;0.000000;3.095657;0.782043;0.144553;2.665421;0.892857;
1.005444;6.033144;21.171095;1.000380;-0.000000;3.025453;0.782186;0.142905;2.660911;0.892857;
1.006805;6.076974;20.936603;1.000475;0.000000;2.958804;0.782369;0.141322;2.656382;0.892857;
1.008166;6.118585;20.711449;1.000570;0.000000;2.895508;0.782592;0.139802;2.651836;0.892857;
1.009527;6.158072;20.495254;1.000665;0.000000;2.835374;0.782856;0.138343;2.647274;0.892857;
1.010888;6.195524;20.287651;1.000760;-0.000000;2.778224;0.783161;0.136942;2.642697;0.892857;
1.012249;6.231027;20.088283;1.000855;0.000000;2.723889;0.783506;0.135596;2.638107;0.892857;
1.013610;6.264665;19.896811;1.000950;-0.000000;2.672211;0.783892;0.134303;2.633503;0.892857;
1.014971;6.296518;19.712903;1.001045;-0.000000;2.623040;0.784318;0.133062;2.628889;0.892857;
1.016332;6.326660;19.536243;1.001140;0.000000;2.576237;0.784785;0.131870;2.624263;0.892857;
1.017693;6.355165;19.366524;1.001235;0.000000;2.531670;0.785293;0.130724;2.619628;0.892857;
1.019054;6.382102;19.203453;1.001330;-0.000000;2.489215;0.785841;0.129623;2.614984;0.892857;
1.020415;6.407539;19.046746;1.001425;0.000000;2.448755;0.786430;0.128566;2.610332;0.892857;
1.023137;6.454244;18.751107;1.001614;-0.000000;2.373327;0.787730;0.126570;2.601009;0.892857;
1.025587;6.491758;18.504189;1.001785;-0.000000;2.311234;0.789038;0.124903;2.592599;0.892857;
1.028037;6.525337;18.273948;1.001956;-0.000000;2.254076;0.790478;0.123349;2.584176;0.892857;
1.030487;6.555264;18.059135;1.002127;0.000000;2.201393;0.792049;0.121899;2.575741;0.892857;
1.032937;6.581812;17.858562;1.002297;-0.000000;2.152765;0.793751;0.120545;2.567301;0.892857;
1.035387;6.605239;17.671123;1.002468;0.000000;2.107813;0.795585;0.119280;2.558856;0.892857;
1.037836;6.625779;17.495791;1.002639;-0.000000;2.066193;0.797550;0.118097;2.550411;0.892857;
1.040286;6.643653;17.331615;1.002809;-0.000000;2.027598;0.799647;0.116988;2.541967;0.892857;
1.042736;6.659063;17.177715;1.002980;0.000000;1.991749;0.801874;0.115950;2.533529;0.892857;
1.045186;6.672198;17.033278;1.003150;-0.000000;1.958395;0.804233;0.114975;2.525097;0.892857;
1.047636;6.683230;16.897557;1.003321;-0.000000;1.927310;0.806724;0.114059;2.516673;0.892857;
1.052536;6.699787;16.649044;1.003662;0.000000;1.871037;0.812098;0.112381;2.499863;0.892857;
1.056945;6.708961;16.448898;1.003969;0.000000;1.826322;0.817384;0.111030;2.484780;0.892857;
1.061355;6.713481;16.267797;1.004275;-0.000000;1.786328;0.823094;0.109808;2.469751;0.892857;
1.065765;6.713940;16.103153;1.004582;0.000000;1.750353;0.829229;0.108696;2.454782;0.892857;
1.070175;6.710879;15.952725;1.004888;0.000000;1.717804;0.835789;0.107681;2.439879;0.892857;
1.074584;6.704771;15.814569;1.005195;0.000000;1.688179;0.842773;0.106748;2.425047;0.892857;
1.078994;6.696028;15.687004;1.005501;-0.000000;1.661054;0.850182;0.105887;2.410289;0.892857;
1.083404;6.685009;15.568587;1.005807;0.000000;1.636071;0.858015;0.105088;2.395610;0.892857;
1.087813;6.672025;15.458081;1.006113;0.000000;1.612928;0.866272;0.104342;2.381012;0.892857;
1.092223;6.657346;15.354425;1.006419;0.000000;1.591369;0.874954;0.103642;2.366497;0.892857;
1.101043;6.624030;15.163453;1.007031;0.000000;1.552030;0.893587;0.102353;2.337728;0.892857;
1.109862;6.586340;14.990775;1.007643;-0.000000;1.516883;0.913916;0.101188;2.309312;0.892857;
1.118682;6.545371;14.832074;1.008254;0.000000;1.484935;0.935937;0.100117;2.281255;0.892857;
1.127501;6.501994;14.683971;1.008864;-0.000000;1.455428;0.959651;0.099117;2.253560;0.892857;
1.136321;6.456882;14.544062;1.009475;0.000000;1.427826;0.985057;0.098172;2.226231;0.892857;
1.145140;6.410544;14.410524;1.010084;0.000000;1.401727;1.012153;0.097271;2.199266;0.892857;
1.153960;6.363361;14.281994;1.010694;0.000000;1.376834;1.040938;0.096403;2.172664;0.892857;
1.162779;6.315621;14.157452;1.011303;-0.000000;1.352926;1.071412;0.095563;2.146422;0.892857;
1.171599;6.267539;14.036130;1.011912;0.000000;1.329837;1.103573;0.094744;2.120538;0.892857;
1.180418;6.219275;13.917451;1.012520;-0.000000;1.307444;1.137420;0.093943;2.095006;0.892857;
1.189237;6.170949;13.800978;1.013128;-0.000000;1.285652;1.172953;0.093157;2.069825;0.892857;
1.198057;6.122651;13.686378;1.013736;0.000000;1.264389;1.210170;0.092383;2.044988;0.892857;
1.206876;6.074448;13.573396;1.014343;0.000000;1.243600;1.249070;0.091620;2.020491;0.892857;
1.224515;5.978553;13.351187;1.015557;0.000000;1.203216;1.331915;0.090121;1.972493;0.892857;
1.242154;5.883475;13.134178;1.016769;-0.000000;1.164420;1.421480;0.088656;1.925798;0.892857;
1.259793;5.789361;12.921301;1.017980;-0.000000;1.126980;1.517758;0.087219;1.880370;0.892857;
1.277432;5.696305;12.711771;1.019189;0.000000;1.090727;1.620742;0.085804;1.836174;0.892857;
1.295071;5.604359;12.505431;1.020397;-0.000000;1.055604;1.730423;0.084412;1.793174;0.892857;
1.296000;5.599551;12.494487;1.020461;0.000000;1.053757;1.736382;0.084338;1.790943;0.892857;
1.296000;5.542011;18.858839;1.020461;9.680501;-8.574685;1.736382;0.685728;1.790943;0.892857;
1.296016;5.542249;18.857058;1.020459;9.680788;-8.573876;1.736486;0.685775;1.791041;0.892857;
1.296032;5.542488;18.855278;1.020457;9.681075;-8.573066;1.736590;0.685823;1.791138;0.892857;
1.296065;5.542966;18.851721;1.020454;9.681650;-8.571447;1.736799;0.685918;1.791334;0.892857;
1.296130;5.543922;18.844621;1.020448;9.682802;-8.568208;1.737216;0.686109;1.791724;0.892857;
1.296259;5.545836;18.830477;1.020435;9.685120;-8.561731;1.738049;0.686488;1.792506;0.892857;
1.296519;5.549676;18.802412;1.020410;9.689806;-8.548779;1.739714;0.687244;1.794071;0.892857;
1.297038;5.557401;18.747165;1.020360;9.699371;-8.522887;1.743038;0.688739;1.797206;0.892857;
1.298076;5.573019;18.640150;1.020258;9.719246;-8.471184;1.749661;0.691669;1.803499;0.892857;
1.300152;5.604871;18.439560;1.020054;9.761772;-8.368322;1.762809;0.697290;1.816169;0.892857;
1.302228;5.637470;18.256129;1.019849;9.807524;-8.266664;1.775822;0.702599;1.828945;0.892857;
1.304305;5.670717;18.088910;1.019641;9.856009;-8.166680;1.788701;0.707606;1.841816;0.892857;
1.306381;5.704516;17.936971;1.019432;9.906781;-8.068764;1.801444;0.712322;1.854776;0.892857;
1.308457;5.738773;17.799396;1.019221;9.959423;-7.973249;1.814049;0.716758;1.867815;0.892857;
1.310533;5.773400;17.675302;1.019008;10.013550;-7.880411;1.826517;0.720923;1.880924;0.892857;
1.312610;5.808316;17.563833;1.018793;10.068805;-7.790485;1.838845;0.724829;1.894096;0.892857;
1.314686;5.843442;17.464167;1.018576;10.124859;-7.703657;1.851032;0.728485;1.907324;0.892857;
1.316762;5.878706;17.375513;1.018357;10.181409;-7.620080;1.863077;0.731903;1.920599;0.892857;
1.318838;5.914039;17.297112;1.018136;10.238174;-7.539871;1.874979;0.735091;1.933915;0.892857;
1.322991;5.984591;17.167992;1.017688;10.351685;-7.389509;1.898344;0.740831;1.960636;0.892857;
1.326728;6.047726;17.079916;1.017277;10.452190;-7.266314;1.918868;0.745308;1.984760;0.892857;
1.330465;6.110197;17.014755;1.016860;10.550084;-7.154578;1.938907;0.749188;2.008922;0.892857;
1.334202;6.171761;16.969265;1.016437;10.644300;-7.054292;1.958451;0.752517;2.033092;0.892857;
1.337940;6.232190;16.940521;1.016008;10.734120;-6.965165;1.977496;0.755342;2.057244;0.892857;
1.341677;6.291276;16.925901;1.015573;10.818975;-6.886793;1.996032;0.757709;2.081351;0.892857;
1.345414;6.348841;16.923026;1.015132;10.898386;-6.818703;2.014055;0.759658;2.105392;0.892857;
1.349151;6.404733;16.929778;1.014686;10.971996;-6.760356;2.031558;0.761231;2.129347;0.892857;
1.352889;6.458818;16.944284;1.014236;11.039561;-6.711165;2.048535;0.762465;2.153197;0.892857;
1.356626;6.510985;16.964890;1.013781;11.100932;-6.670514;2.064980;0.763396;2.176927;0.892857;
1.360363;6.561140;16.990139;1.013322;11.156040;-6.637772;2.080889;0.764056;2.200522;0.892857;
1.367838;6.655031;17.049525;1.012395;11.248609;-6.592470;2.111078;0.764719;2.247248;0.892857;
1.375312;6.740090;17.113830;1.011457;11.316720;-6.571191;2.139075;0.764657;2.293313;0.892857;
1.382786;6.816107;17.177106;1.010510;11.361828;-6.569351;2.164861;0.764058;2.338662;0.892857;
1.390261;6.882974;17.234888;1.009558;11.386005;-6.582513;2.188419;0.763093;2.383262;0.892857;
1.397735;6.940673;17.283671;1.008603;11.391478;-6.606599;2.209739;0.761912;2.427093;0.892857;
1.405210;6.989285;17.320987;1.007648;11.380713;-6.637936;2.228818;0.760643;2.470149;0.892857;
1.412684;7.028949;17.345118;1.006694;11.356234;-6.673274;2.245657;0.759396;2.512439;0.892857;
1.420159;7.059847;17.354907;1.005742;11.320518;-6.709775;2.260259;0.758264;2.553980;0.892857;
1.427633;7.082193;17.349608;1.004795;11.275923;-6.744986;2.272633;0.757326;2.594800;0.892857;
1.435108;7.096209;17.328771;1.003854;11.224629;-6.776801;2.282791;0.756645;2.634932;0.892857;
1.442582;7.102115;17.292143;1.002918;11.168600;-6.803426;2.290745;0.756275;2.674415;0.892857;
1.450056;7.100124;17.239600;1.001989;11.109552;-6.823339;2.296510;0.756261;2.713294;0.892857;
