time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488699;
0.008192;0.999994;10.104177;0.977803;1.488699;
0.016384;0.999989;10.106031;0.976718;1.488699;
0.024576;0.999983;10.108955;0.975851;1.488699;
0.032768;0.999977;10.112276;0.975154;1.488699;
0.040960;0.999971;10.115502;0.974589;1.488699;
0.049152;0.999965;10.118305;0.974128;1.488699;
0.065536;0.999952;10.121828;0.973405;1.488699;
0.081920;0.999939;10.122371;0.972886;1.488699;
0.098304;0.999926;10.119874;0.972497;1.488699;
0.114688;0.999914;10.114553;0.972190;1.488699;
0.147456;0.999892;10.097344;0.971692;1.488699;
0.180224;0.999875;10.073293;0.971300;1.488699;
0.245760;0.999859;10.016848;0.970622;1.488699;
0.311296;0.999875;9.961519;0.970045;1.488699;
0.386083;0.999914;9.921282;0.969388;1.488699;
0.460869;0.999960;9.904706;0.968736;1.488699;
0.535656;1.000003;9.908836;0.968094;1.488699;
0.685229;1.000063;9.945931;0.966857;1.488699;
0.819845;1.000079;9.997646;0.965830;1.488699;
0.954461;1.000059;10.037626;0.964919;1.488699;
1.000000;1.000049;10.044589;0.964638;1.488699;
1.000000;1.000049;8.764414;0.886164;1.488699;
1.000001;1.000049;8.764421;0.886163;1.488699;
1.000002;1.000049;8.764427;0.886162;1.488699;
1.000004;1.000049;8.764441;0.886161;1.488699;
1.000008;1.000049;8.764467;0.886158;1.488699;
1.000016;1.000049;8.764521;0.886152;1.488699;
1.000032;1.000049;8.764628;0.886141;1.488699;
1.000064;1.000049;8.764842;0.886118;1.488699;
1.000128;1.000050;8.765270;0.886072;1.488699;
1.000256;1.000051;8.766127;0.885981;1.488699;
1.000512;1.000053;8.767844;0.885800;1.488699;
1.001024;1.000057;8.771290;0.885442;1.488699;
1.002048;1.000064;8.778223;0.884742;1.488699;
1.003062;1.000072;8.785135;0.884067;1.488699;
1.003063;1.000072;8.785142;0.884066;1.488699;
1.003064;1.000072;8.785149;0.884066;1.488699;
1.003066;1.000072;8.785163;0.884064;1.488699;
1.003070;1.000072;8.785190;0.884062;1.488699;
1.003078;1.000072;8.785245;0.884056;1.488699;
1.003094;1.000073;8.785354;0.884046;1.488699;
1.003126;1.000073;8.785574;0.884025;1.488699;
1.003190;1.000073;8.786012;0.883983;1.488699;
1.003318;1.000074;8.786890;0.883900;1.488699;
1.003574;1.000076;8.788647;0.883734;1.488699;
1.004086;1.000080;8.792169;0.883405;1.488699;
1.005110;1.000088;8.799241;0.882762;1.488699;
1.007158;1.000103;8.813482;0.881528;1.488699;
1.011254;1.000134;8.842201;0.879254;1.488699;
1.015350;1.000163;8.871076;0.877216;1.488699;
1.019446;1.000192;8.899919;0.875388;1.488699;
1.023542;1.000220;8.928575;0.873744;1.488699;
1.027638;1.000247;8.956929;0.872262;1.488700;
1.031734;1.000273;8.984895;0.870923;1.488700;
1.039926;1.000324;9.039429;0.868589;1.488701;
1.048118;1.000372;9.092032;0.866647;1.488703;
1.056310;1.000416;9.142693;0.865016;1.488705;
1.064502;1.000458;9.191513;0.863626;1.488707;
