time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488701;
0.000256;1.000000;10.104190;0.979111;1.488709;
0.000512;1.000000;10.104148;0.979064;1.488738;
0.001024;0.999999;10.104074;0.978971;1.488853;
0.002048;0.999999;10.103964;0.978790;1.489305;
0.004096;0.999997;10.103886;0.978442;1.491051;
0.006144;0.999996;10.103984;0.978114;1.493854;
0.008192;0.999994;10.104241;0.977805;1.497633;
0.010240;0.999993;10.104638;0.977515;1.502305;
0.012288;0.999992;10.105160;0.977241;1.507792;
0.014336;0.999990;10.105794;0.976982;1.514018;
0.016384;0.999989;10.106525;0.976739;1.520913;
0.018432;0.999987;10.107343;0.976510;1.528411;
0.020480;0.999986;10.108237;0.976294;1.536449;
0.022528;0.999984;10.109198;0.976091;1.544971;
0.024576;0.999983;10.110216;0.975900;1.553921;
0.026624;0.999981;10.111285;0.975719;1.563250;
0.030720;0.999978;10.113542;0.975390;1.582810;
0.034406;0.999976;10.115687;0.975126;1.601286;
0.038093;0.999973;10.117911;0.974891;1.620379;
0.041779;0.999970;10.120194;0.974681;1.639909;
0.045466;0.999967;10.122517;0.974495;1.659724;
0.049152;0.999964;10.124865;0.974330;1.679694;
0.052838;0.999961;10.127226;0.974186;1.699709;
0.056525;0.999958;10.129592;0.974059;1.719678;
0.060211;0.999955;10.131955;0.973949;1.739523;
0.063898;0.999952;10.134309;0.973855;1.759182;
0.067584;0.999948;10.136650;0.973775;1.778603;
0.071270;0.999945;10.138975;0.973708;1.797745;
0.074957;0.999942;10.141280;0.973654;1.816573;
0.078643;0.999938;10.143564;0.973611;1.835062;
0.086016;0.999931;10.148060;0.973556;1.870939;
0.093389;0.999924;10.152455;0.973539;1.905302;
0.100762;0.999917;10.156743;0.973556;1.938113;
0.108134;0.999910;10.160918;0.973602;1.969369;
0.115507;0.999902;10.164974;0.973675;1.999096;
0.122880;0.999894;10.168904;0.973772;2.027339;
0.130253;0.999886;10.172701;0.973890;2.054157;
0.144998;0.999870;10.179850;0.974182;2.103878;
0.159744;0.999852;10.186346;0.974541;2.148749;
0.189235;0.999817;10.196935;0.975413;2.226575;
0.214044;0.999786;10.203053;0.976286;2.281217;
0.238853;0.999755;10.206214;0.977260;2.327944;
0.261181;0.999726;10.206286;0.978209;2.364411;
0.283509;0.999698;10.203562;0.979215;2.396550;
0.305837;0.999671;10.197967;0.980270;2.425055;
0.328165;0.999645;10.189514;0.981367;2.450468;
0.350493;0.999620;10.178294;0.982502;2.473217;
0.372820;0.999598;10.164479;0.983668;2.493643;
0.395148;0.999578;10.148308;0.984863;2.512019;
0.417476;0.999560;10.130083;0.986081;2.528568;
0.439804;0.999545;10.110157;0.987321;2.543475;
0.484460;0.999525;10.067403;0.989843;2.569101;
0.529116;0.999517;10.023032;0.992412;2.589687;
0.573772;0.999522;9.980436;0.995007;2.605956;
0.618428;0.999538;9.942686;0.997614;2.618473;
0.663084;0.999563;9.912504;1.000217;2.627730;
0.707739;0.999595;9.891895;1.002807;2.634147;
0.797051;0.999664;9.881493;1.007909;2.640099;
0.886363;0.999726;9.906672;1.012890;2.638145;
0.975675;0.999767;9.954576;1.017729;2.629867;
1.000000;0.999773;9.968514;1.019021;2.626738;
1.000000;0.999773;8.699902;0.937655;2.626738;
1.000001;0.999773;8.699909;0.937654;2.626738;
