time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.477006;
0.000001;1.000000;10.104236;0.979159;1.477003;
0.000002;1.000000;10.104236;0.979158;1.476999;
0.000004;1.000000;10.104235;0.979158;1.476992;
0.000008;1.000000;10.104234;0.979157;1.476978;
0.000016;1.000000;10.104233;0.979156;1.476951;
0.000032;1.000000;10.104230;0.979153;1.476896;
0.000064;1.000000;10.104223;0.979147;1.476786;
0.000128;1.000000;10.104211;0.979135;1.476566;
0.000256;1.000000;10.104186;0.979111;1.476126;
0.000512;1.000000;10.104139;0.979064;1.475248;
0.001024;0.999999;10.104054;0.978971;1.473495;
0.002048;0.999999;10.103919;0.978788;1.470003;
0.004096;0.999997;10.103769;0.978439;1.463079;
0.008192;0.999994;10.103864;0.977794;1.449469;
0.016384;0.999989;10.105025;0.976691;1.423223;
0.024576;0.999983;10.106869;0.975794;1.398285;
0.032768;0.999977;10.108718;0.975056;1.374650;
0.040960;0.999971;10.110090;0.974441;1.352292;
0.049152;0.999965;10.110668;0.973917;1.331173;
0.065536;0.999954;10.108741;0.973041;1.292388;
0.081920;0.999943;10.102640;0.972329;1.257925;
0.098304;0.999933;10.092518;0.971713;1.227366;
0.114688;0.999924;10.078817;0.971148;1.200298;
0.147456;0.999911;10.043783;0.970058;1.154725;
0.180224;0.999907;10.001603;0.968984;1.118977;
0.212992;0.999912;9.956226;0.967892;1.091041;
0.245760;0.999927;9.911106;0.966771;1.069254;
0.278528;0.999950;9.869122;0.965621;1.052285;
0.311296;0.999981;9.832599;0.964447;1.039086;
0.344064;1.000019;9.803325;0.963253;1.028837;
0.376832;1.000061;9.782568;0.962044;1.020895;
0.442368;1.000151;9.768916;0.959604;1.009624;
0.507904;1.000236;9.790093;0.957152;1.002978;
0.573440;1.000305;9.839745;0.954713;0.999249;
0.638976;1.000350;9.907745;0.952309;0.997269;
0.704512;1.000364;9.981979;0.949962;0.996272;
0.770048;1.000350;10.050383;0.947690;0.995783;
0.835584;1.000312;10.102822;0.945510;0.995517;
0.901120;1.000258;10.132502;0.943427;0.995320;
0.966656;1.000198;10.136739;0.941442;0.995121;
1.000000;1.000172;10.131443;0.940461;0.995018;
1.000000;1.000172;8.837941;0.863259;0.959224;
1.000001;1.000172;8.837947;0.863258;0.959224;
1.000002;1.000172;8.837953;0.863257;0.959225;
1.000004;1.000172;8.837965;0.863256;0.959225;
1.000008;1.000172;8.837989;0.863253;0.959227;
1.000016;1.000172;8.838038;0.863247;0.959230;
1.000032;1.000172;8.838134;0.863235;0.959235;
1.000064;1.000172;8.838328;0.863211;0.959246;
1.000128;1.000173;8.838715;0.863163;0.959268;
1.000256;1.000174;8.839490;0.863067;0.959312;
1.000512;1.000175;8.841042;0.862877;0.959398;
1.001024;1.000179;8.844158;0.862501;0.959569;
1.002048;1.000187;8.850430;0.861763;0.959902;
1.004096;1.000201;8.863107;0.860345;0.960534;
1.008192;1.000230;8.888828;0.857722;0.961674;
1.012288;1.000259;8.914850;0.855361;0.962669;
1.016384;1.000286;8.940948;0.853230;0.963544;
1.020480;1.000313;8.966937;0.851304;0.964318;
1.024576;1.000339;8.992675;0.849558;0.965010;
1.028672;1.000365;9.018055;0.847970;0.965635;
