time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678811;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678811;0.892857;
0.030000;2.678817;4.309139;1.000000;4.000000;2.000024;0.781862;1.037828;2.678811;0.892857;
0.060000;2.678818;4.309139;1.000000;4.000001;2.000021;0.781862;1.037828;2.678812;0.892857;
0.120000;2.678818;4.309138;1.000000;4.000002;2.000019;0.781862;1.037828;2.678814;0.892857;
0.240000;2.678817;4.309137;1.000000;4.000001;2.000018;0.781862;1.037828;2.678819;0.892857;
0.480000;2.678818;4.309137;1.000000;4.000000;2.000020;0.781861;1.037828;2.678825;0.892857;
0.960000;2.678820;4.309139;1.000000;4.000000;2.000026;0.781860;1.037828;2.678830;0.892857;
1.000000;2.678821;4.309139;1.000000;4.000000;2.000026;0.781860;1.037828;2.678830;0.892857;
1.000000;5.833677;22.210370;1.000000;-0.000000;3.329779;0.781860;0.149920;2.678830;0.892857;
1.000020;5.834478;22.206278;1.000001;0.000000;3.328552;0.781860;0.149892;2.678830;0.892857;
1.000039;5.835277;22.202188;1.000003;0.000000;3.327326;0.781860;0.149865;2.678830;0.892857;
1.000079;5.836875;22.194016;1.000006;-0.000000;3.324877;0.781861;0.149810;2.678830;0.892857;
1.000158;5.840063;22.177701;1.000011;-0.000000;3.319990;0.781861;0.149699;2.678830;0.892857;
1.000317;5.846411;22.145183;1.000022;0.000000;3.310262;0.781862;0.149480;2.678830;0.892857;
1.000633;5.859000;22.080608;1.000044;0.000000;3.290984;0.781865;0.149044;2.678831;0.892857;
1.001267;5.883744;21.953269;1.000088;0.000000;3.253136;0.781878;0.148185;2.678841;0.892857;
1.002534;5.931551;21.705669;1.000177;-0.000000;3.180169;0.781931;0.146513;2.678920;0.892857;
1.003801;5.977174;21.467260;1.000265;0.000000;3.110692;0.782019;0.144904;2.679111;0.892857;
1.005068;6.020696;21.237716;1.000354;0.000000;3.044524;0.782142;0.143355;2.679459;0.892857;
1.006335;6.062198;21.016711;1.000442;0.000000;2.981490;0.782301;0.141863;2.680008;0.892857;
1.007602;6.101760;20.803927;1.000531;0.000000;2.921423;0.782494;0.140427;2.680799;0.892857;
1.008869;6.139459;20.599054;1.000619;-0.000000;2.864167;0.782723;0.139044;2.681868;0.892857;
1.010136;6.175370;20.401791;1.000708;0.000000;2.809573;0.782987;0.137712;2.683248;0.892857;
1.011403;6.209565;20.211849;1.000796;0.000000;2.757502;0.783286;0.136430;2.684971;0.892857;
1.012670;6.242112;20.028946;1.000884;0.000000;2.707821;0.783621;0.135195;2.687063;0.892857;
1.013937;6.273079;19.852813;1.000973;-0.000000;2.660406;0.783990;0.134006;2.689550;0.892857;
1.015204;6.302529;19.683186;1.001061;0.000000;2.615138;0.784395;0.132862;2.692453;0.892857;
1.016471;6.330524;19.519813;1.001149;-0.000000;2.571906;0.784835;0.131759;2.695792;0.892857;
1.017737;6.357124;19.362450;1.001238;0.000000;2.530605;0.785310;0.130697;2.699584;0.892857;
1.020271;6.406434;19.064612;1.001415;-0.000000;2.453351;0.786366;0.128686;2.708605;0.892857;
1.022552;6.446587;18.814851;1.001574;0.000000;2.389491;0.787436;0.127000;2.718405;0.892857;
1.024833;6.483052;18.581133;1.001733;0.000000;2.330495;0.788621;0.125423;2.729856;0.892857;
1.027113;6.516085;18.362362;1.001892;0.000000;2.275940;0.789919;0.123946;2.742996;0.892857;
1.029394;6.545939;18.157489;1.002050;-0.000000;2.225437;0.791331;0.122563;2.757851;0.892857;
1.031674;6.572848;17.965533;1.002209;0.000000;2.178633;0.792857;0.121267;2.774437;0.892857;
1.033954;6.597020;17.785673;1.002368;0.000000;2.135229;0.794496;0.120053;2.792748;0.892857;
1.033954;6.597019;17.785668;1.002368;-0.000000;2.135227;0.794496;0.120053;2.792748;0.892857;
1.034007;6.597551;17.781603;1.002372;0.000000;2.134252;0.794536;0.120026;2.793197;0.892857;
1.034060;6.598082;17.777545;1.002376;-0.000000;2.133278;0.794576;0.119998;2.793646;0.892857;
1.034167;6.599140;17.769444;1.002383;0.000000;2.131334;0.794655;0.119944;2.794543;0.892857;
1.034380;6.601240;17.753314;1.002398;0.000000;2.127466;0.794816;0.119835;2.796337;0.892857;
1.034807;6.605377;17.721335;1.002428;-0.000000;2.119809;0.795139;0.119619;2.799923;0.892857;
1.035660;6.613398;17.658500;1.002487;0.000000;2.104803;0.795798;0.119195;2.807085;0.892857;
1.037367;6.628468;17.537162;1.002606;0.000000;2.075976;0.797163;0.118376;2.821372;0.892857;
1.040780;6.654999;17.310616;1.002844;0.000000;2.022688;0.800085;0.116847;2.849802;0.892857;
1.044194;6.677068;17.103933;1.003081;0.000000;1.974675;0.803262;0.115452;2.878038;0.892857;
1.047607;6.695127;16.915086;1.003319;0.000000;1.931311;0.806694;0.114177;2.906083;0.892857;
1.051020;6.709604;16.742204;1.003556;-0.000000;1.892035;0.810380;0.113010;2.933936;0.892857;
1.054434;6.720885;16.583599;1.003794;-0.000000;1.856356;0.814321;0.111939;2.961600;0.892857;
1.057847;6.729323;16.437758;1.004031;0.000000;1.823849;0.818517;0.110955;2.989076;0.892857;
1.059211;6.731987;16.382708;1.004126;0.000000;1.811653;0.820264;0.110583;3.000001;0.892857;
1.059211;6.731986;16.382687;1.004126;-0.000000;1.811649;0.820264;0.110583;3.000001;0.892857;
1.059311;6.732161;16.378728;1.004133;-0.000000;1.810774;0.820394;0.110556;3.000801;0.892857;
1.059411;6.732334;16.374781;1.004140;0.000000;1.809901;0.820525;0.110530;3.001602;0.892857;
1.059611;6.732675;16.366910;1.004154;-0.000000;1.808161;0.820786;0.110477;3.003203;0.892857;
1.060012;6.733333;16.351276;1.004182;-0.000000;1.804708;0.821310;0.110371;3.006403;0.892857;
1.060813;6.734556;16.320435;1.004238;0.000000;1.797907;0.822370;0.110163;3.012796;0.892857;
1.062415;6.736636;16.260425;1.004349;0.000000;1.784710;0.824530;0.109758;3.025550;0.892857;
1.065619;6.739442;16.146658;1.004572;-0.000000;1.759823;0.829020;0.108990;3.050937;0.892857;
1.072027;6.740375;15.941119;1.005017;-0.000000;1.715305;0.838672;0.107603;3.101226;0.892857;
1.078435;6.735916;15.761048;1.005462;0.000000;1.676772;0.849220;0.106387;3.150875;0.892857;
1.084843;6.727111;15.602002;1.005907;0.000000;1.643102;0.860664;0.105314;3.199893;0.892857;
1.091250;6.714862;15.460222;1.006352;0.000000;1.613375;0.873003;0.104357;3.248286;0.892857;
1.097658;6.699923;15.332686;1.006796;0.000000;1.586866;0.886238;0.103496;3.296063;0.892857;
1.104066;6.682910;15.216947;1.007241;-0.000000;1.562999;0.900367;0.102714;3.343232;0.892857;
1.110474;6.664325;15.111030;1.007685;0.000000;1.541317;0.915390;0.101999;3.389800;0.892857;
1.116882;6.644574;15.013345;1.008129;-0.000000;1.521454;0.931308;0.101340;3.435775;0.892857;
1.123290;6.623984;14.922611;1.008573;0.000000;1.503119;0.948119;0.100728;3.481165;0.892857;
1.136106;6.581531;14.757131;1.009460;0.000000;1.469967;0.984419;0.099611;3.570227;0.892857;
1.148922;6.538210;14.610015;1.010346;0.000000;1.440805;1.024289;0.098618;3.657038;0.892857;
1.161738;6.494985;14.476932;1.011231;-0.000000;1.414676;1.067725;0.097719;3.741653;0.892857;
1.174553;6.452523;14.354619;1.012116;0.000000;1.390872;1.114725;0.096894;3.824126;0.892857;
1.187369;6.411257;14.241223;1.013000;-0.000000;1.368984;1.165284;0.096128;3.904512;0.892857;
1.200185;6.371452;14.135393;1.013883;-0.000000;1.348713;1.219400;0.095414;3.982864;0.892857;
1.213001;6.333256;14.036171;1.014765;0.000000;1.329845;1.277070;0.094744;4.059232;0.892857;
1.238632;6.261946;13.853843;1.016527;-0.000000;1.295521;1.403056;0.093513;4.206282;0.892857;
1.264264;6.197351;13.693269;1.018287;0.000000;1.265663;1.543219;0.092430;4.346001;0.892857;
1.289896;6.139282;13.550759;1.020043;-0.000000;1.239456;1.697535;0.091468;4.478739;0.892857;
1.296000;6.126370;13.516048;1.020461;-0.000000;1.233114;1.736368;0.091233;4.509371;0.892857;
1.296000;6.020973;19.388002;1.020461;10.468912;-8.275553;1.736368;0.688300;4.509371;0.892857;
1.296015;6.021229;19.386491;1.020459;10.469261;-8.274787;1.736466;0.688344;4.509447;0.892857;
1.296030;6.021485;19.384982;1.020457;10.469611;-8.274022;1.736564;0.688387;4.509523;0.892857;
1.296061;6.021999;19.381967;1.020454;10.470311;-8.272491;1.736760;0.688473;4.509675;0.892857;
1.296122;6.023025;19.375947;1.020447;10.471714;-8.269428;1.737152;0.688646;4.509979;0.892857;
1.296244;6.025081;19.363957;1.020434;10.474530;-8.263304;1.737935;0.688991;4.510587;0.892857;
1.296488;6.029203;19.340173;1.020407;10.480204;-8.251058;1.739501;0.689677;4.511801;0.892857;
1.296976;6.037485;19.293378;1.020352;10.491711;-8.226584;1.742626;0.691035;4.514229;0.892857;
1.297952;6.054196;19.202835;1.020244;10.515342;-8.177727;1.748851;0.693697;4.519078;0.892857;
1.299905;6.088153;19.033521;1.020025;10.564898;-8.080559;1.761201;0.698812;4.528747;0.892857;
1.301857;6.122758;18.879235;1.019805;10.617109;-7.984515;1.773417;0.703652;4.538378;0.892857;
1.303810;6.157923;18.739148;1.019583;10.671559;-7.889985;1.785496;0.708226;4.547972;0.892857;
1.305762;6.193564;18.612444;1.019359;10.727867;-7.797295;1.797439;0.712543;4.557528;0.892857;
1.307715;6.229598;18.498326;1.019133;10.785680;-7.706726;1.809244;0.716611;4.567048;0.892857;
1.309667;6.265946;18.396021;1.018905;10.844669;-7.618511;1.820910;0.720441;4.576530;0.892857;
1.311619;6.302536;18.304785;1.018675;10.904530;-7.532847;1.832435;0.724040;4.585975;0.892857;
1.313572;6.339297;18.223900;1.018443;10.964982;-7.449898;1.843818;0.727418;4.595383;0.892857;
1.317477;6.413005;18.090239;1.017972;11.086935;-7.292303;1.866153;0.733555;4.614090;0.892857;
1.320991;6.479318;17.998733;1.017542;11.196291;-7.160789;1.885756;0.738406;4.630801;0.892857;
1.324506;6.545272;17.930892;1.017105;11.304173;-7.039268;1.904881;0.742670;4.647396;0.892857;
1.328020;6.610615;17.883551;1.016661;11.409461;-6.927948;1.923518;0.746391;4.663875;0.892857;
1.331535;6.675103;17.853846;1.016210;11.511386;-6.826740;1.941662;0.749611;4.680238;0.892857;
1.335049;6.738515;17.839186;1.015754;11.609318;-6.735424;1.959306;0.752372;4.696486;0.892857;
1.338563;6.800658;17.837203;1.015291;11.702714;-6.653698;1.976442;0.754714;4.712621;0.892857;
1.342078;6.861365;17.845768;1.014823;11.791153;-6.581174;1.993065;0.756675;4.728643;0.892857;
1.345592;6.920484;17.862982;1.014350;11.874323;-6.517403;2.009168;0.758291;4.744552;0.892857;
1.349107;6.977888;17.887155;1.013871;11.952008;-6.461889;2.024745;0.759595;4.760350;0.892857;
1.352621;7.033464;17.916783;1.013388;12.024073;-6.414105;2.039792;0.760621;4.776037;0.892857;
1.359650;7.138670;17.987104;1.012408;12.152160;-6.338538;2.068266;0.761986;4.807084;0.892857;
1.366679;7.235576;18.064927;1.011414;12.257650;-6.287200;2.094560;0.762584;4.837698;0.892857;
1.373708;7.323835;18.143764;1.010407;12.341545;-6.255885;2.118646;0.762606;4.867884;0.892857;
1.380737;7.403201;18.218617;1.009390;12.405519;-6.240385;2.140498;0.762224;4.897649;0.892857;
1.387766;7.473525;18.285490;1.008366;12.451466;-6.236744;2.160097;0.761592;4.926998;0.892857;
