time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.457672;
0.000001;1.000000;10.104236;0.979159;1.457701;
0.000002;1.000000;10.104236;0.979158;1.457729;
0.000004;1.000000;10.104235;0.979158;1.457786;
0.000008;1.000000;10.104234;0.979157;1.457900;
0.000016;1.000000;10.104232;0.979156;1.458128;
0.000032;1.000000;10.104229;0.979153;1.458583;
0.000064;1.000000;10.104222;0.979147;1.459490;
0.000128;1.000000;10.104208;0.979135;1.461296;
0.000256;1.000000;10.104181;0.979111;1.464872;
0.000512;1.000000;10.104131;0.979064;1.471883;
0.001024;0.999999;10.104049;0.978971;1.485376;
0.002048;0.999999;10.103951;0.978789;1.510460;
0.004096;0.999997;10.103992;0.978445;1.554457;
0.006144;0.999996;10.104326;0.978123;1.591793;
0.008192;0.999994;10.104921;0.977824;1.624293;
0.010240;0.999993;10.105748;0.977545;1.653404;
0.012288;0.999991;10.106783;0.977285;1.680216;
0.014336;0.999990;10.108007;0.977043;1.705514;
0.016384;0.999989;10.109401;0.976817;1.729849;
0.020480;0.999986;10.112628;0.976413;1.777195;
0.024576;0.999983;10.116382;0.976066;1.823408;
0.028672;0.999979;10.120588;0.975772;1.868993;
0.032568;0.999976;10.125106;0.975555;1.911439;
0.036464;0.999973;10.129888;0.975373;1.952943;
0.040360;0.999969;10.134901;0.975224;1.993261;
0.048153;0.999962;10.145375;0.974995;2.070613;
0.055945;0.999955;10.156459;0.974865;2.142496;
0.063737;0.999946;10.168033;0.974828;2.208192;
0.079322;0.999928;10.191839;0.974964;2.322279;
0.092572;0.999911;10.212401;0.975270;2.403296;
0.105822;0.999892;10.232751;0.975709;2.472602;
0.119073;0.999872;10.252514;0.976254;2.532765;
0.132323;0.999850;10.271387;0.976882;2.585800;
0.145573;0.999826;10.289122;0.977580;2.633131;
0.158823;0.999801;10.305489;0.978334;2.675730;
0.172073;0.999775;10.320309;0.979138;2.714124;
0.198574;0.999720;10.344470;0.980861;2.779773;
0.225074;0.999662;10.360541;0.982715;2.831252;
0.251575;0.999602;10.367587;0.984668;2.869292;
0.278075;0.999543;10.364899;0.986693;2.894394;
0.331076;0.999433;10.329486;0.990829;2.908284;
0.378776;0.999351;10.264752;0.994559;2.881623;
0.426477;0.999294;10.173223;0.998168;2.821802;
0.474178;0.999268;10.062040;1.001543;2.733407;
0.521878;0.999277;9.940579;1.004585;2.621658;
0.564809;0.999317;9.830767;1.006976;2.505487;
0.607740;0.999384;9.729092;1.008988;2.379159;
0.650670;0.999477;9.642960;1.010592;2.246964;
0.693601;0.999588;9.578423;1.011775;2.112997;
0.736532;0.999712;9.539705;1.012536;1.981061;
0.779462;0.999841;9.528886;1.012890;1.854580;
0.822393;0.999967;9.545809;1.012860;1.736525;
0.865323;1.000084;9.588190;1.012482;1.629363;
0.908254;1.000185;9.651921;1.011798;1.535027;
0.951185;1.000265;9.731514;1.010855;1.454900;
0.994115;1.000322;9.820625;1.009706;1.389819;
1.000000;1.000328;9.833064;1.009536;1.382096;
1.000000;1.000328;8.582504;0.928672;1.271392;
1.000001;1.000328;8.582513;0.928671;1.271401;
1.000002;1.000328;8.582521;0.928670;1.271410;
1.000004;1.000328;8.582538;0.928669;1.271428;
1.000008;1.000328;8.582571;0.928666;1.271464;
1.000016;1.000328;8.582638;0.928660;1.271535;
1.000032;1.000328;8.582772;0.928649;1.271678;
1.000064;1.000328;8.583040;0.928626;1.271962;
1.000128;1.000329;8.583576;0.928580;1.272528;
1.000256;1.000330;8.584649;0.928489;1.273648;
1.000512;1.000332;8.586799;0.928307;1.275850;
1.001024;1.000337;8.591110;0.927947;1.280141;
1.002048;1.000346;8.599783;0.927244;1.288542;
1.003072;1.000355;8.608516;0.926560;1.297019;
1.005120;1.000373;8.626142;0.925251;1.316032;
1.006963;1.000388;8.642172;0.924134;1.336474;
1.008806;1.000404;8.658340;0.923075;1.361189;
1.010649;1.000419;8.674634;0.922069;1.390798;
1.012493;1.000434;8.691041;0.921113;1.425550;
1.014336;1.000449;8.707557;0.920206;1.465415;
1.016179;1.000464;8.724175;0.919346;1.510182;
1.018022;1.000478;8.740893;0.918529;1.559514;
1.019865;1.000493;8.757708;0.917755;1.612985;
1.021709;1.000507;8.774620;0.917021;1.670123;
1.023552;1.000521;8.791628;0.916326;1.730437;
1.025395;1.000534;8.808733;0.915668;1.793433;
1.029081;1.000561;8.843234;0.914455;1.925074;
1.032768;1.000587;8.878129;0.913372;2.062061;
1.036454;1.000612;8.913423;0.912409;2.201647;
1.040141;1.000636;8.949121;0.911557;2.341525;
1.043827;1.000660;8.985226;0.910806;2.479879;
1.047513;1.000682;9.021741;0.910150;2.615355;
1.054886;1.000724;9.095982;0.909082;2.873661;
1.062259;1.000762;9.171831;0.908310;3.113749;
1.069632;1.000797;9.249247;0.907792;3.334849;
1.077005;1.000828;9.328173;0.907494;3.537719;
1.084377;1.000855;9.408536;0.907385;3.724034;
1.091750;1.000878;9.490254;0.907439;3.895834;
1.099123;1.000898;9.573232;0.907637;4.055175;
1.100000;1.000900;9.583177;0.907669;4.073420;
1.100000;1.000900;10.995529;0.987028;4.429532;
1.100001;1.000900;10.995535;0.987029;4.429520;
1.100002;1.000900;10.995542;0.987030;4.429508;
1.100004;1.000900;10.995556;0.987031;4.429483;
1.100008;1.000900;10.995583;0.987034;4.429435;
1.100016;1.000899;10.995637;0.987041;4.429338;
1.100032;1.000899;10.995746;0.987053;4.429144;
1.100064;1.000899;10.995964;0.987077;4.428759;
1.100128;1.000899;10.996398;0.987126;4.427998;
1.100256;1.000898;10.997266;0.987223;4.426514;
1.100512;1.000896;10.998998;0.987417;4.423685;
1.101024;1.000893;11.002441;0.987801;4.418531;
1.102048;1.000886;11.009255;0.988556;4.409833;
1.104096;1.000872;11.022626;0.990009;4.396316;
1.106144;1.000858;11.035683;0.991394;4.385343;
1.108192;1.000843;11.048461;0.992714;4.374014;
1.110240;1.000829;11.060989;0.993974;4.360272;
1.112288;1.000814;11.073287;0.995175;4.342843;
1.114336;1.000799;11.085368;0.996323;4.321062;
1.116384;1.000785;11.097242;0.997419;4.294723;
1.118432;1.000769;11.108912;0.998467;4.263932;
1.120480;1.000754;11.120381;0.999469;4.229009;
1.122528;1.000739;11.131649;1.000427;4.190403;
1.126624;1.000708;11.153578;1.002222;4.104933;
1.130720;1.000676;11.174676;1.003868;4.011181;
1.134816;1.000644;11.194920;1.005377;3.912782;
1.138912;1.000611;11.214284;1.006762;3.812890;
1.143008;1.000578;11.232745;1.008035;3.714010;
1.147104;1.000545;11.250280;1.009206;3.617987;
1.151200;1.000511;11.266868;1.010284;3.526070;
1.159392;1.000442;11.297122;1.012209;3.357342;
1.167584;1.000371;11.323364;1.013859;3.208883;
1.175776;1.000300;11.345471;1.015282;3.079675;
1.183968;1.000227;11.363331;1.016517;2.967393;
1.192160;1.000154;11.376836;1.017598;2.869209;
1.200352;1.000081;11.385887;1.018552;2.782330;
1.208544;1.000007;11.390399;1.019399;2.704284;
1.216736;0.999933;11.390303;1.020158;2.633029;
1.224928;0.999860;11.385544;1.020841;2.566945;
1.233120;0.999787;11.376091;1.021461;2.504787;
1.241312;0.999715;11.361931;1.022025;2.445617;
1.249504;0.999644;11.343075;1.022541;2.388734;
1.265888;0.999507;11.291544;1.023452;2.279493;
1.282272;0.999376;11.222057;1.024218;2.174994;
1.298656;0.999255;11.135494;1.024858;2.073808;
1.315040;0.999144;11.033036;1.025383;1.975123;
1.331424;0.999045;10.916140;1.025799;1.878563;
1.364192;0.998889;10.648675;1.026324;1.691741;
1.396960;0.998795;10.347506;1.026433;1.514333;
1.429728;0.998767;10.029421;1.026130;1.348030;
1.462496;0.998805;9.711983;1.025427;1.194844;
1.495264;0.998907;9.412253;1.024339;1.056777;
1.528032;0.999066;9.145700;1.022895;0.935602;
1.560800;0.999275;8.925319;1.021133;0.832730;
1.593568;0.999522;8.760997;1.019097;0.749146;
1.626336;0.999794;8.659140;1.016838;0.685395;
1.659104;1.000077;8.622564;1.014406;0.641603;
1.701786;1.000439;8.670157;1.011073;0.613839;
1.744468;1.000770;8.816539;1.007642;0.617920;
1.787151;1.001047;9.045063;1.004215;0.651671;
1.825565;1.001234;9.304583;1.001208;0.705309;
1.863979;1.001353;9.596101;0.998339;0.778415;
1.898551;1.001397;9.871649;0.995939;0.858702;
1.933124;1.001380;10.144775;0.993746;0.950297;
1.967696;1.001306;10.402895;0.991805;1.050771;
2.002269;1.001179;10.634667;0.990153;1.157537;
2.036842;1.001006;10.830452;0.988821;1.267904;
2.071414;1.000796;10.982611;0.987832;1.379146;
2.105987;1.000561;11.085704;0.987198;1.488579;
2.140559;1.000311;11.136627;0.986919;1.593662;
2.175132;1.000058;11.134663;0.986984;1.692097;
2.209705;0.999814;11.081957;0.987371;1.781820;
2.244277;0.999589;10.982124;0.988037;1.861386;
2.278850;0.999392;10.840469;0.988929;1.929736;
2.313423;0.999232;10.665642;0.990015;1.986239;
2.347995;0.999115;10.466751;0.991234;2.030677;
2.382568;0.999044;10.254146;0.992533;2.063276;
2.417140;0.999020;10.038666;0.993865;2.084624;
2.451713;0.999043;9.831664;0.995187;2.095660;
2.486286;0.999109;9.642336;0.996460;2.097332;
2.520858;0.999213;9.479520;0.997659;2.090814;
2.555431;0.999348;9.350323;0.998768;2.077289;
2.590004;0.999505;9.259780;0.999772;2.057916;
2.624576;0.999676;9.210744;1.000662;2.033829;
2.659149;0.999852;9.203805;1.001433;2.006112;
2.693721;1.000023;9.237330;1.002083;1.975786;
2.728294;1.000180;9.307652;1.002612;1.943797;
2.762867;1.000318;9.409358;1.003023;1.911011;
2.797439;1.000429;9.535661;1.003324;1.878201;
2.832012;1.000510;9.678818;1.003523;1.846035;
2.866584;1.000558;9.830580;1.003632;1.815055;
2.901157;1.000572;9.982646;1.003665;1.785675;
2.935730;1.000554;10.127090;1.003638;1.758166;
2.970302;1.000506;10.256748;1.003566;1.732668;
3.004875;1.000433;10.365546;1.003465;1.709193;
3.039448;1.000339;10.448759;1.003350;1.687655;
3.108593;1.000124;10.527222;1.003122;1.649525;
3.177738;0.999905;10.492705;1.002905;1.617098;
3.246883;0.999727;10.363367;1.002690;1.589622;
3.316028;0.999620;10.172550;1.002434;1.567187;
3.385174;0.999600;9.962180;1.002094;1.550692;
3.454319;0.999664;9.774342;1.001649;1.541428;
3.523464;0.999793;9.643250;1.001102;1.540543;
3.592609;0.999958;9.589401;1.000481;1.548616;
3.661755;1.000124;9.616971;0.999828;1.565446;
3.730900;1.000260;9.714589;0.999194;1.590005;
3.800045;1.000342;9.858913;0.998634;1.620496;
3.869190;1.000357;10.019973;0.998208;1.654453;
3.938336;1.000308;10.167114;0.997965;1.688919;
3.975145;1.000251;10.226214;0.997947;1.706175;
