time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
0.000000;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000001;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000002;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000004;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000008;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000016;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000032;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000064;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000128;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000256;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000512;0.231468;1.000000;0.665556;0.033305;1.000000;
0.001024;0.231468;1.000000;0.665556;0.033305;1.000000;
0.002048;0.231468;1.000000;0.665556;0.033305;1.000000;
0.004096;0.231468;1.000000;0.665556;0.033305;1.000000;
0.008192;0.231468;1.000000;0.665556;0.033305;1.000000;
0.016384;0.231468;1.000000;0.665556;0.033305;1.000000;
0.032768;0.231468;1.000000;0.665556;0.033305;1.000000;
0.065536;0.231468;1.000000;0.665556;0.033305;1.000000;
0.131072;0.231468;1.000000;0.665556;0.033305;1.000000;
0.262144;0.231468;1.000000;0.665556;0.033305;1.000000;
0.524288;0.231468;1.000000;0.665556;0.033305;1.000000;
1.000000;0.231468;1.000000;0.665556;0.033305;1.000000;
1.000000;0.231468;1.000000;0.000000;0.000000;0.000000;
1.000001;0.231468;1.000000;0.000000;0.000000;0.000000;
1.000002;0.231468;1.000000;0.000000;0.000000;0.000000;
1.000004;0.231468;1.000000;-0.000000;0.000000;0.000000;
1.000008;0.231468;1.000001;0.000000;0.000000;0.000000;
1.000016;0.231468;1.000002;0.000000;0.000000;0.000000;
1.000032;0.231468;1.000003;0.000000;0.000000;0.000000;
1.000064;0.231468;1.000006;0.000000;0.000000;0.000000;
1.000128;0.231468;1.000012;0.000000;0.000000;0.000000;
1.000256;0.231469;1.000024;0.000000;0.000000;0.000000;
1.000512;0.231472;1.000049;0.000000;0.000000;0.000000;
1.001024;0.231483;1.000097;0.000000;0.000000;0.000000;
1.002048;0.231530;1.000195;0.000000;0.000000;0.000000;
1.004096;0.231718;1.000389;0.000000;0.000000;0.000000;
1.008192;0.232469;1.000778;0.000000;0.000000;0.000000;
1.016384;0.235469;1.001554;0.000000;0.000000;0.000000;
1.024576;0.240465;1.002328;0.000000;0.000000;0.000000;
1.032768;0.247450;1.003101;0.000000;0.000000;0.000000;
1.040960;0.256422;1.003872;0.000000;0.000000;0.000000;
1.049152;0.267374;1.004641;0.000000;0.000000;0.000000;
1.057344;0.280303;1.005408;0.000000;0.000000;0.000000;
1.065536;0.295205;1.006173;0.000000;0.000000;0.000000;
1.070000;0.304153;1.006589;0.000000;0.000000;0.000000;
1.070000;0.304153;1.006589;0.868867;0.025060;0.995166;
1.070001;0.304155;1.006589;0.868874;0.025335;0.995206;
1.070002;0.304157;1.006589;0.868880;0.025335;0.995206;
1.070004;0.304161;1.006589;0.868891;0.025334;0.995206;
1.070008;0.304169;1.006589;0.868914;0.025333;0.995205;
1.070016;0.304186;1.006589;0.868960;0.025331;0.995204;
1.070032;0.304219;1.006588;0.869052;0.025327;0.995202;
1.070064;0.304285;1.006587;0.869235;0.025319;0.995197;
1.070128;0.304418;1.006585;0.869602;0.025302;0.995187;
1.070256;0.304682;1.006582;0.870334;0.025270;0.995167;
1.070512;0.305211;1.006574;0.871798;0.025204;0.995127;
1.071024;0.306267;1.006557;0.874720;0.025072;0.995048;
1.072048;0.308372;1.006524;0.880539;0.024808;0.994889;
1.074096;0.312547;1.006456;0.892073;0.024279;0.994570;
1.076144;0.316677;1.006384;0.903468;0.023750;0.994250;
1.078192;0.320760;1.006309;0.914717;0.023219;0.993930;
1.080240;0.324794;1.006231;0.925816;0.022689;0.993610;
1.082288;0.328777;1.006150;0.936758;0.022159;0.993290;
1.084336;0.332706;1.006065;0.947540;0.021630;0.992970;
1.086384;0.336580;1.005978;0.958155;0.021103;0.992652;
1.088432;0.340396;1.005887;0.968599;0.020578;0.992334;
1.090480;0.344153;1.005794;0.978867;0.020055;0.992018;
1.092528;0.347849;1.005697;0.988955;0.019536;0.991704;
1.094576;0.351483;1.005598;0.998858;0.019020;0.991392;
1.096624;0.355051;1.005496;1.008571;0.018508;0.991082;
1.098672;0.358553;1.005391;1.018090;0.018001;0.990775;
1.100720;0.361986;1.005283;1.027412;0.017499;0.990471;
1.102768;0.365349;1.005173;1.036531;0.017004;0.990171;
1.104816;0.368641;1.005060;1.045444;0.016514;0.989874;
1.106864;0.371859;1.004945;1.054148;0.016032;0.989582;
1.108912;0.375002;1.004827;1.062638;0.015556;0.989293;
1.110960;0.378068;1.004707;1.070912;0.015089;0.989010;
1.113008;0.381057;1.004584;1.078965;0.014630;0.988731;
1.115056;0.383966;1.004460;1.086795;0.014180;0.988458;
1.117104;0.386794;1.004333;1.094398;0.013739;0.988191;
1.119152;0.389540;1.004204;1.101772;0.013309;0.987929;
1.121200;0.392202;1.004073;1.108913;0.012888;0.987674;
1.125296;0.397269;1.003805;1.122481;0.012081;0.987183;
1.128982;0.401530;1.003557;1.133871;0.011394;0.986766;
1.132669;0.405501;1.003304;1.144467;0.010747;0.986373;
1.136355;0.409177;1.003046;1.154258;0.010144;0.986005;
1.140041;0.412551;1.002784;1.163232;0.009585;0.985666;
1.143728;0.415618;1.002517;1.171380;0.009074;0.985354;
1.147414;0.418375;1.002246;1.178692;0.008611;0.985072;
1.151101;0.420816;1.001972;1.185160;0.008199;0.984821;
1.154787;0.422939;1.001695;1.190778;0.007839;0.984602;
1.158473;0.424739;1.001416;1.195540;0.007532;0.984415;
1.162160;0.426215;1.001135;1.199440;0.007279;0.984261;
1.165846;0.427365;1.000852;1.202476;0.007082;0.984141;
1.169533;0.428186;1.000568;1.204645;0.006941;0.984054;
1.173219;0.428679;1.000283;1.205944;0.006856;0.984003;
1.180592;0.428676;0.999715;1.205938;0.006857;0.984003;
1.187965;0.427362;0.999149;1.202468;0.007083;0.984141;
1.195337;0.424748;0.998591;1.195562;0.007531;0.984414;
1.201973;0.421298;0.998097;1.186437;0.008118;0.984772;
1.207945;0.417322;0.997661;1.175900;0.008789;0.985180;
1.213320;0.413052;0.997277;1.164564;0.009503;0.985615;
1.218157;0.408662;0.996941;1.152889;0.010229;0.986057;
1.222511;0.404279;0.996646;1.141208;0.010947;0.986494;
1.226864;0.399497;0.996358;1.128441;0.011723;0.986965;
1.231218;0.394329;0.996080;1.114612;0.012550;0.987469;
1.235136;0.389356;0.995837;1.101278;0.013338;0.987947;
1.239054;0.384089;0.995602;1.087125;0.014161;0.988447;
1.242972;0.378538;0.995375;1.072177;0.015017;0.988966;
1.246890;0.372713;0.995157;1.056457;0.015903;0.989504;
1.250809;0.366626;0.994949;1.039991;0.016815;0.990056;
1.254335;0.360933;0.994769;1.024554;0.017654;0.990565;
1.257861;0.355045;0.994598;1.008555;0.018509;0.991083;
1.261388;0.348972;0.994435;0.992016;0.019377;0.991608;
1.264914;0.342723;0.994280;0.974961;0.020255;0.992139;
1.268441;0.336308;0.994135;0.957412;0.021140;0.992674;
1.271967;0.329737;0.993998;0.939395;0.022031;0.993212;
1.275493;0.323020;0.993871;0.920937;0.022923;0.993751;
1.279020;0.316168;0.993754;0.902063;0.023816;0.994290;
1.282194;0.309893;0.993656;0.884743;0.024617;0.994773;
1.285367;0.303524;0.993566;0.867129;0.025413;0.995254;
1.288541;0.297071;0.993485;0.849244;0.026204;0.995730;
1.291715;0.290541;0.993412;0.831110;0.026988;0.996203;
1.294889;0.283942;0.993347;0.812749;0.027763;0.996669;
1.298062;0.277282;0.993290;0.794184;0.028527;0.997129;
1.301236;0.270570;0.993243;0.775439;0.029280;0.997582;
1.304410;0.263815;0.993203;0.756536;0.030019;0.998026;
1.307584;0.257025;0.993172;0.737501;0.030744;0.998462;
1.310757;0.250209;0.993150;0.718358;0.031452;0.998888;
1.313931;0.243375;0.993137;0.699132;0.032144;0.999303;
1.317105;0.236532;0.993132;0.679848;0.032818;0.999708;
1.320279;0.229689;0.993136;0.660531;0.033474;1.000101;
1.323452;0.222854;0.993149;0.641208;0.034109;1.000482;
1.326626;0.216037;0.993171;0.621903;0.034724;1.000851;
1.329800;0.209245;0.993201;0.602643;0.035318;1.001207;
1.332974;0.202488;0.993240;0.583454;0.035891;1.001550;
1.336147;0.195774;0.993288;0.564360;0.036441;1.001880;
1.339321;0.189112;0.993344;0.545389;0.036969;1.002196;
1.342495;0.182510;0.993409;0.526565;0.037475;1.002499;
1.345668;0.175977;0.993482;0.507915;0.037957;1.002787;
1.348842;0.169521;0.993564;0.489464;0.038417;1.003063;
1.352016;0.163150;0.993653;0.471236;0.038855;1.003324;
1.355190;0.156873;0.993751;0.453258;0.039269;1.003572;
1.358363;0.150698;0.993857;0.435553;0.039661;1.003806;
1.361537;0.144631;0.993971;0.418145;0.040031;1.004027;
1.364711;0.138682;0.994092;0.401058;0.040379;1.004235;
1.367885;0.132858;0.994221;0.384317;0.040706;1.004431;
1.371058;0.127166;0.994358;0.367942;0.041012;1.004613;
1.374232;0.121614;0.994501;0.351958;0.041297;1.004784;
1.377406;0.116208;0.994652;0.336385;0.041563;1.004942;
1.380580;0.110956;0.994809;0.321245;0.041810;1.005090;
1.383753;0.105863;0.994973;0.306558;0.042038;1.005226;
1.386927;0.100938;0.995144;0.292345;0.042249;1.005352;
1.390101;0.096185;0.995320;0.278623;0.042443;1.005468;
1.393275;0.091612;0.995503;0.265413;0.042620;1.005574;
1.396448;0.087223;0.995691;0.252731;0.042783;1.005670;
1.399622;0.083024;0.995885;0.240594;0.042931;1.005759;
1.402796;0.079021;0.996083;0.229019;0.043065;1.005839;
1.405970;0.075219;0.996287;0.218021;0.043186;1.005911;
1.409143;0.071622;0.996496;0.207614;0.043296;1.005977;
1.412317;0.068236;0.996709;0.197812;0.043394;1.006035;
1.415491;0.065063;0.996926;0.188629;0.043481;1.006087;
1.418665;0.062109;0.997146;0.180075;0.043559;1.006134;
1.421838;0.059376;0.997371;0.172162;0.043628;1.006175;
1.425012;0.056869;0.997598;0.164900;0.043688;1.006211;
1.428186;0.054590;0.997829;0.158298;0.043741;1.006242;
1.431360;0.052542;0.998062;0.152364;0.043787;1.006269;
1.434533;0.050727;0.998297;0.147107;0.043825;1.006292;
1.437707;0.049148;0.998535;0.142532;0.043858;1.006312;
1.440881;0.047807;0.998774;0.138645;0.043885;1.006328;
1.444055;0.046705;0.999014;0.135451;0.043907;1.006341;
1.447228;0.045843;0.999256;0.132953;0.043921;1.006350;
1.450402;0.045222;0.999498;0.131154;0.043935;1.006357;
1.456750;0.044706;0.999984;0.129659;0.043944;1.006363;
1.463097;0.045156;1.000468;0.130964;0.043936;1.006358;
1.469445;0.046568;1.000949;0.135055;0.043909;1.006342;
1.475792;0.048932;1.001424;0.141906;0.043863;1.006314;
1.481505;0.051863;1.001845;0.150399;0.043801;1.006278;
1.486646;0.055141;1.002217;0.159894;0.043729;1.006235;
1.491274;0.058599;1.002544;0.169910;0.043647;1.006186;
1.495438;0.062114;1.002833;0.180090;0.043559;1.006134;
1.499603;0.066002;1.003114;0.191348;0.043456;1.006072;
1.503351;0.069813;1.003362;0.202379;0.043349;1.006008;
1.507099;0.073912;1.003603;0.214238;0.043227;1.005935;
1.510847;0.078290;1.003837;0.226903;0.043089;1.005853;
1.514595;0.082939;1.004064;0.240349;0.042934;1.005761;
1.518344;0.087851;1.004283;0.254548;0.042760;1.005657;
1.521717;0.092490;1.004474;0.267950;0.042587;1.005554;
1.525090;0.097326;1.004657;0.281918;0.042397;1.005440;
1.528464;0.102354;1.004834;0.296432;0.042190;1.005316;
1.531837;0.107565;1.005004;0.311466;0.041963;1.005181;
1.535210;0.112951;1.005166;0.326999;0.041718;1.005035;
1.538584;0.118505;1.005320;0.343004;0.041452;1.004876;
