time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
0.000000;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000001;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000002;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000004;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000008;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000016;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000032;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000064;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000128;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000256;0.231468;1.000000;0.665556;0.033305;1.000000;
0.000512;0.231468;1.000000;0.665556;0.033305;1.000000;
0.001024;0.231468;1.000000;0.665556;0.033305;1.000000;
0.002048;0.231468;1.000000;0.665556;0.033305;1.000000;
0.004096;0.231468;1.000000;0.665556;0.033305;1.000000;
0.008192;0.231468;1.000000;0.665556;0.033305;1.000000;
0.016384;0.231468;1.000000;0.665556;0.033305;1.000000;
0.032768;0.231468;1.000000;0.665556;0.033305;1.000000;
0.065536;0.231468;1.000000;0.665556;0.033305;1.000000;
0.131072;0.231468;1.000000;0.665556;0.033305;1.000000;
0.262144;0.231468;1.000000;0.665556;0.033305;1.000000;
0.524288;0.231468;1.000000;0.665556;0.033305;1.000000;
1.000000;0.231468;1.000000;0.665556;0.033305;1.000000;
1.000000;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000001;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000002;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000004;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000008;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000016;0.231468;1.000000;0.465889;0.041965;1.002794;
1.000032;0.231468;1.000001;0.465889;0.041965;1.002794;
1.000064;0.231468;1.000002;0.465889;0.041965;1.002794;
1.000128;0.231468;1.000004;0.465889;0.041965;1.002794;
1.000256;0.231468;1.000007;0.465890;0.041965;1.002794;
1.000512;0.231469;1.000015;0.465892;0.041965;1.002794;
1.001024;0.231472;1.000029;0.465898;0.041965;1.002793;
1.002048;0.231487;1.000058;0.465926;0.041967;1.002793;
1.004096;0.231543;1.000117;0.466038;0.041972;1.002790;
1.008192;0.231768;1.000233;0.466482;0.041993;1.002777;
1.016384;0.232664;1.000464;0.468254;0.042077;1.002727;
1.024576;0.234149;1.000692;0.471188;0.042216;1.002643;
1.032768;0.236214;1.000914;0.475265;0.042411;1.002526;
1.040141;0.238556;1.001110;0.479888;0.042635;1.002393;
1.047513;0.241344;1.001300;0.485388;0.042904;1.002231;
1.054149;0.244223;1.001465;0.491064;0.043186;1.002063;
1.060784;0.247441;1.001625;0.497403;0.043504;1.001873;
1.066756;0.250616;1.001762;0.503652;0.043822;1.001682;
1.072728;0.254044;1.001894;0.510394;0.044169;1.001474;
1.078103;0.257337;1.002008;0.516863;0.044507;1.001271;
1.083478;0.260817;1.002116;0.523694;0.044869;1.001054;
1.088853;0.264475;1.002219;0.530868;0.045255;1.000823;
1.094227;0.268301;1.002316;0.538364;0.045664;1.000578;
1.099602;0.272286;1.002407;0.546163;0.046096;1.000319;
1.104977;0.276419;1.002492;0.554243;0.046551;1.000046;
1.110352;0.280690;1.002570;0.562582;0.047028;0.999760;
1.115189;0.284643;1.002635;0.570292;0.047476;0.999491;
1.120026;0.288690;1.002694;0.578176;0.047941;0.999212;
1.124864;0.292824;1.002748;0.586218;0.048422;0.998923;
1.129701;0.297034;1.002796;0.594400;0.048919;0.998624;
1.134538;0.301314;1.002839;0.602705;0.049431;0.998316;
1.139376;0.305654;1.002875;0.611115;0.049958;0.997999;
1.144213;0.310044;1.002906;0.619613;0.050498;0.997674;
1.149050;0.314477;1.002931;0.628180;0.051051;0.997342;
1.153887;0.318943;1.002950;0.636798;0.051616;0.997002;
1.158725;0.323433;1.002962;0.645450;0.052192;0.996655;
1.163562;0.327937;1.002969;0.654117;0.052777;0.996303;
1.168399;0.332448;1.002970;0.662782;0.053371;0.995945;
1.173237;0.336955;1.002965;0.671427;0.053972;0.995583;
1.178074;0.341449;1.002954;0.680035;0.054580;0.995216;
1.182911;0.345923;1.002937;0.688589;0.055192;0.994847;
1.187748;0.350366;1.002914;0.697071;0.055807;0.994476;
1.192586;0.354770;1.002885;0.705464;0.056425;0.994103;
1.197423;0.359126;1.002851;0.713753;0.057043;0.993730;
1.202260;0.363425;1.002811;0.721921;0.057660;0.993357;
1.207098;0.367660;1.002765;0.729953;0.058275;0.992986;
1.211935;0.371821;1.002714;0.737832;0.058886;0.992616;
1.216772;0.375901;1.002658;0.745545;0.059491;0.992251;
1.221610;0.379891;1.002596;0.753077;0.060089;0.991889;
1.226447;0.383784;1.002530;0.760414;0.060678;0.991532;
1.231284;0.387573;1.002458;0.767543;0.061257;0.991182;
1.236121;0.391249;1.002382;0.774450;0.061824;0.990839;
1.240959;0.394806;1.002301;0.781123;0.062377;0.990504;
1.245796;0.398237;1.002216;0.787550;0.062915;0.990178;
1.250633;0.401536;1.002127;0.793720;0.063437;0.989862;
1.255471;0.404695;1.002033;0.799623;0.063940;0.989556;
1.260308;0.407710;1.001936;0.805247;0.064424;0.989263;
1.265145;0.410575;1.001835;0.810584;0.064887;0.988982;
1.269982;0.413283;1.001731;0.815624;0.065328;0.988715;
1.274820;0.415830;1.001623;0.820359;0.065744;0.988462;
1.279657;0.418212;1.001513;0.824782;0.066136;0.988224;
1.284494;0.420423;1.001399;0.828884;0.066502;0.988002;
1.289332;0.422461;1.001283;0.832659;0.066841;0.987797;
1.294169;0.424320;1.001165;0.836102;0.067151;0.987608;
1.299006;0.425998;1.001045;0.839207;0.067432;0.987437;
1.303844;0.427492;1.000922;0.841968;0.067683;0.987285;
1.308681;0.428799;1.000798;0.844383;0.067904;0.987151;
1.313518;0.429917;1.000673;0.846447;0.068093;0.987036;
1.318355;0.430843;1.000547;0.848157;0.068250;0.986941;
1.323193;0.431577;1.000420;0.849511;0.068375;0.986865;
1.328030;0.432117;1.000292;0.850508;0.068467;0.986809;
1.337705;0.432614;1.000035;0.851423;0.068552;0.986758;
1.347379;0.432332;0.999780;0.850904;0.068504;0.986787;
1.357054;0.431278;0.999526;0.848960;0.068325;0.986896;
1.366728;0.429462;0.999277;0.845608;0.068017;0.987083;
1.376403;0.426900;0.999034;0.840875;0.067585;0.987345;
1.385110;0.423973;0.998823;0.835460;0.067094;0.987644;
1.392946;0.420852;0.998639;0.829679;0.066575;0.987959;
1.399999;0.417663;0.998479;0.823763;0.066047;0.988280;
1.406347;0.414496;0.998342;0.817881;0.065527;0.988595;
1.412694;0.411061;0.998210;0.811490;0.064967;0.988935;
1.419042;0.407369;0.998084;0.804611;0.064371;0.989297;
1.424755;0.403836;0.997976;0.798018;0.063805;0.989640;
1.430467;0.400116;0.997875;0.791065;0.063213;0.989998;
1.436180;0.396218;0.997779;0.783769;0.062599;0.990370;
1.441893;0.392154;0.997689;0.776148;0.061965;0.990754;
1.447605;0.387935;0.997606;0.768224;0.061314;0.991149;
1.453318;0.383573;0.997530;0.760016;0.060647;0.991552;
1.458460;0.379535;0.997467;0.752405;0.060037;0.991922;
1.463601;0.375399;0.997410;0.744598;0.059418;0.992296;
1.468743;0.371176;0.997358;0.736612;0.058792;0.992674;
1.473884;0.366875;0.997313;0.728466;0.058162;0.993055;
1.479026;0.362506;0.997274;0.720176;0.057529;0.993437;
1.484167;0.358079;0.997241;0.711762;0.056895;0.993820;
1.489309;0.353603;0.997214;0.703243;0.056262;0.994203;
1.494450;0.349090;0.997194;0.694637;0.055631;0.994583;
1.499592;0.344549;0.997180;0.685963;0.055004;0.994961;
1.504733;0.339990;0.997172;0.677242;0.054383;0.995336;
1.509874;0.335424;0.997171;0.668494;0.053768;0.995706;
1.515016;0.330862;0.997176;0.659737;0.053162;0.996072;
1.520157;0.326313;0.997188;0.650993;0.052566;0.996431;
1.525299;0.321788;0.997206;0.642281;0.051981;0.996783;
1.530440;0.317297;0.997230;0.633623;0.051408;0.997128;
1.535582;0.312850;0.997261;0.625037;0.050848;0.997465;
1.540723;0.308458;0.997298;0.616545;0.050303;0.997792;
1.545865;0.304131;0.997341;0.608165;0.049773;0.998111;
1.551006;0.299877;0.997390;0.599918;0.049259;0.998420;
1.556148;0.295708;0.997445;0.591824;0.048762;0.998719;
1.561289;0.291632;0.997505;0.583900;0.048283;0.999006;
1.566431;0.287659;0.997572;0.576167;0.047822;0.999283;
1.571572;0.283797;0.997644;0.568643;0.047380;0.999549;
1.576714;0.280056;0.997721;0.561345;0.046957;0.999802;
1.581855;0.276443;0.997803;0.554290;0.046554;1.000044;
1.586997;0.272968;0.997891;0.547497;0.046171;1.000274;
1.592138;0.269637;0.997983;0.540980;0.045808;1.000491;
1.597279;0.266459;0.998079;0.534756;0.045466;1.000696;
1.602421;0.263440;0.998180;0.528839;0.045145;1.000889;
1.607562;0.260587;0.998285;0.523243;0.044845;1.001069;
1.612704;0.257907;0.998394;0.517983;0.044566;1.001236;
1.617845;0.255406;0.998507;0.513069;0.044308;1.001391;
1.622987;0.253088;0.998622;0.508514;0.044072;1.001532;
1.628128;0.250960;0.998741;0.504329;0.043856;1.001661;
1.633270;0.249026;0.998863;0.500523;0.043662;1.001778;
1.638411;0.247290;0.998987;0.497105;0.043488;1.001882;
1.643553;0.245756;0.999113;0.494084;0.043336;1.001973;
1.648694;0.244427;0.999241;0.491466;0.043205;1.002051;
1.653836;0.243306;0.999370;0.489257;0.043096;1.002117;
1.658977;0.242396;0.999501;0.487462;0.043007;1.002170;
1.664119;0.241697;0.999633;0.486085;0.042938;1.002211;
1.669260;0.241212;0.999766;0.485128;0.042891;1.002239;
1.679543;0.240885;1.000031;0.484482;0.042860;1.002258;
1.689826;0.241411;1.000295;0.485521;0.042911;1.002227;
1.700109;0.242784;1.000556;0.488228;0.043044;1.002147;
1.710392;0.244988;1.000811;0.492571;0.043261;1.002018;
1.719369;0.247574;1.001026;0.497665;0.043517;1.001865;
1.727448;0.250414;1.001214;0.503254;0.043801;1.001694;
1.734719;0.253369;1.001377;0.509067;0.044100;1.001515;
1.741263;0.256341;1.001517;0.514908;0.044405;1.001333;
1.747807;0.259596;1.001652;0.521299;0.044742;1.001131;
1.753697;0.262758;1.001768;0.527502;0.045073;1.000932;
1.759587;0.266129;1.001878;0.534110;0.045431;1.000717;
1.765476;0.269698;1.001983;0.541099;0.045815;1.000487;
1.770777;0.273071;1.002071;0.547699;0.046182;1.000267;
1.776078;0.276587;1.002155;0.554572;0.046570;1.000035;
1.781379;0.280237;1.002233;0.561699;0.046977;0.999790;
1.786679;0.284013;1.002305;0.569063;0.047404;0.999534;
1.791980;0.287903;1.002371;0.576643;0.047850;0.999266;
1.797281;0.291900;1.002432;0.584422;0.048314;0.998988;
1.802581;0.295994;1.002487;0.592378;0.048796;0.998698;
1.807882;0.300173;1.002535;0.600491;0.049294;0.998399;
1.813183;0.304427;1.002578;0.608740;0.049809;0.998089;
1.818484;0.308747;1.002614;0.617104;0.050338;0.997771;
1.823784;0.313121;1.002643;0.625561;0.050882;0.997444;
1.829085;0.317539;1.002666;0.634091;0.051438;0.997109;
1.834386;0.321990;1.002683;0.642672;0.052007;0.996767;
1.839687;0.326463;1.002693;0.651282;0.052585;0.996419;
1.844987;0.330947;1.002696;0.659901;0.053173;0.996065;
1.850288;0.335431;1.002693;0.668507;0.053769;0.995706;
1.853073;0.337783;1.002688;0.673015;0.054084;0.995516;
1.855858;0.340129;1.002681;0.677508;0.054401;0.995325;
1.858644;0.342467;1.002672;0.681982;0.054719;0.995133;
1.861429;0.344799;1.002662;0.686442;0.055038;0.994941;
1.864214;0.347123;1.002651;0.690882;0.055358;0.994748;
1.866999;0.349437;1.002638;0.695298;0.055679;0.994554;
1.869784;0.351738;1.002623;0.699687;0.056000;0.994360;
1.872570;0.354025;1.002607;0.704047;0.056321;0.994167;
