time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
0.000000;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000001;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000002;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000004;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000008;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000016;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000032;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000064;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000128;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000256;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.000512;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.001024;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.002048;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.004096;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.008192;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.016384;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.032768;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.065536;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.131072;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.262144;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
0.524288;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.564688;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.564688;0.000000;0.000000;0.000000;
1.000001;0.970686;1.000000;0.804649;0.564685;0.000000;0.000000;0.000000;
1.000002;0.970686;1.000000;0.804648;0.564682;0.000000;0.000000;0.000000;
1.000004;0.970686;1.000000;0.804647;0.564676;0.000000;0.000000;0.000000;
1.000008;0.970686;1.000001;0.804645;0.564664;0.000000;0.000000;0.000000;
1.000016;0.970686;1.000001;0.804641;0.564639;0.000000;0.000000;0.000000;
1.000032;0.970686;1.000003;0.804632;0.564591;0.000000;0.000000;0.000000;
1.000064;0.970686;1.000005;0.804616;0.564494;0.000000;0.000000;0.000000;
1.000128;0.970686;1.000011;0.804582;0.564300;0.000000;0.000000;0.000000;
1.000256;0.970687;1.000021;0.804515;0.563912;0.000000;0.000000;0.000000;
1.000512;0.970689;1.000043;0.804380;0.563137;0.000000;0.000000;0.000000;
1.001024;0.970699;1.000085;0.804112;0.561591;0.000000;0.000000;0.000000;
1.002048;0.970740;1.000170;0.803575;0.558510;0.000000;0.000000;0.000000;
1.004096;0.970905;1.000341;0.802502;0.552401;0.000000;0.000000;0.000000;
1.008192;0.971562;1.000681;0.800364;0.540383;0.000000;0.000000;0.000000;
1.012288;0.972658;1.001022;0.798234;0.528628;0.000000;0.000000;0.000000;
1.016384;0.974191;1.001362;0.796112;0.517131;0.000000;0.000000;0.000000;
1.020480;0.976162;1.001702;0.793999;0.505887;0.000000;0.000000;0.000000;
1.024576;0.978570;1.002041;0.791894;0.494890;0.000000;0.000000;0.000000;
1.028672;0.981416;1.002381;0.789798;0.484134;0.000000;0.000000;0.000000;
1.032768;0.984698;1.002721;0.787711;0.473614;0.000000;0.000000;0.000000;
1.036864;0.988417;1.003060;0.785631;0.463326;0.000000;0.000000;0.000000;
1.040960;0.992572;1.003399;0.783560;0.453263;0.000000;0.000000;0.000000;
1.045056;0.997164;1.003738;0.781497;0.443421;0.000000;0.000000;0.000000;
1.049152;1.002192;1.004077;0.779442;0.433796;0.000000;0.000000;0.000000;
1.053248;1.007656;1.004415;0.777396;0.424382;0.000000;0.000000;0.000000;
1.057344;1.013555;1.004754;0.775358;0.415174;0.000000;0.000000;0.000000;
1.061440;1.019889;1.005092;0.773327;0.406169;0.000000;0.000000;0.000000;
1.065536;1.026659;1.005430;0.771305;0.397361;0.000000;0.000000;0.000000;
1.069632;1.033864;1.005768;0.769291;0.388747;0.000000;0.000000;0.000000;
1.070000;1.034532;1.005798;0.769111;0.387982;0.000000;0.000000;0.000000;
1.070000;1.034532;1.005798;0.769111;0.387982;0.861098;-0.207251;0.958442;
1.070001;1.034534;1.005798;0.769111;0.387983;0.861100;-0.207250;0.958442;
1.070002;1.034536;1.005798;0.769111;0.387984;0.861103;-0.207249;0.958442;
1.070004;1.034539;1.005798;0.769111;0.387986;0.861108;-0.207248;0.958442;
1.070008;1.034547;1.005798;0.769111;0.387989;0.861117;-0.207245;0.958443;
1.070016;1.034561;1.005798;0.769111;0.387997;0.861136;-0.207239;0.958443;
1.070032;1.034590;1.005797;0.769111;0.388011;0.861175;-0.207226;0.958444;
1.070064;1.034649;1.005797;0.769110;0.388040;0.861252;-0.207202;0.958447;
1.070128;1.034765;1.005795;0.769110;0.388098;0.861405;-0.207154;0.958451;
1.070256;1.034998;1.005792;0.769110;0.388213;0.861713;-0.207057;0.958460;
1.070512;1.035464;1.005786;0.769108;0.388444;0.862327;-0.206863;0.958478;
1.071024;1.036393;1.005773;0.769106;0.388906;0.863553;-0.206476;0.958515;
1.072048;1.038246;1.005747;0.769100;0.389827;0.865998;-0.205704;0.958587;
1.074096;1.041927;1.005695;0.769086;0.391668;0.870857;-0.204168;0.958731;
1.078192;1.049185;1.005587;0.769048;0.395332;0.880443;-0.201131;0.959013;
1.082288;1.056301;1.005475;0.768996;0.398975;0.889843;-0.198138;0.959291;
1.086384;1.063269;1.005357;0.768931;0.402594;0.899046;-0.195188;0.959563;
1.090480;1.070082;1.005235;0.768852;0.406190;0.908039;-0.192281;0.959831;
1.094576;1.076736;1.005108;0.768761;0.409761;0.916810;-0.189413;0.960095;
1.098672;1.083223;1.004977;0.768657;0.413306;0.925346;-0.186585;0.960357;
1.102768;1.089540;1.004842;0.768541;0.416825;0.933636;-0.183795;0.960616;
1.106864;1.095679;1.004703;0.768414;0.420315;0.941668;-0.181041;0.960874;
1.110960;1.101637;1.004559;0.768274;0.423777;0.949431;-0.178321;0.961132;
1.115056;1.107407;1.004412;0.768124;0.427208;0.956913;-0.175634;0.961389;
1.119152;1.112986;1.004261;0.767963;0.430609;0.964105;-0.172977;0.961646;
1.123248;1.118368;1.004106;0.767791;0.433979;0.970996;-0.170350;0.961905;
1.127344;1.123549;1.003948;0.767609;0.437316;0.977576;-0.167750;0.962167;
1.131440;1.128524;1.003787;0.767418;0.440620;0.983836;-0.165175;0.962431;
1.135536;1.133290;1.003622;0.767217;0.443890;0.989766;-0.162624;0.962698;
1.139632;1.137842;1.003455;0.767008;0.447125;0.995358;-0.160095;0.962970;
1.143728;1.142177;1.003285;0.766791;0.450325;1.000604;-0.157585;0.963246;
1.147824;1.146291;1.003112;0.766565;0.453488;1.005496;-0.155093;0.963528;
1.151920;1.150182;1.002937;0.766332;0.456614;1.010026;-0.152618;0.963816;
1.156016;1.153846;1.002759;0.766092;0.459703;1.014188;-0.150157;0.964111;
1.160112;1.157281;1.002580;0.765846;0.462754;1.017976;-0.147709;0.964412;
1.164208;1.160483;1.002399;0.765593;0.465765;1.021383;-0.145273;0.964721;
1.168304;1.163451;1.002216;0.765335;0.468737;1.024403;-0.142847;0.965039;
1.172400;1.166183;1.002031;0.765072;0.471669;1.027032;-0.140431;0.965364;
1.180592;1.170931;1.001659;0.764534;0.477410;1.031099;-0.135619;0.966043;
1.187965;1.174382;1.001322;0.764036;0.482435;1.033382;-0.131310;0.966685;
1.195337;1.177050;1.000983;0.763531;0.487323;1.034344;-0.127019;0.967359;
1.202710;1.178933;1.000644;0.763019;0.492070;1.033975;-0.122741;0.968064;
1.210083;1.180032;1.000305;0.762504;0.496675;1.032267;-0.118479;0.968801;
1.217456;1.180351;0.999969;0.761990;0.501136;1.029222;-0.114234;0.969569;
1.224829;1.179896;0.999636;0.761478;0.505451;1.024844;-0.110010;0.970366;
1.232201;1.178676;0.999308;0.760971;0.509617;1.019144;-0.105814;0.971191;
1.239574;1.176704;0.998986;0.760473;0.513633;1.012136;-0.101653;0.972041;
1.246947;1.173994;0.998671;0.759986;0.517498;1.003844;-0.097536;0.972913;
1.254320;1.170563;0.998364;0.759512;0.521209;0.994296;-0.093474;0.973804;
1.261693;1.166433;0.998066;0.759054;0.524766;0.983526;-0.089481;0.974709;
1.268328;1.162135;0.997807;0.758658;0.527834;0.972818;-0.085956;0.975532;
1.274964;1.157307;0.997557;0.758278;0.530774;0.961185;-0.082509;0.976361;
1.280936;1.152524;0.997341;0.757952;0.533310;0.949952;-0.079482;0.977108;
1.286908;1.147343;0.997133;0.757641;0.535742;0.938028;-0.076534;0.977853;
1.292880;1.141782;0.996935;0.757348;0.538069;0.925446;-0.073675;0.978595;
1.298851;1.135857;0.996746;0.757072;0.540289;0.912239;-0.070912;0.979329;
1.304823;1.129588;0.996567;0.756816;0.542404;0.898446;-0.068255;0.980054;
1.310198;1.123667;0.996415;0.756601;0.544216;0.885561;-0.065961;0.980695;
1.315573;1.117497;0.996272;0.756403;0.545941;0.872261;-0.063764;0.981325;
1.320948;1.111094;0.996139;0.756223;0.547580;0.858577;-0.061669;0.981941;
1.326323;1.104473;0.996014;0.756059;0.549131;0.844542;-0.059683;0.982542;
1.331697;1.097650;0.995899;0.755914;0.550595;0.830188;-0.057809;0.983125;
1.337072;1.090641;0.995794;0.755787;0.551972;0.815549;-0.056052;0.983690;
1.342447;1.083463;0.995699;0.755678;0.553262;0.800661;-0.054415;0.984234;
1.347822;1.076132;0.995614;0.755589;0.554465;0.785559;-0.052902;0.984757;
1.353196;1.068667;0.995539;0.755518;0.555581;0.770279;-0.051515;0.985257;
1.358571;1.061085;0.995474;0.755467;0.556610;0.754859;-0.050257;0.985733;
1.363946;1.053402;0.995420;0.755435;0.557553;0.739335;-0.049128;0.986185;
1.369321;1.045637;0.995377;0.755423;0.558411;0.723745;-0.048129;0.986610;
1.374695;1.037808;0.995344;0.755430;0.559183;0.708126;-0.047260;0.987010;
1.379533;1.030720;0.995323;0.755453;0.559806;0.694072;-0.046589;0.987347;
1.384370;1.023607;0.995311;0.755492;0.560361;0.680053;-0.046022;0.987663;
1.389207;1.016482;0.995308;0.755546;0.560849;0.666094;-0.045557;0.987956;
1.394045;1.009358;0.995312;0.755616;0.561271;0.652221;-0.045193;0.988228;
1.398882;1.002247;0.995326;0.755701;0.561627;0.638462;-0.044928;0.988478;
1.403719;0.995163;0.995347;0.755802;0.561919;0.624842;-0.044758;0.988706;
1.408557;0.988118;0.995377;0.755918;0.562147;0.611385;-0.044680;0.988914;
1.413394;0.981124;0.995415;0.756048;0.562313;0.598116;-0.044692;0.989100;
1.418231;0.974193;0.995460;0.756194;0.562418;0.585059;-0.044789;0.989266;
1.423068;0.967338;0.995514;0.756353;0.562463;0.572237;-0.044967;0.989413;
1.427906;0.960571;0.995575;0.756527;0.562450;0.559672;-0.045222;0.989540;
1.432743;0.953902;0.995644;0.756714;0.562380;0.547386;-0.045548;0.989649;
1.437580;0.947343;0.995721;0.756915;0.562254;0.535398;-0.045942;0.989740;
1.442418;0.940906;0.995804;0.757128;0.562075;0.523729;-0.046398;0.989814;
1.447255;0.934601;0.995894;0.757355;0.561844;0.512397;-0.046910;0.989872;
1.452092;0.928438;0.995991;0.757593;0.561563;0.501420;-0.047474;0.989916;
1.456929;0.922427;0.996095;0.757844;0.561234;0.490814;-0.048083;0.989945;
1.461767;0.916578;0.996205;0.758106;0.560859;0.480595;-0.048732;0.989961;
1.466604;0.910901;0.996321;0.758379;0.560440;0.470777;-0.049414;0.989965;
1.471441;0.905405;0.996442;0.758662;0.559980;0.461375;-0.050125;0.989958;
1.476279;0.900097;0.996570;0.758956;0.559479;0.452400;-0.050859;0.989941;
1.481116;0.894987;0.996702;0.759259;0.558942;0.443863;-0.051610;0.989915;
1.485953;0.890082;0.996840;0.759572;0.558369;0.435777;-0.052371;0.989881;
1.490791;0.885389;0.996982;0.759893;0.557764;0.428149;-0.053139;0.989840;
1.495628;0.880916;0.997129;0.760222;0.557130;0.420988;-0.053907;0.989793;
1.500465;0.876669;0.997279;0.760559;0.556467;0.414301;-0.054669;0.989741;
1.505302;0.872653;0.997434;0.760903;0.555780;0.408096;-0.055422;0.989685;
1.510140;0.868876;0.997592;0.761253;0.555071;0.402377;-0.056159;0.989626;
1.514977;0.865341;0.997754;0.761610;0.554342;0.397148;-0.056877;0.989565;
1.519814;0.862053;0.997918;0.761973;0.553595;0.392415;-0.057570;0.989502;
1.524652;0.859018;0.998085;0.762340;0.552835;0.388178;-0.058234;0.989439;
1.529489;0.856238;0.998255;0.762712;0.552062;0.384441;-0.058867;0.989375;
1.534326;0.853717;0.998426;0.763088;0.551281;0.381204;-0.059462;0.989313;
1.539163;0.851458;0.998600;0.763467;0.550493;0.378467;-0.060018;0.989251;
1.544001;0.849463;0.998774;0.763849;0.549702;0.376231;-0.060531;0.989192;
1.548838;0.847734;0.998950;0.764234;0.548909;0.374493;-0.060997;0.989136;
1.553675;0.846273;0.999127;0.764620;0.548118;0.373252;-0.061416;0.989083;
1.558513;0.845081;0.999304;0.765008;0.547330;0.372506;-0.061783;0.989033;
1.563350;0.844158;0.999481;0.765397;0.546550;0.372250;-0.062097;0.988987;
1.568187;0.843505;0.999659;0.765785;0.545778;0.372482;-0.062356;0.988945;
1.573025;0.843121;0.999836;0.766174;0.545018;0.373196;-0.062559;0.988907;
1.577862;0.843005;1.000012;0.766562;0.544272;0.374387;-0.062705;0.988875;
1.582699;0.843156;1.000188;0.766948;0.543542;0.376049;-0.062793;0.988847;
1.587536;0.843573;1.000362;0.767333;0.542831;0.378177;-0.062821;0.988823;
1.592374;0.844254;1.000535;0.767715;0.542141;0.380764;-0.062791;0.988805;
1.597211;0.845196;1.000706;0.768095;0.541473;0.383802;-0.062701;0.988792;
1.602048;0.846395;1.000874;0.768471;0.540831;0.387283;-0.062552;0.988783;
1.606886;0.847850;1.001041;0.768843;0.540215;0.391199;-0.062345;0.988780;
1.611723;0.849556;1.001205;0.769211;0.539628;0.395541;-0.062079;0.988781;
1.616560;0.851509;1.001367;0.769575;0.539072;0.400300;-0.061757;0.988786;
1.621397;0.853705;1.001525;0.769933;0.538548;0.405466;-0.061379;0.988795;
1.626235;0.856139;1.001680;0.770285;0.538058;0.411029;-0.060947;0.988809;
1.631072;0.858805;1.001831;0.770631;0.537603;0.416978;-0.060461;0.988826;
1.635909;0.861699;1.001979;0.770971;0.537185;0.423303;-0.059925;0.988846;
1.640747;0.864814;1.002123;0.771303;0.536805;0.429991;-0.059339;0.988869;
1.645584;0.868144;1.002262;0.771629;0.536464;0.437032;-0.058707;0.988895;
1.650421;0.871682;1.002397;0.771946;0.536164;0.444412;-0.058029;0.988924;
1.655259;0.875423;1.002528;0.772255;0.535905;0.452118;-0.057309;0.988954;
1.660096;0.879358;1.002653;0.772555;0.535687;0.460139;-0.056549;0.988985;
1.664933;0.883480;1.002774;0.772846;0.535513;0.468460;-0.055752;0.989017;
1.669770;0.887782;1.002890;0.773128;0.535382;0.477067;-0.054920;0.989050;
1.674608;0.892255;1.003000;0.773400;0.535295;0.485946;-0.054056;0.989083;
1.679445;0.896892;1.003105;0.773662;0.535252;0.495083;-0.053162;0.989115;
1.684282;0.901684;1.003204;0.773914;0.535254;0.504462;-0.052242;0.989147;
1.689120;0.906622;1.003298;0.774155;0.535301;0.514069;-0.051299;0.989178;
1.693957;0.911698;1.003385;0.774385;0.535392;0.523887;-0.050334;0.989207;
1.698794;0.916902;1.003467;0.774603;0.535529;0.533901;-0.049352;0.989234;
1.703631;0.922226;1.003542;0.774810;0.535709;0.544095;-0.048355;0.989259;
1.708469;0.927660;1.003612;0.775005;0.535935;0.554451;-0.047345;0.989281;
1.713306;0.933194;1.003675;0.775188;0.536204;0.564954;-0.046326;0.989300;
1.718143;0.938819;1.003731;0.775359;0.536516;0.575585;-0.045300;0.989316;
1.722981;0.944525;1.003782;0.775518;0.536872;0.586329;-0.044269;0.989329;
1.727818;0.950303;1.003825;0.775663;0.537270;0.597166;-0.043237;0.989337;
1.732655;0.956142;1.003862;0.775796;0.537710;0.608080;-0.042205;0.989342;
1.737493;0.962032;1.003893;0.775917;0.538190;0.619053;-0.041176;0.989343;
1.742330;0.967964;1.003917;0.776024;0.538710;0.630067;-0.040151;0.989339;
1.747167;0.973926;1.003934;0.776118;0.539269;0.641104;-0.039133;0.989331;
1.752004;0.979910;1.003945;0.776199;0.539866;0.652144;-0.038124;0.989319;
1.756842;0.985905;1.003949;0.776266;0.540500;0.663172;-0.037126;0.989303;
1.761679;0.991901;1.003946;0.776321;0.541169;0.674167;-0.036139;0.989282;
1.766516;0.997888;1.003937;0.776362;0.541873;0.685112;-0.035165;0.989258;
1.771354;1.003856;1.003921;0.776390;0.542610;0.695989;-0.034205;0.989229;
1.776191;1.009795;1.003898;0.776405;0.543378;0.706780;-0.033261;0.989197;
1.781028;1.015695;1.003870;0.776407;0.544176;0.717466;-0.032333;0.989161;
1.785865;1.021546;1.003834;0.776396;0.545004;0.728031;-0.031421;0.989122;
1.790703;1.027340;1.003793;0.776372;0.545859;0.738455;-0.030527;0.989080;
1.795540;1.033065;1.003745;0.776336;0.546739;0.748723;-0.029650;0.989035;
1.800377;1.038713;1.003691;0.776286;0.547644;0.758816;-0.028791;0.988988;
1.805215;1.044274;1.003631;0.776225;0.548572;0.768718;-0.027949;0.988940;
1.810052;1.049741;1.003566;0.776151;0.549522;0.778412;-0.027124;0.988891;
1.814889;1.055103;1.003494;0.776065;0.550490;0.787883;-0.026316;0.988840;
1.819727;1.060352;1.003417;0.775967;0.551477;0.797114;-0.025525;0.988790;
1.824564;1.065479;1.003334;0.775858;0.552481;0.806091;-0.024749;0.988740;
1.829401;1.070477;1.003246;0.775738;0.553499;0.814797;-0.023988;0.988691;
1.834238;1.075338;1.003153;0.775607;0.554530;0.823220;-0.023241;0.988643;
1.839076;1.080053;1.003055;0.775466;0.555574;0.831344;-0.022508;0.988597;
1.843913;1.084616;1.002952;0.775314;0.556627;0.839157;-0.021786;0.988555;
1.848750;1.089019;1.002845;0.775152;0.557689;0.846645;-0.021075;0.988515;
1.853588;1.093255;1.002733;0.774981;0.558757;0.853797;-0.020374;0.988480;
1.858425;1.097319;1.002617;0.774801;0.559832;0.860601;-0.019682;0.988448;
1.863262;1.101203;1.002497;0.774613;0.560910;0.867046;-0.018997;0.988423;
1.868099;1.104901;1.002373;0.774416;0.561990;0.873121;-0.018318;0.988402;
1.872937;1.108409;1.002246;0.774211;0.563071;0.878817;-0.017644;0.988388;
1.877774;1.111721;1.002115;0.774000;0.564152;0.884125;-0.016974;0.988381;
1.882611;1.114833;1.001981;0.773781;0.565230;0.889037;-0.016307;0.988381;
1.887449;1.117739;1.001845;0.773556;0.566305;0.893544;-0.015641;0.988389;
1.892286;1.120435;1.001706;0.773325;0.567375;0.897640;-0.014976;0.988405;
1.897123;1.122919;1.001564;0.773089;0.568439;0.901320;-0.014310;0.988430;
