time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
0.000000;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000001;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000002;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000004;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000008;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000016;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000032;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000064;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000128;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000256;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.000512;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.001024;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.002048;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.004096;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.008192;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.016384;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.032768;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.065536;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.131072;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.262144;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
0.524288;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.564688;-0.705860;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.564688;-0.705860;0.000000;0.000000;0.000000;
1.000001;0.970686;1.000000;0.804649;0.564676;-0.705848;0.000000;0.000000;0.000000;
1.000002;0.970686;1.000000;0.804649;0.564663;-0.705836;0.000000;0.000000;0.000000;
1.000004;0.970686;1.000000;0.804648;0.564638;-0.705812;0.000000;0.000000;0.000000;
1.000008;0.970686;1.000001;0.804647;0.564589;-0.705764;0.000000;0.000000;0.000000;
1.000016;0.970686;1.000001;0.804644;0.564490;-0.705668;0.000000;0.000000;0.000000;
1.000032;0.970686;1.000003;0.804638;0.564292;-0.705475;0.000000;0.000000;0.000000;
1.000064;0.970686;1.000005;0.804628;0.563897;-0.705091;0.000000;0.000000;0.000000;
1.000128;0.970686;1.000011;0.804606;0.563107;-0.704322;0.000000;0.000000;0.000000;
1.000256;0.970687;1.000021;0.804563;0.561529;-0.702788;0.000000;0.000000;0.000000;
1.000512;0.970689;1.000043;0.804476;0.558383;-0.699728;0.000000;0.000000;0.000000;
1.001024;0.970699;1.000085;0.804301;0.552134;-0.693644;0.000000;0.000000;0.000000;
1.002048;0.970740;1.000170;0.803949;0.539798;-0.681622;0.000000;0.000000;0.000000;
1.003072;0.970809;1.000256;0.803592;0.527679;-0.669791;0.000000;0.000000;0.000000;
1.004096;0.970905;1.000341;0.803230;0.515772;-0.658148;0.000000;0.000000;0.000000;
1.005120;0.971028;1.000426;0.802864;0.504075;-0.646691;0.000000;0.000000;0.000000;
1.006144;0.971179;1.000511;0.802493;0.492584;-0.635416;0.000000;0.000000;0.000000;
1.007168;0.971357;1.000596;0.802119;0.481296;-0.624320;0.000000;0.000000;0.000000;
1.008192;0.971562;1.000681;0.801740;0.470207;-0.613402;0.000000;0.000000;0.000000;
1.009216;0.971795;1.000766;0.801358;0.459314;-0.602658;0.000000;0.000000;0.000000;
1.010240;0.972055;1.000851;0.800972;0.448615;-0.592086;0.000000;0.000000;0.000000;
1.011264;0.972343;1.000936;0.800582;0.438106;-0.581683;0.000000;0.000000;0.000000;
1.012288;0.972658;1.001022;0.800189;0.427784;-0.571447;0.000000;0.000000;0.000000;
1.013312;0.973000;1.001107;0.799792;0.417647;-0.561375;0.000000;0.000000;0.000000;
1.014336;0.973370;1.001192;0.799392;0.407690;-0.551464;0.000000;0.000000;0.000000;
1.015360;0.973767;1.001277;0.798989;0.397912;-0.541713;0.000000;0.000000;0.000000;
1.016384;0.974191;1.001362;0.798583;0.388309;-0.532118;0.000000;0.000000;0.000000;
1.017408;0.974643;1.001447;0.798174;0.378879;-0.522677;0.000000;0.000000;0.000000;
1.018432;0.975122;1.001532;0.797762;0.369619;-0.513388;0.000000;0.000000;0.000000;
1.019456;0.975628;1.001617;0.797347;0.360526;-0.504249;0.000000;0.000000;0.000000;
1.020480;0.976162;1.001702;0.796930;0.351597;-0.495258;0.000000;0.000000;0.000000;
1.021504;0.976723;1.001787;0.796510;0.342830;-0.486411;0.000000;0.000000;0.000000;
1.022528;0.977312;1.001872;0.796088;0.334223;-0.477708;0.000000;0.000000;0.000000;
1.023552;0.977927;1.001957;0.795663;0.325771;-0.469145;0.000000;0.000000;0.000000;
1.024576;0.978570;1.002041;0.795236;0.317474;-0.460720;0.000000;0.000000;0.000000;
1.025600;0.979241;1.002126;0.794806;0.309329;-0.452432;0.000000;0.000000;0.000000;
1.026624;0.979939;1.002211;0.794374;0.301333;-0.444279;0.000000;0.000000;0.000000;
1.027648;0.980664;1.002296;0.793941;0.293483;-0.436258;0.000000;0.000000;0.000000;
1.028672;0.981416;1.002381;0.793505;0.285778;-0.428367;0.000000;0.000000;0.000000;
1.029696;0.982196;1.002466;0.793067;0.278214;-0.420604;0.000000;0.000000;0.000000;
1.030720;0.983003;1.002551;0.792628;0.270791;-0.412968;0.000000;0.000000;0.000000;
1.031744;0.983837;1.002636;0.792186;0.263505;-0.405456;0.000000;0.000000;0.000000;
1.032768;0.984698;1.002721;0.791743;0.256353;-0.398066;0.000000;0.000000;0.000000;
1.033792;0.985587;1.002805;0.791298;0.249335;-0.390797;0.000000;0.000000;0.000000;
1.034816;0.986503;1.002890;0.790852;0.242448;-0.383647;0.000000;0.000000;0.000000;
1.035840;0.987447;1.002975;0.790403;0.235690;-0.376614;0.000000;0.000000;0.000000;
1.036864;0.988417;1.003060;0.789954;0.229058;-0.369696;0.000000;0.000000;0.000000;
1.037888;0.989415;1.003145;0.789503;0.222550;-0.362891;0.000000;0.000000;0.000000;
1.038912;0.990441;1.003229;0.789050;0.216165;-0.356198;0.000000;0.000000;0.000000;
1.039936;0.991493;1.003314;0.788597;0.209900;-0.349614;0.000000;0.000000;0.000000;
1.040960;0.992573;1.003399;0.788142;0.203754;-0.343139;0.000000;0.000000;0.000000;
1.041984;0.993680;1.003484;0.787685;0.197725;-0.336771;0.000000;0.000000;0.000000;
1.043008;0.994814;1.003568;0.787228;0.191810;-0.330507;0.000000;0.000000;0.000000;
1.044032;0.995976;1.003653;0.786769;0.186007;-0.324347;0.000000;0.000000;0.000000;
1.045056;0.997165;1.003738;0.786310;0.180316;-0.318288;0.000000;0.000000;0.000000;
1.046080;0.998381;1.003823;0.785849;0.174733;-0.312329;0.000000;0.000000;0.000000;
1.047104;0.999624;1.003907;0.785387;0.169258;-0.306469;0.000000;0.000000;0.000000;
