time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
0.000000;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000001;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000002;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000004;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000008;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000016;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000032;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000064;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000128;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000256;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.000512;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.001024;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033308;0.087015;1.000000;
0.002048;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033307;0.087015;1.000000;
0.004096;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033307;0.087015;1.000000;
0.008192;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033307;0.087015;1.000000;
0.016384;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033307;0.087015;1.000000;
0.032768;0.942329;1.000000;0.822624;0.538639;-0.685018;0.665557;0.033307;0.087015;1.000000;
0.065536;0.942329;1.000000;0.822624;0.538640;-0.685018;0.665556;0.033307;0.087015;1.000000;
0.131072;0.942329;1.000000;0.822624;0.538640;-0.685018;0.665556;0.033308;0.087015;1.000000;
0.262144;0.942329;1.000000;0.822624;0.538641;-0.685019;0.665555;0.033308;0.087016;1.000000;
0.524288;0.942329;1.000000;0.822624;0.538641;-0.685019;0.665556;0.033309;0.087016;1.000001;
1.000000;0.942329;1.000000;0.822624;0.538641;-0.685019;0.665556;0.033309;0.087016;1.000001;
1.000000;0.942329;1.000000;0.822624;0.538641;-0.685019;0.000000;0.000000;0.087016;0.000000;
1.000001;0.942329;1.000000;0.822624;0.538629;-0.685008;0.000000;0.000000;0.087011;0.000000;
1.000002;0.942329;1.000000;0.822624;0.538617;-0.684996;0.000000;0.000000;0.087006;0.000000;
1.000004;0.942329;1.000000;0.822623;0.538593;-0.684972;0.000000;0.000000;0.086995;0.000000;
1.000008;0.942329;1.000001;0.822622;0.538545;-0.684925;0.000000;0.000000;0.086974;0.000000;
1.000016;0.942329;1.000001;0.822619;0.538448;-0.684832;0.000000;0.000000;0.086933;0.000000;
1.000032;0.942329;1.000003;0.822613;0.538256;-0.684644;0.000000;0.000000;0.086849;0.000000;
1.000064;0.942329;1.000005;0.822602;0.537870;-0.684269;0.000000;0.000000;0.086683;0.000000;
1.000128;0.942329;1.000011;0.822580;0.537099;-0.683520;0.000000;0.000000;0.086351;0.000000;
1.000256;0.942330;1.000021;0.822535;0.535561;-0.682024;0.000000;0.000000;0.085691;0.000000;
1.000512;0.942333;1.000043;0.822446;0.532495;-0.679040;0.000000;0.000000;0.084384;0.000000;
1.001024;0.942343;1.000085;0.822266;0.526403;-0.673109;0.000000;0.000000;0.081824;0.000000;
1.002048;0.942384;1.000170;0.821903;0.514384;-0.661387;0.000000;0.000000;0.076915;0.000000;
1.003072;0.942453;1.000256;0.821535;0.502580;-0.649851;0.000000;0.000000;0.072276;0.000000;
1.004096;0.942548;1.000341;0.821164;0.490987;-0.638498;0.000000;0.000000;0.067894;0.000000;
1.005120;0.942672;1.000426;0.820788;0.479603;-0.627327;0.000000;0.000000;0.063757;0.000000;
1.006144;0.942822;1.000511;0.820409;0.468424;-0.616333;0.000000;0.000000;0.059853;0.000000;
1.007168;0.943001;1.000596;0.820026;0.457446;-0.605515;0.000000;0.000000;0.056171;0.000000;
1.008192;0.943206;1.000681;0.819639;0.446666;-0.594870;0.000000;0.000000;0.052700;0.000000;
1.009216;0.943439;1.000766;0.819249;0.436081;-0.584395;0.000000;0.000000;0.049430;0.000000;
1.010240;0.943699;1.000851;0.818855;0.425686;-0.574087;0.000000;0.000000;0.046350;0.000000;
1.011264;0.943987;1.000936;0.818457;0.415480;-0.563945;0.000000;0.000000;0.043450;0.000000;
1.012288;0.944301;1.001022;0.818057;0.405458;-0.553966;0.000000;0.000000;0.040721;0.000000;
1.013312;0.944644;1.001107;0.817653;0.395618;-0.544146;0.000000;0.000000;0.038155;0.000000;
1.014336;0.945013;1.001192;0.817246;0.385956;-0.534485;0.000000;0.000000;0.035742;0.000000;
1.015360;0.945410;1.001277;0.816836;0.376470;-0.524978;0.000000;0.000000;0.033474;0.000000;
1.016384;0.945835;1.001362;0.816423;0.367157;-0.515625;0.000000;0.000000;0.031343;0.000000;
1.017408;0.946287;1.001447;0.816008;0.358014;-0.506423;0.000000;0.000000;0.029342;0.000000;
1.018432;0.946766;1.001532;0.815589;0.349037;-0.497368;0.000000;0.000000;0.027464;0.000000;
1.019456;0.947272;1.001617;0.815168;0.340225;-0.488461;0.000000;0.000000;0.025701;0.000000;
1.020480;0.947806;1.001702;0.814745;0.331574;-0.479697;0.000000;0.000000;0.024047;0.000000;
1.021504;0.948367;1.001787;0.814319;0.323081;-0.471074;0.000000;0.000000;0.022496;0.000000;
1.022528;0.948955;1.001872;0.813890;0.314745;-0.462592;0.000000;0.000000;0.021041;0.000000;
1.023552;0.949571;1.001957;0.813459;0.306562;-0.454246;0.000000;0.000000;0.019678;0.000000;
1.024576;0.950214;1.002041;0.813026;0.298530;-0.446037;0.000000;0.000000;0.018401;0.000000;
1.025600;0.950884;1.002126;0.812591;0.290647;-0.437960;0.000000;0.000000;0.017204;0.000000;
1.026624;0.951582;1.002211;0.812154;0.282910;-0.430015;0.000000;0.000000;0.016084;0.000000;
1.027648;0.952307;1.002296;0.811714;0.275316;-0.422199;0.000000;0.000000;0.015034;0.000000;
1.028672;0.953060;1.002381;0.811273;0.267863;-0.414510;0.000000;0.000000;0.014052;0.000000;
1.029696;0.953839;1.002466;0.810829;0.260549;-0.406947;0.000000;0.000000;0.013132;0.000000;
1.030720;0.954646;1.002551;0.810384;0.253372;-0.399507;0.000000;0.000000;0.012272;0.000000;
1.031744;0.955480;1.002636;0.809937;0.246329;-0.392189;0.000000;0.000000;0.011467;0.000000;
1.032768;0.956342;1.002721;0.809488;0.239418;-0.384990;0.000000;0.000000;0.010713;0.000000;
1.033792;0.957231;1.002805;0.809038;0.232637;-0.377910;0.000000;0.000000;0.010009;0.000000;
1.034816;0.958147;1.002890;0.808586;0.225983;-0.370945;0.000000;0.000000;0.009350;0.000000;
1.035840;0.959090;1.002975;0.808132;0.219456;-0.364094;0.000000;0.000000;0.008733;0.000000;
1.036864;0.960061;1.003060;0.807677;0.213051;-0.357356;0.000000;0.000000;0.008157;0.000000;
1.037888;0.961059;1.003145;0.807221;0.206769;-0.350729;0.000000;0.000000;0.007618;0.000000;
1.038912;0.962084;1.003229;0.806763;0.200605;-0.344211;0.000000;0.000000;0.007114;0.000000;
1.039936;0.963137;1.003314;0.806304;0.194559;-0.337800;0.000000;0.000000;0.006643;0.000000;
1.040960;0.964217;1.003399;0.805843;0.188629;-0.331495;0.000000;0.000000;0.006203;0.000000;
1.041984;0.965324;1.003484;0.805381;0.182812;-0.325293;0.000000;0.000000;0.005791;0.000000;
1.043008;0.966458;1.003568;0.804918;0.177107;-0.319195;0.000000;0.000000;0.005406;0.000000;
1.044032;0.967620;1.003653;0.804454;0.171512;-0.313197;0.000000;0.000000;0.005046;0.000000;
1.045056;0.968808;1.003738;0.803989;0.166024;-0.307299;0.000000;0.000000;0.004710;0.000000;
1.046080;0.970025;1.003823;0.803523;0.160643;-0.301498;0.000000;0.000000;0.004395;0.000000;
1.047104;0.971268;1.003907;0.803055;0.155367;-0.295794;0.000000;0.000000;0.004101;0.000000;
1.048128;0.972538;1.003992;0.802587;0.150193;-0.290184;0.000000;0.000000;0.003826;0.000000;
1.049152;0.973836;1.004077;0.802118;0.145120;-0.284668;0.000000;0.000000;0.003568;0.000000;
1.050176;0.975161;1.004161;0.801648;0.140147;-0.279244;0.000000;0.000000;0.003328;0.000000;
1.051200;0.976514;1.004246;0.801177;0.135271;-0.273910;0.000000;0.000000;0.003103;0.000000;
1.052224;0.977893;1.004331;0.800705;0.130491;-0.268665;0.000000;0.000000;0.002892;0.000000;
1.053248;0.979300;1.004415;0.800233;0.125805;-0.263508;0.000000;0.000000;0.002695;0.000000;
1.054272;0.980734;1.004500;0.799759;0.121213;-0.258437;0.000000;0.000000;0.002511;0.000000;
1.055296;0.982195;1.004584;0.799285;0.116711;-0.253451;0.000000;0.000000;0.002339;0.000000;
1.056320;0.983684;1.004669;0.798810;0.112300;-0.248548;0.000000;0.000000;0.002177;0.000000;
