time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.000000;0.928174;1.000000;0.856097;0.512549;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000001;0.928174;1.000000;0.856097;0.512550;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000002;0.928174;1.000000;0.856097;0.512550;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000004;0.928174;1.000000;0.856097;0.512550;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000008;0.928174;1.000000;0.856097;0.512551;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000016;0.928174;1.000000;0.856097;0.512553;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000032;0.928174;1.000000;0.856097;0.512557;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000064;0.928174;1.000000;0.856097;0.512566;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000128;0.928174;1.000000;0.856097;0.512582;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000256;0.928174;1.000000;0.856097;0.512615;0.786775;0.647431;0.665556;0.033305;1.011919;1.109675;1.104191;1.000000;
0.000512;0.928174;1.000000;0.856097;0.512680;0.786775;0.647431;0.665555;0.033306;1.011919;1.109675;1.104191;1.000000;
0.001024;0.928174;1.000000;0.856097;0.512809;0.786775;0.647432;0.665554;0.033308;1.011920;1.109675;1.104192;1.000000;
0.002048;0.928174;1.000000;0.856097;0.513067;0.786775;0.647436;0.665547;0.033316;1.011922;1.109677;1.104193;1.000002;
0.004096;0.928174;1.000000;0.856097;0.513575;0.786775;0.647453;0.665520;0.033348;1.011932;1.109685;1.104201;1.000007;
0.008192;0.928174;1.000000;0.856097;0.514564;0.786775;0.647517;0.665420;0.033467;1.011967;1.109714;1.104228;1.000026;
0.012288;0.928174;1.000000;0.856097;0.515519;0.786775;0.647616;0.665263;0.033655;1.012022;1.109760;1.104272;1.000057;
0.016384;0.928174;1.000000;0.856097;0.516440;0.786775;0.647749;0.665056;0.033905;1.012095;1.109820;1.104329;1.000098;
0.020480;0.928175;1.000001;0.856096;0.517331;0.786776;0.647909;0.664805;0.034208;1.012185;1.109894;1.104399;1.000147;
0.024576;0.928176;1.000001;0.856096;0.518194;0.786777;0.648095;0.664516;0.034559;1.012288;1.109979;1.104480;1.000205;
0.028672;0.928178;1.000002;0.856096;0.519030;0.786777;0.648302;0.664196;0.034951;1.012403;1.110074;1.104571;1.000269;
0.032768;0.928181;1.000003;0.856095;0.519842;0.786778;0.648528;0.663849;0.035379;1.012529;1.110179;1.104670;1.000338;
0.036864;0.928185;1.000004;0.856094;0.520630;0.786780;0.648769;0.663481;0.035838;1.012664;1.110290;1.104776;1.000413;
0.040960;0.928191;1.000005;0.856094;0.521395;0.786781;0.649025;0.663094;0.036324;1.012806;1.110408;1.104888;1.000492;
0.045056;0.928198;1.000006;0.856093;0.522141;0.786782;0.649292;0.662694;0.036832;1.012956;1.110532;1.105005;1.000574;
0.049152;0.928206;1.000008;0.856092;0.522866;0.786784;0.649569;0.662283;0.037359;1.013111;1.110660;1.105127;1.000660;
0.053248;0.928218;1.000009;0.856090;0.523573;0.786785;0.649855;0.661865;0.037903;1.013270;1.110793;1.105253;1.000748;
0.057344;0.928231;1.000011;0.856089;0.524262;0.786786;0.650147;0.661443;0.038459;1.013434;1.110928;1.105382;1.000838;
