time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.000000;0.919802;1.000000;0.858971;0.507732;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000001;0.919802;1.000000;0.858971;0.507732;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000002;0.919802;1.000000;0.858971;0.507732;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000004;0.919802;1.000000;0.858971;0.507733;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000008;0.919802;1.000000;0.858971;0.507734;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000016;0.919802;1.000000;0.858971;0.507736;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000032;0.919802;1.000000;0.858971;0.507740;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000064;0.919802;1.000000;0.858971;0.507748;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000128;0.919802;1.000000;0.858971;0.507765;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000256;0.919802;1.000000;0.858971;0.507797;0.791520;0.641345;0.665556;0.033305;1.011919;1.038575;1.132500;1.125875;1.000000;
0.000512;0.919802;1.000000;0.858971;0.507863;0.791520;0.641345;0.665555;0.033306;1.011919;1.038575;1.132500;1.125875;1.000000;
0.001024;0.919802;1.000000;0.858971;0.507994;0.791520;0.641347;0.665554;0.033308;1.011920;1.038575;1.132501;1.125876;1.000000;
0.002048;0.919802;1.000000;0.858971;0.508255;0.791520;0.641351;0.665546;0.033316;1.011922;1.038578;1.132503;1.125878;1.000002;
0.004096;0.919802;1.000000;0.858971;0.508768;0.791520;0.641368;0.665519;0.033348;1.011932;1.038586;1.132510;1.125885;1.000007;
0.008192;0.919802;1.000000;0.858971;0.509765;0.791521;0.641433;0.665414;0.033470;1.011968;1.038617;1.132538;1.125911;1.000027;
0.012288;0.919803;1.000000;0.858971;0.510728;0.791521;0.641536;0.665249;0.033662;1.012024;1.038667;1.132582;1.125953;1.000058;
