time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
0.000000;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000001;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000002;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000004;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000008;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000016;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000032;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000064;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000128;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000256;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.000512;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.001024;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.002048;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.004096;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.008192;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.016384;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.032768;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.065536;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.131072;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.262144;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
0.524288;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
1.000000;0.472418;1.000000;1.015233;0.974253;-0.273516;0.665556;0.033305;0.112424;1.000000;
1.000000;0.472418;1.000000;1.015233;0.974253;-0.273516;0.000000;0.000000;0.112424;0.000000;
1.000001;0.472418;1.000000;1.015233;0.974239;-0.273508;0.000000;0.000000;0.112424;0.000000;
1.000002;0.472418;1.000000;1.015232;0.974225;-0.273500;0.000000;0.000000;0.112424;0.000000;
1.000004;0.472418;1.000000;1.015232;0.974197;-0.273485;0.000000;0.000000;0.112423;0.000000;
1.000008;0.472418;1.000001;1.015231;0.974141;-0.273453;0.000000;0.000000;0.112423;0.000000;
1.000016;0.472418;1.000001;1.015229;0.974028;-0.273390;0.000000;0.000000;0.112421;0.000000;
1.000032;0.472418;1.000003;1.015226;0.973804;-0.273264;0.000000;0.000000;0.112418;0.000000;
1.000064;0.472418;1.000005;1.015219;0.973355;-0.273013;0.000000;0.000000;0.112412;0.000000;
1.000128;0.472418;1.000011;1.015205;0.972458;-0.272511;0.000000;0.000000;0.112401;0.000000;
1.000256;0.472419;1.000021;1.015177;0.970670;-0.271509;0.000000;0.000000;0.112377;0.000000;
1.000512;0.472421;1.000043;1.015120;0.967114;-0.269517;0.000000;0.000000;0.112330;0.000000;
1.001024;0.472432;1.000085;1.015006;0.960083;-0.265577;0.000000;0.000000;0.112235;0.000000;
1.001536;0.472449;1.000128;1.014890;0.953158;-0.261697;0.000000;0.000000;0.112138;0.000000;
1.002560;0.472504;1.000213;1.014653;0.939621;-0.254109;0.000000;0.000000;0.111941;0.000000;
1.003481;0.472576;1.000290;1.014435;0.927785;-0.247473;0.000000;0.000000;0.111760;0.000000;
1.004403;0.472671;1.000366;1.014212;0.916270;-0.241016;0.000000;0.000000;0.111575;0.000000;
1.005325;0.472788;1.000443;1.013985;0.905067;-0.234733;0.000000;0.000000;0.111386;0.000000;
1.006246;0.472928;1.000519;1.013753;0.894168;-0.228619;0.000000;0.000000;0.111193;0.000000;
1.007168;0.473089;1.000596;1.013516;0.883564;-0.222669;0.000000;0.000000;0.110997;0.000000;
1.008089;0.473273;1.000673;1.013276;0.873246;-0.216879;0.000000;0.000000;0.110797;0.000000;
1.009011;0.473479;1.000749;1.013031;0.863208;-0.211245;0.000000;0.000000;0.110594;0.000000;
1.009933;0.473707;1.000826;1.012782;0.853442;-0.205763;0.000000;0.000000;0.110388;0.000000;
1.010854;0.473957;1.000902;1.012530;0.843939;-0.200428;0.000000;0.000000;0.110179;0.000000;
1.011776;0.474229;1.000979;1.012273;0.834693;-0.195237;0.000000;0.000000;0.109967;0.000000;
1.012697;0.474524;1.001056;1.012013;0.825697;-0.190186;0.000000;0.000000;0.109752;0.000000;
1.013619;0.474840;1.001132;1.011750;0.816943;-0.185270;0.000000;0.000000;0.109535;0.000000;
1.014541;0.475179;1.001209;1.011483;0.808425;-0.180487;0.000000;0.000000;0.109315;0.000000;
