time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.000000;0.456920;1.000000;1.025910;0.990259;0.229676;0.665556;0.033305;1.011919;1.109675;1.065805;1.000000;
0.000001;0.456920;1.000000;1.025910;0.990259;0.229676;0.665555;0.033305;1.011919;1.109675;1.065805;1.000000;
0.000002;0.456920;1.000000;1.025910;0.990259;0.229677;0.665554;0.033306;1.011919;1.109675;1.065805;1.000000;
0.000004;0.456920;1.000000;1.025910;0.990259;0.229677;0.665553;0.033306;1.011919;1.109675;1.065805;1.000000;
0.000008;0.456920;1.000000;1.025910;0.990259;0.229678;0.665550;0.033307;1.011920;1.109675;1.065805;1.000000;
0.000016;0.456920;1.000000;1.025910;0.990259;0.229681;0.665543;0.033309;1.011920;1.109676;1.065805;1.000001;
0.000032;0.456920;1.000000;1.025910;0.990259;0.229686;0.665531;0.033313;1.011921;1.109676;1.065806;1.000001;
0.000064;0.456920;1.000000;1.025910;0.990259;0.229696;0.665506;0.033320;1.011924;1.109678;1.065807;1.000003;
0.000128;0.456920;1.000000;1.025910;0.990259;0.229715;0.665456;0.033335;1.011928;1.109682;1.065809;1.000006;
0.000256;0.456920;1.000000;1.025910;0.990259;0.229754;0.665356;0.033365;1.011936;1.109689;1.065813;1.000012;
0.000512;0.456920;1.000000;1.025910;0.990259;0.229832;0.665157;0.033425;1.011954;1.109703;1.065822;1.000024;
0.001024;0.456920;1.000000;1.025910;0.990259;0.229986;0.664762;0.033544;1.011988;1.109731;1.065839;1.000048;
0.002048;0.456920;1.000000;1.025910;0.990259;0.230288;0.663987;0.033777;1.012055;1.109786;1.065872;1.000095;
0.004096;0.456921;1.000001;1.025910;0.990259;0.230870;0.662494;0.034229;1.012184;1.109893;1.065936;1.000185;
0.006144;0.456922;1.000002;1.025910;0.990259;0.231425;0.661073;0.034662;1.012308;1.109996;1.065998;1.000272;
0.010240;0.456926;1.000005;1.025910;0.990259;0.232459;0.658436;0.035473;1.012540;1.110188;1.066113;1.000434;
0.013926;0.456934;1.000008;1.025909;0.990259;0.233307;0.656285;0.036143;1.012733;1.110347;1.066208;1.000567;
0.017613;0.456947;1.000013;1.025909;0.990259;0.234085;0.654331;0.036762;1.012910;1.110494;1.066296;1.000689;
0.021299;0.456966;1.000019;1.025908;0.990258;0.234797;0.652560;0.037332;1.013074;1.110630;1.066378;1.000801;
0.024986;0.456991;1.000025;1.025907;0.990257;0.235450;0.650961;0.037858;1.013225;1.110755;1.066453;1.000904;
0.028672;0.457025;1.000032;1.025906;0.990256;0.236049;0.649523;0.038342;1.013364;1.110870;1.066522;1.000998;
0.032358;0.457066;1.000040;1.025905;0.990254;0.236599;0.648234;0.038788;1.013492;1.110976;1.066586;1.001084;
0.036045;0.457117;1.000048;1.025903;0.990252;0.237104;0.647086;0.039198;1.013610;1.111074;1.066645;1.001162;
0.039731;0.457178;1.000057;1.025902;0.990248;0.237569;0.646070;0.039575;1.013719;1.111164;1.066699;1.001234;
0.043418;0.457249;1.000066;1.025900;0.990244;0.237997;0.645176;0.039922;1.013819;1.111247;1.066748;1.001299;
0.047104;0.457331;1.000075;1.025899;0.990239;0.238392;0.644397;0.040241;1.013911;1.111324;1.066794;1.001358;
0.050790;0.457424;1.000085;1.025897;0.990233;0.238757;0.643726;0.040533;1.013995;1.111394;1.066836;1.001412;
0.054477;0.457529;1.000095;1.025896;0.990226;0.239095;0.643156;0.040801;1.014073;1.111458;1.066875;1.001460;
0.058163;0.457645;1.000106;1.025894;0.990218;0.239409;0.642680;0.041046;1.014144;1.111518;1.066911;1.001504;
0.061850;0.457774;1.000116;1.025892;0.990209;0.239702;0.642294;0.041271;1.014209;1.111572;1.066943;1.001544;
0.065536;0.457915;1.000127;1.025890;0.990198;0.239975;0.641991;0.041476;1.014269;1.111622;1.066973;1.001579;
0.069222;0.458069;1.000138;1.025888;0.990187;0.240231;0.641766;0.041664;1.014324;1.111667;1.067000;1.001610;
0.072909;0.458235;1.000149;1.025886;0.990174;0.240472;0.641615;0.041834;1.014374;1.111709;1.067025;1.001638;
0.076595;0.458414;1.000160;1.025883;0.990159;0.240700;0.641532;0.041989;1.014419;1.111747;1.067048;1.001663;
0.080282;0.458606;1.000171;1.025881;0.990143;0.240916;0.641514;0.042130;1.014461;1.111781;1.067069;1.001684;
0.083968;0.458810;1.000182;1.025878;0.990126;0.241121;0.641557;0.042257;1.014499;1.111813;1.067088;1.001702;
0.087654;0.459027;1.000193;1.025876;0.990108;0.241318;0.641658;0.042372;1.014533;1.111841;1.067105;1.001718;
0.095027;0.459499;1.000215;1.025870;0.990066;0.241692;0.642012;0.042569;1.014592;1.111890;1.067134;1.001743;
0.101663;0.459967;1.000234;1.025865;0.990023;0.242010;0.642494;0.042712;1.014636;1.111927;1.067156;1.001757;
0.108298;0.460474;1.000253;1.025859;0.989976;0.242316;0.643112;0.042825;1.014671;1.111956;1.067174;1.001765;
0.114934;0.461020;1.000271;1.025852;0.989923;0.242615;0.643853;0.042913;1.014699;1.111980;1.067188;1.001768;
0.121569;0.461603;1.000289;1.025845;0.989865;0.242910;0.644703;0.042978;1.014721;1.111998;1.067199;1.001765;
0.128205;0.462221;1.000305;1.025838;0.989803;0.243204;0.645649;0.043023;1.014737;1.112011;1.067207;1.001758;
0.134840;0.462874;1.000321;1.025830;0.989735;0.243501;0.646680;0.043050;1.014748;1.112020;1.067212;1.001747;
0.141476;0.463559;1.000336;1.025821;0.989663;0.243801;0.647785;0.043061;1.014755;1.112026;1.067215;1.001732;
0.148111;0.464274;1.000351;1.025811;0.989586;0.244108;0.648956;0.043057;1.014757;1.112028;1.067217;1.001715;
0.154747;0.465018;1.000364;1.025801;0.989504;0.244422;0.650182;0.043041;1.014756;1.112027;1.067216;1.001694;
0.161382;0.465788;1.000376;1.025790;0.989418;0.244744;0.651456;0.043013;1.014751;1.112023;1.067214;1.001671;
0.168018;0.466582;1.000387;1.025779;0.989328;0.245075;0.652769;0.042974;1.014744;1.112017;1.067210;1.001646;
0.174653;0.467398;1.000397;1.025766;0.989233;0.245416;0.654115;0.042925;1.014733;1.112008;1.067205;1.001619;
0.181289;0.468233;1.000406;1.025753;0.989135;0.245765;0.655487;0.042868;1.014720;1.111997;1.067198;1.001590;
0.187924;0.469086;1.000413;1.025739;0.989033;0.246124;0.656878;0.042803;1.014705;1.111985;1.067191;1.001560;
0.194560;0.469953;1.000420;1.025724;0.988927;0.246492;0.658282;0.042731;1.014688;1.111970;1.067182;1.001528;
0.201196;0.470832;1.000425;1.025708;0.988818;0.246869;0.659694;0.042652;1.014669;1.111954;1.067173;1.001495;
0.207831;0.471722;1.000429;1.025691;0.988706;0.247254;0.661107;0.042567;1.014648;1.111937;1.067162;1.001461;
0.214467;0.472619;1.000432;1.025673;0.988592;0.247646;0.662518;0.042476;1.014626;1.111918;1.067151;1.001426;
0.221102;0.473521;1.000434;1.025655;0.988474;0.248046;0.663920;0.042381;1.014602;1.111898;1.067139;1.001391;
0.227738;0.474425;1.000435;1.025635;0.988355;0.248452;0.665310;0.042281;1.014576;1.111877;1.067126;1.001355;
0.234373;0.475330;1.000434;1.025614;0.988233;0.248864;0.666682;0.042177;1.014549;1.111855;1.067113;1.001319;
0.241009;0.476232;1.000433;1.025593;0.988110;0.249280;0.668034;0.042070;1.014522;1.111832;1.067099;1.001282;
0.247644;0.477130;1.000430;1.025570;0.987985;0.249700;0.669360;0.041959;1.014493;1.111808;1.067085;1.001245;
0.254280;0.478021;1.000426;1.025547;0.987860;0.250123;0.670657;0.041845;1.014463;1.111783;1.067070;1.001209;
0.260915;0.478904;1.000421;1.025522;0.987733;0.250547;0.671921;0.041728;1.014432;1.111757;1.067054;1.001172;
0.267551;0.479775;1.000415;1.025497;0.987606;0.250973;0.673150;0.041610;1.014401;1.111731;1.067039;1.001135;
0.274186;0.480632;1.000408;1.025470;0.987478;0.251398;0.674340;0.041489;1.014368;1.111704;1.067023;1.001099;
0.280822;0.481475;1.000400;1.025443;0.987351;0.251822;0.675489;0.041366;1.014336;1.111677;1.067006;1.001063;
0.287457;0.482300;1.000392;1.025414;0.987224;0.252244;0.676592;0.041242;1.014302;1.111649;1.066990;1.001027;
0.294093;0.483106;1.000382;1.025385;0.987097;0.252662;0.677649;0.041117;1.014268;1.111621;1.066973;1.000992;
0.300728;0.483890;1.000371;1.025355;0.986971;0.253077;0.678657;0.040991;1.014234;1.111593;1.066956;1.000958;
0.307364;0.484652;1.000360;1.025324;0.986846;0.253487;0.679613;0.040864;1.014199;1.111564;1.066938;1.000924;
0.313999;0.485390;1.000348;1.025292;0.986723;0.253890;0.680516;0.040737;1.014164;1.111535;1.066921;1.000891;
0.320635;0.486101;1.000335;1.025259;0.986601;0.254287;0.681363;0.040610;1.014129;1.111506;1.066903;1.000859;
0.327270;0.486786;1.000322;1.025226;0.986481;0.254676;0.682155;0.040483;1.014094;1.111476;1.066886;1.000827;
0.333906;0.487441;1.000308;1.025191;0.986363;0.255056;0.682888;0.040356;1.014059;1.111447;1.066868;1.000797;
