time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
0.000000;0.453908;1.000000;1.025400;0.990712;0.227055;0.665556;0.033305;1.011919;1.038575;1.132500;1.079500;1.000000;
0.000001;0.453908;1.000000;1.025400;0.990712;0.227056;0.665555;0.033305;1.011919;1.038575;1.132500;1.079500;1.000000;
0.000002;0.453908;1.000000;1.025400;0.990712;0.227056;0.665554;0.033306;1.011919;1.038575;1.132500;1.079500;1.000000;
0.000004;0.453908;1.000000;1.025400;0.990712;0.227057;0.665553;0.033306;1.011919;1.038575;1.132500;1.079500;1.000000;
0.000008;0.453908;1.000000;1.025400;0.990712;0.227058;0.665550;0.033307;1.011920;1.038575;1.132500;1.079500;1.000000;
0.000016;0.453908;1.000000;1.025400;0.990712;0.227060;0.665543;0.033309;1.011920;1.038575;1.132501;1.079500;1.000001;
0.000032;0.453908;1.000000;1.025400;0.990712;0.227065;0.665531;0.033313;1.011921;1.038576;1.132501;1.079501;1.000001;
0.000064;0.453908;1.000000;1.025400;0.990712;0.227075;0.665505;0.033320;1.011923;1.038577;1.132502;1.079501;1.000003;
0.000128;0.453908;1.000000;1.025400;0.990712;0.227095;0.665455;0.033335;1.011928;1.038579;1.132504;1.079502;1.000006;
0.000256;0.453908;1.000000;1.025400;0.990712;0.227134;0.665354;0.033365;1.011936;1.038584;1.132508;1.079505;1.000012;
0.000512;0.453908;1.000000;1.025400;0.990712;0.227211;0.665154;0.033424;1.011953;1.038592;1.132516;1.079509;1.000024;
0.001024;0.453908;1.000000;1.025400;0.990712;0.227365;0.664757;0.033542;1.011987;1.038610;1.132531;1.079519;1.000048;
0.002048;0.453908;1.000000;1.025400;0.990712;0.227668;0.663977;0.033773;1.012053;1.038644;1.132562;1.079537;1.000094;
0.004096;0.453909;1.000001;1.025400;0.990712;0.228251;0.662474;0.034220;1.012181;1.038711;1.132621;1.079572;1.000184;
0.006144;0.453910;1.000002;1.025400;0.990712;0.228807;0.661045;0.034648;1.012304;1.038775;1.132677;1.079606;1.000270;
0.010240;0.453914;1.000005;1.025400;0.990711;0.229841;0.658392;0.035449;1.012533;1.038896;1.132785;1.079671;1.000431;
0.013926;0.453922;1.000009;1.025400;0.990711;0.230690;0.656228;0.036111;1.012723;1.038997;1.132875;1.079725;1.000563;
0.017613;0.453935;1.000013;1.025399;0.990710;0.231468;0.654263;0.036722;1.012898;1.039092;1.132959;1.079775;1.000684;
0.021299;0.453954;1.000019;1.025399;0.990709;0.232180;0.652483;0.037285;1.013060;1.039181;1.133037;1.079822;1.000795;
0.024986;0.453980;1.000025;1.025398;0.990707;0.232833;0.650875;0.037803;1.013208;1.039264;1.133111;1.079867;1.000897;
0.028672;0.454013;1.000032;1.025398;0.990705;0.233432;0.649430;0.038281;1.013345;1.039342;1.133180;1.079908;1.000990;
0.032358;0.454055;1.000040;1.025397;0.990703;0.233982;0.648135;0.038720;1.013472;1.039415;1.133246;1.079947;1.001075;
0.036045;0.454107;1.000048;1.025396;0.990700;0.234487;0.646982;0.039124;1.013588;1.039484;1.133307;1.079984;1.001153;
0.039731;0.454168;1.000057;1.025395;0.990696;0.234951;0.645962;0.039496;1.013695;1.039550;1.133365;1.080019;1.001223;
0.043418;0.454239;1.000066;1.025395;0.990691;0.235379;0.645065;0.039837;1.013793;1.039612;1.133420;1.080052;1.001288;
0.047104;0.454321;1.000076;1.025394;0.990686;0.235773;0.644284;0.040151;1.013884;1.039670;1.133472;1.080083;1.001346;
0.050790;0.454415;1.000086;1.025393;0.990679;0.236138;0.643611;0.040439;1.013967;1.039726;1.133522;1.080113;1.001399;
0.054477;0.454520;1.000096;1.025391;0.990672;0.236475;0.643041;0.040703;1.014043;1.039779;1.133569;1.080141;1.001447;
0.058163;0.454638;1.000106;1.025390;0.990663;0.236789;0.642566;0.040945;1.014113;1.039830;1.133614;1.080168;1.001491;
0.061850;0.454767;1.000117;1.025389;0.990654;0.237081;0.642180;0.041166;1.014178;1.039878;1.133657;1.080194;1.001529;
0.065536;0.454909;1.000128;1.025387;0.990643;0.237353;0.641879;0.041368;1.014237;1.039925;1.133698;1.080219;1.001564;
0.069222;0.455063;1.000139;1.025386;0.990631;0.237609;0.641656;0.041553;1.014291;1.039970;1.133738;1.080243;1.001595;
0.072909;0.455230;1.000150;1.025384;0.990618;0.237849;0.641507;0.041721;1.014340;1.040013;1.133777;1.080266;1.001623;
0.076595;0.455410;1.000161;1.025383;0.990604;0.238076;0.641428;0.041875;1.014385;1.040055;1.133814;1.080288;1.001647;
0.080282;0.455603;1.000172;1.025381;0.990588;0.238291;0.641415;0.042014;1.014426;1.040095;1.133850;1.080310;1.001668;
0.083968;0.455808;1.000183;1.025379;0.990571;0.238496;0.641462;0.042140;1.014464;1.040134;1.133884;1.080331;1.001686;
0.087654;0.456027;1.000194;1.025377;0.990552;0.238693;0.641567;0.042254;1.014498;1.040172;1.133918;1.080351;1.001702;
