time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
0.000000;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000001;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000002;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000004;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000008;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000016;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000032;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000064;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000128;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000256;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.000512;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.001024;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.002048;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.004096;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.008192;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.016384;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.032768;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.065536;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.131072;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.262144;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
0.524288;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.665556;0.033305;1.000000;
1.000000;0.970686;1.000000;0.804649;0.000000;0.000000;0.000000;
1.000001;0.970686;1.000000;0.804649;0.000000;0.000000;0.000000;
1.000002;0.970686;1.000000;0.804648;0.000000;0.000000;0.000000;
1.000004;0.970686;1.000000;0.804647;0.000000;0.000000;0.000000;
1.000008;0.970686;1.000001;0.804645;0.000000;0.000000;0.000000;
1.000016;0.970686;1.000001;0.804641;0.000000;0.000000;0.000000;
1.000032;0.970686;1.000003;0.804633;0.000000;0.000000;0.000000;
1.000064;0.970686;1.000005;0.804616;0.000000;0.000000;0.000000;
1.000128;0.970686;1.000011;0.804582;0.000000;0.000000;0.000000;
1.000256;0.970687;1.000021;0.804515;0.000000;0.000000;0.000000;
