time;DEC_dec_VtPu;DEC_dec_omegaPu;DEC_dec_VstPu;DEC_dec_Vs1Pu;
0.000000;1.000000;1.000000;0.020000;0.020000;
0.000001;1.000000;1.000000;0.020000;0.020000;
0.000002;1.000000;1.000000;0.020000;0.020000;
0.000004;1.000000;1.000000;0.020000;0.020000;
0.000008;1.000000;1.000000;0.020000;0.020000;
0.000016;1.000000;1.000000;0.020000;0.020000;
0.000032;1.000000;1.000000;0.020000;0.020000;
0.000064;1.000000;1.000000;0.020000;0.020000;
0.000128;1.000000;1.000000;0.020000;0.020000;
0.000256;1.000000;1.000000;0.020000;0.020000;
0.000512;1.000000;1.000000;0.020000;0.020000;
0.001024;1.000000;1.000000;0.020000;0.020000;
0.002048;1.000000;1.000000;0.020000;0.020000;
0.004096;1.000000;1.000000;0.020000;0.020000;
0.008192;1.000000;1.000000;0.020000;0.020000;
0.016384;1.000000;1.000000;0.020000;0.020000;
0.032768;1.000000;1.000000;0.020000;0.020000;
0.065536;1.000000;1.000000;0.020000;0.020000;
0.131072;1.000000;1.000000;0.020000;0.020000;
0.262144;1.000000;1.000000;0.020000;0.020000;
0.524288;1.000000;1.000000;0.020000;0.020000;
1.000000;1.000000;1.000000;0.020000;0.020000;
1.000000;0.800000;1.005000;0.020000;0.020000;
1.000001;0.800000;1.005000;0.020000;0.020002;
1.000002;0.800000;1.005000;0.020000;0.020005;
1.000004;0.800000;1.005000;0.020000;0.020010;
1.000008;0.800000;1.005000;0.020000;0.020020;
1.000016;0.800000;1.005000;0.020000;0.020040;
1.000032;0.800000;1.005000;0.020000;0.020080;
1.000064;0.800000;1.005000;0.020000;0.020160;
1.000128;0.800000;1.005000;0.020000;0.020320;
1.000256;0.800000;1.005000;0.020000;0.020640;
1.000512;0.800000;1.005000;0.020000;0.021280;
1.001024;0.800000;1.005000;0.020000;0.022559;
1.002048;0.800000;1.005000;0.020000;0.025117;
1.004096;0.800000;1.005000;0.020000;0.030230;
1.008192;0.800000;1.005000;0.020000;0.040438;
1.016384;0.800000;1.005000;0.020000;0.060793;
1.032768;0.800000;1.005000;0.020000;0.101253;
1.065536;0.800000;1.005000;0.020000;0.120000;
1.131072;0.800000;1.005000;0.020000;0.120000;
1.262144;0.800000;1.005000;0.020000;0.120000;
1.524288;0.800000;1.005000;0.020000;0.120000;
1.786432;0.800000;1.005000;0.020000;0.120000;
2.048576;0.800000;1.005000;0.020000;0.120000;
2.310720;0.800000;1.005000;0.020000;0.120000;
2.572864;0.800000;1.005000;0.020000;0.120000;
2.835008;0.800000;1.005000;0.020000;0.120000;
3.097152;0.800000;1.005000;0.020000;0.120000;
3.359296;0.800000;1.005000;0.020000;0.120000;
3.621440;0.800000;1.005000;0.020000;0.120000;
3.883584;0.800000;1.005000;0.020000;0.120000;
4.407872;0.800000;1.005000;0.020000;0.120000;
4.932160;0.800000;1.005000;0.020000;0.120000;
5.456448;0.800000;1.005000;0.020000;0.120000;
5.980736;0.800000;1.005000;0.020000;0.120000;
6.505024;0.800000;1.005000;0.020000;0.120000;
7.029312;0.800000;1.005000;0.020000;0.120000;
7.553600;0.800000;1.005000;0.020000;0.120000;
8.077888;0.800000;1.005000;0.020000;0.120000;
8.602176;0.800000;1.005000;0.020000;0.120000;
9.602176;0.800000;1.005000;0.020000;0.120000;
10.000000;0.800000;1.005000;0.020000;0.120000;
