time;DEC_dec_VkTrigger;DEC_dec_VstPu;DEC_dec_Vs1Pu;
0.000000;0.000000;0.020000;0.020000;
0.000001;0.000000;0.020000;0.020000;
0.000002;0.000000;0.020000;0.020000;
0.000004;0.000000;0.020000;0.020000;
0.000008;0.000000;0.020000;0.020000;
0.000016;0.000000;0.020000;0.020000;
0.000032;0.000000;0.020000;0.020000;
0.000064;0.000000;0.020000;0.020000;
0.000128;0.000000;0.020000;0.020000;
0.000256;0.000000;0.020000;0.020000;
0.000512;0.000000;0.020000;0.020000;
0.001024;0.000000;0.020000;0.020000;
0.002048;0.000000;0.020000;0.020000;
0.004096;0.000000;0.020000;0.020000;
0.008192;0.000000;0.020000;0.020000;
0.016384;0.000000;0.020000;0.020000;
0.032768;0.000000;0.020000;0.020000;
0.065536;0.000000;0.020000;0.020000;
0.131072;0.000000;0.020000;0.020000;
0.262144;0.000000;0.020000;0.020000;
0.524288;0.000000;0.020000;0.020000;
1.000000;0.000000;0.020000;0.020000;
1.000000;1.000000;0.020000;0.020000;
1.000001;1.000000;0.020000;0.020003;
1.000002;1.000000;0.020000;0.020006;
1.000004;1.000000;0.020000;0.020012;
1.000008;1.000000;0.020000;0.020024;
1.000016;1.000000;0.020000;0.020048;
1.000032;1.000000;0.020000;0.020096;
1.000064;1.000000;0.020000;0.020192;
1.000128;1.000000;0.020000;0.020383;
1.000256;1.000000;0.020000;0.020766;
1.000512;1.000000;0.020000;0.021528;
1.001024;1.000000;0.020000;0.023040;
1.002048;1.000000;0.020000;0.026017;
1.004096;1.000000;0.020000;0.031788;
1.008192;1.000000;0.020000;0.042639;
1.012288;1.000000;0.020000;0.052617;
1.016384;1.000000;0.020000;0.061786;
1.020480;1.000000;0.020000;0.070209;
1.024576;1.000000;0.020000;0.077944;
1.028672;1.000000;0.020000;0.085045;
1.032768;1.000000;0.020000;0.091563;
1.040960;1.000000;0.020000;0.103080;
1.048333;1.000000;0.020000;0.111867;
1.055705;1.000000;0.020000;0.119377;
1.063078;1.000000;0.020000;0.120000;
1.070451;1.000000;0.020000;0.120000;
1.077824;1.000000;0.020000;0.120000;
1.085197;1.000000;0.020000;0.120000;
1.092569;1.000000;0.020000;0.120000;
1.099942;1.000000;0.020000;0.120000;
1.107315;1.000000;0.020000;0.120000;
1.114688;1.000000;0.020000;0.120000;
1.122061;1.000000;0.020000;0.120000;
1.136806;1.000000;0.020000;0.120000;
1.151552;1.000000;0.020000;0.120000;
1.166297;1.000000;0.020000;0.120000;
1.181043;1.000000;0.020000;0.120000;
1.195789;1.000000;0.020000;0.120000;
1.210534;1.000000;0.020000;0.120000;
1.225280;1.000000;0.020000;0.120000;
1.240025;1.000000;0.020000;0.120000;
1.269517;1.000000;0.020000;0.120000;
1.299008;1.000000;0.020000;0.120000;
1.328499;1.000000;0.020000;0.120000;
1.357990;1.000000;0.020000;0.120000;
1.387481;1.000000;0.020000;0.120000;
1.446464;1.000000;0.020000;0.120000;
1.505446;1.000000;0.020000;0.120000;
1.623411;1.000000;0.020000;0.120000;
1.741376;1.000000;0.020000;0.120000;
1.977305;1.000000;0.020000;0.114326;
2.213235;1.000000;0.020000;0.103785;
2.449165;1.000000;0.020000;0.094419;
2.685094;1.000000;0.020000;0.086099;
2.921024;1.000000;0.020000;0.078708;
3.156953;1.000000;0.020000;0.072144;
3.392883;1.000000;0.020000;0.066314;
3.628813;1.000000;0.020000;0.061135;
3.864742;1.000000;0.020000;0.056536;
4.100672;1.000000;0.020000;0.052451;
4.336601;1.000000;0.020000;0.048822;
4.572531;1.000000;0.020000;0.045600;
5.044390;1.000000;0.020000;0.040147;
5.469063;1.000000;0.020000;0.036233;
5.893737;1.000000;0.020000;0.033071;
6.318410;1.000000;0.020000;0.030521;
6.743083;1.000000;0.020000;0.028468;
7.167757;1.000000;0.020000;0.026815;
7.592430;1.000000;0.020000;0.025484;
8.017103;1.000000;0.020000;0.024413;
8.441776;1.000000;0.020000;0.023551;
9.291123;1.000000;0.020000;0.022266;
10.140470;1.000000;0.020000;0.021432;
10.989816;1.000000;0.020000;0.020899;
11.839163;1.000000;0.020000;0.020562;
12.688509;1.000000;0.020000;0.020351;
13.537856;1.000000;0.020000;0.020218;
14.537856;1.000000;0.020000;0.020123;
15.000000;1.000000;0.020000;0.020096;
