time;DEC_dec_VtPu;DEC_dec_VstPu;DEC_dec_Vs1Pu;
0.000000;1.000000;0.050000;0.050000;
0.000001;1.000000;0.050000;0.050000;
0.000002;1.000000;0.050000;0.050000;
0.000004;1.000000;0.050000;0.050000;
0.000008;1.000000;0.050000;0.050000;
0.000016;1.000000;0.050000;0.050000;
0.000032;1.000000;0.050000;0.050000;
0.000064;1.000000;0.050000;0.050000;
0.000128;1.000000;0.050000;0.050000;
0.000256;1.000000;0.050000;0.050000;
0.000512;1.000000;0.050000;0.050000;
0.001024;1.000000;0.050000;0.050000;
0.002048;1.000000;0.050000;0.050000;
0.004096;1.000000;0.050000;0.050000;
0.008192;1.000000;0.050000;0.050000;
0.016384;1.000000;0.050000;0.050000;
0.032768;1.000000;0.050000;0.050000;
0.065536;1.000000;0.050000;0.050000;
0.131072;1.000000;0.050000;0.050000;
0.262144;1.000000;0.050000;0.050000;
0.524288;1.000000;0.050000;0.050000;
1.000000;1.000000;0.050000;0.050000;
1.000000;0.700000;0.050000;0.000000;
1.000001;0.700000;0.050000;0.000000;
1.000002;0.700000;0.050000;0.000000;
1.000004;0.700000;0.050000;0.000000;
1.000008;0.700000;0.050000;0.000000;
1.000016;0.700000;0.050000;0.000000;
1.000032;0.700000;0.050000;0.000000;
1.000064;0.700000;0.050000;0.000000;
1.000128;0.700000;0.050000;0.000000;
1.000256;0.700000;0.050000;0.000000;
1.000512;0.700000;0.050000;0.000000;
1.001024;0.700000;0.050000;0.000000;
1.002048;0.700000;0.050000;0.000000;
1.004096;0.700000;0.050000;0.000000;
1.008192;0.700000;0.050000;0.000000;
1.016384;0.700000;0.050000;0.000000;
1.032768;0.700000;0.050000;0.000000;
1.065536;0.700000;0.050000;0.000000;
1.131072;0.700000;0.050000;0.000000;
1.262144;0.700000;0.050000;0.000000;
1.524288;0.700000;0.050000;0.000000;
2.048576;0.700000;0.050000;0.000000;
2.999999;0.700000;0.050000;0.050000;
3.048576;0.700000;0.050000;0.050000;
4.048576;0.700000;0.050000;0.050000;
5.048576;0.700000;0.050000;0.050000;
6.048576;0.700000;0.050000;0.050000;
7.048576;0.700000;0.050000;0.050000;
8.048576;0.700000;0.050000;0.050000;
9.048576;0.700000;0.050000;0.050000;
10.000000;0.700000;0.050000;0.050000;
