time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488702;
0.008192;0.999994;10.104178;0.977803;1.488722;
0.012288;0.999992;10.104984;0.977234;1.488766;
0.016384;0.999989;10.106167;0.976727;1.488840;
0.024576;0.999983;10.109101;0.975860;1.489090;
0.032768;0.999977;10.112401;0.975163;1.489478;
0.040960;0.999971;10.115609;0.974597;1.489998;
0.049152;0.999965;10.118407;0.974134;1.490638;
0.057344;0.999958;10.120595;0.973751;1.491386;
0.073728;0.999945;10.122724;0.973144;1.493145;
0.090112;0.999933;10.121849;0.972699;1.495206;
0.106496;0.999920;10.118103;0.972359;1.497517;
0.122880;0.999908;10.111788;0.972086;1.500039;
0.139264;0.999897;10.103278;0.971858;1.502746;
0.172032;0.999878;10.081613;0.971475;1.508634;
0.204800;0.999865;10.055422;0.971162;1.515095;
0.270336;0.999855;10.000004;0.970648;1.529377;
0.335872;0.999867;9.948516;0.970246;1.545172;
0.401408;0.999897;9.910125;0.969926;1.562085;
0.466944;0.999938;9.890560;0.969678;1.579763;
0.532480;0.999982;9.891753;0.969500;1.597901;
0.663552;1.000042;9.939022;0.969375;1.634272;
0.794624;1.000052;10.013488;0.969583;1.669802;
0.925696;1.000012;10.073410;0.970149;1.703303;
1.000000;0.999978;10.089131;0.970628;1.720986;
1.000000;0.999978;8.803118;0.891846;1.720986;
1.000001;0.999978;8.803124;0.891845;1.720986;
1.000002;0.999978;8.803131;0.891845;1.720986;
1.000004;0.999978;8.803145;0.891843;1.720987;
1.000008;0.999979;8.803171;0.891840;1.720987;
1.000016;0.999979;8.803225;0.891835;1.720989;
1.000032;0.999979;8.803332;0.891824;1.720993;
1.000064;0.999979;8.803547;0.891801;1.721001;
1.000128;0.999979;8.803976;0.891757;1.721015;
1.000256;0.999980;8.804835;0.891667;1.721045;
1.000512;0.999982;8.806556;0.891490;1.721105;
1.001024;0.999986;8.810010;0.891140;1.721225;
1.002048;0.999994;8.816960;0.890454;1.721466;
1.004096;1.000009;8.831006;0.889140;1.721954;
1.008192;1.000039;8.859510;0.886727;1.722981;
1.012288;1.000068;8.888366;0.884575;1.724097;
1.016384;1.000097;8.917343;0.882654;1.725322;
1.020480;1.000124;8.946249;0.880936;1.726671;
1.024576;1.000151;8.974939;0.879398;1.728148;
1.028672;1.000177;9.003301;0.878016;1.729757;
1.032768;1.000202;9.031258;0.876773;1.731493;
1.040960;1.000250;9.085751;0.874620;1.735321;
1.049152;1.000296;9.138299;0.872848;1.739589;
1.057344;1.000338;9.188916;0.871376;1.744247;
1.065536;1.000378;9.237719;0.870141;1.749251;
1.073728;1.000415;9.284892;0.869091;1.754557;
1.081920;1.000450;9.330653;0.868186;1.760133;
1.098304;1.000511;9.419034;0.866671;1.771957;
1.100000;1.000517;9.427997;0.866531;1.773227;
1.100000;1.000517;10.816585;0.943566;1.773227;
1.100001;1.000517;10.816584;0.943567;1.773228;
1.100002;1.000517;10.816584;0.943567;1.773229;
1.100004;1.000517;10.816582;0.943569;1.773230;
1.100008;1.000517;10.816579;0.943571;1.773233;
