time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488702;
0.004096;0.999997;10.103880;0.978442;1.488725;
0.006144;0.999996;10.103967;0.978114;1.488779;
0.008192;0.999994;10.104202;0.977804;1.488877;
0.010240;0.999993;10.104565;0.977513;1.489029;
0.012288;0.999992;10.105037;0.977237;1.489245;
0.014336;0.999990;10.105603;0.976977;1.489534;
0.016384;0.999989;10.106245;0.976731;1.489902;
0.018432;0.999987;10.106952;0.976499;1.490356;
0.022528;0.999984;10.108493;0.976071;1.491542;
0.026214;0.999982;10.109988;0.975724;1.492940;
0.029901;0.999979;10.111529;0.975409;1.494666;
0.033587;0.999976;10.113079;0.975123;1.496724;
0.037274;0.999974;10.114603;0.974863;1.499119;
0.040960;0.999971;10.116074;0.974625;1.501848;
0.044646;0.999968;10.117469;0.974409;1.504906;
0.048333;0.999965;10.118773;0.974211;1.508286;
0.052019;0.999962;10.119972;0.974030;1.511978;
0.055706;0.999959;10.121058;0.973864;1.515972;
0.063078;0.999954;10.122862;0.973571;1.524798;
0.070451;0.999948;10.124171;0.973322;1.534669;
0.077824;0.999942;10.124987;0.973112;1.545481;
0.085197;0.999936;10.125327;0.972934;1.557127;
0.092570;0.999930;10.125220;0.972783;1.569504;
0.099942;0.999924;10.124701;0.972656;1.582513;
0.107315;0.999918;10.123808;0.972549;1.596062;
0.114688;0.999912;10.122582;0.972461;1.610067;
0.122061;0.999907;10.121062;0.972388;1.624451;
0.136806;0.999895;10.117333;0.972285;1.654005;
0.151552;0.999885;10.112855;0.972232;1.684323;
0.166298;0.999875;10.107849;0.972225;1.715044;
0.181043;0.999865;10.102503;0.972257;1.745863;
0.195789;0.999856;10.096977;0.972327;1.776538;
0.210534;0.999847;10.091399;0.972432;1.806872;
0.225280;0.999839;10.085871;0.972570;1.836715;
0.240026;0.999832;10.080474;0.972739;1.865945;
0.254771;0.999825;10.075271;0.972938;1.894466;
0.284262;0.999812;10.065668;0.973420;1.949036;
0.313754;0.999802;10.057251;0.974006;2.000077;
0.343245;0.999793;10.050126;0.974689;2.047323;
0.372736;0.999785;10.044314;0.975458;2.090592;
0.402227;0.999778;10.039755;0.976306;2.129767;
0.431718;0.999772;10.036329;0.977224;2.164786;
0.461210;0.999767;10.033864;0.978202;2.195628;
0.490701;0.999762;10.032154;0.979233;2.222303;
0.520192;0.999758;10.030967;0.980309;2.244851;
0.579174;0.999749;10.028921;0.982549;2.277972;
0.632259;0.999743;10.026547;0.984637;2.294573;
0.685343;0.999737;10.022527;0.986747;2.299472;
0.738427;0.999734;10.016225;0.988841;2.293511;
0.791511;0.999733;10.007344;0.990884;2.277681;
0.844595;0.999736;9.996024;0.992841;2.253068;
0.897679;0.999743;9.982801;0.994683;2.220832;
0.950764;0.999754;9.968534;0.996387;2.182176;
1.000000;0.999768;9.955318;0.997823;2.141681;
1.000000;0.999768;8.688569;0.917588;2.141681;
1.000001;0.999768;8.688575;0.917587;2.141680;
1.000002;0.999768;8.688582;0.917586;2.141679;
1.000004;0.999768;8.688595;0.917585;2.141677;
1.000008;0.999768;8.688620;0.917582;2.141674;
