time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488699;
0.000002;1.000000;10.104236;0.979158;1.488699;
0.000004;1.000000;10.104235;0.979158;1.488699;
0.000008;1.000000;10.104235;0.979157;1.488699;
0.000016;1.000000;10.104233;0.979156;1.488699;
0.000032;1.000000;10.104230;0.979153;1.488699;
0.000064;1.000000;10.104224;0.979147;1.488699;
0.000128;1.000000;10.104213;0.979135;1.488699;
0.000256;1.000000;10.104190;0.979111;1.488699;
0.000512;1.000000;10.104148;0.979064;1.488699;
0.001024;0.999999;10.104074;0.978971;1.488699;
0.002048;0.999999;10.103963;0.978790;1.488699;
0.004096;0.999997;10.103880;0.978442;1.488699;
0.008192;0.999994;10.104177;0.977803;1.488707;
0.012288;0.999992;10.104984;0.977234;1.488731;
0.016384;0.999989;10.106166;0.976727;1.488783;
0.020480;0.999986;10.107607;0.976274;1.488874;
0.028672;0.999980;10.110800;0.975498;1.489238;
0.036864;0.999974;10.114092;0.974870;1.489890;
0.045056;0.999968;10.117116;0.974358;1.490887;
0.053248;0.999961;10.119628;0.973937;1.492266;
0.061440;0.999955;10.121478;0.973588;1.494045;
0.069632;0.999949;10.122594;0.973293;1.496227;
0.077824;0.999942;10.122949;0.973043;1.498804;
0.086016;0.999936;10.122554;0.972828;1.501761;
0.102400;0.999923;10.119713;0.972470;1.508695;
0.118784;0.999911;10.114406;0.972190;1.516854;
0.151552;0.999889;10.098440;0.971769;1.535889;
0.184320;0.999871;10.077207;0.971487;1.557697;
0.217088;0.999858;10.053090;0.971299;1.581221;
0.249856;0.999851;10.028105;0.971184;1.605608;
0.282624;0.999848;10.003881;0.971130;1.630212;
0.315392;0.999851;9.981727;0.971133;1.654557;
0.348160;0.999857;9.962672;0.971188;1.678307;
0.380928;0.999867;9.947489;0.971293;1.701224;
0.413696;0.999880;9.936701;0.971444;1.723146;
0.446464;0.999894;9.930593;0.971638;1.743966;
0.479232;0.999909;9.929210;0.971872;1.763615;
0.544768;0.999936;9.938968;0.972449;1.799252;
0.610304;0.999956;9.962137;0.973157;1.830012;
0.675840;0.999964;9.993194;0.973981;1.855966;
0.741376;0.999959;10.025824;0.974907;1.877277;
0.806912;0.999943;10.053960;0.975921;1.894163;
0.872448;0.999917;10.072745;0.977008;1.906876;
0.937984;0.999886;10.079246;0.978151;1.915687;
1.000000;0.999861;10.075156;0.979253;1.920902;
1.000000;0.999861;8.791469;0.900011;1.920902;
1.000001;0.999861;8.791475;0.900011;1.920902;
1.000002;0.999861;8.791482;0.900010;1.920902;
1.000004;0.999861;8.791495;0.900009;1.920902;
1.000008;0.999861;8.791520;0.900006;1.920902;
1.000016;0.999861;8.791572;0.900000;1.920903;
1.000032;0.999862;8.791675;0.899990;1.920903;
1.000064;0.999862;8.791880;0.899968;1.920905;
1.000128;0.999862;8.792292;0.899924;1.920909;
1.000256;0.999863;8.793117;0.899836;1.920916;
1.000512;0.999865;8.794768;0.899663;1.920929;
1.001024;0.999869;8.798084;0.899319;1.920957;
1.002048;0.999877;8.804759;0.898647;1.921012;
1.004096;0.999892;8.818262;0.897362;1.921120;
1.006144;0.999908;8.831936;0.896151;1.921231;
1.010240;0.999938;8.859600;0.893929;1.921481;
1.014336;0.999967;8.887516;0.891953;1.921802;
1.018432;0.999995;8.915473;0.890193;1.922239;
1.022528;1.000023;8.943304;0.888624;1.922838;
1.026624;1.000050;8.970880;0.887222;1.923646;
1.030720;1.000076;8.998108;0.885966;1.924701;
1.034816;1.000102;9.024924;0.884840;1.926041;
1.038912;1.000127;9.051287;0.883828;1.927693;
1.043008;1.000151;9.077178;0.882915;1.929680;
1.047104;1.000174;9.102589;0.882091;1.932020;
