time;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_UPu;SM_generator_efdPu;
0.000000;1.000000;10.104236;0.979159;1.488699;
0.000001;1.000000;10.104236;0.979159;1.488683;
0.000002;1.000000;10.104236;0.979158;1.488668;
0.000004;1.000000;10.104235;0.979158;1.488637;
0.000008;1.000000;10.104235;0.979157;1.488574;
0.000016;1.000000;10.104233;0.979156;1.488450;
0.000032;1.000000;10.104230;0.979153;1.488202;
0.000064;1.000000;10.104224;0.979147;1.487705;
0.000128;1.000000;10.104213;0.979135;1.486713;
0.000256;1.000000;10.104190;0.979111;1.484737;
0.000512;1.000000;10.104145;0.979064;1.480811;
0.001024;0.999999;10.104063;0.978971;1.473067;
0.002048;0.999999;10.103918;0.978788;1.457981;
0.004096;0.999997;10.103703;0.978437;1.429265;
0.008192;0.999994;10.103477;0.977784;1.376588;
0.012288;0.999992;10.103424;0.977192;1.329080;
0.016384;0.999989;10.103417;0.976652;1.285356;
0.020480;0.999986;10.103346;0.976158;1.244292;
0.024576;0.999983;10.103115;0.975702;1.205020;
0.028672;0.999980;10.102645;0.975279;1.166886;
0.032768;0.999978;10.101873;0.974884;1.129409;
0.036864;0.999975;10.100745;0.974513;1.092238;
0.045056;0.999970;10.097225;0.973821;1.017739;
0.053248;0.999965;10.091896;0.973180;0.942524;
0.061440;0.999960;10.084625;0.972573;0.866143;
0.069632;0.999956;10.075340;0.971983;0.788494;
0.086016;0.999949;10.050747;0.970797;0.630428;
0.102400;0.999946;10.018437;0.969565;0.470367;
0.118784;0.999946;9.979009;0.968249;0.310682;
0.135168;0.999951;9.933264;0.966821;0.153625;
0.151552;0.999961;9.882138;0.965269;0.001103;
0.167936;0.999976;9.826645;0.963587;-0.145390;
0.184320;0.999998;9.767843;0.961774;-0.284753;
0.200704;1.000025;9.706807;0.959832;-0.416226;
0.217088;1.000059;9.644609;0.957769;-0.539326;
0.233472;1.000099;9.582299;0.955590;-0.653792;
0.247265;1.000138;9.531118;0.953677;-0.743444;
0.247265;1.000138;9.531124;0.953677;-0.743444;
0.247266;1.000138;9.531121;0.953677;-0.743442;
0.247267;1.000138;9.531117;0.953677;-0.743439;
0.247269;1.000138;9.531109;0.953677;-0.743434;
0.247273;1.000138;9.531095;0.953676;-0.743425;
0.247281;1.000138;9.531065;0.953675;-0.743406;
0.247297;1.000138;9.531005;0.953673;-0.743368;
